# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.06275e-29
101000 0.31253
102000 0.310832
103000 0.307754
104000 0.319194
105000 0.30831
106000 0.31246
107000 0.318275
108000 0.309921
109000 0.310925
110000 0.316951
111000 0.312697
112000 0.321572
113000 0.314318
114000 0.312336
115000 0.317176
116000 0.310543
117000 0.320505
118000 0.319293
119000 0.311407
120000 0.32179
121000 0.323846
122000 0.320884
123000 0.330076
124000 0.322245
125000 0.32153
126000 0.325274
127000 0.331341
128000 0.329076
129000 0.329928
130000 0.327654
131000 0.332941
132000 0.331133
133000 0.342958
134000 0.335197
135000 0.345877
136000 0.336457
137000 0.339969
138000 0.341872
139000 0.344017
140000 0.342034
141000 0.340053
142000 0.347152
143000 0.343334
144000 0.348421
145000 0.352847
146000 0.349498
147000 0.344065
148000 0.350826
149000 0.351052
150000 0.346778
151000 0.359504
152000 0.3557
153000 0.348301
154000 0.351671
155000 0.355757
156000 0.352958
157000 0.357891
158000 0.357423
159000 0.363019
160000 0.360097
161000 0.372932
162000 0.366562
163000 0.367677
164000 0.364399
165000 0.371024
166000 0.368941
167000 0.367683
168000 0.367585
169000 0.367776
170000 0.359194
171000 0.371845
172000 0.360593
173000 0.357695
174000 0.356795
175000 0.360585
176000 0.357708
177000 0.366699
178000 0.359648
179000 0.365391
180000 0.357766
181000 0.36053
182000 0.366409
183000 0.369136
184000 0.36647
185000 0.375562
186000 0.371129
187000 0.372658
188000 0.372937
189000 0.366829
190000 0.376428
191000 0.374914
192000 0.37521
193000 0.373439
194000 0.37222
195000 0.372933
196000 0.382717
197000 0.370636
198000 0.379979
199000 0.375904
200000 0.37658
201000 0.377334
202000 0.373006
203000 0.377645
204000 0.380706
205000 0.379366
206000 0.379594
207000 0.378957
208000 0.383971
209000 0.387762
210000 0.382622
211000 0.382685
212000 0.379343
213000 0.379983
214000 0.372497
215000 0.384621
216000 0.373238
217000 0.379351
218000 0.380381
219000 0.382404
220000 0.381928
221000 0.387765
222000 0.384688
223000 0.381863
224000 0.380747
225000 0.386922
226000 0.390744
227000 0.384758
228000 0.383959
229000 0.382893
230000 0.390764
231000 0.387997
232000 0.383543
233000 0.385292
234000 0.396564
235000 0.38113
236000 0.391971
237000 0.392066
238000 0.39147
239000 0.386989
240000 0.394894
241000 0.387864
242000 0.393224
243000 0.392887
244000 0.397307
245000 0.391352
246000 0.391115
247000 0.397452
248000 0.400529
249000 0.398696
250000 0.399188
251000 0.398018
252000 0.40145
253000 0.403667
254000 0.401351
255000 0.40252
256000 0.403759
257000 0.404778
258000 0.40277
259000 0.396718
260000 0.398892
261000 0.405183
262000 0.403208
263000 0.405847
264000 0.408167
265000 0.406393
266000 0.413793
267000 0.408221
268000 0.407696
269000 0.408746
270000 0.407889
271000 0.403427
272000 0.406872
273000 0.406757
274000 0.410129
275000 0.413296
276000 0.411696
277000 0.416197
278000 0.417983
279000 0.412532
280000 0.418707
281000 0.418147
282000 0.412328
283000 0.420076
284000 0.413276
285000 0.42345
286000 0.424401
287000 0.427071
288000 0.420422
289000 0.419974
290000 0.426823
291000 0.423023
292000 0.423669
293000 0.419808
294000 0.42172
295000 0.424212
296000 0.427688
297000 0.424433
298000 0.426628
299000 0.428048
300000 0.430737
301000 0.421082
302000 0.433125
303000 0.425487
304000 0.430386
305000 0.428688
306000 0.430258
307000 0.430156
308000 0.4293
309000 0.427638
310000 0.435773
311000 0.427828
312000 0.424429
313000 0.429989
314000 0.426851
315000 0.43301
316000 0.429361
