# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 8.0679e-32
101000 0.396773
102000 0.385846
103000 0.391806
104000 0.415848
105000 0.398139
106000 0.411498
107000 0.404729
108000 0.413976
109000 0.407054
110000 0.415209
111000 0.414727
112000 0.426644
113000 0.427669
114000 0.416089
115000 0.437484
116000 0.422338
117000 0.436537
118000 0.442005
119000 0.435652
120000 0.443996
121000 0.442184
122000 0.447038
123000 0.445822
124000 0.453234
125000 0.450618
126000 0.454909
127000 0.453881
128000 0.457096
129000 0.462915
130000 0.464651
131000 0.467046
132000 0.457711
133000 0.471087
134000 0.471333
135000 0.479354
136000 0.476423
137000 0.479649
138000 0.48971
139000 0.493566
140000 0.489604
141000 0.4986
142000 0.506923
143000 0.513394
144000 0.504491
145000 0.514379
146000 0.515167
147000 0.507072
148000 0.516478
149000 0.516268
150000 0.519898
151000 0.526554
152000 0.513386
153000 0.522215
154000 0.531642
155000 0.520505
156000 0.521275
157000 0.529455
158000 0.534073
159000 0.530842
160000 0.540788
161000 0.560032
162000 0.550425
163000 0.554113
164000 0.553979
165000 0.560286
166000 0.565045
167000 0.560935
168000 0.564251
169000 0.567662
170000 0.568011
171000 0.569108
172000 0.570899
173000 0.558988
174000 0.560868
175000 0.573549
176000 0.568657
177000 0.578867
178000 0.574993
179000 0.578054
180000 0.567928
181000 0.580244
182000 0.579025
183000 0.577147
184000 0.581845
185000 0.580524
186000 0.581824
187000 0.580782
188000 0.577218
189000 0.582437
190000 0.583001
191000 0.591919
192000 0.587398
193000 0.587985
194000 0.599292
195000 0.582023
196000 0.59661
197000 0.588711
198000 0.591539
199000 0.605884
200000 0.605253
201000 0.608572
202000 0.608139
203000 0.614106
204000 0.603306
205000 0.599656
206000 0.613628
207000 0.609384
208000 0.613017
209000 0.602835
210000 0.609477
211000 0.607688
212000 0.61007
213000 0.616318
214000 0.611022
215000 0.617647
216000 0.616125
217000 0.623323
218000 0.619975
219000 0.619848
220000 0.622238
221000 0.624149
222000 0.623118
223000 0.635376
224000 0.633749
225000 0.634876
226000 0.633069
227000 0.624039
228000 0.634948
229000 0.641418
230000 0.636349
231000 0.63539
232000 0.636495
233000 0.646174
234000 0.640749
235000 0.639654
236000 0.640544
237000 0.63889
238000 0.649819
239000 0.637379
240000 0.646455
241000 0.650937
242000 0.660819
243000 0.649378
244000 0.641954
245000 0.65468
246000 0.656488
247000 0.658564
248000 0.652554
249000 0.660379
250000 0.660493
251000 0.657344
252000 0.658675
253000 0.657802
254000 0.663996
255000 0.658353
256000 0.667594
257000 0.667293
258000 0.66808
259000 0.669342
260000 0.66992
261000 0.67189
262000 0.67224
263000 0.662264
264000 0.674917
265000 0.661372
266000 0.665698
267000 0.672646
268000 0.674121
269000 0.673431
270000 0.67259
271000 0.673753
272000 0.678418
273000 0.689581
274000 0.682392
275000 0.697506
276000 0.681223
277000 0.688556
278000 0.703433
279000 0.687123
280000 0.683946
281000 0.694805
282000 0.691282
283000 0.696029
284000 0.697774
285000 0.692316
286000 0.69747
287000 0.701392
288000 0.695743
289000 0.70017
290000 0.70241
291000 0.706591
292000 0.704635
293000 0.707142
294000 0.714439
295000 0.709752
296000 0.714333
297000 0.709541
298000 0.709164
299000 0.706652
300000 0.705444
301000 0.708751
302000 0.709204
303000 0.714773
304000 0.707443
305000 0.722559
306000 0.712769
307000 0.727023
308000 0.719732
309000 0.712756
310000 0.716843
311000 0.711471
312000 0.717666
313000 0.705046
314000 0.716424
315000 0.722704
316000 0.725733
317000 0.721383
318000 0.723221
319000 0.722061
320000 0.72905
321000 0.729808
322000 0.727013
323000 0.724196
324000 0.722848
325000 0.716452
326000 0.733387
327000 0.724223
328000 0.731603
329000 0.725445
330000 0.734926
331000 0.729317
332000 0.737679
333000 0.739286
334000 0.735908
335000 0.748506
336000 0.737927
337000 0.729985
338000 0.73882
339000 0.742897
340000 0.735605
341000 0.747243
342000 0.748006
343000 0.727073
344000 0.739019
345000 0.739555
346000 0.744916
347000 0.742866
348000 0.742982
349000 0.74392
350000 0.747764
351000 0.741256
352000 0.745391
353000 0.738671
354000 0.742488
355000 0.740104
356000 0.744396
357000 0.752329
358000 0.754683
359000 0.753537
360000 0.74641
361000 0.751853
362000 0.754339
363000 0.754839
364000 0.756608
365000 0.752922
366000 0.750584
367000 0.753345
368000 0.752177
369000 0.750298
370000 0.767772
371000 0.753097
372000 0.758927
373000 0.755558
374000 0.757062
375000 0.767494
376000 0.767666
377000 0.773162
378000 0.770237
379000 0.76814
380000 0.770579
381000 0.762609
382000 0.771513
383000 0.767915
384000 0.777737
385000 0.776364
386000 0.784416
387000 0.779677
388000 0.772478
389000 0.779943
390000 0.779164
391000 0.778566
392000 0.777445
393000 0.788631
394000 0.78509
395000 0.779423
396000 0.790078
397000 0.786728
398000 0.769821
399000 0.783478
400000 0.792906
401000 0.789617
402000 0.777604
403000 0.774532
404000 0.789084
405000 0.783456
406000 0.783622
407000 0.785029
408000 0.782424
409000 0.780554
410000 0.78434
411000 0.798152
412000 0.790342
413000 0.795089
414000 0.791731
415000 0.796105
416000 0.787469
417000 0.79718
418000 0.799278
419000 0.790317
420000 0.795411
421000 0.794042
422000 0.800873
423000 0.803798
424000 0.806464
425000 0.799948
426000 0.801289
427000 0.800313
428000 0.80143
429000 0.808085
430000 0.805855
431000 0.805102
432000 0.800468
433000 0.803872
434000 0.796571
435000 0.81765
436000 0.796927
437000 0.806644
438000 0.811603
439000 0.79858
440000 0.812635
441000 0.813834
442000 0.81493
443000 0.812199
444000 0.821113
445000 0.822468
446000 0.812723
447000 0.815824
448000 0.81987
449000 0.826569
450000 0.822973
451000 0.824079
452000 0.825264
453000 0.813656
454000 0.824996
455000 0.824666
456000 0.836447
457000 0.823691
458000 0.823236
459000 0.820759
460000 0.826752
461000 0.82953
462000 0.829361
463000 0.83638
464000 0.837907
465000 0.834046
466000 0.84262
467000 0.846669
468000 0.833963
469000 0.827572
470000 0.841444
471000 0.840662
472000 0.836684
473000 0.8425
474000 0.839587
475000 0.846921
476000 0.833
477000 0.836337
478000 0.836819
479000 0.841395
480000 0.84128
481000 0.842187
482000 0.845135
483000 0.837373
484000 0.844038
485000 0.841131
486000 0.837668
487000 0.843136
488000 0.838771
489000 0.840519
490000 0.838056
491000 0.84556
492000 0.836837
493000 0.848481
494000 0.850656
495000 0.845903
496000 0.853377
497000 0.852671
498000 0.853575
499000 0.846572
500000 0.852009
501000 0.855275
502000 0.849485
503000 0.857763
504000 0.859417
505000 0.855899
506000 0.860593
507000 0.854993
508000 0.843319
509000 0.858094
510000 0.855819
511000 0.851398
512000 0.85601
513000 0.85389
514000 0.87262
515000 0.864104
516000 0.872836
517000 0.867404
518000 0.867578
519000 0.869363
520000 0.859567
521000 0.867277
522000 0.871235
523000 0.875175
524000 0.879456
525000 0.869134
526000 0.865551
527000 0.873984
528000 0.868865
529000 0.88504
530000 0.884151
531000 0.876278
532000 0.889458
533000 0.877046
534000 0.884781
535000 0.888825
536000 0.878525
537000 0.884933
538000 0.881547
539000 0.87552
540000 0.884716
541000 0.883705
542000 0.881109
543000 0.8836
544000 0.883842
545000 0.878084
546000 0.881965
547000 0.885337
548000 0.87961
549000 0.887921
550000 0.893337
551000 0.881467
552000 0.887564
553000 0.889163
554000 0.890438
555000 0.885479
556000 0.88967
557000 0.885974
558000 0.90329
559000 0.882116
560000 0.885874
561000 0.893708
562000 0.89835
563000 0.901771
564000 0.899466
565000 0.892106
566000 0.896224
567000 0.897088
568000 0.903154
569000 0.902074
570000 0.891874
571000 0.90398
572000 0.905641
573000 0.904767
574000 0.899126
575000 0.903108
576000 0.898723
577000 0.905
578000 0.901019
579000 0.909246
580000 0.904016
581000 0.898878
582000 0.919197
583000 0.904673
584000 0.910773
585000 0.900707
586000 0.907017
587000 0.905285
588000 0.905317
589000 0.915583
590000 0.903516
591000 0.90835
592000 0.90716
593000 0.915984
594000 0.912499
595000 0.920969
596000 0.908615
597000 0.906415
598000 0.924862
599000 0.915191
600000 0.922904
601000 0.912461
602000 0.924255
603000 0.925768
604000 0.928219
605000 0.919657
606000 0.924368
607000 0.923871
608000 0.921396
609000 0.931231
610000 0.921695
611000 0.929524
612000 0.935696
613000 0.926446
614000 0.927724
615000 0.923365
616000 0.926337
617000 0.919266
618000 0.922499
619000 0.91896
620000 0.929697
621000 0.925187
622000 0.918002
623000 0.927575
624000 0.914951
625000 0.915965
626000 0.928647
627000 0.931522
628000 0.922936
629000 0.919362
630000 0.928988
631000 0.921836
632000 0.927278
633000 0.929996
634000 0.921209
635000 0.927408
636000 0.924353
637000 0.924087
638000 0.91904
639000 0.934926
640000 0.930569
641000 0.940373
642000 0.92625
643000 0.930648
644000 0.930885
645000 0.935476
646000 0.93449
647000 0.92797
648000 0.926713
649000 0.928795
650000 0.93467
651000 0.928204
652000 0.932163
653000 0.944808
654000 0.929555
655000 0.935779
656000 0.935852
657000 0.941346
658000 0.939217
659000 0.946276
660000 0.934427
661000 0.944628
662000 0.949702
663000 0.940562
664000 0.948569
665000 0.95177
666000 0.941608
667000 0.963427
668000 0.942078
669000 0.955595
670000 0.948816
671000 0.945785
672000 0.958447
673000 0.948012
674000 0.947149
675000 0.954623
676000 0.954549
677000 0.954694
678000 0.955399
679000 0.954602
680000 0.953265
681000 0.953339
682000 0.959335
683000 0.960534
684000 0.954823
685000 0.949203
686000 0.966102
687000 0.959223
688000 0.973764
689000 0.961438
690000 0.959684
691000 0.966951
692000 0.952916
693000 0.958055
694000 0.961655
695000 0.957657
696000 0.970259
697000 0.968633
698000 0.968509
699000 0.958825
700000 0.974116
701000 0.972773
702000 0.960855
703000 0.970187
704000 0.964849
705000 0.966014
706000 0.969056
707000 0.96369
708000 0.974562
709000 0.975593
710000 0.97601
711000 0.966234
712000 0.970022
713000 0.968393
714000 0.969293
715000 0.973393
716000 0.966147
717000 0.970968
718000 0.969367
719000 0.965684
720000 0.965533
721000 0.967221
722000 0.976296
723000 0.977291
724000 0.971727
725000 0.977876
726000 0.980504
727000 0.985784
728000 0.984185
729000 0.981803
730000 0.980536
731000 0.981759
732000 0.984677
733000 0.973429
734000 0.991973
735000 0.986417
736000 0.986504
737000 0.982947
738000 0.977608
739000 0.985857
740000 0.991603
741000 0.98716
742000 0.98416
743000 0.995553
744000 0.993844
745000 0.987334
746000 0.992359
747000 0.978824
748000 0.984117
749000 0.995971
750000 1.00013
751000 0.990882
752000 0.995947
753000 0.995804
754000 1.00034
755000 0.98782
756000 0.992697
757000 0.989573
758000 1.00639
759000 1.00702
760000 0.997097
761000 1.0045
762000 1.0025
763000 0.997941
764000 0.998864
765000 1.00554
766000 1.00238
767000 0.997617
768000 1.00149
769000 1.00407
770000 1.01003
771000 1.0075
772000 1.01451
773000 1.00578
774000 1.0131
