# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 2.40293e-31
101000 0.419779
102000 0.409225
103000 0.418932
104000 0.425807
105000 0.434087
106000 0.443418
107000 0.453471
108000 0.458407
109000 0.463688
110000 0.478203
111000 0.471876
112000 0.47831
113000 0.488108
114000 0.489753
115000 0.489203
116000 0.513974
117000 0.504052
118000 0.515218
119000 0.512087
120000 0.524553
121000 0.521242
122000 0.524218
123000 0.542169
124000 0.535097
125000 0.548872
126000 0.53744
127000 0.546805
128000 0.545151
129000 0.549558
130000 0.557944
131000 0.555473
132000 0.56994
133000 0.569585
134000 0.583159
135000 0.583433
136000 0.592112
137000 0.602703
138000 0.6132
139000 0.607813
140000 0.614727
141000 0.613497
142000 0.607294
143000 0.618238
144000 0.616488
145000 0.623689
146000 0.621576
147000 0.63028
148000 0.628764
149000 0.628748
150000 0.632571
151000 0.62603
152000 0.630862
153000 0.645834
154000 0.645091
155000 0.655174
156000 0.654521
157000 0.669694
158000 0.662386
159000 0.67057
160000 0.672426
161000 0.667128
162000 0.675186
163000 0.676003
164000 0.678552
165000 0.696619
166000 0.682293
167000 0.700982
168000 0.696065
169000 0.691914
170000 0.692109
171000 0.703342
172000 0.691547
173000 0.704287
174000 0.717934
175000 0.706452
176000 0.710879
177000 0.711699
178000 0.71956
179000 0.717219
180000 0.719798
181000 0.709924
182000 0.730115
183000 0.736096
184000 0.737278
185000 0.751148
186000 0.745964
187000 0.73315
188000 0.76151
189000 0.754496
190000 0.753452
191000 0.77116
192000 0.769608
193000 0.75937
194000 0.763132
195000 0.776725
196000 0.777223
197000 0.789598
198000 0.784149
199000 0.783428
200000 0.791343
201000 0.79836
202000 0.795856
203000 0.810524
204000 0.807696
205000 0.794185
206000 0.811048
207000 0.808512
208000 0.807703
209000 0.810406
210000 0.815765
211000 0.81467
212000 0.818771
213000 0.810572
214000 0.8279
215000 0.825341
216000 0.83073
217000 0.836073
218000 0.825828
219000 0.840562
220000 0.831909
221000 0.854895
222000 0.849005
223000 0.855736
224000 0.841457
225000 0.856909
226000 0.863269
227000 0.8748
228000 0.857443
229000 0.865053
230000 0.865881
231000 0.861975
232000 0.871249
233000 0.86944
234000 0.869547
235000 0.873144
236000 0.870377
237000 0.872327
238000 0.891978
239000 0.881275
240000 0.878752
241000 0.878233
242000 0.877399
243000 0.883378
244000 0.890386
245000 0.894882
246000 0.896393
247000 0.910334
248000 0.907352
249000 0.911408
250000 0.918667
251000 0.915407
252000 0.918353
253000 0.91574
254000 0.922666
255000 0.928675
256000 0.935203
257000 0.934101
258000 0.951463
259000 0.933974
260000 0.948917
261000 0.952076
262000 0.948906
263000 0.951207
264000 0.962305
265000 0.953348
266000 0.971412
267000 0.970469
268000 0.966143
269000 0.956935
270000 0.969475
271000 0.967495
272000 0.963386
273000 0.960699
274000 0.967766
275000 0.990146
276000 1.00339
277000 0.998497
278000 1.00232
279000 0.990231
280000 1.00102
281000 0.996323
282000 0.998222
283000 1.02274
284000 0.997647
285000 1.02463
286000 1.00571
287000 1.01985
288000 1.01211
289000 1.02319
290000 1.03333
291000 1.02269
292000 1.01848
293000 1.04251
294000 1.01556
295000 1.03034
296000 1.03325
297000 1.0425
298000 1.05233
299000 1.04852
300000 1.04845
301000 1.04472
302000 1.04606
303000 1.04551
304000 1.05552
305000 1.06492
306000 1.0733
307000 1.06639
308000 1.07128
309000 1.07656
310000 1.07682
311000 1.09741
312000 1.08544
313000 1.08474
314000 1.07431
315000 1.08636
316000 1.09474
317000 1.09312
318000 1.08654
319000 1.10162
320000 1.09748
321000 1.08041
322000 1.10116
323000 1.09608
324000 1.10103
325000 1.10109
326000 1.11073
327000 1.09631
328000 1.10737
329000 1.11804
330000 1.10674
331000 1.12853
332000 1.13088
333000 1.13615
334000 1.1254
335000 1.12639
336000 1.1349
337000 1.14663
338000 1.12423
339000 1.13832
340000 1.12911
341000 1.14636
342000 1.14774
343000 1.1369
344000 1.15637
345000 1.1544
346000 1.14598
347000 1.16212
348000 1.16713
349000 1.16594
350000 1.17788
351000 1.18135
352000 1.1993
353000 1.19976
354000 1.20405
355000 1.20942
356000 1.20457
357000 1.19325
358000 1.21819
359000 1.22333
360000 1.22158
361000 1.22515
362000 1.21896
363000 1.2386
364000 1.23665
365000 1.2469
366000 1.24206
367000 1.25767
368000 1.25259
369000 1.26089
370000 1.24324
371000 1.24392
372000 1.25538
373000 1.26076
374000 1.27692
375000 1.2677
376000 1.27388
377000 1.26384
378000 1.26896
379000 1.25351
380000 1.27135
381000 1.27073
382000 1.26839
383000 1.27267
384000 1.27728
385000 1.2767
386000 1.29698
387000 1.29327
388000 1.2693
389000 1.29174
390000 1.29267
391000 1.28331
392000 1.2895
393000 1.28046
394000 1.28438
395000 1.28121
396000 1.28649
397000 1.27454
398000 1.28959
399000 1.30145
400000 1.29043
401000 1.29994
402000 1.30233
403000 1.29819
404000 1.29328
405000 1.3097
406000 1.2903
407000 1.30958
408000 1.31938
409000 1.32448
410000 1.31851
411000 1.31306
412000 1.3304
413000 1.31202
414000 1.32247
415000 1.32863
416000 1.33289
417000 1.32067
418000 1.33792
419000 1.3283
420000 1.34629
421000 1.34481
422000 1.34104
423000 1.34188
424000 1.35576
425000 1.34725
426000 1.3433
427000 1.35919
428000 1.35014
429000 1.34262
430000 1.35988
