# Time-averaged data for fix oxidemymsdt
# TimeStep c_oxidemsd[4]
100000 5.04871e-29
101000 0.10694
102000 0.105598
103000 0.102988
104000 0.106966
105000 0.109066
106000 0.105673
107000 0.111661
108000 0.11218
109000 0.106557
110000 0.107496
111000 0.107762
112000 0.110105
113000 0.105008
114000 0.110043
115000 0.103404
116000 0.106344
117000 0.107448
118000 0.104534
119000 0.103404
120000 0.109479
121000 0.107207
122000 0.108662
123000 0.107499
124000 0.107127
125000 0.107233
126000 0.111644
127000 0.111406
128000 0.107515
129000 0.110834
130000 0.109882
131000 0.107708
132000 0.110413
133000 0.110143
134000 0.109622
135000 0.109442
136000 0.107163
137000 0.109997
138000 0.109927
139000 0.105674
140000 0.107186
141000 0.10999
142000 0.106039
143000 0.11106
144000 0.113919
145000 0.11333
146000 0.110341
147000 0.113491
148000 0.111223
149000 0.109642
150000 0.105586
151000 0.109575
152000 0.109544
153000 0.110904
154000 0.106938
155000 0.105509
156000 0.1084
157000 0.105703
158000 0.109889
159000 0.109408
160000 0.107487
161000 0.108267
162000 0.109567
163000 0.110677
164000 0.109464
165000 0.110507
166000 0.107801
167000 0.107541
168000 0.108688
169000 0.10847
170000 0.109094
171000 0.109163
172000 0.113838
173000 0.107304
174000 0.108102
175000 0.109127
176000 0.107248
177000 0.111062
178000 0.108867
179000 0.109551
180000 0.110887
181000 0.11128
182000 0.109277
183000 0.110494
184000 0.111756
185000 0.109951
186000 0.11256
187000 0.108281
188000 0.108272
189000 0.111473
190000 0.108204
191000 0.107588
192000 0.109136
193000 0.109922
194000 0.109109
195000 0.109217
196000 0.107395
197000 0.106065
198000 0.110204
199000 0.106642
200000 0.109093
201000 0.105236
202000 0.111558
203000 0.107471
204000 0.108816
205000 0.109218
206000 0.109281
207000 0.107503
208000 0.108506
209000 0.107395
210000 0.111683
211000 0.107891
212000 0.106895
213000 0.109238
214000 0.108672
215000 0.108342
216000 0.108043
217000 0.112741
218000 0.106702
219000 0.111127
220000 0.110724
221000 0.108574
222000 0.106935
223000 0.112163
224000 0.108185
225000 0.109801
226000 0.107347
227000 0.107574
228000 0.110221
229000 0.111391
230000 0.108358
231000 0.111612
232000 0.108227
233000 0.10945
234000 0.107476
235000 0.107714
236000 0.108729
237000 0.107987
238000 0.107991
239000 0.105818
240000 0.107886
241000 0.107459
242000 0.109449
243000 0.105196
244000 0.111774
245000 0.106738
246000 0.114658
247000 0.110176
248000 0.112618
249000 0.106703
250000 0.110935
251000 0.108393
252000 0.11456
253000 0.107705
254000 0.111179
255000 0.104021
256000 0.110281
257000 0.107705
258000 0.108022
259000 0.105038
260000 0.109556
261000 0.109765
262000 0.107836
263000 0.111601
264000 0.106736
265000 0.108365
266000 0.110761
267000 0.109393
268000 0.107281
269000 0.107426
270000 0.108968
271000 0.108651
272000 0.109185
273000 0.109184
274000 0.107111
275000 0.110125
276000 0.109341
277000 0.108102
278000 0.10732
279000 0.10819
280000 0.105148
281000 0.109498
282000 0.106936
283000 0.106428
284000 0.107084
285000 0.109804
286000 0.106266
287000 0.105943
288000 0.108895
289000 0.107689
290000 0.107941
291000 0.107976
292000 0.106756
293000 0.107647
294000 0.112414
295000 0.106807
296000 0.107696
297000 0.106997
298000 0.109161
299000 0.108249
300000 0.112307
301000 0.106189
302000 0.112245
303000 0.106787
304000 0.111066
305000 0.106577
306000 0.107075
307000 0.107611
308000 0.111989
309000 0.111412
310000 0.108347
311000 0.109622
312000 0.109043
313000 0.113038
314000 0.107083
315000 0.111967
316000 0.109603
317000 0.110195
318000 0.108155
319000 0.108867
320000 0.106435
321000 0.108733
322000 0.110717
323000 0.109183
324000 0.110613
325000 0.11069
326000 0.10925
327000 0.105293
328000 0.108153
329000 0.106785
330000 0.106822
331000 0.104782
332000 0.109891
333000 0.105487
334000 0.108571
335000 0.107575
336000 0.107342
337000 0.106545
338000 0.109585
339000 0.108954
340000 0.111078
341000 0.106934
342000 0.107436
343000 0.111417
344000 0.104358
345000 0.108108
346000 0.105545
347000 0.10499
348000 0.111568
349000 0.107376
350000 0.104384
351000 0.110548
352000 0.108092
353000 0.10883
354000 0.110784
355000 0.107158
356000 0.10766
357000 0.112426
358000 0.106993
359000 0.109569
360000 0.109297
361000 0.107723
362000 0.111251
363000 0.113174
364000 0.109544
365000 0.109362
366000 0.108564
367000 0.110368
368000 0.110516
369000 0.109613
370000 0.1128
371000 0.112768
372000 0.113607
373000 0.111979
374000 0.114279
375000 0.106253
376000 0.110986
377000 0.10622
378000 0.108175
379000 0.113194
380000 0.108982
381000 0.110747
382000 0.111968
383000 0.10892
384000 0.110129
385000 0.112695
386000 0.108803
387000 0.114506
388000 0.111949
389000 0.1082
390000 0.110765
391000 0.112108
392000 0.106414
393000 0.108598
394000 0.112396
395000 0.107801
396000 0.106927
397000 0.108195
398000 0.108582
399000 0.108301
400000 0.110894
401000 0.107638
402000 0.109954
403000 0.108768
404000 0.109524
405000 0.112123
406000 0.108683
407000 0.11045
408000 0.109713
409000 0.110557
410000 0.113059
411000 0.108296
412000 0.112173
413000 0.110897
414000 0.111699
415000 0.106675
416000 0.112509
417000 0.106827
418000 0.111446
419000 0.111458
420000 0.106926
421000 0.108518
422000 0.108436
423000 0.109044
424000 0.111617
425000 0.114019
426000 0.109701
427000 0.112608
428000 0.112528
429000 0.110609
430000 0.108011
431000 0.108441
432000 0.109278
433000 0.112078
434000 0.106076
435000 0.109782
436000 0.106547
437000 0.112747
438000 0.106945
439000 0.111905
440000 0.109177
441000 0.105332
442000 0.109755
443000 0.110029
444000 0.109389
445000 0.110541
446000 0.11196
447000 0.108382
448000 0.107719
449000 0.10601
450000 0.111585
451000 0.10809
452000 0.111659
453000 0.108108
454000 0.109433
455000 0.104955
456000 0.110476
457000 0.108567
458000 0.111055
459000 0.110464
460000 0.107989
461000 0.109613
462000 0.112144
463000 0.108883
464000 0.110498
465000 0.107549
466000 0.107428
467000 0.10831
468000 0.108524
469000 0.109007
470000 0.108495
471000 0.108999
472000 0.109226
473000 0.107361
474000 0.10598
475000 0.108489
476000 0.108357
477000 0.10817
478000 0.106754
479000 0.107817
480000 0.108422
481000 0.105314
482000 0.105566
483000 0.107959
484000 0.109365
485000 0.108354
486000 0.110022
487000 0.110202
488000 0.107018
489000 0.109608
490000 0.111064
491000 0.106094
492000 0.106849
493000 0.107148
494000 0.108006
495000 0.107327
496000 0.107461
497000 0.113136
498000 0.111735
499000 0.106555
500000 0.11314
501000 0.110824
502000 0.108739
503000 0.111426
504000 0.112193
505000 0.110541
506000 0.109966
507000 0.110143
508000 0.108047
509000 0.109032
510000 0.111353
511000 0.104308
512000 0.111238
513000 0.108645
514000 0.107747
515000 0.108496
516000 0.109604
517000 0.106242
518000 0.108241
519000 0.109353
520000 0.107884
521000 0.107882
522000 0.106715
523000 0.109853
524000 0.106595
525000 0.110473
526000 0.109482
527000 0.110976
528000 0.109119
529000 0.109841
530000 0.109452
531000 0.108875
532000 0.109057
533000 0.10807
534000 0.110368
535000 0.108919
536000 0.106349
537000 0.108758
538000 0.108634
539000 0.10657
540000 0.110668
541000 0.111424
542000 0.110013
543000 0.108562
544000 0.110796
545000 0.108261
546000 0.108667
547000 0.105677
548000 0.109677
549000 0.108444
550000 0.106525
551000 0.111173
552000 0.106683
553000 0.106804
554000 0.109543
555000 0.105548
556000 0.10701
557000 0.108587
558000 0.107255
559000 0.108293
560000 0.107335
561000 0.109003
562000 0.110326
563000 0.107415
564000 0.111127
565000 0.107092
566000 0.108324
567000 0.109435
568000 0.108464
569000 0.106556
570000 0.110625
571000 0.107437
572000 0.106711
573000 0.108297
574000 0.105993
575000 0.108637
576000 0.10937
577000 0.10971
578000 0.105627
579000 0.111468
580000 0.108066
581000 0.110598
582000 0.107032
583000 0.108696
584000 0.106386
585000 0.10931
586000 0.109077
587000 0.108555
588000 0.106677
589000 0.110586
590000 0.110561
591000 0.108423
592000 0.111028
593000 0.10567
594000 0.108372
595000 0.110671
596000 0.109635
597000 0.103069
598000 0.111006
599000 0.109451
600000 0.107287
601000 0.104446
602000 0.108479
603000 0.108664
604000 0.111648
605000 0.110836
606000 0.109999
607000 0.10986
608000 0.108262
609000 0.111321
610000 0.105644
611000 0.107429
612000 0.108284
613000 0.107806
614000 0.108967
615000 0.107531
616000 0.107544
617000 0.109125
618000 0.107922
619000 0.110262
620000 0.106862
621000 0.110235
622000 0.108496
623000 0.105936
624000 0.108911
625000 0.107825
626000 0.107009
627000 0.110646
628000 0.108734
629000 0.108594
630000 0.110218
631000 0.108124
632000 0.106029
633000 0.109655
634000 0.108939
635000 0.106421
636000 0.108743
637000 0.107754
638000 0.107502
639000 0.107546
640000 0.108052
641000 0.110278
642000 0.105889
643000 0.108961
644000 0.106616
645000 0.109467
646000 0.106566
647000 0.105051
648000 0.110197
649000 0.107493
650000 0.105476
651000 0.111277
652000 0.109394
653000 0.108704
654000 0.110434
655000 0.108572
656000 0.107879
657000 0.108863
658000 0.108097
659000 0.106428
660000 0.106833
661000 0.104232
662000 0.110493
663000 0.106954
664000 0.108262
665000 0.110097
666000 0.107331
667000 0.10816
668000 0.111211
669000 0.105587
670000 0.108087
671000 0.108668
672000 0.107384
673000 0.111919
674000 0.106354
675000 0.107293
676000 0.110808
677000 0.109653
678000 0.10473
679000 0.110711
680000 0.106693
681000 0.107838
682000 0.108334
683000 0.108937
684000 0.104856
685000 0.113535
686000 0.107778
687000 0.10961
688000 0.108586
689000 0.107242
690000 0.110246
691000 0.110373
692000 0.108644
693000 0.110846
694000 0.111531
695000 0.111646
696000 0.109503
697000 0.111925
698000 0.112506
699000 0.110868
700000 0.110234
701000 0.108261
702000 0.115069
703000 0.108975
704000 0.113434
705000 0.107901
706000 0.113202
707000 0.107283
708000 0.112265
709000 0.108696
710000 0.107273
711000 0.112739
712000 0.108678
713000 0.115582
714000 0.110154
715000 0.113301
716000 0.109147
717000 0.110812
718000 0.107918
719000 0.106759
720000 0.10792
721000 0.112929
722000 0.108928
723000 0.112856
724000 0.10652
725000 0.111764
726000 0.108296
727000 0.109564
728000 0.107861
729000 0.108703
730000 0.105357
731000 0.107682
732000 0.107869
733000 0.108607
734000 0.111086
735000 0.108249
