# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.13176e-29
101000 0.631473
102000 0.723421
103000 0.778553
104000 0.843783
105000 0.945598
106000 1.02867
107000 1.06453
108000 1.16303
109000 1.21135
110000 1.28295
111000 1.34755
112000 1.39431
113000 1.44704
114000 1.47609
115000 1.54948
116000 1.605
117000 1.64359
118000 1.70802
119000 1.75366
120000 1.79447
121000 1.87406
122000 1.90127
123000 1.96623
124000 2.02408
125000 2.08978
126000 2.0867
127000 2.14803
128000 2.20842
129000 2.2838
130000 2.31571
131000 2.37727
132000 2.39495
133000 2.39905
134000 2.44594
135000 2.54902
136000 2.56278
137000 2.60243
138000 2.64805
139000 2.71742
140000 2.76609
141000 2.813
142000 2.8373
143000 2.88905
144000 2.93498
145000 2.96081
146000 3.01501
147000 3.02642
148000 3.06229
149000 3.124
150000 3.1691
151000 3.2382
152000 3.23477
153000 3.29211
154000 3.33748
155000 3.39222
156000 3.39758
157000 3.40432
158000 3.47455
159000 3.4868
160000 3.51673
161000 3.57171
162000 3.61773
163000 3.6539
164000 3.66412
165000 3.69627
166000 3.76265
167000 3.81303
168000 3.86613
169000 3.89444
170000 3.92203
171000 3.95891
172000 4.00975
173000 4.02028
174000 4.02836
175000 4.08532
176000 4.1734
177000 4.18704
178000 4.2338
179000 4.25044
180000 4.30209
181000 4.33064
182000 4.37702
183000 4.37464
184000 4.42606
185000 4.46499
186000 4.52429
187000 4.59487
188000 4.5629
189000 4.61486
190000 4.63741
191000 4.64516
192000 4.69232
193000 4.77731
194000 4.74148
195000 4.79952
196000 4.78064
197000 4.81419
198000 4.84845
199000 4.91919
200000 4.8978
201000 4.93957
202000 4.9771
203000 5.01671
204000 5.0336
205000 5.069
206000 5.09199
207000 5.09451
208000 5.14413
209000 5.15812
210000 5.1962
211000 5.2324
212000 5.30831
213000 5.31358
214000 5.34703
215000 5.40927
216000 5.47232
217000 5.48856
218000 5.52687
219000 5.56834
220000 5.63903
221000 5.6445
222000 5.62958
223000 5.70835
224000 5.7424
225000 5.80104
226000 5.77788
227000 5.81969
228000 5.92608
229000 5.92955
230000 5.95647
231000 6.02113
232000 6.08992
233000 6.08805
234000 6.10412
235000 6.14916
236000 6.20501
237000 6.26561
238000 6.28662
239000 6.37751
240000 6.38196
241000 6.43036
242000 6.43673
243000 6.49144
244000 6.49046
245000 6.55686
246000 6.56427
247000 6.60286
248000 6.7079
249000 6.71894
250000 6.75915
251000 6.80533
252000 6.85018
253000 6.87013
254000 6.8819
255000 6.96724
256000 6.99466
257000 7.02587
258000 7.08944
259000 7.10931
260000 7.12723
261000 7.16795
262000 7.20353
263000 7.21053
264000 7.26876
265000 7.2822
266000 7.30044
267000 7.35622
268000 7.38607
269000 7.47117
270000 7.47924
271000 7.48263
272000 7.53488
273000 7.56123
274000 7.55109
275000 7.57467
276000 7.65948
277000 7.68727
278000 7.69868
279000 7.69635
280000 7.7773
281000 7.80082
282000 7.824
283000 7.82411
284000 7.90689
285000 7.88859
286000 7.97203
287000 8.03682
288000 8.03892
289000 8.05684
290000 8.15444
291000 8.1405
292000 8.16638
293000 8.20092
294000 8.23311
295000 8.21337
296000 8.32001
297000 8.34649
298000 8.29346
299000 8.36328
300000 8.38885
301000 8.44939
302000 8.44218
303000 8.5132
304000 8.5149
305000 8.52058
306000 8.59262
307000 8.63503
308000 8.65817
309000 8.70096
310000 8.76046
311000 8.78466
312000 8.81278
313000 8.7704
314000 8.84054
315000 8.91446
316000 8.90064
317000 8.9643
318000 9.03192
319000 9.04996
320000 9.08075
321000 9.12324
322000 9.1408
323000 9.20429
324000 9.22714
325000 9.28071
326000 9.2143
327000 9.30531
328000 9.33961
329000 9.37918
330000 9.36506
331000 9.43588
332000 9.4987
333000 9.51129
334000 9.47187
335000 9.56325
336000 9.56871
337000 9.56881
338000 9.62119
339000 9.6351
340000 9.70484
341000 9.6988
342000 9.71475
343000 9.81771
344000 9.77092
345000 9.76537
346000 9.81474
347000 9.91199
348000 9.87257
349000 9.91496
350000 9.93005
351000 9.9591
352000 10.0595
353000 10.0433
354000 10.0742
355000 10.063
356000 10.0956
357000 10.1183
358000 10.164
359000 10.2469
360000 10.2076
361000 10.2404
362000 10.2243
363000 10.2988
364000 10.3239
365000 10.388
366000 10.3776
367000 10.4088
368000 10.4138
369000 10.4648
370000 10.4695
371000 10.5529
372000 10.6059
373000 10.5856
374000 10.6629
375000 10.7109
376000 10.7272
377000 10.7402
378000 10.7602
379000 10.8536
380000 10.8413
381000 10.9083
382000 10.9465
383000 10.9248
384000 10.9556
385000 10.9881
386000 11.0093
387000 11.0208
388000 11.0352
389000 11.1179
390000 11.1017
391000 11.1381
392000 11.1076
393000 11.1618
394000 11.2578
395000 11.2862
396000 11.2543
397000 11.3304
398000 11.3757
399000 11.3944
400000 11.4225
401000 11.4705
402000 11.5802
403000 11.534
404000 11.5772
405000 11.5992
406000 11.598
407000 11.6184
408000 11.6483
409000 11.7445
410000 11.758
411000 11.7389
412000 11.7626
413000 11.8169
414000 11.8545
415000 11.8392
416000 11.8866
417000 11.9029
418000 11.8955
419000 11.9756
420000 11.9936
421000 12.0987
422000 12.044
423000 12.0913
424000 12.1036
425000 12.1224
426000 12.1093
427000 12.1292
428000 12.2289
429000 12.2555
430000 12.2954
431000 12.3552
432000 12.4081
433000 12.3456
434000 12.4195
435000 12.5073
436000 12.4373
437000 12.4863
438000 12.5294
439000 12.5465
440000 12.6089
441000 12.5944
442000 12.5691
443000 12.6005
444000 12.6381
445000 12.6501
446000 12.7703
447000 12.7875
448000 12.81
449000 12.8618
450000 12.8811
451000 12.925
452000 12.921
453000 13.0019
454000 12.9892
455000 13.0377
456000 13.0929
457000 13.0839
458000 13.1432
459000 13.1328
460000 13.1413
461000 13.1909
462000 13.2398
463000 13.2346
464000 13.3438
465000 13.3443
466000 13.3068
467000 13.3778
468000 13.3277
469000 13.3755
470000 13.4564
471000 13.4769
472000 13.537
473000 13.5509
474000 13.6086
475000 13.6509
476000 13.6236
477000 13.6636
478000 13.6782
479000 13.7618
480000 13.7022
481000 13.763
482000 13.8793
483000 13.8189
484000 13.8779
485000 13.9346
486000 13.9284
487000 13.9568
488000 14.0559
489000 14.0695
490000 14.0592
491000 14.0956
492000 14.1548
493000 14.1886
494000 14.2154
495000 14.275
496000 14.2942
497000 14.2989
498000 14.3474
499000 14.4425
500000 14.4147
501000 14.4254
502000 14.4288
503000 14.4576
504000 14.5425
505000 14.5291
506000 14.5752
507000 14.6217
508000 14.6431
509000 14.7267
510000 14.7522
511000 14.7701
512000 14.7866
513000 14.8247
514000 14.844
515000 14.919
516000 14.8806
517000 14.8898
518000 14.9391
519000 14.9884
520000 15.0153
521000 15.0289
522000 15.0446
523000 15.0591
524000 15.064
525000 15.1189
526000 15.1501
527000 15.1509
528000 15.1847
529000 15.2186
530000 15.2825
531000 15.3334
532000 15.3278
533000 15.3409
534000 15.4106
535000 15.4023
536000 15.4748
537000 15.4132
538000 15.4672
539000 15.5119
540000 15.5254
541000 15.652
542000 15.6244
543000 15.6304
544000 15.6247
545000 15.6374
546000 15.7008
547000 15.7442
548000 15.7887
549000 15.7738
550000 15.823
551000 15.8733
552000 15.9078
553000 15.9405
554000 15.8577
555000 15.946
556000 16.0476
557000 16.0053
558000 16.0068
559000 16.0758
560000 16.0732
561000 16.1928
562000 16.1475
563000 16.2151
564000 16.2216
565000 16.2222
566000 16.3043
567000 16.3387
568000 16.3331
569000 16.3528
570000 16.4801
571000 16.4358
572000 16.4825
573000 16.5177
574000 16.5353
575000 16.5448
576000 16.6041
577000 16.5945
578000 16.7043
579000 16.7116
580000 16.6952
581000 16.6847
582000 16.7832
583000 16.7679
584000 16.7845
585000 16.8689
586000 16.8643
587000 16.8444
588000 16.9146
589000 16.9826
590000 16.9186
591000 16.9047
592000 16.9358
593000 17.0372
594000 17.0604
595000 17.0981
596000 17.1012
597000 17.1309
598000 17.1855
599000 17.1709
600000 17.2619
601000 17.1656
602000 17.2477
603000 17.2513
604000 17.2283
605000 17.2476
606000 17.3009
607000 17.3838
608000 17.3298
609000 17.3563
610000 17.3307
611000 17.3755
612000 17.3993
613000 17.4208
614000 17.3999
615000 17.4615
616000 17.534
617000 17.4904
618000 17.4982
619000 17.6009
620000 17.5705
621000 17.5987
622000 17.6314
623000 17.7047
624000 17.7213
625000 17.7159
626000 17.7662
627000 17.7786
628000 17.9079
629000 17.8629
630000 17.85
631000 17.8658
632000 17.9175
633000 17.8786
634000 17.9395
635000 18.0042
636000 17.9843
637000 18.0304
638000 18.111
639000 18.139
640000 18.1217
641000 18.1484
642000 18.2325
643000 18.2579
644000 18.1687
645000 18.2056
646000 18.2543
647000 18.275
648000 18.2966
649000 18.3793
650000 18.4267
651000 18.3787
652000 18.4139
653000 18.4305
654000 18.443
655000 18.4314
656000 18.4393
657000 18.493
658000 18.5218
659000 18.5334
660000 18.5516
661000 18.5755
662000 18.6455
663000 18.6403
664000 18.6819
665000 18.6733
666000 18.6791
667000 18.7028
668000 18.6933
669000 18.7672
670000 18.792
671000 18.8503
672000 18.9159
673000 18.9333
674000 18.8573
675000 18.8787
676000 18.9679
677000 19.0498
678000 19.0357
679000 19.052
680000 19.0427
681000 19.0892
682000 19.1462
683000 19.1307
684000 19.153
685000 19.1738
686000 19.1863
687000 19.2942
688000 19.3572
689000 19.3166
690000 19.3773
691000 19.3146
692000 19.3819
693000 19.3868
694000 19.3925
695000 19.4089
696000 19.4609
697000 19.506
698000 19.4435
699000 19.5972
700000 19.5197
701000 19.5749
702000 19.6316
703000 19.6794
704000 19.6487
705000 19.7084
706000 19.7615
707000 19.7447
708000 19.7498
709000 19.7829
710000 19.8229
711000 19.8063
712000 19.7998
713000 19.8531
714000 19.8684
715000 19.8716
716000 19.9872
717000 19.9671
718000 19.9748
719000 20.0235
720000 20.0646
721000 20.1119
722000 20.093
723000 20.1097
724000 20.1116
725000 20.1396
726000 20.1855
727000 20.2339
728000 20.2316
729000 20.2382
730000 20.3299
731000 20.2399
732000 20.2338
733000 20.3303
734000 20.3184
735000 20.3575
736000 20.4038
737000 20.4822
738000 20.4768
739000 20.5099
740000 20.4987
741000 20.5033
742000 20.5527
743000 20.5682
744000 20.6242
745000 20.5404
