# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
100000 4.26335e-31
101000 0.22786
102000 0.243154
103000 0.245738
104000 0.24959
105000 0.250852
106000 0.250967
107000 0.257005
108000 0.253518
109000 0.252762
110000 0.251308
111000 0.25867
112000 0.251877
113000 0.24753
114000 0.251262
115000 0.249363
116000 0.252343
117000 0.253091
118000 0.253721
119000 0.247577
120000 0.252108
121000 0.246922
122000 0.250057
123000 0.246768
124000 0.252965
125000 0.251578
126000 0.248502
127000 0.254817
128000 0.252255
129000 0.247651
130000 0.255508
131000 0.25178
132000 0.256956
133000 0.249383
134000 0.252439
135000 0.253424
136000 0.250344
137000 0.249393
138000 0.251145
139000 0.252605
140000 0.256115
141000 0.25513
142000 0.254266
143000 0.247594
144000 0.251946
145000 0.248207
146000 0.251323
147000 0.24795
148000 0.25022
149000 0.252199
150000 0.247901
151000 0.255552
152000 0.255611
153000 0.248753
154000 0.254162
155000 0.250726
156000 0.253239
157000 0.249973
158000 0.252093
159000 0.252923
160000 0.250345
161000 0.254086
162000 0.249045
163000 0.251913
164000 0.258536
165000 0.25203
166000 0.254192
167000 0.256705
168000 0.252885
169000 0.253847
170000 0.25976
171000 0.245337
172000 0.249152
173000 0.249604
174000 0.248886
175000 0.254932
176000 0.257537
177000 0.2526
178000 0.252965
179000 0.251016
180000 0.252834
181000 0.253066
182000 0.250379
183000 0.251388
184000 0.251747
185000 0.258688
186000 0.259751
187000 0.253394
188000 0.24975
189000 0.252479
190000 0.245667
191000 0.256219
192000 0.250052
193000 0.253145
194000 0.254069
195000 0.250972
196000 0.249619
197000 0.251767
198000 0.25879
199000 0.252076
200000 0.25167
201000 0.248043
202000 0.250901
203000 0.253271
204000 0.249837
205000 0.244639
206000 0.250693
207000 0.252337
208000 0.248573
209000 0.254841
210000 0.250095
211000 0.255122
212000 0.252796
213000 0.246444
214000 0.250499
215000 0.255246
216000 0.254033
217000 0.253034
218000 0.254066
219000 0.248674
220000 0.254132
221000 0.25293
222000 0.25068
223000 0.249084
224000 0.255274
225000 0.249782
226000 0.252126
227000 0.248937
228000 0.24949
229000 0.248008
230000 0.255246
231000 0.251626
232000 0.252061
233000 0.254255
234000 0.254802
235000 0.254471
236000 0.256084
237000 0.257182
238000 0.250489
239000 0.25707
240000 0.249831
241000 0.254446
242000 0.252981
243000 0.252776
244000 0.249972
245000 0.251026
246000 0.25194
247000 0.252573
248000 0.258084
249000 0.252088
250000 0.254407
251000 0.258693
252000 0.260387
253000 0.250164
254000 0.258645
255000 0.254513
256000 0.25262
257000 0.254509
258000 0.255716
259000 0.249771
260000 0.250815
261000 0.252895
262000 0.249117
263000 0.254877
264000 0.254532
265000 0.253278
266000 0.257087
267000 0.253791
268000 0.256475
269000 0.256521
270000 0.254257
271000 0.254045
272000 0.249631
273000 0.250612
274000 0.247735
275000 0.254203
276000 0.250671
277000 0.257826
278000 0.252564
279000 0.255226
280000 0.250336
281000 0.249727
282000 0.25447
283000 0.249776
284000 0.259342
285000 0.251105
286000 0.256651
287000 0.25034
288000 0.25388
289000 0.253201
290000 0.253012
291000 0.250878
292000 0.257566
293000 0.254487
294000 0.255892
295000 0.254132
296000 0.249133
297000 0.252297
298000 0.2473
299000 0.249287
300000 0.256767
301000 0.250808
302000 0.255606
303000 0.256685
304000 0.254125
