# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.51443e-32
101000 0.265602
102000 0.265035
103000 0.259251
104000 0.260807
105000 0.268462
106000 0.26107
107000 0.272078
108000 0.275113
109000 0.268337
110000 0.271593
111000 0.272346
112000 0.271687
113000 0.270028
114000 0.26925
115000 0.267779
116000 0.272114
117000 0.265317
118000 0.272075
119000 0.272812
120000 0.274444
121000 0.279103
122000 0.275011
123000 0.28237
124000 0.281942
125000 0.27856
126000 0.277607
127000 0.286769
128000 0.288988
129000 0.283306
130000 0.289066
131000 0.284469
132000 0.288055
133000 0.285605
134000 0.287166
135000 0.287363
136000 0.291958
137000 0.292407
138000 0.293499
139000 0.29204
140000 0.290776
141000 0.290427
142000 0.295666
143000 0.296201
144000 0.300587
145000 0.296663
146000 0.294323
147000 0.296677
148000 0.296353
149000 0.291246
150000 0.298274
151000 0.303482
152000 0.302204
153000 0.302026
154000 0.302184
155000 0.304082
156000 0.305833
157000 0.300177
158000 0.30311
159000 0.302543
160000 0.307676
161000 0.30231
162000 0.307871
163000 0.302837
164000 0.305664
165000 0.306522
166000 0.305618
167000 0.303346
168000 0.304077
169000 0.306138
170000 0.308402
171000 0.298744
172000 0.303684
173000 0.31046
174000 0.30216
175000 0.307977
176000 0.30713
177000 0.311966
178000 0.308778
179000 0.309491
180000 0.305098
181000 0.304296
182000 0.30923
183000 0.311704
184000 0.305648
185000 0.306463
186000 0.311912
187000 0.306876
188000 0.312636
189000 0.312043
190000 0.309051
191000 0.318526
192000 0.310204
193000 0.323983
194000 0.313644
195000 0.317879
196000 0.314197
197000 0.319661
198000 0.31934
199000 0.315533
200000 0.310923
201000 0.317218
202000 0.315092
203000 0.315906
204000 0.311114
205000 0.311861
206000 0.311355
207000 0.314124
208000 0.315664
209000 0.308181
210000 0.311573
211000 0.313157
212000 0.317047
213000 0.313136
214000 0.310754
215000 0.315197
216000 0.315384
217000 0.318794
218000 0.315896
219000 0.317753
220000 0.313972
221000 0.315273
222000 0.316298
223000 0.316471
224000 0.317078
225000 0.316736
226000 0.317291
227000 0.315696
228000 0.314752
229000 0.315712
230000 0.317956
231000 0.316425
232000 0.328213
233000 0.32514
234000 0.321689
235000 0.321641
236000 0.323394
237000 0.324401
238000 0.324871
239000 0.326742
240000 0.318425
241000 0.330626
242000 0.326244
243000 0.319943
244000 0.325361
245000 0.321552
246000 0.325928
247000 0.329353
248000 0.328302
249000 0.325248
250000 0.329698
251000 0.324451
252000 0.328084
253000 0.323319
254000 0.328819
255000 0.321676
256000 0.319848
257000 0.325199
258000 0.32712
259000 0.326056
260000 0.332481
261000 0.330937
262000 0.327262
263000 0.331764
264000 0.330608
265000 0.331553
266000 0.332831
267000 0.330871
268000 0.329368
269000 0.333326
270000 0.333103
271000 0.329613
272000 0.331076
273000 0.332968
274000 0.336338
275000 0.336871
276000 0.338271
277000 0.341985
278000 0.339521
279000 0.332953
280000 0.34189
281000 0.338741
282000 0.343567
283000 0.342313
284000 0.343401
285000 0.342251
286000 0.340529
287000 0.344347
288000 0.340329
289000 0.341165
290000 0.346744
291000 0.341917
292000 0.342696
293000 0.347155
294000 0.346162
295000 0.344784
296000 0.342677
297000 0.352795
298000 0.344475
299000 0.351763
300000 0.349059
301000 0.350047
302000 0.342608
303000 0.354089
304000 0.347539
305000 0.352388
306000 0.349998
307000 0.352793
308000 0.354709
309000 0.356699
310000 0.353748
311000 0.350818
312000 0.354455
313000 0.350613
314000 0.353286
315000 0.35381
316000 0.357741
317000 0.351068
318000 0.3548
319000 0.355206
320000 0.353563
321000 0.356907
322000 0.357693
323000 0.354663
324000 0.36048
325000 0.356111
326000 0.357078
327000 0.352696
328000 0.364214
329000 0.360125
330000 0.361504
331000 0.360746
332000 0.362043
333000 0.360425
334000 0.35905
335000 0.359591
336000 0.3585
337000 0.360576
338000 0.361748
339000 0.356381
340000 0.363453
341000 0.359309
342000 0.358533
343000 0.363844
344000 0.358047
345000 0.365412
346000 0.361816
347000 0.360251
348000 0.365305
349000 0.36751
350000 0.36347
351000 0.357338
352000 0.364396
353000 0.356988
354000 0.365874
355000 0.365629
356000 0.364695
357000 0.358159
358000 0.358974
359000 0.363268
360000 0.364343
361000 0.355237
362000 0.36278
363000 0.36617
364000 0.360007
365000 0.362759
366000 0.364847
367000 0.36466
368000 0.36093
369000 0.365343
370000 0.360945
371000 0.36207
372000 0.363748
373000 0.37038
374000 0.371753
375000 0.367028
376000 0.370205
377000 0.365312
378000 0.364954
379000 0.364922
380000 0.366016
381000 0.363775
382000 0.366407
383000 0.365035
384000 0.367626
385000 0.370479
386000 0.368588
387000 0.369242
388000 0.370177
389000 0.378513
390000 0.370997
391000 0.369503
392000 0.370994
393000 0.368606
394000 0.374205
395000 0.375392
396000 0.369547
397000 0.371733
398000 0.373354
399000 0.36848
400000 0.371211
401000 0.372045
402000 0.374544
403000 0.376351
404000 0.376286
405000 0.37618
406000 0.379712
407000 0.37286
408000 0.372067
409000 0.374282
410000 0.376794
411000 0.374183
412000 0.378602
413000 0.374057
414000 0.376844
415000 0.376154
416000 0.370642
417000 0.375927
418000 0.372033
419000 0.376876
420000 0.375555
421000 0.379072
422000 0.376364
423000 0.377726
424000 0.378277
425000 0.386395
426000 0.383475
427000 0.380328
428000 0.380274
429000 0.380275
430000 0.378227
431000 0.376282
432000 0.376978
433000 0.381974
434000 0.381456
435000 0.381635
436000 0.384858
437000 0.386298
438000 0.385325
439000 0.387807
440000 0.384485
441000 0.385374
442000 0.385466
443000 0.383998
444000 0.389349
445000 0.38746
446000 0.385776
447000 0.384105
448000 0.391595
449000 0.391452
450000 0.390068
451000 0.389392
452000 0.386016
453000 0.392876
454000 0.389064
455000 0.383146
456000 0.386368
457000 0.39339
458000 0.388189
459000 0.386034
460000 0.386539
461000 0.387703
462000 0.381903
463000 0.39187
464000 0.385229
465000 0.388802
466000 0.391454
467000 0.388377
468000 0.393119
469000 0.393617
470000 0.386782
471000 0.391956
472000 0.389772
473000 0.394488
474000 0.390006
475000 0.392091
476000 0.394591
477000 0.394592
478000 0.390725
479000 0.391341
480000 0.394906
481000 0.388275
482000 0.399933
483000 0.391588
484000 0.390578
485000 0.389616
486000 0.397334
487000 0.387639
488000 0.389959
489000 0.388054
490000 0.387883
491000 0.39224
492000 0.385927
493000 0.385446
494000 0.391644
495000 0.388377
496000 0.394561
497000 0.396008
498000 0.395496
499000 0.395919
500000 0.398516
501000 0.391216
502000 0.396592
503000 0.396153
504000 0.393881
505000 0.396648
506000 0.395147
507000 0.389944
508000 0.393418
509000 0.403283
510000 0.394655
511000 0.395014
512000 0.392128
513000 0.396019
514000 0.394901
515000 0.391859
516000 0.396694
517000 0.394939
518000 0.400718
519000 0.398335
520000 0.397678
521000 0.392817
522000 0.400193
523000 0.392925
524000 0.393726
