# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.07256e-29
101000 0.272719
102000 0.260476
103000 0.26456
104000 0.267879
105000 0.267099
106000 0.269133
107000 0.269965
108000 0.267332
109000 0.266665
110000 0.270756
111000 0.2652
112000 0.268614
113000 0.26221
114000 0.266312
115000 0.269595
116000 0.263892
117000 0.271273
118000 0.263986
119000 0.268008
120000 0.271145
121000 0.271859
122000 0.268905
123000 0.269029
124000 0.265554
125000 0.262175
126000 0.26525
127000 0.262838
128000 0.274981
129000 0.264842
130000 0.264487
131000 0.268891
132000 0.27272
133000 0.267397
134000 0.271792
135000 0.266891
136000 0.267353
137000 0.267625
138000 0.268657
139000 0.275295
140000 0.266448
141000 0.266039
142000 0.275451
143000 0.267645
144000 0.269899
145000 0.270198
146000 0.276811
147000 0.269006
148000 0.272377
149000 0.267318
150000 0.2776
151000 0.273142
152000 0.272931
153000 0.273024
154000 0.272457
155000 0.271891
156000 0.264983
157000 0.276667
158000 0.274263
159000 0.271264
160000 0.271982
161000 0.272188
162000 0.279594
163000 0.272153
164000 0.278417
165000 0.27144
166000 0.274221
167000 0.272371
168000 0.28006
169000 0.276585
170000 0.279466
171000 0.279409
172000 0.273402
173000 0.276175
174000 0.280397
175000 0.276185
176000 0.279052
177000 0.27582
178000 0.283259
179000 0.273131
180000 0.277725
181000 0.276677
182000 0.281511
183000 0.273665
184000 0.280712
185000 0.279998
186000 0.281924
187000 0.279914
188000 0.279156
189000 0.280027
190000 0.272963
191000 0.281288
192000 0.280533
193000 0.281781
194000 0.280286
195000 0.282995
196000 0.274657
197000 0.277989
198000 0.278544
199000 0.275649
200000 0.279544
201000 0.28455
202000 0.277969
203000 0.279938
204000 0.278849
205000 0.277822
206000 0.285752
207000 0.28248
208000 0.279654
209000 0.274975
210000 0.281414
211000 0.281772
212000 0.277884
213000 0.28585
214000 0.282372
215000 0.284767
216000 0.279433
217000 0.28754
218000 0.283402
219000 0.288116
220000 0.285404
221000 0.282633
222000 0.283285
223000 0.281391
224000 0.291296
225000 0.286862
226000 0.285737
227000 0.28156
228000 0.284367
229000 0.28509
230000 0.280939
231000 0.28588
232000 0.279741
233000 0.284871
234000 0.28167
235000 0.284418
236000 0.283704
237000 0.286778
238000 0.28313
239000 0.282776
240000 0.28998
241000 0.283829
242000 0.281949
243000 0.286603
244000 0.284587
245000 0.281637
246000 0.286898
247000 0.285773
248000 0.279763
249000 0.28437
250000 0.282165
251000 0.283064
252000 0.285307
253000 0.2846
254000 0.284592
255000 0.285853
256000 0.28119
257000 0.27973
258000 0.280627
259000 0.285301
260000 0.283294
261000 0.281922
262000 0.284873
263000 0.28091
264000 0.284981
265000 0.280349
266000 0.284924
267000 0.286593
268000 0.284874
269000 0.28571
270000 0.287137
271000 0.28687
272000 0.284994
273000 0.288943
274000 0.283404
275000 0.286586
276000 0.290431
277000 0.28824
278000 0.288408
279000 0.288587
280000 0.285752
281000 0.290459
282000 0.286844
283000 0.287608
284000 0.286557
285000 0.282997
286000 0.291788
287000 0.288589
288000 0.287118
289000 0.289987
290000 0.286249
291000 0.291666
292000 0.283387
293000 0.287207
294000 0.286741
295000 0.28759
296000 0.289891
297000 0.294476
