# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 3.84978e-31
101000 0.266726
102000 0.264899
103000 0.266419
104000 0.26704
105000 0.268075
106000 0.265107
107000 0.272482
108000 0.266024
109000 0.264377
110000 0.264702
111000 0.26786
112000 0.277039
113000 0.271274
114000 0.271981
115000 0.277288
116000 0.277045
117000 0.273596
118000 0.278661
119000 0.275297
120000 0.282187
121000 0.276385
122000 0.279007
123000 0.27573
124000 0.27881
125000 0.269613
126000 0.280851
127000 0.278386
128000 0.272028
129000 0.274808
130000 0.278596
131000 0.280908
132000 0.280137
133000 0.284955
134000 0.285744
135000 0.287431
136000 0.282442
137000 0.284142
138000 0.282303
139000 0.284133
140000 0.28004
141000 0.282771
142000 0.278135
143000 0.283519
144000 0.277911
145000 0.284806
146000 0.281532
147000 0.284908
148000 0.28744
149000 0.285698
150000 0.280147
151000 0.28375
152000 0.284806
153000 0.285322
154000 0.284275
155000 0.289082
156000 0.286589
157000 0.283135
158000 0.290633
159000 0.289437
160000 0.290603
161000 0.289586
162000 0.294815
163000 0.286195
164000 0.294959
165000 0.294585
166000 0.293102
167000 0.293502
168000 0.291775
169000 0.299273
170000 0.302023
171000 0.295618
172000 0.297253
173000 0.29822
174000 0.301858
175000 0.300357
176000 0.303248
177000 0.302243
178000 0.300016
179000 0.306262
180000 0.307186
181000 0.306585
182000 0.305937
183000 0.305385
184000 0.305491
185000 0.308084
186000 0.308662
187000 0.308155
188000 0.308377
189000 0.309611
190000 0.307303
191000 0.30724
192000 0.312663
193000 0.304228
194000 0.312499
195000 0.314198
196000 0.312901
197000 0.314171
198000 0.311782
199000 0.310884
200000 0.310127
201000 0.30764
202000 0.318146
203000 0.311206
204000 0.317092
205000 0.313519
206000 0.316054
207000 0.313589
208000 0.3095
209000 0.307861
210000 0.311361
211000 0.313216
212000 0.3112
213000 0.313477
214000 0.309728
215000 0.311447
216000 0.314586
217000 0.311907
218000 0.315242
219000 0.318636
220000 0.31975
221000 0.323966
222000 0.322115
223000 0.321338
224000 0.322883
225000 0.319279
226000 0.320655
227000 0.316833
228000 0.323197
229000 0.324292
230000 0.322175
231000 0.32244
232000 0.322185
233000 0.327569
234000 0.328269
235000 0.328883
236000 0.322213
237000 0.323908
238000 0.320574
239000 0.33128
240000 0.325517
241000 0.330493
242000 0.330626
243000 0.327129
244000 0.327537
245000 0.329481
246000 0.32885
247000 0.33194
248000 0.333063
249000 0.327021
250000 0.330417
251000 0.334068
252000 0.333835
253000 0.333846
254000 0.330882
255000 0.332462
256000 0.332499
257000 0.334675
258000 0.336849
259000 0.336426
260000 0.33705
261000 0.343937
262000 0.339385
263000 0.343241
264000 0.338982
265000 0.33289
266000 0.337532
267000 0.338608
268000 0.329424
269000 0.339772
270000 0.33581
271000 0.33222
272000 0.33804
273000 0.339298
274000 0.337234
275000 0.342383
276000 0.337164
277000 0.340514
278000 0.350608
279000 0.340147
280000 0.343622
281000 0.346029
282000 0.341517
283000 0.339619
284000 0.351319
285000 0.336088
286000 0.34283
287000 0.346004
288000 0.342772
289000 0.341739
290000 0.34918
291000 0.344555
292000 0.3486
293000 0.350864
294000 0.351706
295000 0.346865
296000 0.351618
297000 0.351808
298000 0.346232
