# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 3.20117e-31
101000 0.31651
102000 0.323668
103000 0.318326
104000 0.32649
105000 0.32755
106000 0.337605
107000 0.336888
108000 0.338674
109000 0.335965
110000 0.348023
111000 0.339707
112000 0.343754
113000 0.35016
114000 0.356402
115000 0.348995
116000 0.351092
117000 0.351601
118000 0.356763
119000 0.364694
120000 0.362937
121000 0.359071
122000 0.355342
123000 0.361755
124000 0.361776
125000 0.368909
126000 0.369755
127000 0.367464
128000 0.373789
129000 0.379059
130000 0.371617
131000 0.37857
132000 0.37395
133000 0.380965
134000 0.374756
135000 0.372163
136000 0.379812
137000 0.3694
138000 0.382896
139000 0.376129
140000 0.37292
141000 0.378313
142000 0.386442
143000 0.379736
144000 0.380988
145000 0.388203
146000 0.38883
147000 0.391885
148000 0.377991
149000 0.383828
150000 0.387273
151000 0.378083
152000 0.391486
153000 0.393227
154000 0.397275
155000 0.389142
156000 0.396331
157000 0.394472
158000 0.393999
159000 0.392577
160000 0.400025
161000 0.394796
162000 0.400974
163000 0.398409
164000 0.397721
165000 0.403659
166000 0.403965
167000 0.402826
168000 0.402972
169000 0.398075
170000 0.405874
171000 0.404864
172000 0.411174
173000 0.404515
174000 0.405384
175000 0.411617
176000 0.404861
177000 0.410225
178000 0.415109
179000 0.408236
180000 0.419579
181000 0.423953
182000 0.407106
183000 0.415823
184000 0.40989
185000 0.42788
186000 0.411605
187000 0.431787
188000 0.427294
189000 0.425842
190000 0.432692
191000 0.426778
192000 0.42942
193000 0.431944
194000 0.431431
195000 0.436528
196000 0.440278
197000 0.437795
198000 0.445979
199000 0.438677
200000 0.441677
201000 0.438492
202000 0.437816
203000 0.440814
204000 0.440952
205000 0.442863
206000 0.44877
207000 0.442336
208000 0.448919
209000 0.441099
210000 0.436012
211000 0.440412
212000 0.437869
213000 0.447532
214000 0.44222
215000 0.439356
216000 0.439031
217000 0.448898
218000 0.446399
219000 0.445555
220000 0.450098
221000 0.449405
222000 0.454877
223000 0.452123
224000 0.44959
225000 0.453601
226000 0.457086
227000 0.453844
228000 0.451377
229000 0.454011
230000 0.453441
231000 0.4552
232000 0.460962
233000 0.463832
234000 0.466217
235000 0.467002
236000 0.455959
237000 0.463234
238000 0.459676
239000 0.461338
240000 0.460158
241000 0.466462
242000 0.468418
243000 0.462703
244000 0.466761
245000 0.463263
246000 0.465268
247000 0.469335
248000 0.467485
249000 0.477777
250000 0.471489
251000 0.473221
252000 0.467472
253000 0.47263
254000 0.476694
255000 0.479482
256000 0.4737
257000 0.471886
258000 0.471626
259000 0.47849
260000 0.467735
261000 0.464345
262000 0.465896
263000 0.46269
264000 0.464605
265000 0.46263
266000 0.467958
267000 0.470407
268000 0.467187
269000 0.47008
270000 0.481598
271000 0.463205
272000 0.46654
273000 0.470028
274000 0.476665
275000 0.470612
276000 0.475755
277000 0.473146
278000 0.489234
279000 0.475783
280000 0.480645
281000 0.481847
282000 0.483601
283000 0.484274
284000 0.487661
285000 0.48985
286000 0.48166
287000 0.484707
288000 0.488101
289000 0.48836
290000 0.48695
291000 0.496168
292000 0.482227
293000 0.488482
294000 0.481407
295000 0.484424
296000 0.486181
297000 0.483919
298000 0.49003
299000 0.482786
300000 0.487595
301000 0.482705
302000 0.480252
303000 0.485764
304000 0.485132
305000 0.475182
306000 0.489301
307000 0.485685
308000 0.491201
309000 0.480416
310000 0.481547
311000 0.486729
312000 0.490215
313000 0.488571
314000 0.488318
315000 0.490716
316000 0.498412
317000 0.492687
318000 0.493729
319000 0.496746
320000 0.490824
321000 0.489838
322000 0.490809
323000 0.496271
324000 0.487458
325000 0.49694
326000 0.489485
327000 0.494727
328000 0.495694
329000 0.495229
330000 0.500954
331000 0.497574
332000 0.495993
333000 0.50335
334000 0.505043
335000 0.491759
336000 0.497246
337000 0.497666
338000 0.495249
339000 0.500712
340000 0.496694
341000 0.493274
342000 0.494164
343000 0.495408
344000 0.488156
345000 0.497691
346000 0.494549
347000 0.495008
348000 0.488084
349000 0.487091
350000 0.490288
351000 0.489152
352000 0.487339
353000 0.487272
354000 0.497065
355000 0.485298
356000 0.495084
357000 0.487694
358000 0.487624
359000 0.493927
360000 0.484636
361000 0.491389
362000 0.494375
363000 0.482494
364000 0.49413
365000 0.49436
366000 0.48899
367000 0.491997
368000 0.495519
369000 0.493282
370000 0.484869
371000 0.496099
372000 0.490643
373000 0.497834
374000 0.497228
375000 0.496023
376000 0.493652
377000 0.506801
378000 0.492216
379000 0.496208
380000 0.492434
381000 0.498006
382000 0.489656
383000 0.492328
384000 0.495873
385000 0.502652
386000 0.493887
387000 0.491745
388000 0.501379
389000 0.493631
390000 0.50022
391000 0.492845
392000 0.495075
393000 0.494792
394000 0.50159
395000 0.500802
396000 0.496378
397000 0.501415
398000 0.498033
399000 0.502401
400000 0.500506
401000 0.498887
402000 0.500664
403000 0.506641
404000 0.494859
405000 0.501033
406000 0.502223
407000 0.49955
408000 0.496781
409000 0.502932
410000 0.504393
411000 0.494508
412000 0.505291
413000 0.507005
414000 0.504605
415000 0.507922
416000 0.503259
417000 0.500059
418000 0.505943
419000 0.502023
420000 0.506815
421000 0.491289
422000 0.502898
423000 0.501341
424000 0.506665
425000 0.50817
426000 0.506201
427000 0.510039
428000 0.505927
429000 0.508728
430000 0.506194
431000 0.500571
432000 0.507807
433000 0.511701
434000 0.514229
435000 0.505334
436000 0.512194
437000 0.50228
438000 0.516431
439000 0.511801
440000 0.511207
441000 0.513154
442000 0.513278
443000 0.510746
444000 0.505858
445000 0.505485
446000 0.49993
447000 0.505728
448000 0.502405
449000 0.510701
450000 0.51389
451000 0.519135
452000 0.50537
453000 0.516219
454000 0.50916
455000 0.511118
456000 0.502797
457000 0.514069
458000 0.511661
459000 0.506723
460000 0.500626
461000 0.513658
462000 0.512488
463000 0.514631
464000 0.50563
465000 0.511161
466000 0.506597
467000 0.518502
468000 0.523074
469000 0.509879
470000 0.511891
471000 0.51452
472000 0.517332
473000 0.514217
474000 0.509798
475000 0.515382
476000 0.520445
477000 0.509922
478000 0.512428
479000 0.51021
480000 0.520084
481000 0.512934
482000 0.513883
483000 0.514553
484000 0.522005
485000 0.516243
486000 0.522961
487000 0.52455
488000 0.525409
489000 0.522955
490000 0.523529
491000 0.518857
492000 0.528664
493000 0.522807
494000 0.514967
495000 0.517671
496000 0.520477
497000 0.522432
498000 0.523289
499000 0.517327
500000 0.512596
501000 0.518245
502000 0.516951
503000 0.518446
504000 0.515039
505000 0.519031
506000 0.518203
507000 0.523293
508000 0.523105
509000 0.512511
510000 0.518074
511000 0.510395
512000 0.511199
513000 0.515389
514000 0.515976
515000 0.517661
