# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 6.5093e-32
101000 0.302381
102000 0.305449
103000 0.305683
104000 0.310307
105000 0.307087
106000 0.306944
107000 0.314903
108000 0.311223
109000 0.30843
110000 0.313092
111000 0.315753
112000 0.321476
113000 0.311656
114000 0.31334
115000 0.320551
116000 0.309598
117000 0.310254
118000 0.315599
119000 0.315238
120000 0.321202
121000 0.320292
122000 0.315333
123000 0.322395
124000 0.321254
125000 0.31975
126000 0.32388
127000 0.324758
128000 0.325911
129000 0.332631
130000 0.332126
131000 0.331037
132000 0.336362
133000 0.331804
134000 0.331159
135000 0.335789
136000 0.336248
137000 0.340428
138000 0.336332
139000 0.33817
140000 0.340063
141000 0.337396
142000 0.332338
143000 0.337062
144000 0.337267
145000 0.338139
146000 0.338591
147000 0.334813
148000 0.337072
149000 0.339127
150000 0.336918
151000 0.33611
152000 0.341398
153000 0.34255
154000 0.338222
155000 0.338933
156000 0.343526
157000 0.345696
158000 0.342255
159000 0.349807
160000 0.34715
161000 0.347773
162000 0.351233
163000 0.342991
164000 0.348178
165000 0.359784
166000 0.355963
167000 0.354933
168000 0.357704
169000 0.356263
170000 0.361653
171000 0.348052
172000 0.359192
173000 0.355229
174000 0.355755
175000 0.351221
176000 0.35777
177000 0.359829
178000 0.355903
179000 0.359782
180000 0.360566
181000 0.357071
182000 0.359763
183000 0.36351
184000 0.356798
185000 0.354697
186000 0.366824
187000 0.366238
188000 0.357082
189000 0.362619
190000 0.35945
191000 0.364255
192000 0.365966
193000 0.362174
194000 0.364477
195000 0.363885
196000 0.365053
197000 0.365049
198000 0.367061
199000 0.374987
200000 0.364445
201000 0.363136
202000 0.378084
203000 0.366643
204000 0.371467
205000 0.364616
206000 0.367794
207000 0.373431
208000 0.367522
209000 0.373094
210000 0.376889
211000 0.371814
212000 0.378293
213000 0.378173
214000 0.372761
215000 0.373932
216000 0.375185
217000 0.376754
218000 0.378177
219000 0.382233
220000 0.373307
221000 0.385188
222000 0.380541
223000 0.380716
224000 0.378778
225000 0.381898
226000 0.379859
227000 0.377198
228000 0.384881
229000 0.377367
230000 0.38481
231000 0.390392
232000 0.387582
233000 0.384686
234000 0.386282
235000 0.385314
236000 0.393558
237000 0.390535
238000 0.395451
239000 0.387456
240000 0.391429
241000 0.396794
242000 0.391538
243000 0.392959
244000 0.393121
245000 0.397522
246000 0.399114
247000 0.398897
248000 0.401783
249000 0.402102
250000 0.401994
251000 0.398531
252000 0.402804
253000 0.404655
254000 0.406728
255000 0.399981
256000 0.396744
257000 0.407154
258000 0.395496
259000 0.399485
260000 0.399945
261000 0.403142
262000 0.409918
263000 0.401814
264000 0.40928
265000 0.403702
266000 0.40917
267000 0.407429
268000 0.407439
269000 0.405932
270000 0.407979
271000 0.408931
272000 0.40693
273000 0.413784
274000 0.413071
275000 0.410582
276000 0.415625
277000 0.413656
278000 0.412242
279000 0.411505
280000 0.413192
281000 0.405183
282000 0.414193
283000 0.417892
284000 0.418251
285000 0.421495
286000 0.419803
287000 0.419668
288000 0.41493
289000 0.416933
290000 0.415664
291000 0.420823
292000 0.41632
293000 0.424507
294000 0.428656
295000 0.419989
296000 0.422733
297000 0.427066
298000 0.418274
299000 0.421355
300000 0.425023
301000 0.416631
302000 0.420043
303000 0.423728
304000 0.422591
305000 0.415193
306000 0.425765
307000 0.421863
308000 0.420419
309000 0.426022
310000 0.427549
311000 0.419956
312000 0.43024
313000 0.427889
314000 0.422366
315000 0.4272
316000 0.431003
317000 0.426007
318000 0.42718
319000 0.427122
320000 0.42598
321000 0.432635
322000 0.43202
323000 0.442188
324000 0.436392
325000 0.438017
326000 0.440543
327000 0.431657
328000 0.43774
329000 0.43658
330000 0.440234
331000 0.442327
332000 0.449046
333000 0.441754
334000 0.445891
335000 0.442955
336000 0.447067
337000 0.442664
338000 0.44913
339000 0.444588
340000 0.453941
341000 0.448451
342000 0.45052
343000 0.454443
344000 0.446258
345000 0.451955
346000 0.448915
347000 0.448591
348000 0.455423
349000 0.446672
350000 0.449719
351000 0.456694
352000 0.456388
353000 0.458318
354000 0.455732
355000 0.457718
356000 0.45814
357000 0.455179
358000 0.458374
359000 0.457397
360000 0.453053
361000 0.459656
362000 0.456105
363000 0.456412
364000 0.463785
365000 0.455999
366000 0.457199
367000 0.463867
368000 0.456616
369000 0.462063
370000 0.45643
371000 0.469721
372000 0.463678
373000 0.471691
374000 0.466278
375000 0.465414
376000 0.471569
377000 0.463459
378000 0.474367
379000 0.472891
380000 0.467292
381000 0.473998
382000 0.475691
383000 0.472716
384000 0.471827
385000 0.477412
386000 0.476459
387000 0.473339
388000 0.483319
389000 0.474748
390000 0.475999
391000 0.480481
392000 0.474111
393000 0.473011
394000 0.481374
395000 0.482487
396000 0.483597
397000 0.480292
398000 0.486213
399000 0.484036
400000 0.48847
401000 0.486084
402000 0.479782
403000 0.478888
404000 0.479704
405000 0.481728
406000 0.48381
407000 0.479893
408000 0.483655
409000 0.486194
410000 0.485304
411000 0.488733
412000 0.484253
413000 0.490348
414000 0.476176
415000 0.491794
416000 0.488306
417000 0.478179
418000 0.484133
419000 0.483986
420000 0.488706
421000 0.485676
422000 0.483857
423000 0.48607
424000 0.483646
425000 0.489572
426000 0.49594
427000 0.489594
428000 0.495062
429000 0.493981
430000 0.497739
431000 0.498359
432000 0.499524
433000 0.498855
434000 0.498212
435000 0.494194
436000 0.491507
437000 0.49575
438000 0.49792
439000 0.494426
440000 0.499659
441000 0.495928
442000 0.495327
443000 0.496897
444000 0.493575
445000 0.497261
446000 0.494409
447000 0.499782
448000 0.499503
449000 0.498839
450000 0.505144
451000 0.501999
452000 0.503515
453000 0.505063
454000 0.505057
455000 0.500004
456000 0.501563
457000 0.50497
458000 0.50306
459000 0.513796
460000 0.504733
461000 0.507196
462000 0.503641
463000 0.509502
464000 0.51114
465000 0.512114
466000 0.506155
467000 0.508765
468000 0.515436
469000 0.510584
470000 0.515523
471000 0.519032
472000 0.506783
473000 0.506795
474000 0.513063
475000 0.512903
476000 0.516212
477000 0.509214
478000 0.515129
479000 0.518867
480000 0.510613
481000 0.509727
482000 0.51373
483000 0.512921
484000 0.523649
485000 0.51571
486000 0.515947
487000 0.510799
488000 0.520889
489000 0.515057
490000 0.520736
491000 0.519502
492000 0.519181
493000 0.524846
494000 0.523243
495000 0.52708
496000 0.522264
497000 0.523189
498000 0.524091
499000 0.528351
500000 0.527067
501000 0.523032
502000 0.525627
503000 0.523083
504000 0.5243
505000 0.524231
506000 0.526237
507000 0.521027
508000 0.527813
509000 0.526254
510000 0.525256
511000 0.527491
512000 0.525212
513000 0.527053
514000 0.533102
515000 0.530786
516000 0.53011
517000 0.537519
518000 0.532367
519000 0.53229
520000 0.539606
521000 0.533272
522000 0.536765
523000 0.534557
524000 0.527714
525000 0.536327
526000 0.540671
527000 0.535977
528000 0.535243
529000 0.538971
530000 0.538856
531000 0.53956
532000 0.538891
533000 0.540214
534000 0.542464
535000 0.546542
