# Time-averaged data for fix oxidemymsdt
# TimeStep c_oxidemsd[4]
100000 5.04871e-29
101000 0.137236
102000 0.129171
103000 0.13381
104000 0.135132
105000 0.134575
106000 0.138552
107000 0.139763
108000 0.135675
109000 0.131807
110000 0.138602
111000 0.139309
112000 0.135742
113000 0.138593
114000 0.136799
115000 0.13464
116000 0.135183
117000 0.136042
118000 0.136127
119000 0.134082
120000 0.136028
121000 0.135408
122000 0.143387
123000 0.137994
124000 0.136083
125000 0.136302
126000 0.13667
127000 0.136141
128000 0.138893
129000 0.136698
130000 0.137474
131000 0.135367
132000 0.137351
133000 0.134696
134000 0.142464
135000 0.133489
136000 0.1387
137000 0.135784
138000 0.144359
139000 0.139346
140000 0.141917
141000 0.139873
142000 0.137065
143000 0.141752
144000 0.139858
145000 0.139654
146000 0.13952
147000 0.141658
148000 0.138608
149000 0.142859
150000 0.13923
151000 0.141875
152000 0.133527
153000 0.133562
154000 0.138408
155000 0.137641
156000 0.140459
157000 0.140185
158000 0.142861
159000 0.137673
160000 0.142192
161000 0.139273
162000 0.142032
163000 0.137976
164000 0.140713
165000 0.134261
166000 0.137247
167000 0.136934
168000 0.137809
169000 0.13765
170000 0.130005
171000 0.136193
172000 0.14105
173000 0.138044
174000 0.137202
175000 0.141915
176000 0.135351
177000 0.143831
178000 0.141028
179000 0.146615
180000 0.137786
181000 0.143513
182000 0.141505
183000 0.139118
184000 0.140124
185000 0.140756
186000 0.140916
187000 0.142836
188000 0.139234
189000 0.132947
190000 0.143128
191000 0.13881
192000 0.144275
193000 0.139736
194000 0.143439
195000 0.143588
196000 0.141349
197000 0.139341
198000 0.140905
199000 0.143138
200000 0.137545
201000 0.140985
202000 0.141327
203000 0.143422
204000 0.136013
205000 0.140148
206000 0.139742
207000 0.141106
208000 0.135567
209000 0.139423
210000 0.140235
211000 0.144254
212000 0.135602
213000 0.142896
214000 0.145011
215000 0.140164
216000 0.142028
217000 0.139406
218000 0.14416
219000 0.135705
220000 0.141559
221000 0.132359
222000 0.138074
223000 0.137646
224000 0.136176
225000 0.136511
226000 0.136315
227000 0.141734
228000 0.137933
229000 0.140275
230000 0.140418
231000 0.143545
232000 0.133946
233000 0.142477
234000 0.145043
235000 0.139339
236000 0.137184
237000 0.138402
238000 0.138793
239000 0.142424
240000 0.13738
241000 0.139556
242000 0.138681
243000 0.140842
244000 0.146814
245000 0.139655
246000 0.142069
247000 0.139628
248000 0.143095
249000 0.139024
250000 0.138558
251000 0.1318
252000 0.146155
253000 0.14334
254000 0.138031
255000 0.137471
256000 0.140878
257000 0.143036
258000 0.140277
259000 0.143197
260000 0.141751
261000 0.142651
262000 0.141685
263000 0.142093
264000 0.140559
265000 0.142868
266000 0.142583
267000 0.141545
268000 0.139683
269000 0.143321
270000 0.143602
271000 0.141634
272000 0.136889
273000 0.144193
274000 0.141121
275000 0.138002
276000 0.135932
277000 0.144054
278000 0.137086
279000 0.13768
280000 0.137028
281000 0.142744
282000 0.139764
283000 0.140029
284000 0.140223
285000 0.140038
286000 0.141457
287000 0.138015
288000 0.140329
289000 0.138596
290000 0.138548
291000 0.141669
292000 0.1416
293000 0.143557
294000 0.135431
295000 0.140067
296000 0.142078
297000 0.143535
298000 0.138639
299000 0.1378
300000 0.139253
301000 0.140097
302000 0.142804
303000 0.140045
304000 0.138208
305000 0.142159
306000 0.144991
307000 0.140154
308000 0.14093
309000 0.136963
310000 0.143698
311000 0.140126
312000 0.142309
313000 0.13692
314000 0.14206
315000 0.145128
316000 0.137256
317000 0.140518
318000 0.13638
319000 0.14173
320000 0.136391
321000 0.139917
322000 0.136833
323000 0.141562
324000 0.143613
325000 0.141205
326000 0.14085
327000 0.140091
328000 0.140115
329000 0.139262
330000 0.143237
331000 0.137147
332000 0.137414
333000 0.139882
334000 0.138311
335000 0.143505
336000 0.140616
337000 0.139786
338000 0.141758
339000 0.139061
340000 0.138853
341000 0.140491
342000 0.14179
343000 0.143182
344000 0.142692
345000 0.138444
346000 0.142533
347000 0.139713
348000 0.136327
349000 0.141208
350000 0.139032
351000 0.139317
352000 0.140067
353000 0.13944
354000 0.14153
355000 0.141957
356000 0.13827
357000 0.14122
358000 0.139435
359000 0.137937
360000 0.142233
361000 0.134578
362000 0.145209
363000 0.143724
364000 0.146721
365000 0.141212
366000 0.141363
367000 0.145456
368000 0.144109
369000 0.140744
370000 0.143479
371000 0.138428
372000 0.141911
373000 0.141184
374000 0.140478
375000 0.14511
376000 0.141476
377000 0.141658
378000 0.146678
379000 0.141229
380000 0.144183
381000 0.143311
382000 0.142023
383000 0.142938
384000 0.141372
385000 0.139565
386000 0.145104
387000 0.141942
388000 0.144283
389000 0.144634
390000 0.143036
391000 0.138609
392000 0.142456
393000 0.144435
394000 0.143044
395000 0.141223
396000 0.141898
397000 0.139236
398000 0.144448
399000 0.142644
400000 0.144007
401000 0.145456
402000 0.144136
403000 0.145951
404000 0.135502
405000 0.1414
406000 0.140705
407000 0.145454
408000 0.139761
409000 0.141607
410000 0.145141
411000 0.144251
412000 0.139484
413000 0.142745
414000 0.139668
415000 0.139835
416000 0.140124
417000 0.138563
418000 0.142724
419000 0.141027
420000 0.143593
421000 0.140213
422000 0.141081
423000 0.141146
424000 0.139498
425000 0.137934
426000 0.141655
427000 0.137219
428000 0.14261
429000 0.140422
430000 0.137846
431000 0.14246
432000 0.133694
433000 0.140069
434000 0.133879
435000 0.137496
436000 0.138915
437000 0.138564
438000 0.140949
439000 0.140863
440000 0.140508
441000 0.13743
442000 0.142417
443000 0.14176
444000 0.141544
445000 0.141012
446000 0.144779
447000 0.140074
448000 0.144096
449000 0.140923
450000 0.137715
451000 0.145878
452000 0.141066
453000 0.14265
454000 0.140928
455000 0.144904
456000 0.137147
457000 0.1416
458000 0.145778
459000 0.140705
460000 0.145695
461000 0.143277
462000 0.140257
463000 0.14531
464000 0.139258
465000 0.134621
466000 0.144855
467000 0.137319
468000 0.139948
469000 0.139125
470000 0.136887
471000 0.141237
472000 0.143935
473000 0.139574
474000 0.143731
475000 0.143057
476000 0.143293
477000 0.137354
478000 0.142177
479000 0.143948
480000 0.143351
481000 0.143769
482000 0.137487
483000 0.142344
484000 0.140416
485000 0.147637
486000 0.144248
487000 0.145891
488000 0.14382
489000 0.143779
490000 0.146448
491000 0.142996
492000 0.143698
493000 0.142482
494000 0.141357
495000 0.139586
496000 0.140124
497000 0.140765
498000 0.139313
499000 0.141912
500000 0.141689
501000 0.142322
502000 0.140479
503000 0.139277
504000 0.141469
505000 0.145375
506000 0.138941
507000 0.141713
508000 0.139713
509000 0.142618
510000 0.141746
511000 0.14376
512000 0.140361
513000 0.145017
514000 0.145485
515000 0.14342
516000 0.139927
517000 0.147794
518000 0.142484
519000 0.143553
520000 0.141837
521000 0.14475
522000 0.143533
523000 0.142455
524000 0.140458
525000 0.142751
526000 0.139959
527000 0.138412
528000 0.14233
529000 0.139663
530000 0.139643
531000 0.144594
532000 0.145081
533000 0.142352
534000 0.139237
535000 0.140771
536000 0.145031
537000 0.142546
538000 0.143775
539000 0.137656
540000 0.139526
541000 0.137871
542000 0.139686
543000 0.14435
544000 0.13886
545000 0.142326
546000 0.143866
547000 0.146251
548000 0.142839
549000 0.141827
550000 0.139832
551000 0.139163
552000 0.140542
553000 0.139685
554000 0.140038
555000 0.144792
556000 0.140738
557000 0.143028
558000 0.141258
559000 0.137234
560000 0.141852
561000 0.14094
562000 0.142461
563000 0.140065
564000 0.142303
565000 0.142825
566000 0.141077
567000 0.141343
568000 0.137871
569000 0.144985
570000 0.145962
571000 0.140479
572000 0.139246
573000 0.145851
574000 0.144018
575000 0.139714
576000 0.142438
577000 0.137162
578000 0.143816
579000 0.14454
580000 0.14104
581000 0.141261
582000 0.148996
583000 0.139817
584000 0.140795
585000 0.141503
586000 0.144908
587000 0.138286
588000 0.145582
589000 0.138829
590000 0.14285
591000 0.14219
592000 0.14231
593000 0.139717
594000 0.143038
595000 0.145429
596000 0.14405
597000 0.142019
598000 0.146714
599000 0.141637
600000 0.142118
601000 0.143983
602000 0.142223
603000 0.146951
604000 0.138945
605000 0.14114
606000 0.145766
607000 0.144837
608000 0.144072
609000 0.141971
610000 0.14449
611000 0.144181
612000 0.144228
613000 0.139625
614000 0.143519
615000 0.141323
616000 0.149628
617000 0.13938
618000 0.142092
619000 0.144909
620000 0.142924
621000 0.14105
622000 0.142764
623000 0.143343
624000 0.143995
625000 0.141192
626000 0.142471
627000 0.14509
628000 0.14387
629000 0.14101
630000 0.139472
631000 0.14598
632000 0.141734
633000 0.141493
634000 0.141502
635000 0.145497
636000 0.142671
637000 0.143056
638000 0.14649
639000 0.141919
640000 0.141116
641000 0.13987
642000 0.140061
643000 0.13712
644000 0.144587
645000 0.143061
646000 0.143084
647000 0.144456
648000 0.146695
649000 0.142738
650000 0.145955
651000 0.143472
652000 0.141827
653000 0.142925
654000 0.144559
655000 0.143568
656000 0.142733
657000 0.14428
658000 0.140688
659000 0.13713
660000 0.142662
661000 0.147125
662000 0.143185
663000 0.144685
664000 0.139556
665000 0.140067
666000 0.144155
667000 0.146507
668000 0.140121
669000 0.142852
670000 0.145463
671000 0.144492
672000 0.137625
673000 0.142807
674000 0.144655
675000 0.143896
676000 0.147612
677000 0.142727
678000 0.146007
679000 0.15101
680000 0.146521
681000 0.141465
682000 0.144986
683000 0.145248
684000 0.143295
685000 0.143343
686000 0.139687
687000 0.139517
688000 0.143557
689000 0.141869
690000 0.14466
691000 0.141234
692000 0.141146
693000 0.145395
694000 0.141886
695000 0.143578
696000 0.137782
697000 0.148965
698000 0.141469
699000 0.140902
700000 0.141613
701000 0.141505
702000 0.141502
703000 0.141554
704000 0.140348
705000 0.14284
706000 0.139792
707000 0.145483
708000 0.14484
709000 0.142616
710000 0.14569
711000 0.141235
712000 0.142008
713000 0.140345
714000 0.142012
715000 0.140434
716000 0.1435
717000 0.142223
718000 0.145489
719000 0.14204
720000 0.143749
721000 0.142387
