# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
100000 1.5651e-29
101000 0.297106
102000 0.297636
103000 0.298605
104000 0.306037
105000 0.298626
106000 0.30739
107000 0.309881
108000 0.301064
109000 0.306662
110000 0.308727
111000 0.300604
112000 0.30586
113000 0.303765
114000 0.31572
115000 0.295267
116000 0.298123
117000 0.301984
118000 0.294835
119000 0.300111
120000 0.303747
121000 0.296407
122000 0.299807
123000 0.29728
124000 0.305563
125000 0.302334
126000 0.300412
127000 0.301808
128000 0.299902
129000 0.302757
130000 0.29928
131000 0.308141
132000 0.302241
133000 0.30181
134000 0.300489
135000 0.308916
136000 0.305076
137000 0.299914
138000 0.305027
139000 0.3004
140000 0.306955
141000 0.306787
142000 0.297298
143000 0.305939
144000 0.30876
145000 0.304937
146000 0.315553
147000 0.312897
148000 0.308611
149000 0.312422
150000 0.305555
151000 0.303524
152000 0.307334
153000 0.304374
154000 0.30483
155000 0.303059
156000 0.303554
157000 0.30577
158000 0.305341
159000 0.309963
160000 0.295158
161000 0.303166
162000 0.297847
163000 0.300426
164000 0.301755
165000 0.300356
166000 0.304968
167000 0.307159
168000 0.306882
169000 0.308865
170000 0.312362
171000 0.304496
172000 0.305426
173000 0.308564
174000 0.310953
175000 0.30666
176000 0.308325
177000 0.29915
178000 0.303591
179000 0.305112
180000 0.307543
181000 0.306551
182000 0.302994
183000 0.314073
184000 0.304873
185000 0.30902
186000 0.312483
187000 0.300085
188000 0.308909
189000 0.313313
190000 0.301012
191000 0.304921
192000 0.313218
193000 0.300802
194000 0.311842
195000 0.303068
196000 0.306831
197000 0.303296
198000 0.296701
199000 0.305953
200000 0.299898
201000 0.30484
202000 0.303432
203000 0.301191
204000 0.3099
205000 0.305185
206000 0.309193
207000 0.310724
208000 0.305141
209000 0.303684
210000 0.304608
211000 0.305685
212000 0.311128
213000 0.310196
214000 0.303259
215000 0.305919
216000 0.308101
217000 0.305809
218000 0.307513
219000 0.306769
220000 0.308136
221000 0.312036
222000 0.307793
223000 0.312467
224000 0.308897
225000 0.308778
226000 0.306795
227000 0.313785
228000 0.310498
229000 0.308553
230000 0.307585
231000 0.307644
232000 0.304874
233000 0.301674
234000 0.313662
235000 0.309241
236000 0.296176
237000 0.305834
238000 0.307924
239000 0.308527
240000 0.303536
241000 0.306698
242000 0.302842
243000 0.305646
244000 0.298856
245000 0.304561
246000 0.307498
247000 0.302275
248000 0.302612
249000 0.302106
250000 0.309022
251000 0.302112
252000 0.312245
253000 0.315348
254000 0.306829
255000 0.317166
256000 0.311359
257000 0.303556
258000 0.309363
259000 0.308416
260000 0.304983
261000 0.310975
262000 0.303003
263000 0.300061
264000 0.31165
265000 0.301131
266000 0.305047
267000 0.306648
268000 0.311807
269000 0.311323
270000 0.306387
271000 0.31685
272000 0.307281
273000 0.310695
274000 0.303489
275000 0.307779
276000 0.304541
277000 0.308676
278000 0.306972
279000 0.321464
280000 0.298461
281000 0.319866
282000 0.317615
283000 0.309629
284000 0.301145
285000 0.311797
286000 0.308289
287000 0.308873
288000 0.315071
289000 0.303974
290000 0.31155
291000 0.313924
292000 0.312718
293000 0.306964
294000 0.313677
295000 0.311612
296000 0.314039
297000 0.309321
298000 0.311578
299000 0.315881
300000 0.308491
301000 0.311128
302000 0.310188
303000 0.310985
304000 0.307071
305000 0.312319
306000 0.311183
307000 0.313722
308000 0.309737
309000 0.316131
310000 0.3053
311000 0.311665
312000 0.312863
313000 0.310911
314000 0.308887
315000 0.302731
316000 0.312792
317000 0.302023
318000 0.311802
319000 0.306711
320000 0.307336
321000 0.307197
322000 0.311742
323000 0.31249
324000 0.306219
325000 0.310505
326000 0.307886
327000 0.305163
328000 0.313149
329000 0.310058
330000 0.307632
331000 0.303596
332000 0.307513
333000 0.30858
334000 0.300838
335000 0.314227
336000 0.301556
337000 0.315702
338000 0.311836
339000 0.305519
340000 0.304809
341000 0.31259
342000 0.303983
343000 0.312013
344000 0.30247
345000 0.30849
346000 0.311069
347000 0.307111
348000 0.305429
349000 0.310859
350000 0.304019
351000 0.307633
352000 0.309508
353000 0.307116
354000 0.308693
355000 0.307957
356000 0.307922
357000 0.31117
358000 0.310945
359000 0.307377
360000 0.302177
361000 0.308992
362000 0.304703
363000 0.294694
364000 0.309626
365000 0.309454
366000 0.306751
367000 0.300112
368000 0.306105
369000 0.303807
370000 0.313632
371000 0.311829
372000 0.309739
373000 0.304447
374000 0.306836
375000 0.313284
376000 0.30769
377000 0.31057
378000 0.309279
379000 0.307921
380000 0.304601
381000 0.312368
382000 0.304842
383000 0.309559
