# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
100000 2.85944e-29
101000 0.283458
102000 0.289661
103000 0.294067
104000 0.296179
105000 0.291636
106000 0.293939
107000 0.30176
108000 0.288861
109000 0.290381
110000 0.300096
111000 0.297437
112000 0.301762
113000 0.29195
114000 0.292586
115000 0.290791
116000 0.292694
117000 0.295058
118000 0.290306
119000 0.295694
120000 0.300836
121000 0.297987
122000 0.290729
123000 0.302355
124000 0.28858
125000 0.290782
126000 0.297121
127000 0.29093
128000 0.294765
129000 0.299699
130000 0.292847
131000 0.29519
132000 0.296311
133000 0.295544
134000 0.293625
135000 0.3003
136000 0.294577
137000 0.295928
138000 0.297302
139000 0.298833
140000 0.292564
141000 0.297752
142000 0.287092
143000 0.299751
144000 0.301559
145000 0.294321
146000 0.293609
147000 0.297077
148000 0.296142
149000 0.293963
150000 0.298452
151000 0.297386
152000 0.295992
153000 0.297967
154000 0.290979
155000 0.293966
156000 0.296681
157000 0.291109
158000 0.292148
159000 0.29341
160000 0.292165
161000 0.296167
162000 0.298425
163000 0.289997
164000 0.296106
165000 0.298418
166000 0.30064
167000 0.291584
168000 0.294279
169000 0.298156
170000 0.297397
171000 0.301124
172000 0.292851
173000 0.297442
174000 0.290071
175000 0.293856
176000 0.297223
177000 0.295857
178000 0.297265
179000 0.298074
180000 0.296106
181000 0.301342
182000 0.292307
183000 0.297579
184000 0.295548
185000 0.300147
186000 0.294146
187000 0.290733
188000 0.299472
189000 0.295153
190000 0.293631
191000 0.296405
192000 0.295367
193000 0.294454
194000 0.294251
195000 0.288429
196000 0.292362
197000 0.286884
198000 0.301216
199000 0.30071
200000 0.300557
201000 0.292092
202000 0.294723
203000 0.304941
204000 0.297501
205000 0.297001
206000 0.299119
207000 0.300176
208000 0.296595
209000 0.294787
210000 0.291635
211000 0.300619
212000 0.299583
213000 0.301282
214000 0.289749
215000 0.298914
216000 0.289918
217000 0.299491
218000 0.297021
219000 0.296823
220000 0.291141
221000 0.299123
222000 0.295382
223000 0.294504
224000 0.295219
225000 0.281568
226000 0.292104
227000 0.299542
228000 0.291869
229000 0.297311
230000 0.303709
231000 0.294768
232000 0.299642
233000 0.298022
234000 0.302823
235000 0.291234
236000 0.305415
237000 0.297
238000 0.301891
239000 0.288473
240000 0.295609
241000 0.297096
242000 0.299184
243000 0.298471
244000 0.30203
245000 0.295029
246000 0.289912
247000 0.293373
248000 0.29535
249000 0.294956
250000 0.298628
251000 0.292684
252000 0.301388
253000 0.300204
254000 0.297446
255000 0.296363
256000 0.292696
257000 0.291168
258000 0.288883
259000 0.297707
260000 0.296785
261000 0.301711
262000 0.29245
263000 0.296391
264000 0.299836
265000 0.297031
266000 0.298543
267000 0.296189
268000 0.301596
269000 0.295269
270000 0.299777
271000 0.286988
272000 0.295514
273000 0.298363
274000 0.293983
275000 0.297453
276000 0.283445
277000 0.295445
278000 0.297613
279000 0.29316
280000 0.293012
281000 0.300984
282000 0.293722
283000 0.297889
284000 0.298773
285000 0.300742
286000 0.296581
287000 0.296635
288000 0.292768
289000 0.296817
290000 0.297167
291000 0.295196
292000 0.295589
293000 0.294392
294000 0.290781
295000 0.295694
296000 0.302647
297000 0.29666
298000 0.302501
299000 0.300684
300000 0.297258
301000 0.295351
302000 0.299257
303000 0.286335
304000 0.297482
305000 0.294074
306000 0.291027
307000 0.296516
308000 0.291202
309000 0.29122
310000 0.299909
311000 0.299182
312000 0.292269
313000 0.297338
314000 0.294708
315000 0.295682
316000 0.300292
317000 0.298549
318000 0.296345
319000 0.293109
320000 0.293808
321000 0.293639
322000 0.297399
323000 0.293684
324000 0.293952
325000 0.293423
326000 0.293755
327000 0.295719
328000 0.294631
329000 0.298029
330000 0.293951
331000 0.294949
332000 0.29805
333000 0.298059
334000 0.299511
335000 0.297116
336000 0.292334
337000 0.293675
338000 0.295365
339000 0.296076
340000 0.297556
341000 0.290317
342000 0.295805
343000 0.300351
344000 0.300547
345000 0.296607
346000 0.295927
347000 0.295212
348000 0.292865
349000 0.306039
350000 0.297632
351000 0.297214
352000 0.292697
353000 0.298549
354000 0.292513
355000 0.296563
356000 0.293282
357000 0.297896
358000 0.300516
359000 0.300679
360000 0.298778
361000 0.299957
362000 0.298579
363000 0.298402
364000 0.297562
365000 0.295042
366000 0.294652
367000 0.29963
368000 0.296988
369000 0.29953
370000 0.296613
371000 0.295339
372000 0.297359
373000 0.298427
374000 0.297121
375000 0.298347
376000 0.295572
377000 0.301707
378000 0.294447
379000 0.298986
380000 0.297662
381000 0.290616
382000 0.295932
383000 0.300208
384000 0.299299
385000 0.295491
386000 0.300473
387000 0.292772
388000 0.302086
389000 0.291191
390000 0.292582
391000 0.297838
392000 0.299218
393000 0.300771
394000 0.298292
395000 0.3015
396000 0.298673
397000 0.29646
398000 0.297533
399000 0.300777
400000 0.292341
401000 0.300663
402000 0.298121
403000 0.292386
404000 0.291315
405000 0.292723
406000 0.300806
407000 0.294996
408000 0.297553
409000 0.304294
410000 0.297656
411000 0.300539
412000 0.296677
413000 0.294968
414000 0.301844
415000 0.305358
416000 0.297734
417000 0.310127
418000 0.296928
419000 0.299002
420000 0.300477
421000 0.30351
422000 0.30165
423000 0.297288
424000 0.296172
425000 0.292989
426000 0.29348
427000 0.292847
428000 0.296725
429000 0.294959
430000 0.297214
431000 0.29762
432000 0.296114
433000 0.300611
434000 0.299504
435000 0.296813
436000 0.30208
437000 0.290749
438000 0.288234
439000 0.294939
440000 0.291381
441000 0.292019
442000 0.29654
443000 0.293501
444000 0.300007
445000 0.306425
446000 0.298895
447000 0.296633
448000 0.290437
449000 0.299291
450000 0.295604
451000 0.303373
452000 0.30275
453000 0.291379
454000 0.301449
455000 0.297005
456000 0.291675
457000 0.294226
458000 0.295159
459000 0.290383
460000 0.301326
461000 0.301081
462000 0.292232
463000 0.305502
464000 0.301954
465000 0.292976
466000 0.297826
467000 0.300984
468000 0.298491
469000 0.292945
470000 0.298439
471000 0.2995
472000 0.299779
473000 0.303746
474000 0.296657
475000 0.297435
476000 0.299701
