# Time-averaged data for fix oxidemymsdt
# TimeStep c_oxidemsd[4]
100000 5.04871e-29
101000 0.131184
102000 0.124838
103000 0.127109
104000 0.133226
105000 0.12748
106000 0.128976
107000 0.135312
108000 0.128726
109000 0.127142
110000 0.13487
111000 0.12876
112000 0.137458
113000 0.129085
114000 0.128401
115000 0.128612
116000 0.130182
117000 0.127427
118000 0.130486
119000 0.123548
120000 0.133293
121000 0.128323
122000 0.13066
123000 0.134044
124000 0.125411
125000 0.125619
126000 0.128606
127000 0.129118
128000 0.128905
129000 0.132297
130000 0.128104
131000 0.129388
132000 0.12743
133000 0.130922
134000 0.1286
135000 0.132826
136000 0.129685
137000 0.128283
138000 0.13074
139000 0.13104
140000 0.127299
141000 0.131546
142000 0.12653
143000 0.128218
144000 0.13247
145000 0.128595
146000 0.132045
147000 0.127882
148000 0.132624
149000 0.129079
150000 0.132699
151000 0.131726
152000 0.129937
153000 0.127487
154000 0.128836
155000 0.129976
156000 0.129521
157000 0.128851
158000 0.125751
159000 0.128392
160000 0.131016
161000 0.13556
162000 0.131033
163000 0.128113
164000 0.129394
165000 0.129928
166000 0.131453
167000 0.129408
168000 0.128192
169000 0.13366
170000 0.127232
171000 0.131695
172000 0.127185
173000 0.13084
174000 0.126943
175000 0.127768
176000 0.125789
177000 0.130745
178000 0.129095
179000 0.129383
180000 0.125694
181000 0.128532
182000 0.13022
183000 0.131744
184000 0.130631
185000 0.134262
186000 0.130644
187000 0.125466
188000 0.131588
189000 0.129604
190000 0.13253
191000 0.131117
192000 0.137895
193000 0.129695
194000 0.130897
195000 0.127343
196000 0.131046
197000 0.128407
198000 0.128942
199000 0.129473
200000 0.130602
201000 0.12769
202000 0.128199
203000 0.130095
204000 0.13101
205000 0.131088
206000 0.128287
207000 0.126873
208000 0.130151
209000 0.129214
210000 0.129542
211000 0.134858
212000 0.133241
213000 0.130052
214000 0.125925
215000 0.129422
216000 0.125308
217000 0.133292
218000 0.127032
219000 0.128664
220000 0.127968
221000 0.132683
222000 0.130138
223000 0.128099
224000 0.126253
225000 0.125315
226000 0.129821
227000 0.127558
228000 0.129344
229000 0.126382
230000 0.131172
231000 0.130105
232000 0.13061
233000 0.129785
234000 0.131196
235000 0.125726
236000 0.13204
237000 0.129642
238000 0.131186
239000 0.127772
240000 0.131544
241000 0.12814
242000 0.130014
243000 0.129399
244000 0.132465
245000 0.126968
246000 0.126475
247000 0.129658
248000 0.130115
249000 0.131104
250000 0.129313
251000 0.128975
252000 0.129244
253000 0.130628
254000 0.127301
255000 0.130422
256000 0.127404
257000 0.131088
258000 0.128595
259000 0.127171
260000 0.128391
261000 0.131418
262000 0.129701
263000 0.131618
264000 0.130392
265000 0.124479
266000 0.132907
267000 0.13228
268000 0.131474
269000 0.1287
270000 0.129266
271000 0.122599
272000 0.128801
273000 0.128067
274000 0.128163
275000 0.128128
276000 0.124094
277000 0.129034
278000 0.130898
279000 0.127826
280000 0.130289
281000 0.129146
282000 0.123441
283000 0.133448
284000 0.124643
285000 0.130495
286000 0.128744
287000 0.127282
288000 0.125106
289000 0.123351
290000 0.128181
291000 0.131953
292000 0.129752
293000 0.125849
294000 0.129667
295000 0.131684
296000 0.133616
297000 0.126504
298000 0.132586
299000 0.130255
300000 0.132499
301000 0.126884
302000 0.128798
303000 0.125168
304000 0.130231
305000 0.130884
