# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.08188e-29
101000 0.342957
102000 0.336179
103000 0.338545
104000 0.347477
105000 0.347473
106000 0.347574
107000 0.341885
108000 0.354402
109000 0.350154
110000 0.364542
111000 0.359518
112000 0.365205
113000 0.36673
114000 0.365869
115000 0.371829
116000 0.364223
117000 0.380025
118000 0.363509
119000 0.377344
120000 0.374856
121000 0.369869
122000 0.379107
123000 0.379453
124000 0.386544
125000 0.38602
126000 0.396623
127000 0.390933
128000 0.392416
129000 0.397456
130000 0.395524
131000 0.407531
132000 0.397327
133000 0.41063
134000 0.402806
135000 0.40619
136000 0.415531
137000 0.412964
138000 0.416567
139000 0.41187
140000 0.414914
141000 0.418104
142000 0.423144
143000 0.425307
144000 0.425632
145000 0.43015
146000 0.425248
147000 0.437157
148000 0.429431
149000 0.442204
150000 0.435813
151000 0.441423
152000 0.436861
153000 0.446039
154000 0.448431
155000 0.44219
156000 0.449544
157000 0.454831
158000 0.455148
159000 0.449895
160000 0.460274
161000 0.458326
162000 0.464813
163000 0.459967
164000 0.459537
165000 0.460136
166000 0.456886
167000 0.455465
168000 0.471287
169000 0.463029
170000 0.470564
171000 0.470149
172000 0.477929
173000 0.470388
174000 0.469383
175000 0.476748
176000 0.474828
177000 0.474209
178000 0.480063
179000 0.481719
180000 0.479768
181000 0.485626
182000 0.479972
183000 0.486216
184000 0.490706
185000 0.495083
186000 0.497078
187000 0.492726
188000 0.491335
189000 0.49919
190000 0.496893
191000 0.500741
192000 0.496882
193000 0.500762
194000 0.503142
195000 0.509146
196000 0.507885
197000 0.50949
198000 0.507497
199000 0.511683
200000 0.503104
201000 0.513485
202000 0.512863
203000 0.516476
204000 0.518102
205000 0.522331
206000 0.50773
207000 0.52484
208000 0.520751
209000 0.516271
210000 0.516729
211000 0.524634
212000 0.5251
213000 0.522523
214000 0.528147
215000 0.527588
216000 0.524395
217000 0.527421
218000 0.534522
219000 0.543092
220000 0.532916
221000 0.530314
222000 0.531749
223000 0.521752
224000 0.529639
225000 0.535573
226000 0.541021
227000 0.543317
228000 0.542323
229000 0.544921
230000 0.529821
231000 0.534571
232000 0.536389
233000 0.533536
234000 0.541269
235000 0.540102
236000 0.552129
237000 0.532167
238000 0.536119
239000 0.539302
240000 0.532691
241000 0.537516
242000 0.529754
243000 0.536492
244000 0.539985
245000 0.53967
246000 0.543416
247000 0.546242
248000 0.54434
249000 0.547308
250000 0.547673
251000 0.547739
252000 0.549528
253000 0.547188
254000 0.554899
255000 0.55012
256000 0.549524
257000 0.548116
258000 0.556005
259000 0.552254
260000 0.552258
261000 0.557857
262000 0.554102
263000 0.5624
264000 0.561874
265000 0.563567
266000 0.556185
267000 0.559807
268000 0.56577
269000 0.562232
270000 0.576656
271000 0.569653
272000 0.56481
273000 0.552838
274000 0.566529
275000 0.564593
276000 0.574021
277000 0.564114
278000 0.576011
279000 0.57515
280000 0.576031
281000 0.559559
282000 0.570068
283000 0.572898
284000 0.576132
285000 0.574414
286000 0.573135
287000 0.574569
288000 0.574784
289000 0.570828
290000 0.584069
291000 0.573578
292000 0.580922
293000 0.577393
294000 0.580646
295000 0.583324
296000 0.589367
297000 0.5855
298000 0.574158
299000 0.590339
300000 0.575948
301000 0.581407
302000 0.581121
303000 0.583605
304000 0.586093
305000 0.584303
306000 0.592142
307000 0.583127
308000 0.594645
309000 0.593706
310000 0.593538
311000 0.596347
312000 0.59339
313000 0.594946
314000 0.594053
315000 0.597224
316000 0.598549
317000 0.59801
318000 0.604061
319000 0.604883
320000 0.599588
321000 0.606453
322000 0.603484
323000 0.59879
324000 0.611042
325000 0.60572
326000 0.606478
327000 0.613064
328000 0.60643
329000 0.59822
330000 0.597446
331000 0.614157
332000 0.608313
333000 0.605395
334000 0.601067
335000 0.608762
336000 0.595402
337000 0.606308
338000 0.61294
339000 0.613511
340000 0.609397
341000 0.604799
342000 0.621036
343000 0.615382
344000 0.603032
345000 0.621444
346000 0.609589
347000 0.619966
348000 0.610899
349000 0.624386
350000 0.613268
351000 0.623121
352000 0.621339
353000 0.615618
354000 0.625146
355000 0.609036
356000 0.617938
357000 0.61278
358000 0.627329
359000 0.627188
360000 0.619654
361000 0.624941
362000 0.619377
363000 0.628054
364000 0.624742
365000 0.628344
366000 0.623231
367000 0.619279
368000 0.624966
369000 0.631533
370000 0.633819
371000 0.634349
372000 0.633788
373000 0.626918
374000 0.63468
375000 0.639885
376000 0.626899
377000 0.630796
378000 0.64197
379000 0.642974
380000 0.639877
381000 0.636689
382000 0.636944
383000 0.640156
384000 0.641494
385000 0.650932
386000 0.648707
387000 0.651219
388000 0.647696
389000 0.649665
390000 0.644892
391000 0.65484
392000 0.653482
393000 0.654047
394000 0.647777
395000 0.650838
396000 0.647007
397000 0.646403
398000 0.658479
399000 0.657344
400000 0.660383
401000 0.657744
402000 0.658622
403000 0.660074
404000 0.658439
405000 0.659009
406000 0.65374
407000 0.652544
408000 0.668038
409000 0.655494
410000 0.65987
411000 0.65173
412000 0.658086
413000 0.661157
414000 0.668708
415000 0.659215
416000 0.654783
417000 0.665283
418000 0.667805
419000 0.665453
420000 0.66068
421000 0.66268
422000 0.656749
423000 0.65817
424000 0.659682
425000 0.662181
426000 0.667946
427000 0.665772
428000 0.667103
429000 0.676484
430000 0.660699
431000 0.66502
432000 0.666533
433000 0.6669
434000 0.661149
435000 0.665392
436000 0.674977
437000 0.669749
438000 0.669002
439000 0.671911
440000 0.67009
441000 0.661989
442000 0.680648
443000 0.67645
444000 0.683267
445000 0.672614
446000 0.677431
447000 0.683431
448000 0.677652
449000 0.676243
450000 0.67168
451000 0.678701
452000 0.679537
453000 0.665465
454000 0.675742
455000 0.682474
456000 0.674956
457000 0.673161
458000 0.676797
459000 0.67313
460000 0.675287
461000 0.684432
462000 0.676471
463000 0.676732
464000 0.665099
465000 0.67921
466000 0.678883
467000 0.677972
468000 0.677575
469000 0.685965
470000 0.68097
471000 0.684332
472000 0.689283
473000 0.686251
474000 0.685934
475000 0.68741
476000 0.683029
477000 0.685534
478000 0.691223
479000 0.695394
480000 0.695502
481000 0.695007
482000 0.688073
483000 0.689424
484000 0.692269
485000 0.697051
486000 0.694118
487000 0.693649
488000 0.708862
489000 0.687829
490000 0.700687
491000 0.704823
492000 0.700474
493000 0.702259
494000 0.706028
495000 0.70465
496000 0.703356
497000 0.702521
498000 0.710188
499000 0.703739
500000 0.703275
501000 0.705003
502000 0.710778
503000 0.708717
504000 0.713691
505000 0.708738
506000 0.716786
507000 0.709921
508000 0.696061
509000 0.705822
510000 0.698713
511000 0.697847
512000 0.704762
513000 0.706482
514000 0.710133
515000 0.713977
516000 0.710898
517000 0.711658
518000 0.710593
519000 0.709795
520000 0.705671
521000 0.703476
522000 0.71828
523000 0.713197
524000 0.713018
525000 0.714685
526000 0.713721
527000 0.725201
528000 0.711219
529000 0.722159
530000 0.702379
531000 0.715134
532000 0.719246
533000 0.718551
534000 0.718421
535000 0.719632
536000 0.730033
537000 0.719498
538000 0.714814
539000 0.714167
540000 0.725008
541000 0.722658
542000 0.718601
543000 0.730573
544000 0.725249
545000 0.717633
546000 0.726567
547000 0.73079
548000 0.728255
549000 0.731029
550000 0.73518
551000 0.727967
552000 0.733483
553000 0.740313
554000 0.737408
555000 0.742581
556000 0.735155
557000 0.740638
558000 0.740339
559000 0.743559
560000 0.737353
561000 0.735114
562000 0.736293
563000 0.739292
564000 0.738744
565000 0.737363
566000 0.729049
567000 0.740807
568000 0.738379
569000 0.745172
570000 0.739953
571000 0.750162
572000 0.736488
573000 0.741828
574000 0.744405
575000 0.742976
576000 0.74158
577000 0.732471
578000 0.733751
579000 0.74598
580000 0.747475
581000 0.744457
582000 0.734127
583000 0.746871
584000 0.745661
585000 0.74835
586000 0.751785
587000 0.74479
588000 0.757069
589000 0.749341
590000 0.744766
591000 0.746772
592000 0.745064
593000 0.737875
594000 0.745776
595000 0.753193
596000 0.743786
597000 0.750355
598000 0.754306
599000 0.747232
600000 0.747396
601000 0.757506
602000 0.756458
603000 0.740567
604000 0.757992
605000 0.754986
606000 0.750481
607000 0.767469
608000 0.764641
609000 0.756135
610000 0.756204
611000 0.756284
612000 0.761679
613000 0.765066
614000 0.757452
615000 0.761677
616000 0.762121
617000 0.761513
618000 0.7668
619000 0.759523
620000 0.762654
621000 0.755155
622000 0.759427
623000 0.767944
624000 0.756597
625000 0.771689
626000 0.767718
627000 0.768617
628000 0.759057
629000 0.766247
630000 0.772151
631000 0.772497
632000 0.77478
633000 0.776152
634000 0.78142
635000 0.77488
636000 0.764975
637000 0.775826
638000 0.771591
639000 0.775829
640000 0.772855
641000 0.78467
642000 0.77562
643000 0.779998
644000 0.772575
645000 0.773827
646000 0.781264
647000 0.775107
648000 0.779215
649000 0.783071
