# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
100000 4.02962e-29
101000 0.344588
102000 0.340023
103000 0.348563
104000 0.346504
105000 0.35358
106000 0.3455
107000 0.362736
108000 0.354963
109000 0.350416
110000 0.350974
111000 0.344657
112000 0.34645
113000 0.34497
114000 0.358848
115000 0.343036
116000 0.359236
117000 0.341749
118000 0.346792
119000 0.351746
120000 0.351847
121000 0.349286
122000 0.356825
123000 0.344565
124000 0.348211
125000 0.345081
126000 0.343368
127000 0.348817
128000 0.339754
129000 0.35918
130000 0.352804
131000 0.361788
132000 0.351784
133000 0.354855
134000 0.358968
135000 0.359532
136000 0.351909
137000 0.350743
138000 0.345128
139000 0.348313
140000 0.353281
141000 0.357232
142000 0.345711
143000 0.346146
144000 0.360819
145000 0.353098
146000 0.357435
147000 0.357186
148000 0.353129
149000 0.342443
150000 0.35297
151000 0.340026
152000 0.355202
153000 0.356099
154000 0.355279
155000 0.348575
156000 0.351981
157000 0.361801
158000 0.35476
159000 0.352872
160000 0.351092
161000 0.349188
162000 0.357193
163000 0.360201
164000 0.349121
165000 0.354556
166000 0.351112
167000 0.367222
168000 0.342339
169000 0.350261
170000 0.346101
171000 0.359974
172000 0.350217
173000 0.367484
174000 0.349844
175000 0.3537
176000 0.352247
177000 0.358169
178000 0.353952
179000 0.357993
180000 0.352418
181000 0.352828
182000 0.359312
183000 0.358566
184000 0.354234
185000 0.352497
186000 0.351322
187000 0.346253
188000 0.35438
189000 0.356128
190000 0.357314
191000 0.356853
192000 0.360303
193000 0.351205
194000 0.349488
195000 0.360878
196000 0.352096
197000 0.355676
198000 0.353119
199000 0.354947
200000 0.350879
201000 0.354788
202000 0.35923
203000 0.364933
204000 0.34971
205000 0.357558
206000 0.36022
207000 0.354193
208000 0.353161
209000 0.348198
210000 0.355893
211000 0.353208
212000 0.357741
213000 0.353221
214000 0.351868
215000 0.348534
216000 0.352313
217000 0.353565
218000 0.352489
219000 0.346699
220000 0.351765
221000 0.356046
222000 0.355942
223000 0.357325
224000 0.349532
225000 0.356801
226000 0.362033
227000 0.349339
228000 0.35712
229000 0.347942
230000 0.359437
231000 0.361518
232000 0.3606
233000 0.346356
234000 0.355689
235000 0.362471
236000 0.357757
237000 0.360862
238000 0.353587
239000 0.34541
240000 0.352884
241000 0.355509
242000 0.348068
243000 0.35862
244000 0.361984
245000 0.351207
246000 0.349958
247000 0.348789
248000 0.352369
249000 0.353733
250000 0.35056
251000 0.355291
252000 0.353669
253000 0.356097
254000 0.349854
255000 0.351687
256000 0.348525
257000 0.348483
258000 0.350248
259000 0.358655
260000 0.349846
261000 0.354308
262000 0.348933
263000 0.347453
264000 0.350522
