# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
100000 5.09209e-29
101000 0.3269
102000 0.342538
103000 0.337154
104000 0.333246
105000 0.346626
106000 0.340895
107000 0.339707
108000 0.335387
109000 0.334733
110000 0.337776
111000 0.346483
112000 0.350258
113000 0.334362
114000 0.350652
115000 0.330467
116000 0.342125
117000 0.337336
118000 0.343592
119000 0.331563
120000 0.345102
121000 0.339505
122000 0.340158
123000 0.334056
124000 0.335487
125000 0.339605
126000 0.333615
127000 0.33858
128000 0.337445
129000 0.349072
130000 0.3338
131000 0.340622
132000 0.330213
133000 0.3441
134000 0.342794
135000 0.344348
136000 0.337613
137000 0.343381
138000 0.340395
139000 0.342526
140000 0.337667
141000 0.337404
142000 0.341424
143000 0.34446
144000 0.346032
145000 0.341689
146000 0.337616
147000 0.33245
148000 0.350924
149000 0.342863
150000 0.340725
151000 0.339652
152000 0.352276
153000 0.347218
154000 0.351513
155000 0.339574
156000 0.343743
157000 0.335
158000 0.341611
159000 0.346387
160000 0.342613
161000 0.332828
162000 0.35221
163000 0.337891
164000 0.347221
165000 0.343151
166000 0.344578
167000 0.33768
168000 0.335808
169000 0.347757
170000 0.341712
171000 0.345881
172000 0.343237
173000 0.346718
174000 0.337146
175000 0.33297
176000 0.343745
177000 0.348338
178000 0.340727
179000 0.343017
180000 0.340116
181000 0.33462
182000 0.345585
183000 0.329878
184000 0.335906
185000 0.335971
186000 0.337304
187000 0.336366
188000 0.346359
189000 0.334839
190000 0.340681
191000 0.343921
192000 0.341585
193000 0.338784
194000 0.341296
195000 0.3321
196000 0.329835
197000 0.342901
198000 0.345104
199000 0.341763
200000 0.34758
201000 0.349679
202000 0.341745
203000 0.34222
204000 0.344491
205000 0.34525
206000 0.338983
207000 0.344403
208000 0.338552
209000 0.340611
210000 0.339916
211000 0.34368
212000 0.34012
213000 0.340529
214000 0.3433
215000 0.342674
216000 0.346109
217000 0.340808
218000 0.341375
219000 0.34791
220000 0.341931
221000 0.341803
222000 0.337952
223000 0.3399
224000 0.334441
225000 0.342032
226000 0.341127
227000 0.339175
228000 0.334105
229000 0.336756
230000 0.340743
231000 0.336239
232000 0.342671
233000 0.354843
234000 0.345464
235000 0.345399
236000 0.343808
237000 0.344873
238000 0.337282
239000 0.339974
240000 0.344704
241000 0.334035
242000 0.338393
243000 0.339892
244000 0.342915
245000 0.341616
246000 0.330884
247000 0.333279
248000 0.344812
249000 0.346006
250000 0.337316
251000 0.343334
252000 0.347541
253000 0.340668
254000 0.341894
255000 0.338582
256000 0.333691
257000 0.338127
258000 0.345958
259000 0.335347
260000 0.340756
261000 0.343618
262000 0.343114
263000 0.344389
264000 0.35385
265000 0.34103
266000 0.343754
267000 0.338114
268000 0.334649
269000 0.346206
270000 0.334044
271000 0.338153
272000 0.335876
