# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 2.04505e-32
101000 0.367545
102000 0.361652
103000 0.36574
104000 0.362763
105000 0.377559
106000 0.368106
107000 0.375297
108000 0.374877
109000 0.373797
110000 0.378254
111000 0.389913
112000 0.381659
113000 0.375521
114000 0.396955
115000 0.382494
116000 0.388625
117000 0.394515
118000 0.39251
119000 0.384343
120000 0.387043
121000 0.402431
122000 0.402871
123000 0.399487
124000 0.392419
125000 0.404452
126000 0.404871
127000 0.407121
128000 0.411321
129000 0.41712
130000 0.406429
131000 0.409434
132000 0.416268
133000 0.420344
134000 0.420596
135000 0.4254
136000 0.426385
137000 0.42201
138000 0.431818
139000 0.423356
140000 0.442573
141000 0.432463
142000 0.42556
143000 0.441833
144000 0.433119
145000 0.432153
146000 0.440833
147000 0.439007
148000 0.432843
149000 0.449374
150000 0.441759
151000 0.457728
152000 0.446177
153000 0.451203
154000 0.44987
155000 0.455345
156000 0.454036
157000 0.451842
158000 0.455328
159000 0.459011
160000 0.457947
161000 0.459803
162000 0.468633
163000 0.468294
164000 0.469055
165000 0.467331
166000 0.469686
167000 0.470318
168000 0.481145
169000 0.480394
170000 0.48055
171000 0.481473
172000 0.483619
173000 0.481488
174000 0.480888
175000 0.486005
176000 0.477561
177000 0.490285
178000 0.482967
179000 0.494876
180000 0.492641
181000 0.494788
182000 0.489435
183000 0.485859
184000 0.489736
185000 0.48912
186000 0.493769
187000 0.489
188000 0.488151
189000 0.477492
190000 0.483553
191000 0.481552
192000 0.492236
193000 0.494087
194000 0.493965
195000 0.500381
196000 0.499152
197000 0.496795
198000 0.493784
199000 0.496009
200000 0.49498
201000 0.500918
202000 0.499702
203000 0.496377
204000 0.501639
205000 0.496858
206000 0.496344
207000 0.505351
208000 0.495417
209000 0.502877
210000 0.507429
211000 0.505045
212000 0.511044
213000 0.525762
214000 0.516361
215000 0.51868
216000 0.521516
217000 0.529481
218000 0.527934
219000 0.529252
220000 0.526174
221000 0.530236
222000 0.534662
223000 0.531262
224000 0.541765
225000 0.545186
226000 0.545151
227000 0.548454
228000 0.534748
229000 0.544508
230000 0.544308
231000 0.539501
232000 0.538336
233000 0.543266
234000 0.546764
235000 0.546127
236000 0.533033
237000 0.537001
238000 0.544739
239000 0.555535
240000 0.546591
241000 0.556073
242000 0.549847
243000 0.553993
244000 0.55709
245000 0.555996
246000 0.546471
247000 0.549547
248000 0.556513
249000 0.553217
250000 0.56764
251000 0.562394
252000 0.564817
253000 0.558074
254000 0.573381
255000 0.566277
256000 0.559383
257000 0.5685
258000 0.559521
259000 0.563672
260000 0.55798
261000 0.564103
262000 0.56363
263000 0.577456
264000 0.576665
265000 0.574778
266000 0.575015
267000 0.579402
268000 0.574116
269000 0.577672
270000 0.594906
271000 0.578143
272000 0.582358
273000 0.575903
274000 0.575796
275000 0.581087
276000 0.582742
277000 0.582919
278000 0.584237
279000 0.585852
280000 0.581356
281000 0.587511
282000 0.587419
283000 0.589827
284000 0.580706
285000 0.582397
286000 0.575921
287000 0.580122
288000 0.57655
289000 0.583379
290000 0.578501
291000 0.578035
292000 0.577852
293000 0.580877
294000 0.57969
295000 0.589854
296000 0.578023
297000 0.598574
298000 0.588956
299000 0.596036
300000 0.588011
301000 0.591977
302000 0.5961
303000 0.587649
304000 0.597614
305000 0.606694
306000 0.599817
307000 0.60717
308000 0.605159
309000 0.599455
310000 0.600507
311000 0.600249
312000 0.602094
313000 0.603049
314000 0.591381
315000 0.584171
316000 0.588826
317000 0.593703
318000 0.600832
319000 0.593009
320000 0.604408
321000 0.598144
322000 0.607529
323000 0.605013
324000 0.605025
325000 0.596117
326000 0.599476
327000 0.59854
328000 0.606007
329000 0.599436
330000 0.587742
331000 0.597382
332000 0.612545
333000 0.606723
334000 0.611459
335000 0.610472
336000 0.611622
337000 0.60104
338000 0.60666
339000 0.602456
340000 0.612281
341000 0.610234
342000 0.609158
343000 0.60837
344000 0.614224
345000 0.607525
346000 0.601834
347000 0.613649
348000 0.615703
349000 0.618835
350000 0.616043
351000 0.61965
352000 0.61679
353000 0.628656
354000 0.615344
355000 0.619515
356000 0.62058
357000 0.607637
358000 0.62041
359000 0.618976
360000 0.624718
361000 0.607384
362000 0.621373
363000 0.619382
364000 0.629206
365000 0.618816
366000 0.63793
367000 0.622265
368000 0.621084
369000 0.632979
370000 0.631444
371000 0.63442
372000 0.640088
373000 0.652384
374000 0.646934
375000 0.655604
376000 0.643647
377000 0.650498
378000 0.648
379000 0.652674
380000 0.643255
381000 0.644214
382000 0.654273
383000 0.64328
384000 0.654026
385000 0.652692
386000 0.653958
387000 0.655214
388000 0.650852
389000 0.650573
390000 0.655479
391000 0.659676
392000 0.651171
393000 0.658251
394000 0.662432
395000 0.660232
396000 0.657656
397000 0.672093
398000 0.676739
399000 0.67969
400000 0.668615
401000 0.672269
402000 0.664515
403000 0.672646
404000 0.657917
405000 0.67687
406000 0.678463
407000 0.682857
408000 0.681304
409000 0.686327
410000 0.687686
411000 0.677688
412000 0.687184
413000 0.690687
414000 0.685562
415000 0.685952
416000 0.686252
417000 0.691942
418000 0.699951
419000 0.692981
420000 0.693292
421000 0.686345
422000 0.680793
423000 0.687194
424000 0.68211
425000 0.683024
426000 0.701091
427000 0.692746
428000 0.693059
429000 0.69765
430000 0.699831
431000 0.698577
432000 0.705975
433000 0.699728
434000 0.697735
435000 0.704467
436000 0.700973
437000 0.698441
438000 0.702096
439000 0.708589
440000 0.712673
441000 0.708391
442000 0.713697
443000 0.716732
444000 0.720827
445000 0.711444
446000 0.724846
447000 0.720758
448000 0.722167
449000 0.712022
450000 0.725785
451000 0.718608
452000 0.73407
453000 0.71554
454000 0.722638
455000 0.718122
456000 0.717187
457000 0.725786
458000 0.717726
459000 0.734635
460000 0.724037
461000 0.722592
462000 0.72176
463000 0.728441
464000 0.739921
465000 0.730631
466000 0.726139
467000 0.726408
468000 0.735112
469000 0.735018
470000 0.73265
471000 0.737269
472000 0.740411
473000 0.743034
474000 0.748132
475000 0.743869
476000 0.753258
477000 0.739598
478000 0.750064
479000 0.748611
480000 0.749848
481000 0.741011
482000 0.741702
483000 0.742394
484000 0.744538
485000 0.751429
486000 0.743503
487000 0.745081
488000 0.735561
489000 0.750522
490000 0.74151
491000 0.754123
492000 0.751028
493000 0.740827
494000 0.754124
495000 0.755186
496000 0.758202
497000 0.744933
498000 0.756526
499000 0.757324
500000 0.757085
501000 0.756851
502000 0.757044
503000 0.747527
504000 0.764878
505000 0.751775
506000 0.749814
507000 0.750016
508000 0.761503
509000 0.763911
510000 0.75035
511000 0.755163
512000 0.76013
513000 0.744672
514000 0.753749
515000 0.756916
516000 0.760148
517000 0.764867
518000 0.762055
519000 0.760685
520000 0.758638
521000 0.762611
522000 0.757371
523000 0.758871
524000 0.752014
525000 0.765344
526000 0.765519
527000 0.768539
528000 0.770238
529000 0.759338
530000 0.777522
531000 0.777284
532000 0.770281
533000 0.769212
534000 0.767908
535000 0.760197
536000 0.776006
537000 0.770294
538000 0.770305
539000 0.76918
540000 0.769672
541000 0.774002
542000 0.76929
543000 0.785373
544000 0.772357
545000 0.785494
546000 0.778003
547000 0.772727
548000 0.774567
549000 0.770048
550000 0.789601
551000 0.774377
552000 0.789235
553000 0.780075
554000 0.780725
555000 0.783054
556000 0.781712
557000 0.778
558000 0.784115
559000 0.777397
560000 0.768569
561000 0.78498
562000 0.769229
563000 0.773991
564000 0.784221
565000 0.790343
566000 0.779267
567000 0.789831
568000 0.775927
569000 0.794456
570000 0.802484
571000 0.787168
572000 0.794922
573000 0.784029
574000 0.783075
575000 0.787443
576000 0.787062
577000 0.791454
578000 0.788723
579000 0.789104
580000 0.780469
581000 0.798665
582000 0.791825
583000 0.797286
584000 0.790844
585000 0.798066
586000 0.789704
587000 0.802032
588000 0.799573
589000 0.797609
590000 0.809625
591000 0.801905
592000 0.798727
593000 0.808434
594000 0.809323
595000 0.81
596000 0.805835
597000 0.800079
598000 0.802214
599000 0.798796
600000 0.80849
601000 0.808885
602000 0.803498
603000 0.79418
604000 0.81342
605000 0.811664
606000 0.809824
607000 0.818935
608000 0.807382
609000 0.805379
610000 0.807217
611000 0.813501
612000 0.816632
613000 0.809166
614000 0.813339
615000 0.804983
616000 0.813237
617000 0.81026
618000 0.811315
619000 0.815256
620000 0.818371
621000 0.816965
622000 0.827374
623000 0.80813
624000 0.819998
625000 0.82254
626000 0.810328
627000 0.810132
628000 0.823678
629000 0.822283
630000 0.816875
631000 0.824508
632000 0.818937
633000 0.829412
634000 0.828323
635000 0.825388
636000 0.826054
637000 0.843292
638000 0.82813
639000 0.830243
640000 0.826286
641000 0.844165
642000 0.833424
643000 0.839316
644000 0.843502
645000 0.848069
646000 0.843982
647000 0.841516
648000 0.836739
649000 0.833205
650000 0.834763
651000 0.840987
652000 0.844001
653000 0.833197
654000 0.842143
655000 0.846041
656000 0.840022
657000 0.841728
658000 0.84202
659000 0.84176
660000 0.846244
661000 0.833841
662000 0.838758
663000 0.846581
664000 0.852893
665000 0.847454
666000 0.841351
667000 0.856161
668000 0.851727
669000 0.850751
670000 0.839093
671000 0.835606
672000 0.847191
673000 0.844383
674000 0.836089
675000 0.835264
676000 0.842699
677000 0.829682
678000 0.848343
679000 0.833772
680000 0.839894
681000 0.836833
682000 0.8434
683000 0.84064
684000 0.832089
685000 0.829787
686000 0.844855
687000 0.856272
688000 0.848515
689000 0.850673
690000 0.838152
691000 0.8505
692000 0.842897
693000 0.856012
694000 0.848297
695000 0.853386
696000 0.8544
697000 0.85732
698000 0.857814
699000 0.858358
700000 0.870058
701000 0.849988
702000 0.856362
703000 0.861678
704000 0.870118
705000 0.860546
706000 0.868579
707000 0.875721
708000 0.869609
709000 0.879207
710000 0.860648
711000 0.869757
712000 0.866836
713000 0.878661
714000 0.868094
715000 0.868346
716000 0.85764
717000 0.874087
718000 0.868681
719000 0.861265
720000 0.860868
721000 0.852054
722000 0.866649
723000 0.860251
724000 0.867201
725000 0.861738
726000 0.861909
727000 0.865085
728000 0.863097
729000 0.864092
730000 0.852741
731000 0.861545
732000 0.857058
733000 0.868081
734000 0.861655
735000 0.863787
736000 0.863532
737000 0.861317
738000 0.865852
739000 0.872314
740000 0.873191
741000 0.881279
742000 0.867876
743000 0.8701
744000 0.872559
