# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.07107e-29
101000 0.36401
102000 0.359916
103000 0.365094
104000 0.364624
105000 0.374348
106000 0.387382
107000 0.386992
108000 0.398343
109000 0.391848
110000 0.399982
111000 0.390214
112000 0.393139
113000 0.39812
114000 0.406798
115000 0.394804
116000 0.400392
117000 0.403341
118000 0.40892
119000 0.411115
120000 0.410836
121000 0.418723
122000 0.416925
123000 0.425496
124000 0.430489
125000 0.433556
126000 0.422751
127000 0.441946
128000 0.437612
129000 0.434917
130000 0.448368
131000 0.437797
132000 0.437463
133000 0.432281
134000 0.439345
135000 0.435929
136000 0.446083
137000 0.450218
138000 0.439715
139000 0.448048
140000 0.449413
141000 0.441881
142000 0.459341
143000 0.453843
144000 0.454352
145000 0.448839
146000 0.451729
147000 0.451029
148000 0.451502
149000 0.456447
150000 0.456174
151000 0.463151
152000 0.452338
153000 0.45835
154000 0.452079
155000 0.458554
156000 0.45483
157000 0.456438
158000 0.453045
159000 0.458784
160000 0.45755
161000 0.460851
162000 0.448195
163000 0.452685
164000 0.457502
165000 0.451729
166000 0.456933
167000 0.453244
168000 0.465431
169000 0.459819
170000 0.464151
171000 0.46578
172000 0.467169
173000 0.462237
174000 0.466733
175000 0.469007
176000 0.473452
177000 0.473892
178000 0.484647
179000 0.47275
180000 0.481067
181000 0.476398
182000 0.470996
183000 0.487682
184000 0.476404
185000 0.484981
186000 0.480587
187000 0.486181
188000 0.488098
189000 0.489514
190000 0.490227
191000 0.485641
192000 0.486911
193000 0.487708
194000 0.487111
195000 0.490102
196000 0.486056
197000 0.483049
198000 0.487668
199000 0.480966
200000 0.491731
201000 0.486553
202000 0.488874
203000 0.487589
204000 0.493368
205000 0.502953
206000 0.493121
207000 0.495292
208000 0.490216
209000 0.492635
210000 0.512364
211000 0.496451
212000 0.492863
213000 0.49747
214000 0.487108
215000 0.495245
216000 0.496304
217000 0.495743
218000 0.495795
219000 0.500645
220000 0.497587
221000 0.495186
222000 0.501218
223000 0.502105
224000 0.490174
225000 0.494621
226000 0.501909
227000 0.508317
228000 0.509343
229000 0.510564
230000 0.508393
231000 0.511015
232000 0.516106
233000 0.517507
234000 0.514332
235000 0.517883
236000 0.506167
237000 0.50449
238000 0.505714
239000 0.515077
240000 0.506967
241000 0.509658
242000 0.5119
243000 0.514779
244000 0.515585
245000 0.520931
246000 0.511421
247000 0.516443
248000 0.514523
249000 0.515772
250000 0.517399
251000 0.512262
252000 0.516469
253000 0.507027
254000 0.518595
255000 0.517624
256000 0.519217
257000 0.510196
258000 0.517409
259000 0.507554
260000 0.515625
261000 0.517285
262000 0.509197
263000 0.508364
264000 0.512266
265000 0.516521
266000 0.5178
267000 0.521749
268000 0.512626
269000 0.52732
270000 0.524352
271000 0.521479
272000 0.517528
273000 0.519639
274000 0.530152
275000 0.519947
276000 0.528654
277000 0.523589
278000 0.5287
279000 0.521675
280000 0.532219
281000 0.526657
282000 0.52943
283000 0.537364
284000 0.532896
285000 0.538446
286000 0.538316
287000 0.525173
288000 0.526499
289000 0.533649
290000 0.52328
291000 0.529024
292000 0.52801
293000 0.534023
294000 0.530861
295000 0.531985
296000 0.515255
297000 0.531217
298000 0.520715
299000 0.521569
300000 0.523009
301000 0.520704
302000 0.526332
303000 0.520678
304000 0.517988
305000 0.517265
306000 0.521903
307000 0.526768
308000 0.512152
309000 0.518672
310000 0.519819
311000 0.515032
312000 0.514021
313000 0.521049
314000 0.522446
315000 0.530336
316000 0.51726
317000 0.528474
318000 0.527548
319000 0.525712
320000 0.530043
321000 0.52237
322000 0.519472
323000 0.527543
324000 0.536496
325000 0.529251
326000 0.53093
327000 0.536191
328000 0.529553
329000 0.53016
330000 0.528838
331000 0.528748
332000 0.537049
333000 0.529869
334000 0.533075
335000 0.539564
336000 0.543481
337000 0.548026
338000 0.548342
339000 0.543906
340000 0.541064
341000 0.53326
342000 0.544005
343000 0.553207
344000 0.540262
345000 0.539499
346000 0.542882
347000 0.540404
348000 0.542959
349000 0.543452
350000 0.540347
351000 0.54444
352000 0.540984
353000 0.545867
354000 0.544225
