# Time-averaged data for fix oxidemsdt
# TimeStep c_oxidemsd[4]
100000 5.04871e-29
101000 0.159961
102000 0.151104
103000 0.149457
104000 0.154299
105000 0.152299
106000 0.155741
107000 0.156795
108000 0.153793
109000 0.151994
110000 0.159441
111000 0.156419
112000 0.157905
113000 0.152434
114000 0.158965
115000 0.151772
116000 0.160116
117000 0.155442
118000 0.153919
119000 0.152939
120000 0.157676
121000 0.151565
122000 0.158758
123000 0.154393
124000 0.15493
125000 0.153715
126000 0.153963
127000 0.152375
128000 0.157815
129000 0.153799
130000 0.15835
131000 0.154964
132000 0.160072
133000 0.155324
134000 0.156686
135000 0.160445
136000 0.150313
137000 0.158321
138000 0.154693
139000 0.157632
140000 0.153268
141000 0.15604
142000 0.156154
143000 0.155379
144000 0.148296
145000 0.151234
146000 0.156089
147000 0.15677
148000 0.150529
149000 0.155427
150000 0.15922
151000 0.150896
152000 0.154616
153000 0.155726
154000 0.149393
155000 0.157839
156000 0.156219
157000 0.151428
158000 0.154263
159000 0.15349
160000 0.155193
161000 0.158517
162000 0.152065
163000 0.158633
164000 0.153228
165000 0.156473
166000 0.156186
167000 0.154266
168000 0.150778
169000 0.156108
170000 0.154546
171000 0.149636
172000 0.150773
173000 0.147947
174000 0.155594
175000 0.151461
176000 0.150761
177000 0.157771
178000 0.155965
179000 0.152604
180000 0.153461
181000 0.156981
182000 0.153592
183000 0.155266
184000 0.15148
185000 0.154274
186000 0.150296
187000 0.154349
188000 0.15245
189000 0.151615
190000 0.155513
191000 0.150437
192000 0.160976
193000 0.151512
194000 0.159115
195000 0.152591
196000 0.163474
197000 0.153395
198000 0.152221
199000 0.156966
200000 0.152587
201000 0.158795
202000 0.152345
203000 0.15632
204000 0.155061
205000 0.155522
206000 0.154566
207000 0.15747
208000 0.153703
209000 0.155432
210000 0.154041
211000 0.153858
212000 0.157602
213000 0.155562
214000 0.152374
215000 0.151014
216000 0.152565
217000 0.149152
218000 0.151314
219000 0.14963
220000 0.153497
221000 0.158925
222000 0.161175
223000 0.155705
224000 0.158078
225000 0.150516
226000 0.153307
227000 0.151811
228000 0.159968
229000 0.156823
230000 0.152793
231000 0.154649
232000 0.15372
233000 0.156196
234000 0.15579
235000 0.149487
236000 0.152541
237000 0.154708
238000 0.157997
239000 0.155948
240000 0.149258
241000 0.149882
242000 0.156768
243000 0.15084
244000 0.159146
245000 0.155171
246000 0.156088
247000 0.155217
248000 0.156152
249000 0.152447
250000 0.155779
251000 0.155138
252000 0.155942
253000 0.156963
254000 0.156602
255000 0.157906
256000 0.151771
257000 0.158438
258000 0.152855
259000 0.15187
260000 0.156958
261000 0.15688
262000 0.1545
263000 0.163798
264000 0.151604
265000 0.154163
266000 0.150981
267000 0.152298
268000 0.151933
269000 0.154575
270000 0.148327
271000 0.158712
272000 0.15336
273000 0.149119
274000 0.152225
275000 0.151199
276000 0.157117
277000 0.153531
278000 0.158252
279000 0.155579
280000 0.159036
281000 0.15707
282000 0.157115
283000 0.152685
284000 0.15948
285000 0.151432
286000 0.158118
287000 0.152623
288000 0.154216
289000 0.161245
290000 0.156811
291000 0.15032
292000 0.154011
293000 0.158564
294000 0.155355
295000 0.158273
296000 0.155793
297000 0.162317
298000 0.153478
299000 0.156425
300000 0.158514
301000 0.158496
302000 0.150924
303000 0.156278
304000 0.160633
305000 0.157784
306000 0.158335
307000 0.15338
308000 0.152882
309000 0.157315
310000 0.157025
311000 0.155315
312000 0.159098
313000 0.151629
314000 0.158973
315000 0.152166
316000 0.15806
317000 0.153471
318000 0.15452
319000 0.150616
320000 0.15712
321000 0.155945
322000 0.150489
323000 0.157418
324000 0.153425
325000 0.152319
326000 0.159022
327000 0.158452
328000 0.153735
329000 0.164091
330000 0.157666
331000 0.156854
332000 0.156623
333000 0.154974
334000 0.152181
335000 0.152302
336000 0.153054
337000 0.151039
338000 0.155447
339000 0.155769
340000 0.151
341000 0.155721
342000 0.153262
343000 0.15653
344000 0.162614
345000 0.152116
346000 0.156761
347000 0.157286
348000 0.155556
349000 0.152756
350000 0.155256
351000 0.154061
352000 0.156118
353000 0.155282
354000 0.154158
355000 0.152573
356000 0.150764
357000 0.157879
358000 0.153862
359000 0.154835
360000 0.1533
361000 0.154003
362000 0.151874
363000 0.162148
364000 0.154724
365000 0.15522
366000 0.153093
367000 0.156281
368000 0.151878
369000 0.147217
370000 0.152529
371000 0.156351
372000 0.154871
373000 0.151785
374000 0.155301
375000 0.157487
376000 0.155363
377000 0.148936
378000 0.153391
379000 0.15181
380000 0.155065
381000 0.152718
382000 0.150852
383000 0.147769
384000 0.15528
385000 0.150376
386000 0.160029
387000 0.158115
388000 0.152125
389000 0.154598
390000 0.150286
391000 0.153408
392000 0.151988
393000 0.155053
394000 0.153451
395000 0.154893
396000 0.150889
397000 0.152067
398000 0.151802
399000 0.157762
400000 0.158968
401000 0.151259
402000 0.154315
403000 0.15946
404000 0.150847
405000 0.156519
406000 0.156259
407000 0.155846
408000 0.151771
409000 0.156966
410000 0.152317
411000 0.156716
412000 0.155753
413000 0.153521
414000 0.155502
415000 0.150017
416000 0.15989
417000 0.155111
418000 0.161675
419000 0.152986
420000 0.15744
421000 0.154723
422000 0.159601
423000 0.157269
424000 0.154713
425000 0.153462
426000 0.159138
427000 0.154716
428000 0.164673
429000 0.153814
430000 0.152054
431000 0.156838
432000 0.154127
433000 0.160266
434000 0.148046
435000 0.154678
436000 0.152905
437000 0.162087
438000 0.152304
439000 0.157833
440000 0.155526
441000 0.160196
442000 0.157765
443000 0.152523
444000 0.157672
445000 0.155431
446000 0.159168
447000 0.154451
448000 0.153103
449000 0.154766
450000 0.159596
451000 0.154335
452000 0.156658
453000 0.154651
454000 0.155167
455000 0.157021
456000 0.151241
457000 0.156424
458000 0.157064
459000 0.156039
460000 0.15777
461000 0.156713
462000 0.150847
463000 0.157613
464000 0.15361
465000 0.153791
466000 0.155624
467000 0.153938
468000 0.154165
469000 0.161862
470000 0.151119
471000 0.157465
472000 0.149971
473000 0.152188
474000 0.154902
475000 0.147868
476000 0.157989
477000 0.155806
478000 0.155261
479000 0.156624
480000 0.151864
481000 0.15555
482000 0.157069
483000 0.152228
484000 0.155594
485000 0.154521
486000 0.150245
487000 0.15434
488000 0.155515
489000 0.153856
490000 0.152948
491000 0.154755
492000 0.154529
493000 0.155661
494000 0.146334
495000 0.15564
496000 0.146897
497000 0.165011
498000 0.152976
499000 0.150738
500000 0.153136
501000 0.162589
502000 0.149783
503000 0.155409
504000 0.153317
505000 0.155922
506000 0.152837
507000 0.15478
508000 0.155364
509000 0.152666
