# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.07277e-29
101000 0.392351
102000 0.390445
103000 0.393132
104000 0.402608
105000 0.406606
106000 0.405029
107000 0.405192
108000 0.407311
109000 0.400205
110000 0.39899
111000 0.403085
112000 0.413533
113000 0.405683
114000 0.414479
115000 0.402149
116000 0.418558
117000 0.407916
118000 0.410859
119000 0.412603
120000 0.426257
121000 0.415955
122000 0.418269
123000 0.412192
124000 0.424366
125000 0.421784
126000 0.418526
127000 0.428503
128000 0.432941
129000 0.433096
130000 0.427554
131000 0.441375
132000 0.42741
133000 0.430861
134000 0.438302
135000 0.435654
136000 0.445319
137000 0.451064
138000 0.446089
139000 0.441893
140000 0.456674
141000 0.448482
142000 0.450874
143000 0.462899
144000 0.456304
145000 0.447548
146000 0.466475
147000 0.466024
148000 0.460289
149000 0.454471
150000 0.466105
151000 0.466278
152000 0.462779
153000 0.464277
154000 0.462229
155000 0.461905
156000 0.461274
157000 0.466898
158000 0.468814
159000 0.467718
160000 0.474393
161000 0.471753
162000 0.465755
163000 0.480855
164000 0.474296
165000 0.480903
166000 0.470673
167000 0.480681
168000 0.483271
169000 0.487023
170000 0.484506
171000 0.485636
172000 0.493554
173000 0.495135
174000 0.500507
175000 0.497553
176000 0.499007
177000 0.494068
178000 0.494868
179000 0.498254
180000 0.508112
181000 0.508303
182000 0.507129
183000 0.511561
184000 0.500906
185000 0.521238
186000 0.515969
187000 0.51139
188000 0.511829
189000 0.516084
190000 0.517719
191000 0.51489
192000 0.516134
193000 0.525777
194000 0.525162
195000 0.520553
196000 0.523856
197000 0.524986
198000 0.531332
199000 0.53285
200000 0.529541
201000 0.523904
202000 0.529728
203000 0.525183
204000 0.527506
205000 0.539172
206000 0.539813
207000 0.540825
208000 0.533308
209000 0.520629
210000 0.529812
211000 0.534426
212000 0.537941
213000 0.534127
214000 0.529135
215000 0.534366
216000 0.534147
217000 0.534588
218000 0.536598
219000 0.538685
220000 0.543088
221000 0.546852
222000 0.545246
223000 0.543367
224000 0.552064
225000 0.545511
226000 0.554279
227000 0.554905
228000 0.5618
229000 0.539202
230000 0.555557
231000 0.555448
232000 0.554779
233000 0.553587
234000 0.562212
235000 0.56222
236000 0.562967
237000 0.564215
238000 0.555056
239000 0.565438
240000 0.556821
241000 0.561354
242000 0.566778
243000 0.569997
244000 0.556256
245000 0.563562
246000 0.564845
247000 0.559116
248000 0.569673
249000 0.566761
250000 0.568762
251000 0.563239
252000 0.560582
253000 0.559841
254000 0.57395
255000 0.566787
256000 0.562039
257000 0.568082
258000 0.557807
259000 0.567015
260000 0.569969
261000 0.571327
262000 0.567265
263000 0.57879
264000 0.579245
265000 0.575971
266000 0.574896
267000 0.570479
268000 0.582064
269000 0.581865
270000 0.573615
271000 0.57462
272000 0.578292
273000 0.587018
274000 0.577586
275000 0.582011
276000 0.593835
277000 0.595936
278000 0.598193
279000 0.591854
280000 0.591219
281000 0.590951
282000 0.584825
283000 0.588742
284000 0.583561
285000 0.582447
286000 0.598099
287000 0.600472
288000 0.592299
289000 0.588972
290000 0.601026
291000 0.602038
292000 0.58988
293000 0.596611
294000 0.605329
295000 0.604178
296000 0.595902
297000 0.598128
298000 0.612147
299000 0.604042
300000 0.610343
301000 0.606589
302000 0.606749
303000 0.604401
304000 0.618311
305000 0.611763
306000 0.615714
307000 0.610828
308000 0.609687
309000 0.611315
310000 0.608098
311000 0.611886
312000 0.606994
313000 0.61248
314000 0.607218
315000 0.62358
316000 0.610708
317000 0.618631
318000 0.6158
319000 0.614566
320000 0.609978
321000 0.616323
322000 0.621155
323000 0.622058
324000 0.629674
325000 0.624842
326000 0.622406
327000 0.622825
328000 0.626018
329000 0.626637
330000 0.631321
331000 0.620413
332000 0.626735
333000 0.626721
334000 0.619832
335000 0.627806
336000 0.632311
337000 0.639581
338000 0.622686
339000 0.625194
340000 0.617746
341000 0.630342
342000 0.630108
343000 0.621122
344000 0.61509
345000 0.629111
346000 0.621751
347000 0.631269
348000 0.628688
349000 0.643589
350000 0.636586
351000 0.648314
352000 0.63572
353000 0.638807
354000 0.638917
355000 0.649596
356000 0.641159
357000 0.640428
358000 0.631642
359000 0.635799
360000 0.639806
361000 0.635355
362000 0.635884
363000 0.632219
364000 0.629122
365000 0.638857
366000 0.632476
367000 0.631207
368000 0.636512
369000 0.634285
370000 0.631231
371000 0.638145
372000 0.64678
373000 0.642915
374000 0.645112
375000 0.644955
376000 0.646817
377000 0.652874
378000 0.643756
379000 0.650174
380000 0.640702
381000 0.647328
382000 0.64813
383000 0.65537
384000 0.644892
385000 0.639185
386000 0.651354
387000 0.643516
388000 0.651308
389000 0.659607
390000 0.658032
391000 0.65268
392000 0.652308
393000 0.659155
394000 0.649396
395000 0.646937
396000 0.665309
397000 0.65199
398000 0.659347
399000 0.660586
400000 0.659036
401000 0.654657
402000 0.656585
403000 0.651072
404000 0.650548
405000 0.655787
406000 0.651545
407000 0.650396
408000 0.65549
409000 0.655621
410000 0.663934
411000 0.662801
412000 0.656566
413000 0.673139
414000 0.661741
415000 0.654349
416000 0.660661
417000 0.66203
418000 0.66519
419000 0.66537
420000 0.663697
421000 0.668341
422000 0.676943
423000 0.672154
424000 0.664517
425000 0.678423
426000 0.673099
427000 0.672718
428000 0.683995
429000 0.670319
430000 0.676597
431000 0.675927
432000 0.674784
433000 0.680354
434000 0.684336
435000 0.677228
436000 0.675643
437000 0.679568
438000 0.669135
439000 0.681762
440000 0.682155
441000 0.684698
442000 0.685175
443000 0.67692
444000 0.678197
445000 0.679535
446000 0.680588
447000 0.672288
448000 0.686765
449000 0.688406
450000 0.682533
451000 0.673524
452000 0.697249
453000 0.689704
454000 0.684284
455000 0.678765
456000 0.685195
457000 0.679056
458000 0.685389
459000 0.686165
460000 0.687555
461000 0.694549
462000 0.683403
463000 0.688062
464000 0.689286
465000 0.689603
466000 0.688817
467000 0.691323
468000 0.689766
469000 0.702514
470000 0.691712
471000 0.69122
472000 0.690101
473000 0.700067
474000 0.694298
475000 0.696489
476000 0.694319
477000 0.696944
478000 0.690517
479000 0.701373
480000 0.692359
481000 0.696151
482000 0.693729
483000 0.698006
484000 0.695104
485000 0.689259
486000 0.698111
487000 0.697895
488000 0.697092
489000 0.702296
490000 0.702239
491000 0.706225
492000 0.703983
493000 0.714732
494000 0.708837
495000 0.707515
496000 0.704154
497000 0.71461
498000 0.716943
499000 0.717092
500000 0.712191
501000 0.725032
502000 0.719128
503000 0.707222
504000 0.7125
505000 0.719089
506000 0.716346
507000 0.723049
508000 0.719759
509000 0.723126
510000 0.726655
511000 0.719283
512000 0.720572
513000 0.729727
514000 0.730724
515000 0.726977
516000 0.724153
517000 0.723919
518000 0.732648
519000 0.731349
520000 0.731675
521000 0.720159
522000 0.737876
523000 0.727214
524000 0.726627
525000 0.740652
526000 0.737666
527000 0.732774
528000 0.737527
529000 0.746618
530000 0.73761
531000 0.733882
532000 0.739225
533000 0.744245
534000 0.737019
535000 0.747145
536000 0.740557
537000 0.742476
538000 0.753081
539000 0.753488
540000 0.743754
541000 0.748994
542000 0.738815
543000 0.74011
544000 0.742348
545000 0.74128
546000 0.731797
547000 0.746479
548000 0.736263
549000 0.753484
550000 0.748361
551000 0.753444
552000 0.747097
553000 0.74166
554000 0.748641
555000 0.749239
556000 0.748827
557000 0.757684
558000 0.758909
559000 0.751658
560000 0.748058
561000 0.755635
562000 0.750127
563000 0.755247
564000 0.75324
565000 0.764068
566000 0.759741
567000 0.751803
568000 0.754885
569000 0.754132
570000 0.761765
571000 0.761735
572000 0.763811
573000 0.763127
574000 0.764962
575000 0.769446
576000 0.768918
577000 0.761388
578000 0.759333
579000 0.756364
580000 0.750777
581000 0.767341
582000 0.764913
583000 0.769237
584000 0.77777
585000 0.767487
586000 0.77616
587000 0.780139
588000 0.781331
589000 0.780733
590000 0.7801
591000 0.782871
592000 0.78606
593000 0.788078
594000 0.784068
595000 0.79051
596000 0.784612
597000 0.775874
598000 0.786506
599000 0.791384
600000 0.779743
601000 0.785834
602000 0.789276
603000 0.78569
604000 0.794508
605000 0.794109
606000 0.784077
607000 0.8
608000 0.798587
609000 0.785273
610000 0.802299
611000 0.804407
612000 0.796656
613000 0.815224
614000 0.814366
615000 0.802603
616000 0.812101
617000 0.794257
618000 0.792043
619000 0.80824
620000 0.808619
621000 0.814547
622000 0.804994
623000 0.799482
624000 0.811955
625000 0.802965
626000 0.796004
627000 0.817227
628000 0.797148
629000 0.799082
630000 0.808243
631000 0.807581
632000 0.811853
633000 0.807529
634000 0.810945
635000 0.805121
636000 0.813505
637000 0.819102
638000 0.812145
639000 0.806773
640000 0.805056
641000 0.811987
642000 0.806521
643000 0.813703
644000 0.824582
645000 0.811343
646000 0.826784
647000 0.814661
648000 0.82702
649000 0.811514
650000 0.817812
651000 0.809225
652000 0.815718
653000 0.811863
654000 0.818817
655000 0.817326
656000 0.822652
657000 0.820364
658000 0.818848
659000 0.821776
660000 0.814329
661000 0.825826
662000 0.81991
663000 0.818453
664000 0.816247
665000 0.810816
666000 0.810288
667000 0.818833
668000 0.813448
669000 0.821619
670000 0.818877
671000 0.824214
672000 0.813589
673000 0.811132
674000 0.820465
675000 0.824259
676000 0.818286
677000 0.820963
678000 0.817031
679000 0.821656
680000 0.824172
681000 0.820175
682000 0.82686
683000 0.828159
684000 0.832256
685000 0.827445
686000 0.825559
687000 0.829838
688000 0.835048
689000 0.834239
690000 0.830253
691000 0.828003
692000 0.837648
693000 0.836622
694000 0.826942
695000 0.829268
696000 0.830819
697000 0.836426
698000 0.834592
699000 0.832033
700000 0.828626
701000 0.839215
702000 0.838544
703000 0.829189
704000 0.8361
705000 0.841503
706000 0.831177
707000 0.838784
708000 0.830637
709000 0.831098
710000 0.830924
711000 0.821523
712000 0.835088
713000 0.831796
714000 0.843109
715000 0.829704
716000 0.833591
717000 0.835562
718000 0.832146
719000 0.832356
720000 0.833303
721000 0.848757
722000 0.832815
723000 0.837937
724000 0.84337
725000 0.831586
726000 0.83419
727000 0.843088
728000 0.847858
729000 0.834393
730000 0.850203
731000 0.849412
732000 0.842755
733000 0.835374
734000 0.861359
735000 0.84769
736000 0.833489
737000 0.83628
738000 0.84633
739000 0.839634
740000 0.84418
741000 0.8361
742000 0.843691
743000 0.840178
744000 0.833991
745000 0.853711
746000 0.849367
747000 0.855939
748000 0.846227
749000 0.838884
750000 0.844608
751000 0.852107
752000 0.845857
753000 0.850069
754000 0.853742
755000 0.84563
756000 0.84182
757000 0.855695
758000 0.838939
759000 0.846604
760000 0.836773
761000 0.844829
762000 0.849616
763000 0.852772
764000 0.848754
765000 0.843619
766000 0.847527
767000 0.850706
768000 0.868947
769000 0.854392
770000 0.862392
771000 0.85971
772000 0.857028
773000 0.85154
774000 0.854833
775000 0.84998
776000 0.859763
777000 0.863852
778000 0.856263
779000 0.856131
780000 0.858
781000 0.857591
782000 0.868995
783000 0.860772
784000 0.860542
785000 0.863815
786000 0.863121
787000 0.868385
788000 0.863714
789000 0.875443
790000 0.867314
791000 0.865205
792000 0.869248
793000 0.866285
