# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.58935e-32
101000 0.412004
102000 0.403947
103000 0.419976
104000 0.410292
105000 0.42241
106000 0.418491
107000 0.4352
108000 0.437879
109000 0.431433
110000 0.437387
111000 0.442375
112000 0.448738
113000 0.443983
114000 0.446704
115000 0.436979
116000 0.44699
117000 0.450891
118000 0.455325
119000 0.450512
120000 0.456092
121000 0.464286
122000 0.460054
123000 0.472672
124000 0.465437
125000 0.463666
126000 0.469998
127000 0.473247
128000 0.474961
129000 0.490878
130000 0.48423
131000 0.486957
132000 0.479639
133000 0.499879
134000 0.50268
135000 0.503278
136000 0.503802
137000 0.504407
138000 0.509497
139000 0.503119
140000 0.511489
141000 0.515531
142000 0.515399
143000 0.508424
144000 0.518957
145000 0.525483
146000 0.524473
147000 0.518612
148000 0.526537
149000 0.523984
150000 0.523625
151000 0.52687
152000 0.527387
153000 0.525074
154000 0.527386
155000 0.536197
156000 0.535458
157000 0.542436
158000 0.534538
159000 0.551701
160000 0.540199
161000 0.537534
162000 0.536749
163000 0.536857
164000 0.552797
165000 0.543332
166000 0.555345
167000 0.546648
168000 0.551349
169000 0.550491
170000 0.557925
171000 0.552749
172000 0.54347
173000 0.547195
174000 0.545984
175000 0.554613
176000 0.554097
177000 0.547989
178000 0.550108
179000 0.55777
180000 0.552718
181000 0.563329
182000 0.562532
183000 0.558618
184000 0.561405
185000 0.563842
186000 0.553477
187000 0.566344
188000 0.56063
189000 0.555074
190000 0.558192
191000 0.544997
192000 0.554813
193000 0.558942
194000 0.565072
195000 0.566578
196000 0.558249
197000 0.567003
198000 0.565059
199000 0.56862
200000 0.572587
201000 0.574174
202000 0.570372
203000 0.553063
204000 0.570455
205000 0.575253
206000 0.560738
207000 0.568298
208000 0.574777
209000 0.574708
210000 0.5618
211000 0.562456
212000 0.569258
213000 0.580023
214000 0.57696
215000 0.568459
216000 0.580717
217000 0.579382
218000 0.572365
219000 0.569771
220000 0.574584
221000 0.58606
222000 0.571337
223000 0.577546
224000 0.577163
225000 0.576986
226000 0.59041
227000 0.582615
228000 0.586394
229000 0.600175
230000 0.593711
231000 0.598767
232000 0.596025
233000 0.600452
234000 0.6007
235000 0.593342
236000 0.599631
237000 0.601893
238000 0.590606
239000 0.604623
240000 0.608367
241000 0.613531
242000 0.619821
243000 0.617676
244000 0.620119
245000 0.61751
246000 0.620491
247000 0.628372
248000 0.617687
249000 0.647125
250000 0.643018
251000 0.642041
252000 0.650208
253000 0.644841
254000 0.642883
255000 0.651442
256000 0.649377
257000 0.644745
258000 0.644215
259000 0.635852
260000 0.646113
261000 0.646943
262000 0.661401
263000 0.654933
264000 0.651741
265000 0.645662
266000 0.646487
267000 0.64608
268000 0.650592
269000 0.666909
270000 0.669229
271000 0.660961
272000 0.667712
273000 0.671086
274000 0.665905
275000 0.668464
276000 0.673438
277000 0.671197
278000 0.669954
279000 0.677559
280000 0.671639
281000 0.671986
282000 0.673083
283000 0.67142
284000 0.687851
285000 0.676335
286000 0.67863
287000 0.671325
288000 0.673504
289000 0.678431
290000 0.672121
291000 0.665632
292000 0.689364
293000 0.679575
294000 0.672437
295000 0.684254
296000 0.686666
297000 0.687843
298000 0.689332
299000 0.68018
300000 0.679991
301000 0.678706
302000 0.687728
303000 0.67995
304000 0.686626
305000 0.685244
306000 0.695688
307000 0.694372
308000 0.69656
309000 0.709377
310000 0.69451
311000 0.712991
312000 0.707683
313000 0.712959
314000 0.716073
315000 0.71581
316000 0.721532
317000 0.711394
318000 0.726522
319000 0.727695
320000 0.723946
321000 0.716264
322000 0.726232
323000 0.724492
324000 0.730245
325000 0.731788
326000 0.718073
327000 0.727383
328000 0.727995
329000 0.728179
330000 0.735497
331000 0.726568
332000 0.733122
333000 0.732826
334000 0.734546
335000 0.731766
336000 0.734139
337000 0.739722
338000 0.742496
339000 0.733054
340000 0.737336
341000 0.739445
342000 0.740022
343000 0.744477
344000 0.744184
345000 0.745907
346000 0.749931
347000 0.726293
348000 0.739321
349000 0.7416
350000 0.746933
351000 0.746612
352000 0.746058
353000 0.739077
354000 0.753667
355000 0.751138
356000 0.761772
357000 0.77065
358000 0.755279
359000 0.762318
360000 0.762085
361000 0.766762
362000 0.762638
363000 0.760871
364000 0.755916
365000 0.758443
366000 0.770545
367000 0.77048
368000 0.756403
369000 0.771383
370000 0.76671
371000 0.764327
372000 0.770298
373000 0.777933
374000 0.770982
375000 0.7693
376000 0.781863
377000 0.787159
378000 0.773462
379000 0.783584
380000 0.78827
381000 0.779926
382000 0.79099
383000 0.793398
384000 0.788027
385000 0.773505
386000 0.781847
387000 0.778499
388000 0.777548
389000 0.776638
390000 0.780754
391000 0.781399
392000 0.776648
393000 0.778023
394000 0.773175
395000 0.783235
396000 0.781858
397000 0.772883
398000 0.781147
399000 0.793043
400000 0.773272
401000 0.787031
402000 0.793381
403000 0.790903
404000 0.784123
405000 0.780344
406000 0.78195
407000 0.786963
408000 0.788628
409000 0.775735
410000 0.793446
411000 0.783453
412000 0.795342
413000 0.770565
414000 0.790839
415000 0.781794
416000 0.778293
417000 0.785097
418000 0.787964
419000 0.770784
420000 0.790695
421000 0.792172
422000 0.789698
423000 0.803742
424000 0.804104
425000 0.801811
426000 0.806748
427000 0.794851
428000 0.807489
429000 0.817294
430000 0.801909
431000 0.812782
432000 0.808674
433000 0.811376
434000 0.814827
435000 0.813938
436000 0.817704
437000 0.816649
438000 0.815625
439000 0.817062
440000 0.81451
441000 0.81421
442000 0.825223
443000 0.820848
444000 0.822458
445000 0.821796
446000 0.822266
447000 0.830933
448000 0.826748
449000 0.838332
450000 0.834306
451000 0.834059
452000 0.840344
453000 0.837563
454000 0.826595
455000 0.832215
456000 0.826942
457000 0.834926
458000 0.829208
459000 0.835887
460000 0.843349
461000 0.828695
462000 0.841351
463000 0.842746
464000 0.852623
465000 0.835098
466000 0.840126
467000 0.84031
468000 0.847806
469000 0.851635
470000 0.848026
471000 0.842982
472000 0.839321
473000 0.835323
474000 0.858414
475000 0.866448
476000 0.85686
477000 0.857449
478000 0.849413
479000 0.851383
480000 0.847746
481000 0.847024
482000 0.849015
483000 0.851166
484000 0.860412
485000 0.853537
486000 0.859976
487000 0.862021
488000 0.856061
489000 0.860133
490000 0.855708
491000 0.865424
492000 0.861466
493000 0.865058
494000 0.861736
495000 0.859962
496000 0.879881
497000 0.862379
498000 0.873388
499000 0.850902
500000 0.867802
501000 0.863345
502000 0.867764
503000 0.879088
504000 0.862375
505000 0.86982
506000 0.874492
507000 0.867737
508000 0.874927
509000 0.869474
510000 0.874221
511000 0.881101
512000 0.873843
513000 0.879981
514000 0.873169
515000 0.879586
516000 0.86352
517000 0.880276
518000 0.875467
519000 0.881776
520000 0.883003
521000 0.871633
522000 0.877364
523000 0.873434
524000 0.866763
525000 0.877476
526000 0.875995
527000 0.867617
528000 0.882455
529000 0.881701
530000 0.892063
531000 0.868705
532000 0.885324
533000 0.87157
534000 0.885426
535000 0.874132
536000 0.882466
537000 0.884218
538000 0.879401
539000 0.888401
540000 0.889723
541000 0.879953
542000 0.887526
543000 0.901164
544000 0.891488
545000 0.892788
546000 0.894268
547000 0.893373
548000 0.900983
549000 0.888943
550000 0.898905
551000 0.904392
552000 0.907826
553000 0.899654
554000 0.914163
555000 0.903356
556000 0.907963
557000 0.896297
558000 0.900135
559000 0.914208
560000 0.904953
561000 0.915532
562000 0.898189
563000 0.905113
564000 0.900693
565000 0.913996
566000 0.904455
567000 0.908176
568000 0.891882
569000 0.904316
570000 0.909924
571000 0.899582
572000 0.899135
573000 0.897247
574000 0.893785
575000 0.902489
576000 0.906861
577000 0.906635
578000 0.906875
579000 0.902052
580000 0.909334
581000 0.916003
582000 0.907455
583000 0.907108
584000 0.914458
585000 0.92721
586000 0.92359
587000 0.916978
588000 0.927157
589000 0.920859
590000 0.913179
591000 0.92646
592000 0.917759
593000 0.923684
594000 0.926284
595000 0.934235
596000 0.931606
597000 0.934574
598000 0.933993
599000 0.936968
600000 0.93864
601000 0.932139
602000 0.92577
603000 0.935864
604000 0.947144
605000 0.936293
606000 0.956124
607000 0.953764
608000 0.957994
609000 0.963028
610000 0.960378
611000 0.942086
612000 0.958124
613000 0.957013
614000 0.952319
615000 0.953875
616000 0.965958
617000 0.964464
618000 0.962084
619000 0.958437
620000 0.949775
621000 0.957088
622000 0.952153
623000 0.949906
624000 0.9641
625000 0.955426
626000 0.949216
627000 0.957842
628000 0.96765
629000 0.963174
630000 0.965535
631000 0.967446
632000 0.978459
633000 0.971473
634000 0.98069
635000 0.966905
636000 0.963451
637000 0.960969
638000 0.958529
639000 0.961774
640000 0.979306
641000 0.966753
642000 0.977534
643000 0.966571
644000 0.974784
645000 0.979411
646000 0.975755
647000 0.976225
648000 0.961588
649000 0.97943
650000 0.97742
651000 0.986661
652000 0.975136
653000 0.999637
654000 0.981987
655000 0.991992
656000 0.988707
657000 0.975919
658000 0.975056
659000 0.972392
660000 0.976318
661000 0.974089
662000 0.98986
663000 0.977485
664000 0.977283
665000 0.969683
666000 0.974844
667000 0.971505
668000 0.973813
669000 0.974104
670000 0.988553
671000 0.985584
672000 0.982467
673000 0.990043
674000 0.96682
675000 0.98413
676000 0.9932
677000 0.975327
678000 0.978658
679000 0.972967
680000 0.978247
681000 0.969547
682000 0.979146
683000 0.981535
684000 0.982305
685000 0.987621
686000 1.00106
687000 0.991957
688000 1.00452
689000 1.00274
690000 0.989564
691000 0.987835
692000 1.01132
693000 1.00427
694000 0.993881
695000 0.998281
696000 1.00007
697000 0.999937
698000 1.00067
699000 1.01529
700000 0.997732
701000 0.993023
702000 0.990565
703000 1.00389
704000 1.0037
705000 1.00368
706000 1.0052
707000 1.00116
708000 0.998031
709000 0.994903
710000 1.01137
711000 1.00956
712000 1.00324
713000 1.01221
714000 1.00785
715000 1.00621
716000 1.02202
717000 1.00497
718000 1.01431
719000 1.01855
720000 1.01278
721000 1.01188
722000 1.0164
723000 1.01599
724000 1.01452
725000 1.02077
726000 1.02493
727000 1.01915
728000 1.02183
729000 1.01547
730000 1.02522
731000 1.02888
732000 1.01595
733000 1.01499
734000 1.03549
735000 1.01023
736000 1.03525
737000 1.01125
738000 1.01173
739000 1.03167
740000 1.02511
741000 1.02476
742000 1.01895
743000 1.01229
744000 1.02525
745000 1.0124
746000 1.01639
747000 1.00956
748000 1.01494
749000 1.01554
750000 1.01986
751000 1.02007
752000 1.02276
753000 1.01413
754000 1.02402
755000 1.025
756000 1.0141
757000 1.0158
758000 1.02147
759000 1.0322
760000 1.03289
761000 1.02861
762000 1.02441
763000 1.026
764000 1.02568
765000 1.02212
766000 1.02875
767000 1.03264
768000 1.01968
769000 1.03591
770000 1.03233
771000 1.01661
772000 1.02918
773000 1.02602
774000 1.02135
775000 1.00856
776000 1.02562
777000 1.0171
778000 1.03036
779000 1.03153
780000 1.02948
781000 1.02871
782000 1.02668
783000 1.02063
784000 1.02552
785000 1.03065
786000 1.03121
787000 1.02111
788000 1.02763
789000 1.02615
790000 1.03016
791000 1.02729
792000 1.02921
793000 1.03284
794000 1.03327
795000 1.03091
796000 1.03738
797000 1.05374
798000 1.05742
799000 1.0404
800000 1.04719
801000 1.03633
802000 1.04553
803000 1.0349
804000 1.04848
805000 1.0503
806000 1.04401
807000 1.04636
808000 1.0617
809000 1.05377
810000 1.04828
811000 1.06753
812000 1.05561
813000 1.06689
814000 1.05907
815000 1.05949
816000 1.06705
817000 1.05675
818000 1.06911
819000 1.06456
820000 1.05513
821000 1.06404
822000 1.05745
823000 1.06655
824000 1.06955
825000 1.06124
826000 1.05811
827000 1.06014
828000 1.07032
829000 1.0613
830000 1.05595
831000 1.07052
832000 1.05737
833000 1.05939
834000 1.04763
835000 1.04915
836000 1.0658
837000 1.05507
838000 1.06217
839000 1.06922
840000 1.07654
841000 1.07134
842000 1.08259
843000 1.07169
844000 1.07145
845000 1.07028
846000 1.05782
847000 1.07723
848000 1.08448
849000 1.09486
850000 1.07521
851000 1.07404
852000 1.08212
853000 1.07568
854000 1.07481
855000 1.07374
856000 1.08809
857000 1.06592
858000 1.08086
859000 1.07354
860000 1.07757
861000 1.0758
862000 1.07772
863000 1.09007
864000 1.07123
865000 1.08084
866000 1.07066
867000 1.07802
868000 1.06374
869000 1.07697
870000 1.05727
871000 1.05407
872000 1.07007
873000 1.06447
874000 1.07482
875000 1.06683
876000 1.06296
877000 1.06664
878000 1.07613
879000 1.09475
880000 1.06471
881000 1.07064
882000 1.06947
883000 1.0691
884000 1.07036
885000 1.06669
886000 1.0621
887000 1.0817
888000 1.07548
889000 1.07809
890000 1.073
891000 1.07235
892000 1.05819
893000 1.07539
894000 1.06373
895000 1.08594
896000 1.07548
897000 1.07679
898000 1.0809
899000 1.0813
900000 1.08062
901000 1.07095
902000 1.07296
903000 1.07966
904000 1.09542
905000 1.09421
906000 1.08841
907000 1.07842
908000 1.08699
909000 1.08231
910000 1.07961
911000 1.08424
912000 1.07681
913000 1.08249
914000 1.08098
915000 1.08984
916000 1.08873
917000 1.10819
918000 1.09164
919000 1.09104
920000 1.08117
921000 1.09273
922000 1.0825
923000 1.08448
924000 1.08844
925000 1.09643
926000 1.10373
927000 1.10459
928000 1.10054
929000 1.11179
930000 1.10606
931000 1.09667
932000 1.10498
933000 1.09872
934000 1.11695
935000 1.10042
936000 1.10151
937000 1.11401
938000 1.09942
939000 1.12137
940000 1.10714
941000 1.1217
942000 1.11259
943000 1.11045
944000 1.10351
945000 1.10338
946000 1.11298
947000 1.10283
948000 1.09321
949000 1.12172
950000 1.10096
951000 1.10143
952000 1.09845
953000 1.11638
954000 1.10532
955000 1.1109
956000 1.119
957000 1.11783
958000 1.10759
959000 1.13064
960000 1.1144
961000 1.10746
962000 1.11628
963000 1.11149
964000 1.11371
965000 1.12225
966000 1.1211
967000 1.11981
968000 1.11636
969000 1.12507
970000 1.11012
971000 1.11525
972000 1.11913
973000 1.12434
974000 1.12188
975000 1.13159
976000 1.12677
977000 1.12199
978000 1.12874
979000 1.13599
980000 1.11544
981000 1.12064
982000 1.11149
983000 1.12899
984000 1.12309
985000 1.11109
986000 1.11825
987000 1.11773
988000 1.1261
989000 1.11649
990000 1.13768
991000 1.12577
992000 1.12679
993000 1.11428
994000 1.12213
995000 1.12763
996000 1.12502
997000 1.1299
998000 1.12496
999000 1.12182
1000000 1.13502
1001000 1.13439
1002000 1.13788
1003000 1.14278
1004000 1.13793
1005000 1.14097
1006000 1.14009
1007000 1.13016
1008000 1.14363
1009000 1.12362
1010000 1.13735
1011000 1.12096
1012000 1.12866
1013000 1.12686
1014000 1.1297
1015000 1.14168
1016000 1.14336
1017000 1.14385
1018000 1.13039
1019000 1.13846
1020000 1.14337
1021000 1.13794
1022000 1.13773
1023000 1.14519
1024000 1.13037
1025000 1.13804
1026000 1.13167
1027000 1.13459
1028000 1.14162
