# Time-averaged data for fix oxidemymsdt
# TimeStep c_oxidemsd[4]
100000 2.01948e-28
101000 0.182338
102000 0.171516
103000 0.174271
104000 0.177145
105000 0.182681
106000 0.181664
107000 0.177658
108000 0.180465
109000 0.18009
110000 0.184889
111000 0.182832
112000 0.180382
113000 0.173909
114000 0.188982
115000 0.175556
116000 0.186269
117000 0.178921
118000 0.18179
119000 0.183239
120000 0.178672
121000 0.186299
122000 0.17406
123000 0.183311
124000 0.17701
125000 0.176273
126000 0.17999
127000 0.180606
128000 0.177128
129000 0.182972
130000 0.176191
131000 0.181601
132000 0.18069
133000 0.176993
134000 0.178043
135000 0.178596
136000 0.187871
137000 0.184481
138000 0.176111
139000 0.179271
140000 0.185907
141000 0.179555
142000 0.176104
143000 0.179516
144000 0.185048
145000 0.177495
146000 0.182708
147000 0.177531
148000 0.175428
149000 0.178907
150000 0.179507
151000 0.181819
152000 0.179709
153000 0.181634
154000 0.178247
155000 0.176949
156000 0.180159
157000 0.174897
158000 0.179239
159000 0.175475
160000 0.176907
161000 0.178099
162000 0.181309
163000 0.176562
164000 0.187649
165000 0.185658
166000 0.18502
167000 0.183371
168000 0.183387
169000 0.182751
170000 0.177833
171000 0.183298
172000 0.173673
173000 0.181044
174000 0.182972
175000 0.17789
176000 0.179262
177000 0.18507
178000 0.173919
179000 0.184663
180000 0.172795
181000 0.181397
182000 0.1789
183000 0.17604
184000 0.179624
185000 0.179711
186000 0.180469
187000 0.182004
188000 0.187539
189000 0.177841
190000 0.186263
191000 0.172161
192000 0.184007
193000 0.179095
194000 0.183363
195000 0.177716
196000 0.176521
197000 0.184409
198000 0.188637
199000 0.181367
200000 0.179649
201000 0.181929
202000 0.177104
203000 0.185208
204000 0.173884
205000 0.189003
206000 0.175907
207000 0.185852
208000 0.175361
209000 0.185224
210000 0.172988
211000 0.181148
212000 0.184797
213000 0.173728
214000 0.18713
215000 0.180296
216000 0.189131
217000 0.182802
218000 0.188136
219000 0.182384
220000 0.184569
221000 0.179806
222000 0.185918
223000 0.178102
224000 0.185497
225000 0.178119
226000 0.185548
227000 0.176148
228000 0.182505
229000 0.181005
230000 0.178735
231000 0.183374
232000 0.178613
233000 0.183226
234000 0.179884
235000 0.185807
236000 0.186495
237000 0.180477
238000 0.184756
239000 0.187881
240000 0.182332
241000 0.185173
242000 0.178269
243000 0.177309
244000 0.178472
245000 0.176724
246000 0.177917
247000 0.17983
248000 0.184018
249000 0.184583
250000 0.180349
251000 0.18677
252000 0.184834
253000 0.182592
254000 0.181375
255000 0.178213
256000 0.178335
257000 0.183575
258000 0.181526
259000 0.177701
260000 0.179573
261000 0.180843
262000 0.180833
263000 0.180123
264000 0.180411
265000 0.181181
266000 0.178441
267000 0.180003
268000 0.174576
269000 0.184653
270000 0.184159
271000 0.185392
272000 0.187792
273000 0.177733
274000 0.184916
275000 0.178498
276000 0.179354
277000 0.177921
278000 0.183612
279000 0.172727
280000 0.184207
281000 0.180327
282000 0.187161
283000 0.179069
284000 0.179048
285000 0.183864
286000 0.179241
287000 0.176369
288000 0.182859
289000 0.180455
290000 0.185072
291000 0.182981
292000 0.180629
293000 0.185536
294000 0.188583
295000 0.17645
296000 0.178779
297000 0.176008
298000 0.176981
299000 0.178094
300000 0.184773
301000 0.186015
302000 0.186203
303000 0.185014
304000 0.182901
305000 0.180306
306000 0.185557
307000 0.179364
308000 0.182692
309000 0.177377
310000 0.181641
311000 0.176442
312000 0.182794
313000 0.177858
314000 0.182465
315000 0.177912
316000 0.184621
317000 0.184122
318000 0.185698
319000 0.188439
320000 0.17952
321000 0.182746
322000 0.177639
323000 0.18047
324000 0.188208
325000 0.184158
326000 0.179724
327000 0.182482
328000 0.183699
329000 0.184892
330000 0.182329
331000 0.172577
332000 0.17629
333000 0.184941
334000 0.178106
335000 0.177855
336000 0.183589
337000 0.178257
338000 0.182583
339000 0.183134
340000 0.181443
341000 0.177445
342000 0.185912
343000 0.177701
344000 0.176649
345000 0.178323
346000 0.169738
347000 0.181621
348000 0.185382
349000 0.178743
350000 0.181572
351000 0.184674
352000 0.180224
353000 0.184318
354000 0.184043
355000 0.183659
356000 0.178626
357000 0.177815
358000 0.179088
359000 0.175909
360000 0.183565
361000 0.174756
362000 0.187404
363000 0.179836
364000 0.185615
365000 0.176746
366000 0.189514
367000 0.179806
368000 0.180144
369000 0.179249
370000 0.178809
371000 0.17581
372000 0.183231
373000 0.178283
374000 0.180766
375000 0.181465
376000 0.174182
377000 0.186622
378000 0.177018
379000 0.186053
380000 0.179403
381000 0.186656
382000 0.178716
383000 0.180413
384000 0.182894
385000 0.180538
386000 0.184298
387000 0.181501
388000 0.177763
389000 0.176976
390000 0.178409
391000 0.178965
392000 0.179497
393000 0.177273
394000 0.18145
395000 0.184384
396000 0.173346
397000 0.184462
398000 0.181472
399000 0.184267
400000 0.179881
401000 0.184446
402000 0.184
403000 0.177573
404000 0.176219
405000 0.184485
406000 0.180849
407000 0.185827
408000 0.175595
409000 0.180612
410000 0.173932
411000 0.181218
412000 0.179258
413000 0.177588
414000 0.181681
415000 0.186767
416000 0.182639
417000 0.181744
418000 0.185833
419000 0.179667
420000 0.18432
421000 0.178939
422000 0.184442
423000 0.175451
424000 0.184047
425000 0.180767
426000 0.180142
427000 0.176913
428000 0.178956
429000 0.180353
430000 0.180949
431000 0.184889
432000 0.180592
433000 0.177105
434000 0.183376
435000 0.179308
436000 0.178228
437000 0.179974
438000 0.182343
439000 0.187051
440000 0.177975
441000 0.185399
442000 0.181024
443000 0.180621
444000 0.181759
445000 0.184341
446000 0.188218
447000 0.179081
448000 0.185458
449000 0.18161
450000 0.17973
451000 0.174948
452000 0.176338
453000 0.179203
454000 0.180259
455000 0.184725
456000 0.181832
457000 0.177526
458000 0.17955
459000 0.180991
460000 0.174444
461000 0.178891
462000 0.181886
463000 0.178025
464000 0.177717
465000 0.180407
466000 0.178301
467000 0.18672
468000 0.17966
469000 0.182419
470000 0.183061
471000 0.179984
472000 0.178564
473000 0.178174
474000 0.183411
475000 0.1793
476000 0.182743
477000 0.180458
478000 0.186383
479000 0.178484
480000 0.184638
481000 0.185214
482000 0.180787
483000 0.180845
484000 0.176095
485000 0.185285
486000 0.176622
487000 0.180601
488000 0.177091
489000 0.179579
490000 0.174404
491000 0.179507
492000 0.182191
493000 0.177525
494000 0.180795
495000 0.179675
496000 0.180688
497000 0.180401
498000 0.179351
499000 0.178794
500000 0.176329
501000 0.18128
502000 0.178785
503000 0.177212
504000 0.179599
505000 0.178878
506000 0.180233
507000 0.177853
508000 0.178146
509000 0.179994
510000 0.177193
511000 0.179141
512000 0.179438
513000 0.175967
514000 0.182516
515000 0.181745
516000 0.180875
517000 0.184101
518000 0.188375
519000 0.185446
520000 0.180502
521000 0.181636
522000 0.183294
523000 0.176995
524000 0.184281
525000 0.178071
526000 0.180666
527000 0.190936
528000 0.181096
529000 0.182151
530000 0.187258
531000 0.183193
532000 0.180271
533000 0.182925
534000 0.176628
535000 0.184301
536000 0.184467
537000 0.186378
538000 0.177774
539000 0.185745
540000 0.178859
541000 0.184522
542000 0.183061
543000 0.18081
544000 0.177462
545000 0.183934
546000 0.173997
547000 0.181657
548000 0.184613
549000 0.177164
550000 0.179387
551000 0.178595
552000 0.178039
553000 0.179691
554000 0.180454
555000 0.179121
556000 0.183612
557000 0.184511
558000 0.186628
559000 0.178789
560000 0.181977
561000 0.179117
562000 0.17867
563000 0.184183
564000 0.182288
565000 0.177368
566000 0.176462
567000 0.177157
568000 0.177887
569000 0.174664
570000 0.18316
571000 0.180454
572000 0.185923
573000 0.180369
574000 0.178321
575000 0.181345
576000 0.178133
577000 0.182194
578000 0.187723
579000 0.187537
580000 0.184827
581000 0.186604
582000 0.180336
583000 0.184126
584000 0.178274
585000 0.182697
586000 0.180199
587000 0.186191
588000 0.1741
589000 0.18174
590000 0.176827
591000 0.179007
592000 0.177188
593000 0.178018
594000 0.179629
595000 0.183734
596000 0.183915
597000 0.182898
598000 0.176475
599000 0.182992
600000 0.180035
601000 0.18008
602000 0.179956
603000 0.183089
604000 0.181357
605000 0.179401
606000 0.179784
607000 0.188964
608000 0.182546
609000 0.184504
610000 0.184329
611000 0.181965
612000 0.180731
613000 0.181335
614000 0.179253
615000 0.179542
616000 0.17767
617000 0.182623
618000 0.179542
619000 0.175604
620000 0.180719
621000 0.180706
622000 0.180642
623000 0.177495
624000 0.176486
625000 0.180931
626000 0.180729
627000 0.178143
628000 0.178086
629000 0.177879
630000 0.184778
631000 0.173536
632000 0.178577
633000 0.177702
634000 0.186433
635000 0.181392
636000 0.178326
637000 0.184198
638000 0.183907
639000 0.182491
640000 0.180554
641000 0.186137
642000 0.183639
643000 0.184875
644000 0.181981
645000 0.18803
646000 0.173457
647000 0.184523
648000 0.177685
649000 0.184437
650000 0.183766
651000 0.182939
652000 0.18356
653000 0.175778
654000 0.174353
655000 0.178287
656000 0.174661
657000 0.172167
658000 0.179339
659000 0.178392
660000 0.185123
661000 0.176077
662000 0.179678
663000 0.17711
664000 0.183596
665000 0.179185
666000 0.177113
667000 0.179573
668000 0.181456
669000 0.17506
670000 0.178867
671000 0.174149
672000 0.178876
673000 0.179806
674000 0.179823
675000 0.180422
676000 0.180499
677000 0.179382
678000 0.174231
679000 0.178012
680000 0.18305
681000 0.185121
682000 0.182448
683000 0.179557
684000 0.180697
685000 0.182051
686000 0.180284
687000 0.183192
688000 0.180668
689000 0.186611
690000 0.187807
691000 0.179748
692000 0.183661
693000 0.178035
694000 0.181108
695000 0.173399
696000 0.182651
697000 0.181364
698000 0.185611
699000 0.182139
700000 0.184423
701000 0.183569
702000 0.179763
703000 0.179532
704000 0.174183
705000 0.178769
706000 0.175373
707000 0.171141
708000 0.173403
709000 0.1819
710000 0.174223
711000 0.178881
712000 0.178019
713000 0.182323
714000 0.18086
715000 0.182816
716000 0.181181
717000 0.184181
718000 0.179308
719000 0.179692
720000 0.181465
721000 0.179669
722000 0.178128
723000 0.179238
724000 0.175925
725000 0.18279
726000 0.181312
727000 0.183599
728000 0.185201
729000 0.182516
730000 0.189264
731000 0.181989
732000 0.18603
733000 0.176248
734000 0.180795
735000 0.175293
736000 0.181603
737000 0.180439
738000 0.174927
739000 0.177387
740000 0.181258
741000 0.189227
742000 0.179857
743000 0.183168
744000 0.184089
745000 0.186276
746000 0.184202
747000 0.175308
748000 0.182097
749000 0.176708
750000 0.182284
751000 0.178657
752000 0.178328
753000 0.181836
754000 0.176713
755000 0.183337
756000 0.177709
757000 0.17986
758000 0.17595
759000 0.171799
760000 0.178972
761000 0.18095
762000 0.181262
763000 0.180475
764000 0.182293
765000 0.183963
766000 0.178047
767000 0.184092
768000 0.17858
769000 0.181438
770000 0.183404
771000 0.176562
772000 0.182183
773000 0.182607
774000 0.187947
775000 0.18006
776000 0.184599
777000 0.182865
778000 0.178335
779000 0.180009
780000 0.183567
781000 0.18112
