# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.06774e-29
101000 0.269817
102000 0.27311
103000 0.269281
104000 0.27148
105000 0.27128
106000 0.264109
107000 0.277512
108000 0.272944
109000 0.26992
110000 0.278815
111000 0.277135
112000 0.27666
113000 0.276629
114000 0.276828
115000 0.273457
116000 0.280509
117000 0.272981
118000 0.277915
119000 0.273661
120000 0.284239
121000 0.275952
122000 0.280741
123000 0.284557
124000 0.283557
125000 0.280941
126000 0.283143
127000 0.28114
128000 0.281878
129000 0.287601
130000 0.282406
131000 0.289028
132000 0.292592
133000 0.28164
134000 0.282301
135000 0.286484
136000 0.281741
137000 0.286739
138000 0.286968
139000 0.284449
140000 0.283091
141000 0.293584
142000 0.282157
143000 0.292382
144000 0.291908
145000 0.287868
146000 0.291859
147000 0.290241
148000 0.283919
149000 0.289965
150000 0.296773
151000 0.292244
152000 0.29036
153000 0.295533
154000 0.298733
155000 0.295783
156000 0.295418
157000 0.296718
158000 0.302541
159000 0.300298
160000 0.296318
161000 0.293764
162000 0.297307
163000 0.295628
164000 0.297014
165000 0.298078
166000 0.298579
167000 0.295214
168000 0.3007
169000 0.298533
170000 0.291792
171000 0.303439
172000 0.29654
173000 0.297601
174000 0.298202
175000 0.298843
176000 0.300217
177000 0.308178
178000 0.296183
179000 0.298515
180000 0.300044
181000 0.305609
182000 0.300972
183000 0.305539
184000 0.310107
185000 0.304868
186000 0.304934
187000 0.300707
188000 0.310378
189000 0.302394
190000 0.304086
191000 0.307512
192000 0.30852
193000 0.310027
194000 0.307344
195000 0.306476
196000 0.311619
197000 0.307759
198000 0.310813
199000 0.306088
200000 0.305084
201000 0.304135
202000 0.307544
203000 0.309011
204000 0.309409
205000 0.305612
206000 0.311368
207000 0.310263
208000 0.308238
209000 0.312999
210000 0.312003
211000 0.310198
212000 0.308081
213000 0.31432
214000 0.315078
215000 0.316275
216000 0.316814
217000 0.310322
218000 0.318136
219000 0.313078
220000 0.31449
221000 0.321782
222000 0.319845
223000 0.32043
224000 0.319559
225000 0.314235
226000 0.316965
227000 0.317514
228000 0.318751
229000 0.317257
230000 0.314998
231000 0.319448
232000 0.313922
233000 0.322818
234000 0.322313
235000 0.3203
236000 0.320413
237000 0.317527
238000 0.321146
239000 0.319952
240000 0.317711
241000 0.319171
242000 0.326585
243000 0.325768
244000 0.322227
245000 0.318517
246000 0.323945
247000 0.320588
248000 0.324243
249000 0.32384
250000 0.322196
251000 0.326279
252000 0.324919
253000 0.320681
254000 0.320542
255000 0.320963
256000 0.317729
257000 0.322421
258000 0.324207
259000 0.322316
260000 0.319483
261000 0.318308
262000 0.327614
263000 0.326493
264000 0.324051
265000 0.317922
266000 0.321043
267000 0.328945
268000 0.324222
269000 0.324368
270000 0.322173
271000 0.328788
272000 0.322134
273000 0.32975
274000 0.32084
275000 0.327736
276000 0.325849
277000 0.33504
278000 0.32361
279000 0.32615
280000 0.327956
281000 0.332744
282000 0.326395
283000 0.321367
284000 0.325407
285000 0.328925
286000 0.329603
287000 0.328352
288000 0.32966
289000 0.327774
290000 0.338543
291000 0.324355
292000 0.331008
293000 0.332746
294000 0.332186
295000 0.331329
296000 0.338
297000 0.331796
298000 0.333354
299000 0.333326
300000 0.340088
