# Time-averaged data for fix oxidemymsdt
# TimeStep c_oxidemsd[4]
100000 0
101000 0.111522
102000 0.108452
103000 0.108576
104000 0.108013
105000 0.114247
106000 0.104175
107000 0.113607
108000 0.108752
109000 0.109646
110000 0.114607
111000 0.109945
112000 0.109807
113000 0.112814
114000 0.111644
115000 0.106781
116000 0.1105
117000 0.107786
118000 0.108982
119000 0.105862
120000 0.110113
121000 0.107234
122000 0.109019
123000 0.111518
124000 0.109332
125000 0.107319
126000 0.111889
127000 0.109793
128000 0.110074
129000 0.111671
130000 0.109194
131000 0.111736
132000 0.113273
133000 0.10942
134000 0.108412
135000 0.110409
136000 0.106525
137000 0.107944
138000 0.106966
139000 0.108609
140000 0.105925
141000 0.112483
142000 0.105613
143000 0.110361
144000 0.110528
145000 0.108683
146000 0.108545
147000 0.109882
148000 0.105344
149000 0.108395
150000 0.113534
151000 0.108721
152000 0.110749
153000 0.113128
154000 0.113761
155000 0.113741
156000 0.113986
157000 0.111533
158000 0.113241
159000 0.111494
160000 0.109954
161000 0.110147
162000 0.11357
163000 0.110732
164000 0.11137
165000 0.109482
166000 0.113314
167000 0.110931
168000 0.109595
169000 0.112217
170000 0.108581
171000 0.114027
172000 0.114475
173000 0.110359
174000 0.111906
175000 0.111826
176000 0.11226
177000 0.115873
178000 0.109381
179000 0.108126
180000 0.105637
181000 0.112261
182000 0.109446
183000 0.112397
184000 0.111841
185000 0.107421
186000 0.111882
187000 0.10953
188000 0.110709
189000 0.108796
190000 0.110628
191000 0.10958
192000 0.112599
193000 0.109899
194000 0.110696
195000 0.108932
196000 0.11509
197000 0.111333
198000 0.111986
199000 0.108931
200000 0.110056
201000 0.10806
202000 0.111286
203000 0.112032
204000 0.113744
205000 0.107823
206000 0.111486
207000 0.112289
208000 0.112141
209000 0.111057
210000 0.111964
211000 0.111816
212000 0.112374
213000 0.110048
214000 0.109659
215000 0.110197
216000 0.111374
217000 0.111833
218000 0.114845
219000 0.111581
220000 0.113265
221000 0.111548
222000 0.110085
223000 0.111143
224000 0.110915
225000 0.108012
226000 0.106718
227000 0.108072
228000 0.109651
229000 0.108652
230000 0.107579
231000 0.110348
232000 0.106032
233000 0.111373
234000 0.107323
235000 0.108031
236000 0.110403
237000 0.110209
238000 0.107496
239000 0.109759
240000 0.105694
241000 0.11055
242000 0.111689
243000 0.114154
244000 0.112831
245000 0.110425
246000 0.111122
247000 0.111266
248000 0.11392
249000 0.11092
250000 0.112362
251000 0.112947
252000 0.11444
253000 0.112141
254000 0.111174
255000 0.111173
256000 0.11257
257000 0.108233
258000 0.111269
259000 0.110281
260000 0.10979
261000 0.106614
262000 0.116337
263000 0.113772
264000 0.111553
265000 0.112389
266000 0.107573
267000 0.11705
268000 0.108762
269000 0.108809
270000 0.106161
271000 0.114763
272000 0.107972
273000 0.116005
274000 0.105966
275000 0.113633
276000 0.110185
277000 0.113243
278000 0.111802
279000 0.110812
280000 0.109978
281000 0.11412
282000 0.11097
283000 0.107202
284000 0.110098
285000 0.109356
286000 0.111791
287000 0.109774
288000 0.111694
289000 0.109906
290000 0.11656
291000 0.107293
292000 0.115684
293000 0.109713
294000 0.112955
295000 0.109378
296000 0.113445
297000 0.1103
298000 0.112517
299000 0.108078
300000 0.113686
301000 0.112676
302000 0.112033
303000 0.110449
304000 0.111902
305000 0.111402
306000 0.109103
307000 0.11346
308000 0.114256
309000 0.113524
310000 0.110069
311000 0.115769
312000 0.111944
313000 0.111199
314000 0.108385
315000 0.113907
316000 0.107515
317000 0.114904
318000 0.110264
319000 0.111667
320000 0.116818
321000 0.111084
322000 0.109521
323000 0.110612
324000 0.111704
325000 0.110054
326000 0.112274
327000 0.107359
328000 0.112366
329000 0.11064
330000 0.112147
331000 0.111044
332000 0.110872
333000 0.107586
334000 0.111843
335000 0.10898
336000 0.108141
337000 0.107994
338000 0.109417
339000 0.111857
340000 0.107374
341000 0.110855
342000 0.110853
343000 0.115461
344000 0.110642
345000 0.110141
346000 0.112698
347000 0.109675
348000 0.108622
349000 0.111559
350000 0.105929
351000 0.11354
352000 0.112078
353000 0.10884
354000 0.112726
355000 0.111729
356000 0.107637
357000 0.11253
358000 0.111016
359000 0.107379
360000 0.113785
361000 0.108087
362000 0.11239
363000 0.112858
364000 0.111711
365000 0.111245
366000 0.111936
367000 0.109187
368000 0.113978
369000 0.109006
370000 0.111339
371000 0.107433
372000 0.108685
373000 0.108099
374000 0.109386
375000 0.1098
376000 0.109406
377000 0.110763
378000 0.111735
379000 0.110574
380000 0.110627
381000 0.111216
382000 0.109679
383000 0.10872
384000 0.10878
385000 0.114705
386000 0.11265
387000 0.11135
388000 0.111929
389000 0.112153
390000 0.110474
391000 0.109829
392000 0.109443
393000 0.112172
394000 0.111144
395000 0.109513
396000 0.110617
397000 0.111454
398000 0.108818
399000 0.108509
400000 0.110935
401000 0.108036
402000 0.110493
403000 0.117768
404000 0.11454
405000 0.110676
406000 0.114753
407000 0.114273
408000 0.109232
409000 0.112612
410000 0.109878
411000 0.110246
412000 0.111378
413000 0.111088
414000 0.110422
415000 0.111986
416000 0.110806
417000 0.112712
418000 0.107834
419000 0.115263
420000 0.112776
421000 0.109975
422000 0.114617
423000 0.111148
424000 0.110966
425000 0.114055
426000 0.110389
427000 0.10855
428000 0.10874
429000 0.109015
430000 0.115038
431000 0.110721
432000 0.113814
433000 0.113655
434000 0.109648
435000 0.113809
436000 0.11084
437000 0.109158
438000 0.111838
439000 0.110518
440000 0.115314
441000 0.110777
442000 0.107826
443000 0.11109
444000 0.112978
445000 0.110795
446000 0.11218
447000 0.108938
448000 0.109752
449000 0.110737
450000 0.108258
451000 0.107619
452000 0.114062
453000 0.106196
454000 0.109406
455000 0.116208
456000 0.109589
457000 0.112161
458000 0.113557
459000 0.111872
460000 0.111197
461000 0.112737
462000 0.109044
463000 0.113164
464000 0.109778
465000 0.112313
466000 0.108707
467000 0.112188
468000 0.109571
469000 0.11312
470000 0.107143
471000 0.108431
472000 0.113035
473000 0.10948
474000 0.112403
475000 0.111744
476000 0.110884
477000 0.112262
478000 0.114978
479000 0.105951
480000 0.110612
481000 0.108447
482000 0.112901
483000 0.111784
484000 0.111693
485000 0.108167
486000 0.110836
487000 0.108556
488000 0.111212
489000 0.111464
490000 0.111058
491000 0.112769
492000 0.115438
493000 0.110602
494000 0.11092
495000 0.113345
496000 0.11321
497000 0.113026
498000 0.11105
499000 0.107029
500000 0.110511
501000 0.111987
502000 0.111136
503000 0.116983
504000 0.112316
505000 0.110179
506000 0.110144
507000 0.107967
508000 0.107737
509000 0.114691
510000 0.111346
511000 0.111664
512000 0.110806
513000 0.11214
514000 0.108389
515000 0.109528
516000 0.110119
517000 0.113003
518000 0.114631
519000 0.106743
520000 0.11351
521000 0.109332
522000 0.112614
523000 0.111739
524000 0.109227
525000 0.109018
526000 0.111734
527000 0.108686
528000 0.113219
529000 0.109089
530000 0.109391
531000 0.111887
532000 0.111904
533000 0.109322
534000 0.1122
535000 0.112114
536000 0.111592
537000 0.115344
538000 0.11264
539000 0.112639
540000 0.112886
541000 0.109082
542000 0.109103
543000 0.110874
544000 0.110841
545000 0.107446
546000 0.106901
547000 0.11166
548000 0.108391
549000 0.111139
550000 0.111934
551000 0.111947
552000 0.116749
553000 0.114086
554000 0.114227
555000 0.114069
556000 0.113429
557000 0.10906
558000 0.114056
559000 0.110381
560000 0.114821
561000 0.111667
562000 0.112795
563000 0.108447
564000 0.114189
565000 0.110606
566000 0.11213
567000 0.110975
568000 0.112044
569000 0.108222
570000 0.110418
571000 0.106884
572000 0.107132
573000 0.108408
574000 0.111464
575000 0.109322
576000 0.111399
577000 0.111048
578000 0.110385
579000 0.112182
580000 0.110981
581000 0.112261
582000 0.113368
583000 0.11169
584000 0.111119
585000 0.11043
586000 0.111238
587000 0.10958
588000 0.114077
589000 0.108485
590000 0.110621
591000 0.110002
592000 0.109745
593000 0.109037
594000 0.110107
595000 0.10898
596000 0.111095
597000 0.107241
598000 0.110509
599000 0.106351
600000 0.113371
601000 0.108783
602000 0.110853
603000 0.10944
604000 0.109472
605000 0.107955
606000 0.110443
607000 0.10914
608000 0.113894
609000 0.110524
610000 0.110691
611000 0.112389
612000 0.111877
613000 0.112302
614000 0.111659
615000 0.111067
616000 0.111929
617000 0.112687
618000 0.110036
619000 0.11282
620000 0.108954
621000 0.112498
622000 0.108025
623000 0.111875
624000 0.109918
625000 0.10999
626000 0.110598
627000 0.112288
628000 0.10828
629000 0.107224
630000 0.112165
631000 0.107876
632000 0.113883
633000 0.111271
634000 0.110937
635000 0.112446
636000 0.113041
637000 0.11176
638000 0.112845
639000 0.112705
640000 0.111531
641000 0.110697
642000 0.113013
643000 0.110636
644000 0.111085
645000 0.111742
646000 0.112782
647000 0.113949
648000 0.110433
649000 0.11426
650000 0.10908
651000 0.107465
652000 0.112286
653000 0.11003
654000 0.112183
655000 0.115043
656000 0.109053
657000 0.111669
658000 0.110486
659000 0.113397
660000 0.108218
661000 0.111658
662000 0.109794
663000 0.113001
664000 0.110946
665000 0.113739
666000 0.108694
667000 0.111777
668000 0.108879
669000 0.107807
670000 0.110739
671000 0.109642
672000 0.111842
673000 0.108743
674000 0.111181
675000 0.110421
676000 0.114114
677000 0.111549
678000 0.11214
679000 0.108006
680000 0.111566
681000 0.112816
682000 0.111545
683000 0.113743
684000 0.10859
685000 0.112632
686000 0.11119
687000 0.108143
688000 0.106663
689000 0.113449
690000 0.110713
691000 0.109644
692000 0.106951
693000 0.112512
694000 0.11147
695000 0.11501
696000 0.113229
697000 0.113697
698000 0.106697
699000 0.114915
700000 0.109302
701000 0.11435
702000 0.109249
703000 0.112475
704000 0.110529
705000 0.112836
706000 0.113705
707000 0.109357
708000 0.113873
709000 0.110207
710000 0.108527
711000 0.112745
712000 0.112271
713000 0.108637
714000 0.114776
715000 0.111371
716000 0.113093
717000 0.110359
718000 0.111315
719000 0.110748
720000 0.116668
721000 0.110089
722000 0.112572
723000 0.11139
724000 0.113558
725000 0.112255
726000 0.109429
727000 0.110429
728000 0.110975
729000 0.108807
730000 0.110684
731000 0.110385
732000 0.10749
733000 0.106899
734000 0.106642
735000 0.112025
736000 0.110459
737000 0.109979
738000 0.111281
739000 0.113163
740000 0.109296
741000 0.112218
742000 0.11051
743000 0.10918
744000 0.107056
745000 0.111149
746000 0.108372
747000 0.110537
748000 0.109103
749000 0.108583
750000 0.113483
751000 0.112739
752000 0.112592
753000 0.111826
754000 0.115165
755000 0.108008
756000 0.112605
757000 0.114835
758000 0.112916
759000 0.109123
760000 0.111489
761000 0.109866
762000 0.110691
763000 0.11287
764000 0.110324
765000 0.107399
766000 0.11465
767000 0.108828
768000 0.112952
769000 0.109318
770000 0.10816
771000 0.109957
772000 0.107907
773000 0.109312
774000 0.107865
775000 0.111711
776000 0.11227
777000 0.112689
778000 0.114389
779000 0.11833
780000 0.10785
781000 0.114105
782000 0.111223
783000 0.113689
784000 0.110836
785000 0.108542
786000 0.108547
787000 0.112967
788000 0.112387
789000 0.112027
790000 0.110961
791000 0.111074
792000 0.109874
793000 0.110673
794000 0.109706
795000 0.111635
796000 0.111847
797000 0.110456
798000 0.113439
799000 0.110248
800000 0.111341
801000 0.112818
802000 0.114379
803000 0.114703
804000 0.114486
805000 0.11457
806000 0.110247
807000 0.107936
808000 0.111807
809000 0.111983
810000 0.11153
811000 0.114348
812000 0.106872
813000 0.109699
814000 0.113108
815000 0.10929
816000 0.113156
817000 0.111475
818000 0.110847
819000 0.114836
820000 0.111294
821000 0.11074
822000 0.109899
823000 0.109908
824000 0.111389
825000 0.112824
826000 0.115313
827000 0.111772
828000 0.109279
829000 0.10949
830000 0.111492
831000 0.109269
832000 0.112714
833000 0.110817
834000 0.105209
835000 0.111923
836000 0.10987
837000 0.108433
838000 0.110172
839000 0.114006
840000 0.109419
841000 0.113049
842000 0.112782
843000 0.111142
844000 0.10818
845000 0.107813
846000 0.110128
847000 0.112485
848000 0.11193
849000 0.112233
850000 0.114775
851000 0.113277
852000 0.112063
853000 0.110634
854000 0.115433
855000 0.106757
856000 0.110062
857000 0.112113
858000 0.114621
859000 0.111723
860000 0.113933
