# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
100000 1.37512e-29
101000 0.237398
102000 0.251214
103000 0.248207
104000 0.2458
105000 0.247445
106000 0.254711
107000 0.255438
108000 0.256149
109000 0.24607
110000 0.252976
111000 0.258464
112000 0.255163
113000 0.255435
114000 0.254928
115000 0.248483
116000 0.254371
117000 0.251588
118000 0.248265
119000 0.25636
120000 0.248684
121000 0.247093
122000 0.249212
123000 0.252515
124000 0.253492
125000 0.254199
126000 0.256693
127000 0.255617
128000 0.25555
129000 0.254989
130000 0.254048
131000 0.256548
132000 0.250646
133000 0.256863
134000 0.257492
135000 0.256799
136000 0.247347
137000 0.254559
138000 0.247585
139000 0.248071
140000 0.253247
141000 0.251003
142000 0.259848
143000 0.256509
144000 0.250782
145000 0.256345
146000 0.255208
147000 0.254354
148000 0.258792
149000 0.251762
150000 0.252745
151000 0.254021
152000 0.26089
153000 0.257032
154000 0.256576
155000 0.253012
156000 0.254124
157000 0.255514
158000 0.253277
159000 0.259624
160000 0.258966
161000 0.25106
162000 0.252979
163000 0.25366
164000 0.255798
165000 0.255978
166000 0.254912
167000 0.25551
168000 0.25711
169000 0.256172
170000 0.254
171000 0.255653
172000 0.260278
173000 0.253875
174000 0.257535
175000 0.249828
176000 0.254703
177000 0.254759
178000 0.251382
179000 0.256728
180000 0.25282
181000 0.248046
182000 0.255606
183000 0.258621
184000 0.253153
185000 0.254673
186000 0.260598
187000 0.259044
188000 0.263146
189000 0.257988
190000 0.260416
191000 0.260673
192000 0.262552
193000 0.253438
194000 0.25655
195000 0.251631
196000 0.256588
197000 0.257209
198000 0.253888
199000 0.253223
200000 0.256296
201000 0.253459
202000 0.254856
203000 0.259941
204000 0.253109
205000 0.257464
206000 0.25665
207000 0.254383
208000 0.25779
209000 0.258162
210000 0.255596
211000 0.264575
212000 0.249298
213000 0.253241
214000 0.255228
215000 0.256554
216000 0.253756
217000 0.25275
218000 0.257136
219000 0.262501
220000 0.256769
221000 0.258844
222000 0.25856
223000 0.261009
224000 0.25408
225000 0.260875
226000 0.260003
227000 0.254424
228000 0.258817
229000 0.265308
230000 0.259852
231000 0.255948
232000 0.25918
233000 0.259034
234000 0.255353
235000 0.256752
236000 0.262444
237000 0.257432
238000 0.254858
239000 0.254922
240000 0.252168
241000 0.253314
242000 0.253835
243000 0.258894
244000 0.251973
245000 0.262833
246000 0.262275
247000 0.257522
248000 0.256941
249000 0.264007
250000 0.260981
251000 0.259241
252000 0.255721
253000 0.254353
254000 0.256542
255000 0.256327
256000 0.259474
257000 0.26111
258000 0.256404
259000 0.263199
260000 0.256822
261000 0.255029
262000 0.264341
263000 0.252849
264000 0.257656
265000 0.25881
266000 0.256228
267000 0.259786
268000 0.26352
269000 0.254572
270000 0.255699
271000 0.261708
272000 0.261757
273000 0.254562
274000 0.259891
275000 0.258907
276000 0.257349
277000 0.256726
278000 0.252755
279000 0.258666
280000 0.259238
281000 0.252371
282000 0.255832
283000 0.260429
284000 0.260328
285000 0.260802
286000 0.259411
287000 0.256064
288000 0.260176
289000 0.262216
290000 0.263963
291000 0.25896
292000 0.260727
293000 0.262572
294000 0.258936
295000 0.260664
296000 0.259443
297000 0.262925
298000 0.26261
299000 0.257714
300000 0.261492
301000 0.259565
302000 0.258096
303000 0.256978
304000 0.253108
305000 0.257947
306000 0.264431
307000 0.25689
308000 0.262499
309000 0.26256
310000 0.262464
311000 0.265823
312000 0.257736
313000 0.258482
314000 0.255391
315000 0.257376
316000 0.263432
317000 0.260241
318000 0.260939
319000 0.256693
320000 0.254953
321000 0.261457
322000 0.260495
323000 0.258596
324000 0.259027
325000 0.265303
326000 0.256146
327000 0.256059
328000 0.257159
329000 0.260797
330000 0.262903
331000 0.267166
332000 0.263827
333000 0.25703
334000 0.262805
335000 0.255288
336000 0.260933
337000 0.259359
338000 0.258877
339000 0.262586
340000 0.265685
341000 0.258187
342000 0.256154
343000 0.263382
344000 0.256796
345000 0.264224
346000 0.264275
347000 0.259382
348000 0.259706
349000 0.260544
350000 0.26149
351000 0.255669
352000 0.257698
353000 0.25899
354000 0.256726
355000 0.261943
356000 0.256383
357000 0.258802
358000 0.257198
359000 0.255297
360000 0.256041
361000 0.261312
362000 0.256096
363000 0.261063
364000 0.261705
365000 0.254438
366000 0.254291
367000 0.255279
368000 0.260579
369000 0.260911
370000 0.255833
371000 0.262436
372000 0.255421
373000 0.259829
374000 0.258764
375000 0.25299
376000 0.264092
377000 0.26182
378000 0.257513
379000 0.259225
380000 0.257747
381000 0.263195
382000 0.252973
383000 0.263719
384000 0.26093
385000 0.262294
386000 0.261242
387000 0.262053
388000 0.259617
389000 0.257195
390000 0.255109
391000 0.264376
392000 0.258818
393000 0.261846
394000 0.259619
395000 0.254179
396000 0.254697
397000 0.260223
398000 0.264163
399000 0.257173
400000 0.263556
401000 0.261107
402000 0.263606
403000 0.257683
404000 0.262317
405000 0.266783
406000 0.257919
407000 0.258405
408000 0.26265
409000 0.260607
410000 0.261587
411000 0.259131
412000 0.265513
413000 0.266595
414000 0.259593
415000 0.261414
416000 0.260455
417000 0.257474
418000 0.264896
419000 0.256714
420000 0.251921
421000 0.260488
422000 0.259287
423000 0.259803
424000 0.254669
425000 0.255884
426000 0.257313
427000 0.258692
428000 0.25574
429000 0.255585
430000 0.261077
431000 0.26023
432000 0.252447
433000 0.258688
434000 0.261827
435000 0.26414
436000 0.258048
437000 0.25819
438000 0.2579
439000 0.2579
440000 0.257331
441000 0.257729
442000 0.261156
443000 0.256534
444000 0.259548
445000 0.253326
446000 0.25611
447000 0.25419
448000 0.265469
449000 0.258227
450000 0.25914
451000 0.260543
452000 0.259514
453000 0.260864
454000 0.258947
455000 0.261698
456000 0.260221
457000 0.256041
458000 0.258945
459000 0.259544
460000 0.26045
461000 0.261602
462000 0.258495
463000 0.258987
464000 0.265865
465000 0.260812
466000 0.253461
467000 0.250321
468000 0.253966
469000 0.26775
470000 0.26038
471000 0.265818
472000 0.260482
473000 0.255512
474000 0.258925
475000 0.255877
476000 0.256379
477000 0.261999
478000 0.260532
479000 0.255049
480000 0.262164
481000 0.258134
482000 0.256949
483000 0.256893
484000 0.260889
485000 0.259298
486000 0.266028
487000 0.256879
488000 0.261174
489000 0.257717
490000 0.259383
491000 0.253464
492000 0.257961
493000 0.257646
494000 0.260102
495000 0.25675
496000 0.260751
497000 0.262308
498000 0.259344
499000 0.26385
500000 0.254783
501000 0.256749
502000 0.258878
503000 0.263796
504000 0.261412
505000 0.261018
506000 0.265564
507000 0.260265
508000 0.262063
509000 0.260554
510000 0.266353
511000 0.265164
512000 0.254895
513000 0.262935
514000 0.257469
515000 0.259671
516000 0.258793
517000 0.262183
518000 0.258002
519000 0.256487
520000 0.26098
521000 0.259306
522000 0.257967
523000 0.257051
524000 0.259
525000 0.262618
526000 0.259336
527000 0.254242
528000 0.264438
529000 0.257226
530000 0.258087
531000 0.257939
532000 0.2644
533000 0.259979
534000 0.255232
535000 0.257072
536000 0.259989
537000 0.254858
538000 0.252634
539000 0.260669
540000 0.264589
541000 0.259959
542000 0.258905
543000 0.25368
544000 0.26241
545000 0.259671
546000 0.257825
547000 0.258598
548000 0.258947
549000 0.259069
550000 0.253542
551000 0.260209
552000 0.255054
553000 0.265104
554000 0.257106
555000 0.260462
556000 0.256027
557000 0.258195
558000 0.254304
559000 0.254955
560000 0.264299
561000 0.263696
562000 0.260147
563000 0.260338
564000 0.260308
565000 0.262551
566000 0.257919
567000 0.260572
568000 0.258557
569000 0.263187
570000 0.260557
571000 0.26669
572000 0.266643
573000 0.262745
574000 0.259668
575000 0.262192
576000 0.252594
577000 0.261203
578000 0.255528
579000 0.260206
580000 0.261404
581000 0.262668
582000 0.256714
583000 0.261219
584000 0.251587
585000 0.259235
586000 0.26622
587000 0.260213
588000 0.259206
589000 0.262148
590000 0.257525
591000 0.256373
592000 0.26343
593000 0.260715
594000 0.260788
