# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
100000 1.37288e-29
101000 0.22959
102000 0.249647
103000 0.246946
104000 0.24503
105000 0.253297
106000 0.248641
107000 0.25519
108000 0.256148
109000 0.242486
110000 0.25483
111000 0.251649
112000 0.251384
113000 0.246954
114000 0.2489
115000 0.242723
116000 0.246683
117000 0.25083
118000 0.248799
119000 0.24709
120000 0.249265
121000 0.248369
122000 0.250467
123000 0.251733
124000 0.245191
125000 0.244961
126000 0.256483
127000 0.25248
128000 0.244852
129000 0.252964
130000 0.251524
131000 0.246331
132000 0.250873
133000 0.259002
134000 0.246335
135000 0.254975
136000 0.249842
137000 0.254059
138000 0.25498
139000 0.249981
140000 0.252002
141000 0.250313
142000 0.249869
143000 0.255016
144000 0.261596
145000 0.255074
146000 0.252202
147000 0.253387
148000 0.24677
149000 0.250626
150000 0.251378
151000 0.252143
152000 0.24762
153000 0.254318
154000 0.246747
155000 0.251965
156000 0.250712
157000 0.247091
158000 0.253537
159000 0.256394
160000 0.254142
161000 0.256527
162000 0.255214
163000 0.254214
164000 0.250867
165000 0.249452
166000 0.249354
167000 0.247501
168000 0.244994
169000 0.253981
170000 0.248057
171000 0.25195
172000 0.250764
173000 0.251107
174000 0.25352
175000 0.247791
176000 0.247783
177000 0.252008
178000 0.251677
179000 0.252978
180000 0.253034
181000 0.259377
182000 0.254102
183000 0.258562
184000 0.249031
185000 0.250403
186000 0.250465
187000 0.247798
188000 0.253081
189000 0.25155
190000 0.248966
191000 0.25287
192000 0.249099
193000 0.253814
194000 0.250983
195000 0.250186
196000 0.243339
197000 0.248083
198000 0.253914
199000 0.249724
200000 0.245984
201000 0.250882
202000 0.252643
203000 0.250465
204000 0.248181
205000 0.249465
206000 0.254276
207000 0.249288
208000 0.251584
209000 0.254981
210000 0.252117
211000 0.250259
212000 0.250501
213000 0.247901
214000 0.244865
215000 0.251683
216000 0.250839
217000 0.25716
218000 0.255353
219000 0.250153
220000 0.247369
221000 0.253918
222000 0.240919
223000 0.260201
224000 0.253352
225000 0.252952
226000 0.251306
227000 0.250352
228000 0.254995
229000 0.252398
230000 0.254701
231000 0.259886
232000 0.245772
233000 0.247013
234000 0.249762
235000 0.250127
236000 0.24899
237000 0.251826
238000 0.252914
239000 0.253536
240000 0.247728
241000 0.252395
242000 0.252502
243000 0.24564
244000 0.24857
245000 0.248569
246000 0.254842
247000 0.246346
248000 0.254256
249000 0.250753
250000 0.25635
251000 0.249144
252000 0.25399
253000 0.250826
254000 0.257067
255000 0.247716
256000 0.253544
257000 0.248301
258000 0.249186
259000 0.246927
260000 0.251958
261000 0.248812
262000 0.244086
263000 0.254524
264000 0.249664
265000 0.251931
266000 0.253486
267000 0.253982
268000 0.247956
269000 0.247842
270000 0.251269
271000 0.253586
272000 0.260353
273000 0.251569
274000 0.253271
275000 0.259527
276000 0.253796
277000 0.252801
278000 0.251564
279000 0.255399
280000 0.24987
281000 0.253953
282000 0.247778
283000 0.247947
284000 0.249934
285000 0.254082
286000 0.24127
287000 0.252535
288000 0.258293
289000 0.254144
290000 0.252734
291000 0.250863
292000 0.247199
293000 0.255465
294000 0.257435
295000 0.246331
296000 0.255275
297000 0.248487
298000 0.254499
299000 0.249183
300000 0.248942
301000 0.250733
302000 0.253846
303000 0.247922
304000 0.254399
305000 0.253596
306000 0.248068
307000 0.252463
308000 0.254769
309000 0.256571
310000 0.252873
311000 0.251254
312000 0.248227
313000 0.256861
314000 0.249028
315000 0.253323
316000 0.254017
317000 0.255742
318000 0.254627
319000 0.249567
320000 0.251473
321000 0.250991
322000 0.252357
323000 0.254493
324000 0.250672
325000 0.246618
326000 0.249747
327000 0.246339
328000 0.246128
329000 0.252704
330000 0.251435
331000 0.248146
332000 0.246631
333000 0.248334
334000 0.248608
335000 0.252582
336000 0.245803
337000 0.252178
338000 0.247687
339000 0.249271
340000 0.254002
341000 0.256922
342000 0.251558
343000 0.258423
344000 0.246951
345000 0.252255
346000 0.247646
347000 0.251783
348000 0.251741
349000 0.251413
350000 0.252661
351000 0.254812
352000 0.251883
353000 0.254553
354000 0.253759
355000 0.253093
356000 0.252734
357000 0.251891
358000 0.252787
359000 0.256283
360000 0.249126
361000 0.251733
362000 0.253273
363000 0.249784
364000 0.248908
365000 0.243756
366000 0.247512
367000 0.24973
368000 0.255221
369000 0.248935
370000 0.249499
371000 0.254522
372000 0.250484
373000 0.246873
374000 0.254912
375000 0.255856
376000 0.258835
377000 0.249006
378000 0.250126
379000 0.258883
380000 0.254551
381000 0.256219
382000 0.254557
383000 0.253615
384000 0.25143
385000 0.259842
386000 0.252005
387000 0.255082
388000 0.255919
389000 0.252113
390000 0.257193
391000 0.260618
392000 0.251625
393000 0.253502
394000 0.256415
395000 0.253562
396000 0.254032
397000 0.249907
398000 0.250294
399000 0.251927
400000 0.254018
401000 0.24958
402000 0.25375
403000 0.252691
404000 0.249545
405000 0.246669
406000 0.250129
407000 0.250343
408000 0.251667
409000 0.253667
410000 0.253198
411000 0.25198
412000 0.248952
413000 0.251713
414000 0.254827
415000 0.255561
416000 0.253412
417000 0.254593
418000 0.250959
419000 0.256221
420000 0.24961
421000 0.249172
422000 0.253722
423000 0.249431
424000 0.25545
425000 0.255808
426000 0.250656
427000 0.258495
428000 0.258557
429000 0.255346
430000 0.248264
431000 0.252119
432000 0.247289
433000 0.258376
434000 0.243688
435000 0.247403
436000 0.247838
437000 0.253339
438000 0.252161
439000 0.254284
440000 0.254617
441000 0.254607
442000 0.253294
443000 0.253049
444000 0.251208
445000 0.254534
446000 0.2576
447000 0.246103
448000 0.249131
449000 0.249466
450000 0.252701
451000 0.24677
452000 0.253865
453000 0.252832
454000 0.25246
455000 0.248006
456000 0.259861
457000 0.248984
458000 0.253224
459000 0.248451
460000 0.249751
461000 0.249501
462000 0.254377
463000 0.256991
464000 0.259301
465000 0.250326
466000 0.251405
467000 0.248178
468000 0.252859
469000 0.252281
470000 0.256901
471000 0.25351
472000 0.254534
473000 0.24782
474000 0.244209
475000 0.248989
476000 0.249527
477000 0.250533
478000 0.258631
479000 0.2513
480000 0.246592
481000 0.258459
482000 0.253343
483000 0.25068
484000 0.250922
485000 0.251738
486000 0.257305
487000 0.251316
488000 0.246048
489000 0.250028
490000 0.249445
491000 0.25067
492000 0.250187
493000 0.25362
494000 0.258611
495000 0.255003
496000 0.252472
497000 0.250551
498000 0.250567
499000 0.253829
500000 0.258568
501000 0.253611
502000 0.257189
503000 0.257513
504000 0.256824
505000 0.25792
506000 0.249128
507000 0.253878
508000 0.25292
509000 0.256513
510000 0.256919
511000 0.250848
512000 0.251786
513000 0.25075
514000 0.247524
515000 0.255487
516000 0.247408
517000 0.248513
518000 0.257069
519000 0.252802
520000 0.250756
521000 0.256464
522000 0.255764
523000 0.256252
524000 0.256637
525000 0.257818
526000 0.251568
527000 0.252137
528000 0.2509
529000 0.256695
530000 0.247026
531000 0.257482
532000 0.256603
533000 0.254738
534000 0.250349
535000 0.246453
536000 0.250571
537000 0.251274
538000 0.256295
539000 0.252729
540000 0.255756
541000 0.255158
542000 0.25694
543000 0.248336
544000 0.257322
545000 0.249829
546000 0.254693
547000 0.247559
548000 0.25051
549000 0.252118
550000 0.245147
551000 0.251235
552000 0.249521
553000 0.251509
554000 0.254981
555000 0.254033
556000 0.254404
557000 0.253263
558000 0.252205
559000 0.249491
560000 0.250316
561000 0.25541
562000 0.254179
563000 0.242985
564000 0.258526
565000 0.253648
566000 0.25199
567000 0.252536
568000 0.254144
569000 0.251638
570000 0.255997
571000 0.248825
572000 0.252221
573000 0.252315
574000 0.252598
575000 0.253278
576000 0.251051
577000 0.259106
578000 0.245628
579000 0.255027
580000 0.257142
581000 0.251925
582000 0.247048
583000 0.249823
584000 0.249548
585000 0.247523
586000 0.252884
587000 0.252463
588000 0.250631
589000 0.253628
590000 0.246536
591000 0.247951
592000 0.254935
593000 0.251695
594000 0.250712
595000 0.252307
596000 0.245656
597000 0.246482
598000 0.25325
599000 0.257498
600000 0.252625
601000 0.242698
602000 0.253126
603000 0.254825
604000 0.25673
605000 0.25512
606000 0.255252
607000 0.257034
608000 0.250445
609000 0.254799
610000 0.249353
611000 0.251341
612000 0.251394
613000 0.256735
614000 0.256857
615000 0.250091
616000 0.249892
617000 0.251444
618000 0.252018
619000 0.251435
620000 0.251375
621000 0.256315
622000 0.254286
623000 0.252364
624000 0.249076
625000 0.255198
626000 0.253222
627000 0.254546
628000 0.247179
629000 0.250068
630000 0.253828
631000 0.248245
632000 0.248584
633000 0.253057
634000 0.257909
635000 0.25763
636000 0.255925
637000 0.245697
638000 0.251635
639000 0.257027
640000 0.258027
641000 0.249075
642000 0.253046
643000 0.253731
644000 0.250267
645000 0.25231
646000 0.252398
647000 0.245568
648000 0.2532
649000 0.247483
650000 0.250749
651000 0.254237
652000 0.246816
653000 0.250663
654000 0.256533
655000 0.256507
656000 0.250606
657000 0.246337
658000 0.245266
659000 0.253104
660000 0.254334
661000 0.247448
662000 0.253092
663000 0.254205
664000 0.257895
665000 0.254668
666000 0.246517
667000 0.244124
668000 0.251079
669000 0.249428
670000 0.253482
671000 0.251074
672000 0.248669
673000 0.261241
674000 0.248973
675000 0.254786
676000 0.260934
677000 0.254922
678000 0.248492
679000 0.256393
680000 0.25314
681000 0.247973
682000 0.252358
683000 0.252847
684000 0.254972
685000 0.25592
686000 0.246892
687000 0.249009
688000 0.253221
689000 0.24969
690000 0.244794
691000 0.250053
692000 0.253734
693000 0.257192
694000 0.254618
695000 0.255977
696000 0.255821
697000 0.256115
698000 0.253057
699000 0.25738
700000 0.254751
701000 0.256602
702000 0.252058
703000 0.258555
704000 0.255474
705000 0.24624
706000 0.255361
707000 0.252457
708000 0.257794
709000 0.248888
710000 0.252082
711000 0.259338
712000 0.248529
713000 0.254919
714000 0.254069
715000 0.256163
716000 0.249152
717000 0.254235
718000 0.244769
719000 0.249551
720000 0.248367
721000 0.251766
722000 0.249174
723000 0.254948
724000 0.245897
725000 0.255353
726000 0.255031
727000 0.250926
728000 0.251756
729000 0.256657
730000 0.247346
731000 0.252469
732000 0.248497
733000 0.255705
734000 0.254853
735000 0.260354
736000 0.253126
737000 0.25562
738000 0.257671
739000 0.253746
740000 0.253742
741000 0.253355
742000 0.25161
743000 0.253766
744000 0.253411
745000 0.252435
746000 0.252516
747000 0.256154
748000 0.25089
749000 0.251604
750000 0.253474
751000 0.251785
752000 0.251247
753000 0.24911
754000 0.253694
755000 0.2555
756000 0.251309
757000 0.252635
758000 0.25795
759000 0.253778
760000 0.252037
761000 0.25349
762000 0.254447
763000 0.252994
764000 0.248834
765000 0.254168
766000 0.25515
767000 0.25308
768000 0.258848
769000 0.251063
770000 0.256349
771000 0.250251
772000 0.252833
773000 0.25236
774000 0.249933
775000 0.246772
776000 0.253776
777000 0.246865
778000 0.250262
779000 0.255707
780000 0.257094
781000 0.254541
782000 0.257608
783000 0.249554
784000 0.253012
785000 0.250796
786000 0.257684
787000 0.251343
788000 0.251699
789000 0.253812
790000 0.251694
791000 0.2539
792000 0.249108
793000 0.24777
794000 0.252996
795000 0.249502
796000 0.251828
797000 0.246803
798000 0.248561
799000 0.256652
800000 0.254614
801000 0.252254
802000 0.253932
803000 0.25137
804000 0.251391
805000 0.254327
806000 0.253091
807000 0.257878
808000 0.247468
809000 0.256151
810000 0.252306
811000 0.246738
812000 0.251054
813000 0.258296
814000 0.260073
815000 0.248051
816000 0.258733
817000 0.245867
818000 0.253017
819000 0.256622
820000 0.256972
821000 0.255514
822000 0.257554
823000 0.25236
824000 0.254737
825000 0.247303
826000 0.256001
827000 0.251277
828000 0.25449
829000 0.253267
830000 0.254161
831000 0.252223
832000 0.254431
833000 0.258854
834000 0.254384
835000 0.255348
836000 0.254732
837000 0.254306
838000 0.254438
839000 0.254073
840000 0.249191
841000 0.259989
842000 0.252411
843000 0.250426
844000 0.252628
845000 0.251174
846000 0.255115
847000 0.259058
848000 0.252702
849000 0.253435
850000 0.259166
851000 0.255534
852000 0.255567
853000 0.254923
854000 0.249638
855000 0.253189
856000 0.249533
857000 0.251502
858000 0.252658
859000 0.261177
860000 0.253327
861000 0.255723
862000 0.252955
863000 0.255463
864000 0.249663
865000 0.25426
866000 0.247963
867000 0.253913
868000 0.252275
869000 0.251615
870000 0.252048
871000 0.252178
872000 0.2559
873000 0.251199
874000 0.253124
875000 0.250976
876000 0.251876
877000 0.251096
878000 0.251482
879000 0.249481
880000 0.254536
881000 0.259791
882000 0.255162
883000 0.256065
884000 0.248343
885000 0.252677
886000 0.248771
887000 0.245774
888000 0.25474
889000 0.251877
890000 0.254163
891000 0.253681
892000 0.251585
893000 0.256483
894000 0.255347
895000 0.253882
896000 0.253621
897000 0.255568
898000 0.250492
899000 0.25604
900000 0.250257
901000 0.255803
902000 0.259672
903000 0.256571
904000 0.254782
905000 0.252651
906000 0.25313
907000 0.250364
908000 0.249317
909000 0.25456
910000 0.250691
911000 0.254665
912000 0.25362
913000 0.249846
914000 0.25116
915000 0.259123
916000 0.252086
917000 0.256791
918000 0.245698
919000 0.256263
920000 0.253909
921000 0.25298
922000 0.255369
923000 0.254462
924000 0.253631
925000 0.254499
926000 0.249111
927000 0.249913
928000 0.252548
929000 0.258251
930000 0.249802
931000 0.25122
932000 0.25157
933000 0.251576
934000 0.251864
935000 0.250188
936000 0.254469
937000 0.24609
938000 0.250058
939000 0.255883
940000 0.251768
941000 0.249676
942000 0.252146
943000 0.24509
944000 0.252671
945000 0.257281
946000 0.250196
947000 0.248393
948000 0.256338
949000 0.254565
950000 0.255769
951000 0.255517
952000 0.256493
953000 0.25704
954000 0.26026
955000 0.252261
956000 0.246543
957000 0.252555
958000 0.253846
959000 0.255636
960000 0.257535
961000 0.256233
962000 0.252494
963000 0.255831
964000 0.25821
965000 0.249114
966000 0.258796
967000 0.251308
968000 0.259847
969000 0.259012
970000 0.257958
971000 0.253545
972000 0.255998
973000 0.249056
974000 0.254264
975000 0.252703
976000 0.247825
977000 0.258809
978000 0.256313
979000 0.252746
980000 0.253229
981000 0.255725
982000 0.246017
983000 0.257225
984000 0.258343
985000 0.250924
986000 0.251751
987000 0.255261
988000 0.251953
989000 0.253703
990000 0.259493
991000 0.255782
992000 0.250147
993000 0.256428
994000 0.252141
995000 0.254003
996000 0.25196
997000 0.252774
998000 0.252651
999000 0.250816
1000000 0.254239
1001000 0.252412
1002000 0.248931
1003000 0.257142
1004000 0.249452
1005000 0.255041
1006000 0.254962
1007000 0.251987
1008000 0.252296
1009000 0.256438
1010000 0.255724
1011000 0.256515
1012000 0.25459
1013000 0.252479
1014000 0.255328
1015000 0.24798
1016000 0.250908
1017000 0.249285
1018000 0.252428
1019000 0.256
1020000 0.252945
1021000 0.248833
1022000 0.253553
1023000 0.252949
1024000 0.24746
1025000 0.249425
1026000 0.243964
1027000 0.247931
1028000 0.250152
1029000 0.256993
1030000 0.259214
1031000 0.252884
1032000 0.250907
1033000 0.247885
1034000 0.251541
1035000 0.254797
1036000 0.256823
1037000 0.253404
1038000 0.257355
1039000 0.257276
1040000 0.257166
1041000 0.258211
1042000 0.252316
1043000 0.252092
1044000 0.256143
1045000 0.256815
1046000 0.24641
1047000 0.252963
1048000 0.254874
1049000 0.253072
1050000 0.254463
1051000 0.25201
1052000 0.250936
1053000 0.251649
1054000 0.25598
1055000 0.24965
1056000 0.250265
1057000 0.255436
1058000 0.256529
1059000 0.257785
1060000 0.254082
1061000 0.255115
1062000 0.256901
1063000 0.251695
1064000 0.255311
1065000 0.253225
1066000 0.252844
1067000 0.257247
1068000 0.25194
1069000 0.251097
1070000 0.254709
1071000 0.253663
1072000 0.25965
1073000 0.249321
1074000 0.250582
1075000 0.254077
1076000 0.252186
1077000 0.249173
1078000 0.254747
1079000 0.256068
1080000 0.262254
1081000 0.25395
1082000 0.255839
1083000 0.252631
1084000 0.256573
1085000 0.256043
1086000 0.249861
1087000 0.247953
1088000 0.251362
1089000 0.249506
1090000 0.255027
1091000 0.253164
1092000 0.252775
1093000 0.255347
1094000 0.253777
1095000 0.259545
1096000 0.25375
1097000 0.253437
1098000 0.246272
1099000 0.25632
1100000 0.249309
1101000 0.257335
1102000 0.260692
1103000 0.252167
1104000 0.256147
1105000 0.254238
1106000 0.254318
1107000 0.252909
1108000 0.259576
1109000 0.255259
1110000 0.254774
1111000 0.256338
1112000 0.251096
1113000 0.257477
1114000 0.249762
1115000 0.248978
1116000 0.249682
1117000 0.247572
1118000 0.251875
1119000 0.247926
1120000 0.259487
1121000 0.254607
1122000 0.254948
1123000 0.255137
1124000 0.251373
1125000 0.252296
1126000 0.25034
1127000 0.250134
1128000 0.254947
1129000 0.260183
1130000 0.252873
1131000 0.257972
1132000 0.255937
1133000 0.259029
1134000 0.251375
1135000 0.254761
1136000 0.251035
1137000 0.251901
1138000 0.254514
1139000 0.253475
1140000 0.257085
