# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 2.80735e-31
101000 0.26301
102000 0.264393
103000 0.26162
104000 0.270744
105000 0.27236
106000 0.270499
107000 0.277195
108000 0.275648
109000 0.271732
110000 0.271038
111000 0.27941
112000 0.27684
113000 0.273501
114000 0.27825
115000 0.274902
116000 0.276421
117000 0.279161
118000 0.269292
119000 0.275228
120000 0.279641
121000 0.28307
122000 0.284842
123000 0.282105
124000 0.28056
125000 0.280703
126000 0.286357
127000 0.284871
128000 0.285679
129000 0.29057
130000 0.285376
131000 0.286204
132000 0.286749
133000 0.289535
134000 0.289668
135000 0.287937
136000 0.285813
137000 0.292457
138000 0.28985
139000 0.290105
140000 0.288819
141000 0.289422
142000 0.285465
143000 0.292415
144000 0.297839
145000 0.292001
146000 0.293473
147000 0.296563
148000 0.298194
149000 0.294738
150000 0.28742
151000 0.296191
152000 0.295287
153000 0.292083
154000 0.294476
155000 0.294846
156000 0.29766
157000 0.296164
158000 0.297524
159000 0.294419
160000 0.302628
161000 0.29357
162000 0.295409
163000 0.298751
164000 0.299245
165000 0.294742
166000 0.293487
167000 0.298187
168000 0.300315
169000 0.299657
170000 0.3
171000 0.294041
172000 0.300293
173000 0.295994
174000 0.29395
175000 0.294677
176000 0.297132
177000 0.302295
178000 0.295989
179000 0.301265
180000 0.300281
181000 0.300143
182000 0.300989
183000 0.30251
184000 0.300178
185000 0.302049
186000 0.302435
187000 0.303329
188000 0.29965
189000 0.301075
190000 0.301728
191000 0.300373
192000 0.299372
193000 0.306477
194000 0.299251
195000 0.301303
196000 0.302223
197000 0.300482
198000 0.30528
199000 0.305613
200000 0.30776
201000 0.301987
202000 0.30044
203000 0.301365
204000 0.302386
205000 0.305144
206000 0.308387
207000 0.312324
208000 0.310482
209000 0.305939
210000 0.306972
211000 0.308308
212000 0.306786
213000 0.308782
214000 0.309615
215000 0.313062
216000 0.308299
217000 0.318149
218000 0.312556
219000 0.314613
220000 0.31969
221000 0.316279
222000 0.31435
223000 0.317059
224000 0.315612
225000 0.32023
226000 0.313289
227000 0.313306
228000 0.317574
229000 0.315704
230000 0.315245
231000 0.319286
232000 0.321787
233000 0.316975
234000 0.316406
235000 0.321752
236000 0.322157
237000 0.323298
238000 0.328348
239000 0.321373
240000 0.325264
241000 0.321025
242000 0.32801
243000 0.31822
244000 0.332947
245000 0.324129
246000 0.335919
247000 0.330412
248000 0.332488
249000 0.329635
250000 0.337132
251000 0.330168
252000 0.337426
253000 0.335925
254000 0.343236
255000 0.328676
256000 0.335344
257000 0.336181
258000 0.336681
259000 0.332548
260000 0.335186
261000 0.336177
262000 0.338999
263000 0.342621
264000 0.337288
265000 0.339709
266000 0.339489
267000 0.340862
268000 0.339333
269000 0.339271
270000 0.343868
271000 0.344761
272000 0.342934
273000 0.342572
274000 0.340267
275000 0.341769
276000 0.347705
277000 0.342418
278000 0.349102
279000 0.34781
280000 0.343989
281000 0.346958
282000 0.347478
283000 0.338769
284000 0.34688
285000 0.352411
286000 0.345256
287000 0.346671
288000 0.352976
289000 0.347247
290000 0.345395
291000 0.354188
292000 0.347733
293000 0.352315
294000 0.356612
295000 0.352931
296000 0.350515
297000 0.349639
298000 0.350847
299000 0.350015
300000 0.35182
301000 0.353259
302000 0.347682
303000 0.35706
304000 0.356418
305000 0.35178
306000 0.351698
307000 0.350493
308000 0.358402
309000 0.358617
310000 0.357162
311000 0.355542
312000 0.352446
313000 0.362317
314000 0.355871
315000 0.363466
316000 0.356829
317000 0.354811
318000 0.358824
319000 0.359823
320000 0.355055
321000 0.36158
322000 0.365072
323000 0.359518
324000 0.37426
325000 0.365693
326000 0.363233
327000 0.360356
328000 0.364967
329000 0.365613
330000 0.365495
331000 0.360981
332000 0.368583
333000 0.364291
334000 0.363863
335000 0.366193
336000 0.3678
337000 0.367355
338000 0.366372
339000 0.366471
340000 0.368566
341000 0.36463
342000 0.371694
343000 0.367935
344000 0.367601
345000 0.375093
346000 0.363773
347000 0.368012
348000 0.374697
349000 0.368451
350000 0.367442
351000 0.37374
352000 0.365497
353000 0.370783
354000 0.370581
355000 0.37928
356000 0.367936
357000 0.371598
358000 0.365438
359000 0.369983
360000 0.370607
361000 0.372753
362000 0.376147
363000 0.371944
364000 0.373794
365000 0.37296
366000 0.377167
367000 0.376566
368000 0.372015
369000 0.373109
370000 0.38202
371000 0.38287
372000 0.381592
373000 0.377219
374000 0.380236
375000 0.372456
376000 0.376665
377000 0.379341
378000 0.38086
379000 0.383721
380000 0.384483
381000 0.385043
382000 0.384181
383000 0.38251
384000 0.383586
385000 0.381737
386000 0.381172
387000 0.391555
388000 0.386103
389000 0.377753
390000 0.386198
391000 0.384785
392000 0.376416
393000 0.380623
394000 0.382597
395000 0.376808
396000 0.389278
397000 0.391496
398000 0.385015
399000 0.383253
400000 0.384066
401000 0.381246
402000 0.384903
403000 0.387098
404000 0.387347
405000 0.390374
406000 0.390066
407000 0.388449
408000 0.387228
409000 0.38087
410000 0.390028
411000 0.383618
412000 0.388597
413000 0.386431
414000 0.386894
415000 0.387324
416000 0.387992
417000 0.381638
418000 0.391376
419000 0.393619
420000 0.381938
421000 0.389251
422000 0.388296
423000 0.388169
424000 0.392022
425000 0.39134
426000 0.392419
