# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.07227e-29
101000 0.264725
102000 0.263097
103000 0.264725
104000 0.25978
105000 0.26353
106000 0.259047
107000 0.269352
108000 0.268006
109000 0.260224
110000 0.268364
111000 0.265042
112000 0.269618
113000 0.269212
114000 0.271934
115000 0.267503
116000 0.276511
117000 0.27292
118000 0.27101
119000 0.26553
120000 0.277334
121000 0.270737
122000 0.275214
123000 0.269043
124000 0.274308
125000 0.269907
126000 0.27709
127000 0.276399
128000 0.272069
129000 0.272219
130000 0.279463
131000 0.278268
132000 0.278768
133000 0.280097
134000 0.281099
135000 0.280691
136000 0.279113
137000 0.28031
138000 0.279882
139000 0.278997
140000 0.282109
141000 0.278683
142000 0.283536
143000 0.278592
144000 0.282814
145000 0.279487
146000 0.283004
147000 0.28348
148000 0.281007
149000 0.286756
150000 0.288705
151000 0.285391
152000 0.288457
153000 0.287808
154000 0.285659
155000 0.28671
156000 0.284972
157000 0.294156
158000 0.290132
159000 0.289795
160000 0.289616
161000 0.292854
162000 0.28908
163000 0.291378
164000 0.293331
165000 0.29556
166000 0.292387
167000 0.297909
168000 0.294985
169000 0.295048
170000 0.298566
171000 0.294868
172000 0.298113
173000 0.296717
174000 0.299997
175000 0.296677
176000 0.30454
177000 0.295956
178000 0.298277
179000 0.295556
180000 0.301331
181000 0.292361
182000 0.302818
183000 0.297261
184000 0.309922
185000 0.301323
186000 0.301003
187000 0.306127
188000 0.301078
189000 0.302673
190000 0.305146
191000 0.304836
192000 0.304071
193000 0.305732
194000 0.307391
195000 0.307909
196000 0.308
197000 0.306632
198000 0.3036
199000 0.302263
200000 0.307946
201000 0.308031
202000 0.30933
203000 0.308326
204000 0.302942
205000 0.310892
206000 0.303698
207000 0.30897
208000 0.310867
209000 0.30476
210000 0.305142
211000 0.311997
212000 0.305481
213000 0.307207
214000 0.315056
215000 0.30404
216000 0.312879
217000 0.324063
218000 0.316155
219000 0.312409
220000 0.31982
221000 0.317013
222000 0.317893
223000 0.320137
224000 0.317566
225000 0.316683
226000 0.316646
227000 0.318609
228000 0.314816
229000 0.325763
230000 0.319952
231000 0.317805
232000 0.322794
233000 0.320183
234000 0.318766
235000 0.31731
236000 0.322269
237000 0.320787
238000 0.321929
239000 0.328096
240000 0.319075
241000 0.326492
242000 0.328447
243000 0.324873
244000 0.327617
245000 0.326109
246000 0.32809
247000 0.328066
248000 0.324444
249000 0.331138
250000 0.327967
251000 0.331197
252000 0.327526
253000 0.327697
254000 0.325962
255000 0.331598
256000 0.331895
257000 0.324283
258000 0.329055
259000 0.329997
260000 0.32788
261000 0.329572
262000 0.327568
263000 0.326306
264000 0.32135
265000 0.325482
266000 0.330968
267000 0.33215
268000 0.329608
269000 0.330493
270000 0.327899
271000 0.338129
272000 0.331172
273000 0.330493
274000 0.33274
275000 0.330019
276000 0.327558
277000 0.329896
278000 0.333975
279000 0.330761
280000 0.33183
281000 0.332378
282000 0.338843
283000 0.338304
284000 0.336305
285000 0.33674
286000 0.333443
287000 0.333764
288000 0.333925
289000 0.343697
290000 0.334129
291000 0.335775
292000 0.339091
293000 0.33914
294000 0.337844
295000 0.336475
296000 0.335965
297000 0.344733
298000 0.33312
299000 0.337445
300000 0.339994
301000 0.343805
302000 0.338119
303000 0.344678
304000 0.346038
305000 0.342624
306000 0.346755
307000 0.346045
308000 0.347588
309000 0.34469
310000 0.34862
311000 0.3458
312000 0.348584
313000 0.353879
314000 0.349204
315000 0.34757
316000 0.350626
317000 0.353413
318000 0.355207
319000 0.35858
320000 0.354002
321000 0.35949
322000 0.355208
323000 0.354594
324000 0.356486
325000 0.354214
326000 0.356559
327000 0.359512
328000 0.356444
329000 0.363188
330000 0.3607
331000 0.362502
332000 0.366099
333000 0.362306
334000 0.367653
335000 0.360895
336000 0.360625
337000 0.356665
338000 0.360216
339000 0.360065
340000 0.364783
341000 0.359991
342000 0.362223
343000 0.363784
344000 0.36891
345000 0.366849
346000 0.363303
347000 0.358491
348000 0.374505
349000 0.369315
350000 0.367841
351000 0.367388
352000 0.363201
353000 0.367724
354000 0.370281
355000 0.373192
356000 0.368719
357000 0.371258
