# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 2.90415e-31
101000 0.310842
102000 0.310323
103000 0.312231
104000 0.308971
105000 0.315146
106000 0.32058
107000 0.32018
108000 0.316566
109000 0.317826
110000 0.319597
111000 0.322382
112000 0.326474
113000 0.325962
114000 0.326627
115000 0.316591
116000 0.326332
117000 0.324225
118000 0.323548
119000 0.319097
120000 0.328544
121000 0.323828
122000 0.327274
123000 0.329649
124000 0.334046
125000 0.324571
126000 0.32407
127000 0.331031
128000 0.329178
129000 0.329688
130000 0.331271
131000 0.331487
132000 0.3362
133000 0.336966
134000 0.336936
135000 0.341675
136000 0.336008
137000 0.34422
138000 0.34326
139000 0.340562
140000 0.345128
141000 0.340044
142000 0.349254
143000 0.347022
144000 0.352884
145000 0.353087
146000 0.34949
147000 0.355913
148000 0.356277
149000 0.352722
150000 0.36734
151000 0.359118
152000 0.352623
153000 0.361543
154000 0.362838
155000 0.352866
156000 0.358391
157000 0.362365
158000 0.35375
159000 0.362714
160000 0.360941
161000 0.36451
162000 0.359154
163000 0.363257
164000 0.360151
165000 0.364384
166000 0.358475
167000 0.363285
168000 0.366109
169000 0.362081
170000 0.364456
171000 0.371003
172000 0.371425
173000 0.373942
174000 0.369043
175000 0.37097
176000 0.367581
177000 0.376232
178000 0.371443
179000 0.374011
180000 0.373342
181000 0.372407
182000 0.373977
183000 0.380364
184000 0.376613
185000 0.376325
186000 0.373462
187000 0.373154
188000 0.37494
189000 0.376964
190000 0.374695
191000 0.370172
192000 0.376973
193000 0.379369
194000 0.380929
195000 0.377367
196000 0.380067
197000 0.382385
198000 0.389071
199000 0.380677
200000 0.382282
201000 0.383982
202000 0.383562
203000 0.378482
204000 0.379018
205000 0.390731
206000 0.38788
207000 0.388453
208000 0.392486
209000 0.385341
210000 0.3859
211000 0.387963
212000 0.392943
213000 0.38459
214000 0.386583
215000 0.392412
216000 0.39348
217000 0.388207
218000 0.387806
219000 0.399078
220000 0.399965
221000 0.389726
222000 0.389512
223000 0.39516
224000 0.394479
225000 0.390237
226000 0.388956
227000 0.395272
228000 0.387153
229000 0.40237
230000 0.394157
231000 0.396506
232000 0.400633
233000 0.397009
234000 0.397014
235000 0.405115
236000 0.39073
237000 0.405744
238000 0.40465
239000 0.401044
240000 0.403718
241000 0.401086
242000 0.406005
243000 0.404032
244000 0.402737
245000 0.398284
246000 0.409748
247000 0.410959
248000 0.407677
249000 0.406568
250000 0.40331
251000 0.409596
252000 0.407409
253000 0.415761
254000 0.406128
255000 0.415466
256000 0.416166
257000 0.409245
258000 0.415459
259000 0.413033
260000 0.415107
261000 0.413808
262000 0.422918
263000 0.41996
264000 0.408006
265000 0.41732
266000 0.416
267000 0.420972
268000 0.418092
269000 0.419765
270000 0.41309
271000 0.420016
272000 0.416562
273000 0.419797
274000 0.418956
275000 0.422705
