# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 3.16982e-31
101000 0.318354
102000 0.310138
103000 0.319669
104000 0.320529
105000 0.321206
106000 0.331606
107000 0.332114
108000 0.330414
109000 0.328006
110000 0.33954
111000 0.333641
112000 0.337274
113000 0.343294
114000 0.341307
115000 0.342554
116000 0.346686
117000 0.34868
118000 0.34993
119000 0.345065
120000 0.349084
121000 0.350478
122000 0.357588
123000 0.360054
124000 0.359248
125000 0.359793
126000 0.359927
127000 0.359027
128000 0.366975
129000 0.361882
130000 0.371218
131000 0.370075
132000 0.370171
133000 0.366161
134000 0.380618
135000 0.365552
136000 0.376742
137000 0.3693
138000 0.380922
139000 0.377894
140000 0.383721
141000 0.380825
142000 0.380755
143000 0.384223
144000 0.383493
145000 0.385017
146000 0.381764
147000 0.393284
148000 0.38835
149000 0.393702
150000 0.389694
151000 0.396707
152000 0.392923
153000 0.39105
154000 0.39831
155000 0.394774
156000 0.399538
157000 0.394029
158000 0.405365
159000 0.394133
160000 0.400292
161000 0.400708
162000 0.398871
163000 0.395677
164000 0.403314
165000 0.392828
166000 0.401135
167000 0.401265
168000 0.403235
169000 0.398129
170000 0.396621
171000 0.402203
172000 0.405607
173000 0.405992
174000 0.402171
175000 0.412737
176000 0.400466
177000 0.41005
178000 0.410656
179000 0.415029
180000 0.40575
181000 0.412749
182000 0.416061
183000 0.411677
184000 0.411571
185000 0.414241
186000 0.40772
187000 0.412957
188000 0.414322
189000 0.408641
190000 0.40986
191000 0.416494
192000 0.412974
193000 0.40696
194000 0.417869
195000 0.420638
196000 0.415712
197000 0.417026
198000 0.415373
199000 0.414825
200000 0.41168
201000 0.411388
202000 0.414643
203000 0.407327
204000 0.399369
205000 0.416187
206000 0.413159
207000 0.419334
208000 0.417859
209000 0.415068
210000 0.413397
211000 0.422094
212000 0.40933
213000 0.427874
214000 0.424767
215000 0.42447
216000 0.418288
217000 0.417593
218000 0.417316
219000 0.419628
220000 0.420906
221000 0.41264
222000 0.426013
223000 0.423988
224000 0.41961
225000 0.420764
226000 0.419485
227000 0.431047
228000 0.427059
229000 0.429698
230000 0.433756
231000 0.435708
232000 0.426517
233000 0.436119
234000 0.439009
235000 0.436653
236000 0.428071
237000 0.433698
238000 0.432149
239000 0.435996
240000 0.433243
241000 0.428324
242000 0.434585
243000 0.439035
244000 0.435409
245000 0.434288
246000 0.435152
247000 0.429597
248000 0.433916
249000 0.435798
250000 0.425325
251000 0.423599
252000 0.439861
253000 0.439181
254000 0.424557
255000 0.43418
256000 0.433005
257000 0.43801
258000 0.437879
259000 0.440548
260000 0.43407
261000 0.437836
262000 0.436412
263000 0.438474
264000 0.431513
265000 0.440373
266000 0.444065
267000 0.442382
268000 0.442023
269000 0.445182
270000 0.437583
271000 0.444335
272000 0.441095
273000 0.450613
274000 0.443856
275000 0.447891
276000 0.446486
277000 0.45561
278000 0.446639
279000 0.449591
280000 0.444482
281000 0.452959
282000 0.450001
283000 0.451278
284000 0.447334
285000 0.449715
286000 0.443497
287000 0.451086
288000 0.453521
289000 0.456193
290000 0.449813
291000 0.448784
292000 0.453646
293000 0.452156
294000 0.457985
295000 0.457132
296000 0.458463
297000 0.469166
298000 0.450427
299000 0.450255
300000 0.453615
301000 0.449358
302000 0.455992
303000 0.453502
304000 0.454255
305000 0.457064
306000 0.461293
307000 0.462198
308000 0.46629
309000 0.456276
310000 0.464137
311000 0.459268
312000 0.46202
313000 0.462091
314000 0.47283
315000 0.463854
316000 0.457913
317000 0.463758
318000 0.460786
319000 0.471881
320000 0.468281
321000 0.476751
322000 0.470549
323000 0.476184
324000 0.477238
325000 0.475063
326000 0.480622
327000 0.473405
328000 0.474175
329000 0.47214
330000 0.481
331000 0.47036
332000 0.474154
333000 0.478335
334000 0.472537
335000 0.474545
336000 0.477011
337000 0.470943
338000 0.478082
339000 0.473345
340000 0.470222
341000 0.472003
342000 0.472626
343000 0.471894
344000 0.477196
345000 0.473292
346000 0.475875
347000 0.47463
348000 0.47094
349000 0.474723
350000 0.467307
351000 0.471746
352000 0.470864
353000 0.471473
354000 0.477939
355000 0.475181
356000 0.469008
357000 0.467447
358000 0.477182
359000 0.476349
360000 0.474906
361000 0.467407
362000 0.47905
363000 0.479569
364000 0.48247
365000 0.477899
366000 0.466635
367000 0.486503
368000 0.47739
369000 0.474302
370000 0.477356
371000 0.478428
372000 0.478752
373000 0.475772
374000 0.475986
375000 0.481826
376000 0.473196
377000 0.484176
378000 0.481531
379000 0.477116
380000 0.484555
381000 0.476928
382000 0.487443
383000 0.479302
384000 0.486521
385000 0.476885
386000 0.487107
387000 0.485709
388000 0.490553
389000 0.481027
390000 0.480288
391000 0.479237
392000 0.488042
393000 0.489743
394000 0.480213
395000 0.486324
396000 0.48068
397000 0.484147
398000 0.489043
399000 0.475644
400000 0.491271
401000 0.485049
402000 0.486391
403000 0.483569
404000 0.480757
405000 0.477748
406000 0.477762
407000 0.484716
408000 0.481453
409000 0.479203
410000 0.485228
411000 0.482937
412000 0.477703
413000 0.484543
414000 0.49023
415000 0.481422
416000 0.487184
417000 0.486837
418000 0.491145
419000 0.485407
420000 0.484917
421000 0.488707
422000 0.484256
423000 0.491672
424000 0.487608
425000 0.484414
426000 0.484165
427000 0.483682
428000 0.490488
429000 0.488566
430000 0.489762
431000 0.487582
432000 0.489113
433000 0.489408
434000 0.48979
435000 0.493658
436000 0.488573
437000 0.498918
438000 0.48791
439000 0.495683
440000 0.496519
441000 0.495119
442000 0.498083
443000 0.496658
444000 0.497275
445000 0.493378
446000 0.499762
447000 0.498491
448000 0.501566
449000 0.494456
450000 0.495985
451000 0.498203
452000 0.497877
453000 0.49792
454000 0.504286
455000 0.497302
456000 0.49934
457000 0.49614
458000 0.50418
459000 0.502129
460000 0.510079
461000 0.509632
462000 0.502613
463000 0.511077
464000 0.504965
465000 0.496347
466000 0.506761
467000 0.498621
468000 0.501443
469000 0.500421
470000 0.49695
471000 0.504179
472000 0.511115
473000 0.504891
474000 0.505659
475000 0.507863
476000 0.506158
477000 0.504445
478000 0.51125
479000 0.514421
480000 0.513024
481000 0.511582
482000 0.508079
483000 0.512213
484000 0.512364
485000 0.511767
486000 0.50703
487000 0.516523
488000 0.513494
489000 0.515105
490000 0.513091
491000 0.516445
492000 0.512973
493000 0.508335
494000 0.514141
495000 0.507861
496000 0.513392
497000 0.515807
498000 0.50899
499000 0.519434
500000 0.515964
501000 0.515013
502000 0.514981
503000 0.512787
504000 0.519093
505000 0.516138
506000 0.505953
507000 0.514847
508000 0.516921
509000 0.516944
510000 0.518344
511000 0.511822
512000 0.513212
513000 0.519326
514000 0.520895
515000 0.519422
516000 0.510812
517000 0.519191
518000 0.513706
519000 0.51834
520000 0.519816
521000 0.514638
522000 0.518619
523000 0.516088
524000 0.520136
525000 0.51768
526000 0.518918
527000 0.512369
528000 0.514442
529000 0.518285
530000 0.516336
531000 0.516113
532000 0.522962
533000 0.521938
534000 0.516799
535000 0.523446
536000 0.520972
537000 0.521901
538000 0.526999
539000 0.513742
540000 0.52536
541000 0.522797
542000 0.519578
543000 0.518498
544000 0.527882
545000 0.531548
546000 0.527591
547000 0.52384
548000 0.520159
549000 0.521015
550000 0.529215
551000 0.517345
552000 0.523723
553000 0.515491
554000 0.521666
555000 0.525558
556000 0.518033
557000 0.52471
558000 0.517727
559000 0.51628
560000 0.526461
561000 0.516441
562000 0.520234
563000 0.526133
564000 0.525847
565000 0.528436
566000 0.523479
567000 0.523361
568000 0.520975
569000 0.524299
570000 0.532459
571000 0.519643
572000 0.529747
573000 0.533407
574000 0.531256
575000 0.533115
576000 0.524696
577000 0.526399
578000 0.532275
579000 0.529569
580000 0.532692
581000 0.536505
582000 0.5412
583000 0.534142
584000 0.534335
585000 0.536273
586000 0.538511
587000 0.526684
588000 0.539049
589000 0.529013
590000 0.529991
591000 0.533768
592000 0.534591
593000 0.528897
594000 0.530033
595000 0.540105
596000 0.536743
597000 0.531998
598000 0.537615
599000 0.536456
600000 0.540342
601000 0.542861
602000 0.539583
603000 0.547005
604000 0.535201
605000 0.533818
606000 0.542252
607000 0.533921
608000 0.537439
609000 0.529358
610000 0.535676
611000 0.53716
612000 0.537059
613000 0.535708
614000 0.536567
615000 0.531517
616000 0.54038
617000 0.527758
618000 0.536602
619000 0.536826
620000 0.541893
621000 0.53593
622000 0.541507
623000 0.540712
624000 0.536602
625000 0.535006
626000 0.534106
627000 0.535487
628000 0.538099
629000 0.537359
630000 0.526691
631000 0.538136
632000 0.530252
633000 0.537404
634000 0.532478
635000 0.534895
636000 0.533684
637000 0.5408
638000 0.537048
639000 0.531222
640000 0.536617
641000 0.529036
642000 0.531271
643000 0.530127
644000 0.534933
645000 0.537363
646000 0.535773
647000 0.536039
648000 0.544955
649000 0.545433
650000 0.538404
651000 0.540531
652000 0.535584
653000 0.530738
654000 0.539778
655000 0.53579
656000 0.535439
657000 0.531722
658000 0.532366
659000 0.522419
660000 0.536292
661000 0.538771
662000 0.536128
663000 0.537537
664000 0.537711
665000 0.53495
666000 0.53861
667000 0.548225
668000 0.541427
669000 0.537418
670000 0.541785
671000 0.544473
672000 0.535933
673000 0.541488
674000 0.54425
675000 0.541089
676000 0.546637
677000 0.542837
678000 0.544057
679000 0.550957
680000 0.545825
681000 0.536667
682000 0.542233
683000 0.546907
684000 0.543028
685000 0.544649
686000 0.542288
687000 0.545957
688000 0.550413
689000 0.545471
690000 0.545233
691000 0.548243
692000 0.554332
693000 0.548684
694000 0.553755
695000 0.5533
696000 0.545035
697000 0.563738
698000 0.550628
699000 0.552088
700000 0.54962
701000 0.552319
702000 0.557485
703000 0.544084
704000 0.545936
705000 0.556582
706000 0.544006
707000 0.555572
708000 0.561265
709000 0.545559
710000 0.553924
711000 0.552164
712000 0.552901
713000 0.553871
714000 0.555794
715000 0.560687
716000 0.559743
717000 0.556288
718000 0.552841
719000 0.558353
720000 0.569312
721000 0.554291
722000 0.562266
723000 0.55815
724000 0.557672
725000 0.565443
726000 0.564
727000 0.557853
728000 0.559292
729000 0.551919
730000 0.55972
731000 0.558437
732000 0.550568
733000 0.555768
734000 0.549761
735000 0.555243
736000 0.556379
737000 0.544446
738000 0.549207
739000 0.553346
740000 0.555301
741000 0.557733
742000 0.559836
743000 0.556722
744000 0.559112
745000 0.563752
746000 0.556692
747000 0.555208
748000 0.553096
749000 0.558532
750000 0.556291
751000 0.558212
752000 0.551318
753000 0.561648
754000 0.558076
755000 0.559679
756000 0.551855
757000 0.555172
758000 0.550102
759000 0.555851
760000 0.554919
761000 0.558442
762000 0.550716
763000 0.560504
764000 0.550174
765000 0.554749
766000 0.551874
767000 0.55608
768000 0.565275
769000 0.563497
770000 0.551303
771000 0.553878
772000 0.554008
773000 0.553249
774000 0.559353
775000 0.556824
776000 0.558033
777000 0.560632
778000 0.557077
779000 0.554811
780000 0.55465
781000 0.549037
782000 0.557861
783000 0.551606
784000 0.555052
785000 0.559015
786000 0.55866
787000 0.563498
788000 0.550707
789000 0.558777
790000 0.558842
791000 0.562327
792000 0.571908
793000 0.562083
794000 0.564517
795000 0.558859
796000 0.561432
797000 0.558404
798000 0.572104
799000 0.56284
800000 0.559273
801000 0.558433
802000 0.563816
803000 0.553396
804000 0.562908
805000 0.556902
806000 0.55867
807000 0.566639
808000 0.564073
809000 0.565525
810000 0.565772
811000 0.568765
812000 0.564642
813000 0.569175
814000 0.560681
815000 0.559876
816000 0.572362
817000 0.566317
818000 0.564126
819000 0.56725
820000 0.563619
821000 0.572557
822000 0.575934
823000 0.56912
824000 0.573664
825000 0.57221
826000 0.569186
827000 0.569075
828000 0.572816
829000 0.585465
830000 0.574236
831000 0.573142
832000 0.576414
833000 0.576032
834000 0.575569
835000 0.573181
836000 0.582004
837000 0.567499
838000 0.588157
839000 0.577055
840000 0.578693
841000 0.579618
842000 0.575132
843000 0.575141
844000 0.583746
845000 0.58334
846000 0.5747
847000 0.583916
848000 0.579208
849000 0.588176
850000 0.575136
851000 0.579982
852000 0.579161
853000 0.587715
854000 0.580592
855000 0.577842
856000 0.586577
857000 0.577913
858000 0.583145
859000 0.572852
860000 0.57547
861000 0.57507
862000 0.58616
863000 0.581552
864000 0.576918
865000 0.578943
866000 0.580062
867000 0.58694
868000 0.587499
869000 0.582862
870000 0.578826
871000 0.5803
872000 0.580683
873000 0.578817
874000 0.581535
875000 0.589049
876000 0.583497
877000 0.59136
878000 0.594374
879000 0.595054
880000 0.587406
881000 0.580112
882000 0.583586
883000 0.586775
884000 0.590594
885000 0.585537
886000 0.582253
887000 0.584557
888000 0.580266
889000 0.593057
890000 0.599216
891000 0.578081
892000 0.594616
893000 0.58738
894000 0.587563
895000 0.589262
896000 0.593021
897000 0.590338
898000 0.595554
899000 0.594618
900000 0.596601
901000 0.594648
902000 0.585556
903000 0.590228
904000 0.580168
905000 0.592599
906000 0.586566
907000 0.586814
908000 0.592248
909000 0.594913
910000 0.595647
911000 0.592217
912000 0.596738
913000 0.593741
914000 0.589183
915000 0.588717
916000 0.598673
917000 0.593206
918000 0.590961
919000 0.588837
920000 0.591216
921000 0.59099
922000 0.595006
923000 0.596809
924000 0.597176
925000 0.596935
926000 0.59491
927000 0.601078
928000 0.592664
929000 0.601553
930000 0.599355
931000 0.588237
932000 0.598139
933000 0.592875
934000 0.58923
935000 0.596914
936000 0.587284
937000 0.592028
938000 0.599688
939000 0.592958
940000 0.590283
941000 0.595333
942000 0.589704
943000 0.59827
944000 0.597262
945000 0.580036
946000 0.602448
