# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 1.45207e-31
101000 0.309918
102000 0.308253
103000 0.311904
104000 0.312664
105000 0.320663
106000 0.310567
107000 0.329561
108000 0.312288
109000 0.31041
110000 0.317671
111000 0.316588
112000 0.321072
113000 0.326502
114000 0.329812
115000 0.32578
116000 0.333121
117000 0.322242
118000 0.333903
119000 0.323171
120000 0.32747
121000 0.327051
122000 0.325776
123000 0.330015
124000 0.33124
125000 0.329622
126000 0.33955
127000 0.336306
128000 0.33734
129000 0.338607
130000 0.329677
131000 0.343729
132000 0.334508
133000 0.33807
134000 0.341232
135000 0.338732
136000 0.345409
137000 0.350714
138000 0.337885
139000 0.341523
140000 0.346401
141000 0.345637
142000 0.338988
143000 0.353664
144000 0.347884
145000 0.342855
146000 0.356347
147000 0.354154
148000 0.349295
149000 0.358977
150000 0.3562
151000 0.357703
152000 0.366871
153000 0.359212
154000 0.362823
155000 0.363355
156000 0.367015
157000 0.36208
158000 0.367105
159000 0.367297
160000 0.369934
161000 0.369631
162000 0.364439
163000 0.367947
164000 0.363641
165000 0.372025
166000 0.37304
167000 0.36964
168000 0.367276
169000 0.372606
170000 0.370172
171000 0.368001
172000 0.366385
173000 0.375026
174000 0.377657
175000 0.386084
176000 0.375561
177000 0.377815
178000 0.375407
179000 0.375459
180000 0.379998
181000 0.379441
182000 0.377179
183000 0.374989
184000 0.373702
185000 0.372273
186000 0.37613
187000 0.373579
188000 0.375533
189000 0.377429
190000 0.369686
191000 0.3739
192000 0.38138
193000 0.380199
194000 0.384227
195000 0.382897
196000 0.392079
197000 0.384174
198000 0.388566
199000 0.390164
200000 0.392941
201000 0.389165
202000 0.394037
203000 0.395896
204000 0.398155
205000 0.398165
206000 0.391767
207000 0.388582
208000 0.40112
209000 0.393854
210000 0.396694
211000 0.399356
212000 0.39696
213000 0.39963
214000 0.409923
215000 0.414806
216000 0.409011
217000 0.408304
218000 0.413361
219000 0.410706
220000 0.406761
221000 0.409684
222000 0.409045
223000 0.421348
224000 0.403802
225000 0.412248
226000 0.407213
227000 0.415926
228000 0.407003
229000 0.41603
230000 0.418818
231000 0.421023
232000 0.415011
233000 0.412736
234000 0.419033
235000 0.418063
236000 0.414299
237000 0.42154
238000 0.422202
239000 0.416318
240000 0.417076
241000 0.41858
242000 0.421044
243000 0.41434
244000 0.418281
245000 0.414855
246000 0.420857
247000 0.41425
248000 0.415755
249000 0.414513
250000 0.428379
251000 0.412665
252000 0.425139
253000 0.424854
254000 0.416737
255000 0.427642
256000 0.425806
257000 0.422816
258000 0.427421
259000 0.42539
260000 0.416506
261000 0.421774
262000 0.423491
263000 0.42518
264000 0.429292
265000 0.432117
266000 0.428181
267000 0.436375
268000 0.433679
269000 0.430411
270000 0.432669
271000 0.431552
272000 0.432293
273000 0.434258
274000 0.432024
275000 0.430477
276000 0.438381
277000 0.440382
278000 0.44296
279000 0.433798
280000 0.440005
281000 0.438727
282000 0.442484
283000 0.444992
284000 0.441567
285000 0.434824
286000 0.438894
287000 0.444988
288000 0.441326
289000 0.439385
290000 0.445193
291000 0.436854
292000 0.441116
293000 0.449426
294000 0.435875
295000 0.437964
296000 0.435446
297000 0.444677
298000 0.436293
299000 0.445982
300000 0.43833
301000 0.442108
302000 0.450884
303000 0.44554
304000 0.44247
305000 0.44575
306000 0.438969
307000 0.444584
308000 0.442797
309000 0.447869
310000 0.439345
311000 0.443118
312000 0.442783
313000 0.443219
314000 0.457236
315000 0.443389
316000 0.448626
317000 0.452945
318000 0.451532
319000 0.447874
320000 0.450685
321000 0.449754
322000 0.448953
323000 0.452776
324000 0.442509
325000 0.456487
326000 0.439766
327000 0.449577
328000 0.446574
329000 0.450949
330000 0.44096
331000 0.444036
332000 0.450467
333000 0.449427
334000 0.450186
335000 0.450165
336000 0.451898
337000 0.454504
338000 0.459237
339000 0.45877
340000 0.459605
341000 0.458239
342000 0.461435
343000 0.451141
344000 0.45831
345000 0.450879
346000 0.460884
347000 0.458411
348000 0.45937
349000 0.449431
350000 0.462521
351000 0.461
352000 0.46159
353000 0.455889
354000 0.457912
355000 0.459366
356000 0.459014
357000 0.469222
358000 0.456584
359000 0.470109
360000 0.464715
361000 0.462659
362000 0.463293
363000 0.471153
364000 0.45843
365000 0.473721
366000 0.461094
367000 0.47065
368000 0.464154
369000 0.473775
370000 0.471095
371000 0.466254
372000 0.463608
373000 0.477389
374000 0.474837
375000 0.473675
376000 0.474536
377000 0.46127
378000 0.479521
379000 0.473804
380000 0.468071
381000 0.473389
382000 0.473296
383000 0.472914
384000 0.472768
385000 0.478173
386000 0.477403
387000 0.472215
388000 0.475708
389000 0.481301
390000 0.473422
391000 0.472741
392000 0.470337
393000 0.479764
394000 0.470908
395000 0.463289
396000 0.46458
397000 0.474508
398000 0.468399
399000 0.465875
400000 0.47627
401000 0.476788
402000 0.466573
403000 0.476851
404000 0.473932
405000 0.467451
406000 0.467719
407000 0.477921
408000 0.474439
409000 0.474422
410000 0.480122
411000 0.463125
412000 0.469671
413000 0.479754
414000 0.476051
415000 0.474781
416000 0.475736
417000 0.47728
418000 0.476132
419000 0.47803
420000 0.475921
421000 0.47494
422000 0.48656
423000 0.483499
424000 0.476847
425000 0.481761
426000 0.47626
427000 0.482332
428000 0.477577
429000 0.48121
430000 0.474242
431000 0.480476
432000 0.481818
433000 0.487651
434000 0.484334
435000 0.49137
436000 0.483792
437000 0.494005
438000 0.494859
439000 0.487911
440000 0.493554
441000 0.493708
442000 0.485872
443000 0.490244
444000 0.488997
445000 0.487313
446000 0.492101
447000 0.487884
448000 0.479669
449000 0.478778
450000 0.49016
451000 0.48917
452000 0.496284
453000 0.493898
454000 0.489869
455000 0.491778
456000 0.496496
457000 0.497937
458000 0.496921
459000 0.505062
460000 0.489323
461000 0.503971
462000 0.489258
463000 0.49691
464000 0.495805
465000 0.50713
466000 0.501554
467000 0.505285
468000 0.502118
469000 0.505248
470000 0.504088
471000 0.501714
472000 0.499542
473000 0.505818
474000 0.505341
475000 0.511541
476000 0.504989
477000 0.502331
478000 0.504608
479000 0.505854
480000 0.509928
481000 0.508245
482000 0.501411
483000 0.502867
484000 0.508465
485000 0.508758
486000 0.509237
