# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.07584e-29
101000 0.306939
102000 0.30221
103000 0.301112
104000 0.307355
105000 0.299497
106000 0.312324
107000 0.304095
108000 0.306121
109000 0.304661
110000 0.308323
111000 0.307761
112000 0.305387
113000 0.305432
114000 0.306314
115000 0.304774
116000 0.302434
117000 0.306415
118000 0.304372
119000 0.308528
120000 0.305984
121000 0.311896
122000 0.307879
123000 0.312149
124000 0.318516
125000 0.317622
126000 0.321374
127000 0.311524
128000 0.317734
129000 0.312086
130000 0.317959
131000 0.314063
132000 0.315175
133000 0.319061
134000 0.31183
135000 0.317074
136000 0.316244
137000 0.321495
138000 0.322165
139000 0.320501
140000 0.318633
141000 0.321217
142000 0.31965
143000 0.3242
144000 0.319262
145000 0.327334
146000 0.330601
147000 0.321199
148000 0.329299
149000 0.32669
150000 0.331001
151000 0.326946
152000 0.323248
153000 0.332739
154000 0.3261
155000 0.329643
156000 0.328094
157000 0.33384
158000 0.328645
159000 0.335309
160000 0.326338
161000 0.333384
162000 0.328213
163000 0.327776
164000 0.326319
165000 0.323266
166000 0.340608
167000 0.326571
168000 0.337852
169000 0.330537
170000 0.330948
171000 0.331011
172000 0.337509
173000 0.333236
174000 0.334482
175000 0.32871
176000 0.325144
177000 0.339311
178000 0.330714
179000 0.336591
180000 0.327182
181000 0.324107
182000 0.331437
183000 0.332789
184000 0.332542
185000 0.336669
186000 0.333624
187000 0.336093
188000 0.336908
189000 0.334644
190000 0.337839
191000 0.334784
192000 0.333708
193000 0.336646
194000 0.33224
195000 0.331031
196000 0.340665
197000 0.335947
198000 0.332071
199000 0.336707
200000 0.331166
201000 0.340157
202000 0.338831
203000 0.339486
204000 0.339648
205000 0.339441
206000 0.341002
207000 0.3386
208000 0.34244
209000 0.335681
210000 0.339626
211000 0.336539
212000 0.335321
213000 0.336454
214000 0.340022
215000 0.338318
216000 0.341934
217000 0.335364
218000 0.333265
219000 0.339064
220000 0.334942
221000 0.340141
222000 0.336027
223000 0.337031
224000 0.350282
225000 0.343873
226000 0.341344
227000 0.345954
228000 0.342657
229000 0.350242
230000 0.348104
231000 0.345216
232000 0.350967
233000 0.348164
234000 0.340302
235000 0.346187
236000 0.348225
237000 0.347411
238000 0.353734
239000 0.346283
240000 0.348618
241000 0.355224
242000 0.35322
243000 0.349331
244000 0.352495
245000 0.351515
246000 0.344283
247000 0.346482
248000 0.348886
249000 0.350649
250000 0.351681
251000 0.348388
252000 0.35312
253000 0.354081
254000 0.354887
255000 0.354743
256000 0.35444
257000 0.355746
258000 0.357203
259000 0.358673
260000 0.351781
261000 0.346732
262000 0.35557
263000 0.348468
264000 0.351447
265000 0.350406
266000 0.346329
267000 0.349842
268000 0.350118
269000 0.348327
270000 0.352186
271000 0.349446
272000 0.350631
273000 0.353513
274000 0.357357
275000 0.352447
276000 0.352013
277000 0.355915
278000 0.35193
279000 0.350434
280000 0.350832
281000 0.356145
282000 0.361326
283000 0.359915
284000 0.360523
285000 0.354063
286000 0.360665
287000 0.354887
288000 0.359447
289000 0.363963
290000 0.356838
291000 0.36578
292000 0.361325
293000 0.368826
294000 0.366878
295000 0.359327
296000 0.364545
297000 0.361436
298000 0.36218
299000 0.366717
300000 0.360577
301000 0.363616
302000 0.364993
303000 0.364356
304000 0.372038
305000 0.364746
306000 0.359892
307000 0.360817
308000 0.368958
309000 0.364735
310000 0.360521
311000 0.364494
312000 0.369835
313000 0.370219
314000 0.368697
315000 0.369193
316000 0.369258
317000 0.367971
318000 0.365086
319000 0.374403
320000 0.373786
321000 0.371588
322000 0.367398
323000 0.374533
324000 0.376833
325000 0.377727
326000 0.376424
327000 0.373205
328000 0.379822
329000 0.378124
330000 0.375521
331000 0.385106
332000 0.38118
333000 0.381847
334000 0.378373
335000 0.378775
336000 0.375547
337000 0.37967
338000 0.379288
339000 0.384067
340000 0.380386
341000 0.381453
342000 0.385426
343000 0.377237
344000 0.381536
345000 0.379324
346000 0.380818
347000 0.382747
348000 0.380352
349000 0.38862
350000 0.380608
351000 0.379192
352000 0.385265
353000 0.380755
354000 0.385286
355000 0.382479
356000 0.387841
357000 0.382383
358000 0.385055
359000 0.38614
360000 0.38479
361000 0.38814
362000 0.383249
363000 0.393241
364000 0.380423
365000 0.390091
366000 0.385572
367000 0.387693
368000 0.39017
369000 0.388309
370000 0.391293
371000 0.388116
372000 0.389615
373000 0.387354
374000 0.389885
375000 0.379105
376000 0.381376
377000 0.383309
378000 0.385574
379000 0.384868
380000 0.384965
381000 0.390682
382000 0.382833
383000 0.385859
384000 0.388087
385000 0.382298
386000 0.389326
387000 0.387323
388000 0.386788
389000 0.391779
390000 0.393705
391000 0.386241
392000 0.394712
393000 0.385995
394000 0.390472
395000 0.391928
396000 0.391437
397000 0.395161
398000 0.389301
399000 0.391619
400000 0.384459
401000 0.388322
402000 0.385701
403000 0.388747
404000 0.38877
405000 0.385076
406000 0.39683
407000 0.384546
408000 0.390053
409000 0.391299
410000 0.393948
411000 0.389761
412000 0.391742
413000 0.390619
414000 0.392645
415000 0.396095
416000 0.396323
417000 0.399445
418000 0.401586
419000 0.396071
420000 0.389527
421000 0.397568
422000 0.393062
423000 0.402048
424000 0.406136
425000 0.390527
426000 0.39885
427000 0.397786
428000 0.395317
429000 0.390057
430000 0.399267
431000 0.391337
432000 0.397167
433000 0.401599
434000 0.401403
435000 0.40107
436000 0.398879
437000 0.401934
438000 0.399715
439000 0.401116
440000 0.401559
441000 0.402299
442000 0.406173
443000 0.403061
444000 0.401935
445000 0.402577
446000 0.411425
447000 0.408258
448000 0.402679
449000 0.397087
450000 0.395574
451000 0.409258
452000 0.402257
453000 0.403998
454000 0.405402
455000 0.401371
456000 0.398368
457000 0.40544
458000 0.408268
459000 0.399877
460000 0.397046
461000 0.40347
462000 0.404668
463000 0.402951
464000 0.403262
465000 0.40504
466000 0.408983
467000 0.403684
468000 0.403577
469000 0.403253
470000 0.400969
471000 0.405272
472000 0.405051
473000 0.412689
474000 0.405703
475000 0.404767
476000 0.404815
477000 0.40557
478000 0.404805
479000 0.406017
480000 0.407053
481000 0.406235
482000 0.414759
483000 0.411799
484000 0.409389
485000 0.411372
486000 0.413036
487000 0.412202
488000 0.413142
489000 0.415921
490000 0.411944
491000 0.415865
492000 0.417604
493000 0.416508
494000 0.414379
495000 0.414543
496000 0.414873
497000 0.409451
498000 0.409567
499000 0.41177
500000 0.407602
501000 0.415865
502000 0.412855
503000 0.414268
504000 0.411424
505000 0.415582
506000 0.41653
507000 0.413227
508000 0.419757
509000 0.415066
510000 0.418771
511000 0.411039
512000 0.416089
513000 0.419242
514000 0.415514
515000 0.417325
516000 0.413468
517000 0.416731
518000 0.416511
519000 0.414433
520000 0.415524
521000 0.414776
522000 0.418633
523000 0.421828
524000 0.421445
525000 0.419207
526000 0.416905
527000 0.420252
528000 0.419874
529000 0.422952
530000 0.419966
531000 0.423205
532000 0.416271
533000 0.417938
534000 0.415006
535000 0.420475
536000 0.421001
537000 0.42126
538000 0.414914
539000 0.423745
540000 0.418822
541000 0.417544
542000 0.425008
543000 0.421779
544000 0.421594
545000 0.424666
546000 0.419293
547000 0.424797
548000 0.424588
549000 0.424178
550000 0.423753
551000 0.421391
552000 0.425611
553000 0.424037
554000 0.433771
555000 0.431714
556000 0.431562
557000 0.424291
558000 0.431581
559000 0.424061
560000 0.430067
561000 0.423577
562000 0.421851
563000 0.425993
564000 0.423378
565000 0.426948
566000 0.430909
567000 0.426289
568000 0.431312
569000 0.42673
570000 0.427477
571000 0.437922
572000 0.427534
573000 0.431051
574000 0.428691
575000 0.432177
576000 0.427639
577000 0.435892
578000 0.429133
579000 0.430001
580000 0.435225
581000 0.428633
582000 0.435091
583000 0.431252
584000 0.433746
585000 0.434811
586000 0.429333
587000 0.432227
588000 0.435828
589000 0.431264
590000 0.425621
591000 0.438506
592000 0.434454
593000 0.436512
594000 0.433382
595000 0.434351
596000 0.439106
597000 0.433837
598000 0.436367
