# Time-averaged data for fix chloridemsdt
# TimeStep c_chloridemsd[4]
100000 1.00548e-28
101000 0.275057
102000 0.276341
103000 0.281341
104000 0.297446
105000 0.29239
106000 0.284894
107000 0.29574
108000 0.289475
109000 0.289303
110000 0.292591
111000 0.287448
112000 0.298813
113000 0.288099
114000 0.285087
115000 0.292374
116000 0.297677
117000 0.295309
118000 0.290847
119000 0.28112
120000 0.295552
121000 0.283044
122000 0.290755
123000 0.294072
124000 0.290311
125000 0.293426
126000 0.289694
127000 0.290583
128000 0.287813
129000 0.293579
130000 0.283497
131000 0.297343
132000 0.295344
133000 0.293931
134000 0.28677
135000 0.291308
136000 0.289843
137000 0.292587
138000 0.286819
139000 0.290007
140000 0.292366
141000 0.29507
142000 0.289095
143000 0.288676
144000 0.286281
145000 0.285461
146000 0.286595
147000 0.281492
148000 0.292746
149000 0.290435
150000 0.295577
151000 0.291827
152000 0.288778
153000 0.286728
154000 0.294356
155000 0.296725
156000 0.296194
157000 0.293237
158000 0.29496
159000 0.298876
160000 0.288495
161000 0.289943
162000 0.291524
163000 0.292486
164000 0.291172
165000 0.289452
166000 0.292891
167000 0.289677
168000 0.298862
169000 0.289537
170000 0.294625
171000 0.287089
172000 0.294077
173000 0.289825
174000 0.299351
175000 0.296393
176000 0.291427
177000 0.288205
178000 0.286966
179000 0.294996
180000 0.282277
181000 0.293497
182000 0.291412
183000 0.285133
184000 0.29261
185000 0.297103
186000 0.289439
187000 0.292311
188000 0.296152
189000 0.294444
190000 0.292247
191000 0.296911
192000 0.294911
193000 0.294439
194000 0.296539
195000 0.29148
196000 0.297418
197000 0.290348
198000 0.2956
199000 0.286224
200000 0.293162
201000 0.29075
202000 0.289384
203000 0.295995
204000 0.29922
205000 0.293834
206000 0.294504
207000 0.294243
208000 0.291139
209000 0.298391
210000 0.294524
211000 0.289438
212000 0.293437
213000 0.292275
214000 0.286248
215000 0.301573
216000 0.288782
217000 0.296242
218000 0.289596
219000 0.296992
220000 0.289464
221000 0.291996
222000 0.29254
223000 0.29433
224000 0.28872
225000 0.289781
226000 0.290478
227000 0.293459
228000 0.288724
229000 0.293979
230000 0.297072
231000 0.290859
232000 0.292184
233000 0.288445
234000 0.293759
235000 0.28625
236000 0.293917
