# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 2.54985e-31
101000 0.318441
102000 0.301492
103000 0.309301
104000 0.311997
105000 0.322482
106000 0.311335
107000 0.324111
108000 0.322685
109000 0.31908
110000 0.326113
111000 0.319619
112000 0.330699
113000 0.329762
114000 0.33072
115000 0.32903
116000 0.329386
117000 0.324698
118000 0.333918
119000 0.328556
120000 0.344919
121000 0.324717
122000 0.335458
123000 0.341912
124000 0.337898
125000 0.333952
126000 0.336228
127000 0.337017
128000 0.338734
129000 0.347929
130000 0.339865
131000 0.346305
132000 0.345346
133000 0.352623
134000 0.33808
135000 0.34845
136000 0.343245
137000 0.351977
138000 0.353773
139000 0.348222
140000 0.348716
141000 0.355929
142000 0.356586
143000 0.356366
144000 0.354273
145000 0.358358
146000 0.3577
147000 0.357764
148000 0.361132
149000 0.359683
150000 0.373144
151000 0.365915
152000 0.379316
153000 0.370779
154000 0.381505
155000 0.380012
156000 0.383937
157000 0.392438
158000 0.388431
159000 0.386484
160000 0.395913
161000 0.384951
162000 0.388258
163000 0.391088
164000 0.385267
165000 0.393095
166000 0.39147
167000 0.388431
168000 0.38877
169000 0.392433
170000 0.398707
171000 0.387933
172000 0.40044
173000 0.391869
174000 0.399518
175000 0.392733
176000 0.400152
177000 0.395424
178000 0.396418
179000 0.399788
180000 0.400729
181000 0.399666
182000 0.397266
183000 0.402093
184000 0.402229
185000 0.403902
186000 0.395137
187000 0.409976
188000 0.404093
189000 0.40815
190000 0.406419
191000 0.408833
192000 0.403338
193000 0.4028
194000 0.405083
195000 0.408079
196000 0.405444
197000 0.404794
198000 0.410441
199000 0.406097
200000 0.411604
201000 0.409231
202000 0.409387
203000 0.407073
204000 0.414871
205000 0.414244
206000 0.413626
207000 0.412781
208000 0.422936
209000 0.415211
210000 0.418543
211000 0.411163
212000 0.420138
213000 0.418586
214000 0.419175
215000 0.424835
216000 0.424742
217000 0.425584
218000 0.418311
219000 0.428845
220000 0.422912
221000 0.422647
222000 0.421245
223000 0.434496
224000 0.427486
225000 0.434728
226000 0.430623
227000 0.437885
228000 0.431683
229000 0.43783
230000 0.431956
231000 0.434685
232000 0.432747
233000 0.428642
234000 0.434297
235000 0.433436
236000 0.433835
237000 0.431805
238000 0.434248
239000 0.435129
240000 0.439586
241000 0.439175
242000 0.433843
243000 0.435709
244000 0.438542
245000 0.429521
246000 0.443698
247000 0.436222
248000 0.441109
249000 0.435273
250000 0.439307
251000 0.437582
252000 0.436647
253000 0.436459
254000 0.444572
255000 0.440206
256000 0.440087
257000 0.44763
258000 0.440603
259000 0.444303
260000 0.444039
261000 0.450767
262000 0.444304
263000 0.450638
264000 0.453413
265000 0.455534
266000 0.452507
267000 0.45437
268000 0.455852
269000 0.459981
270000 0.458394
271000 0.459485
272000 0.463047
273000 0.465227
274000 0.46747
275000 0.46706
276000 0.458182
277000 0.472931
278000 0.465421
279000 0.466229
280000 0.47017
281000 0.462551
282000 0.470441
283000 0.474073
284000 0.463167
285000 0.47529
286000 0.473289
287000 0.468214
288000 0.478818
289000 0.481385
290000 0.475889
291000 0.478229
292000 0.481131
293000 0.484361
294000 0.480011
295000 0.487947
296000 0.484018
297000 0.475829
298000 0.482022
299000 0.478667
300000 0.481996
301000 0.486513
302000 0.483619
303000 0.486997
304000 0.477389
305000 0.482261
306000 0.483863
307000 0.485527
308000 0.487459
309000 0.490089
310000 0.490812
311000 0.495304
312000 0.491106
313000 0.494096
314000 0.493808
315000 0.50373
316000 0.494521
317000 0.503653
318000 0.513157
319000 0.505728
320000 0.505752
321000 0.507127
322000 0.505933
323000 0.5083
324000 0.512107
325000 0.507967
326000 0.503802
327000 0.50781
328000 0.506802
329000 0.509082
330000 0.514142
331000 0.518972
332000 0.518887
333000 0.519835
334000 0.518662
335000 0.517314
336000 0.522385
337000 0.52282
338000 0.511801
339000 0.520896
340000 0.518145
341000 0.513315
342000 0.515872
343000 0.513842
344000 0.527118
345000 0.521864
346000 0.529707
347000 0.524181
348000 0.531969
349000 0.53162
350000 0.530863
351000 0.538224
352000 0.532349
353000 0.538305
354000 0.529959
355000 0.539492
356000 0.540461
357000 0.539024
358000 0.53775
359000 0.543407
360000 0.542368
361000 0.544596
362000 0.548588
363000 0.544611
364000 0.547165
365000 0.547987
366000 0.547614
367000 0.551439
368000 0.543205
369000 0.556429
370000 0.546641
371000 0.552051
372000 0.554229
373000 0.552865
374000 0.553426
375000 0.551662
