# Time-averaged data for fix oxidemsdt
# TimeStep c_oxidemsd[4]
100000 0
101000 0.138996
102000 0.12277
103000 0.129067
104000 0.131955
105000 0.134797
106000 0.126219
107000 0.135726
108000 0.132543
109000 0.131316
110000 0.138834
111000 0.132011
112000 0.136078
113000 0.132566
114000 0.134017
115000 0.133137
116000 0.137496
117000 0.13059
118000 0.132339
119000 0.131773
120000 0.140923
121000 0.125777
122000 0.135757
123000 0.139455
124000 0.133921
125000 0.129835
126000 0.133326
127000 0.131339
128000 0.129107
129000 0.136766
130000 0.128448
131000 0.135965
132000 0.131079
133000 0.137331
134000 0.127996
135000 0.135272
136000 0.128741
137000 0.131123
138000 0.12935
139000 0.131422
140000 0.128894
141000 0.133412
142000 0.127967
143000 0.129935
144000 0.130128
145000 0.129774
146000 0.134787
147000 0.130938
148000 0.131574
149000 0.127256
150000 0.13578
151000 0.126346
152000 0.135144
153000 0.126929
154000 0.129874
155000 0.132265
156000 0.133145
157000 0.132753
158000 0.132109
159000 0.13392
160000 0.137739
161000 0.13335
162000 0.133418
163000 0.131013
164000 0.131971
165000 0.128318
166000 0.130672
167000 0.131215
168000 0.132123
169000 0.129079
170000 0.135234
171000 0.13061
172000 0.136631
173000 0.12758
174000 0.129321
175000 0.129704
176000 0.130287
177000 0.131404
178000 0.127686
179000 0.134055
180000 0.128733
181000 0.13212
182000 0.129888
183000 0.129374
184000 0.133075
185000 0.135084
186000 0.128143
187000 0.139747
188000 0.133887
189000 0.137004
190000 0.137142
191000 0.132601
192000 0.133058
193000 0.130479
194000 0.134495
195000 0.134262
196000 0.135374
197000 0.133117
198000 0.135207
199000 0.129823
200000 0.137177
201000 0.134946
202000 0.129401
203000 0.132889
204000 0.138114
205000 0.13088
206000 0.132564
207000 0.134314
208000 0.136152
209000 0.13482
210000 0.131317
211000 0.128065
212000 0.131925
213000 0.131548
214000 0.129279
215000 0.134729
216000 0.130641
217000 0.133431
218000 0.129879
219000 0.137444
220000 0.129621
221000 0.133439
222000 0.13025
223000 0.133103
224000 0.133558
225000 0.135753
226000 0.131967
227000 0.137636
228000 0.128152
229000 0.133412
230000 0.133327
231000 0.134921
232000 0.130239
233000 0.132187
234000 0.133551
235000 0.129082
236000 0.131545
237000 0.130914
238000 0.134244
239000 0.131435
240000 0.135107
241000 0.132679
242000 0.132615
243000 0.131181
244000 0.136518
245000 0.130104
246000 0.137264
247000 0.132978
248000 0.135374
249000 0.12887
250000 0.136166
251000 0.129657
252000 0.132202
253000 0.131062
254000 0.132517
255000 0.128937
256000 0.129174
257000 0.133887
258000 0.130001
259000 0.13234
260000 0.135421
261000 0.134522
262000 0.132027
263000 0.141341
264000 0.130651
265000 0.135802
266000 0.133294
267000 0.130044
268000 0.129265
269000 0.133204
270000 0.128353
271000 0.133685
272000 0.132841
273000 0.133278
274000 0.1336
275000 0.134183
276000 0.135686
277000 0.137355
278000 0.134611
279000 0.134059
280000 0.132727
281000 0.13104
282000 0.133879
283000 0.130834
284000 0.132713
285000 0.133703
286000 0.133738
287000 0.13156
288000 0.135271
289000 0.133179
290000 0.132789
291000 0.129722
292000 0.132222
293000 0.133462
294000 0.130591
295000 0.131373
296000 0.132404
297000 0.131449
298000 0.133156
299000 0.131616
300000 0.130541
301000 0.133977
302000 0.131505
303000 0.130419
304000 0.132096
305000 0.134272
306000 0.133079
307000 0.129527
308000 0.128672
309000 0.135004
310000 0.1332
311000 0.130143
312000 0.133512
313000 0.125731
314000 0.129851
315000 0.139543
316000 0.134142
317000 0.134824
318000 0.139422
319000 0.133167
320000 0.134235
321000 0.137997
322000 0.133347
323000 0.135645
324000 0.134905
325000 0.132205
326000 0.131275
327000 0.130519
328000 0.133795
329000 0.134076
330000 0.13463
331000 0.130992
332000 0.131714
333000 0.134968
334000 0.131977
335000 0.129451
336000 0.13337
337000 0.137281
338000 0.12897
