# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 1.01045e-28
101000 0.367105
102000 0.356899
103000 0.366438
104000 0.367133
105000 0.380823
106000 0.379945
107000 0.392416
108000 0.377879
109000 0.379274
110000 0.383136
111000 0.389802
112000 0.381219
113000 0.387303
114000 0.397332
115000 0.391622
116000 0.40889
117000 0.394061
118000 0.397271
119000 0.401739
120000 0.405348
121000 0.40083
122000 0.409207
123000 0.40258
124000 0.409627
125000 0.407984
126000 0.411011
127000 0.409683
128000 0.403056
129000 0.414921
130000 0.414039
131000 0.418412
132000 0.412055
133000 0.421727
134000 0.427833
135000 0.436611
136000 0.421679
137000 0.42304
138000 0.422151
139000 0.414961
140000 0.423462
141000 0.420566
142000 0.426185
143000 0.430527
144000 0.445741
145000 0.437761
146000 0.441097
147000 0.441543
148000 0.446757
149000 0.432621
150000 0.441497
151000 0.429015
152000 0.440066
153000 0.435979
154000 0.444541
155000 0.432107
156000 0.444684
157000 0.450026
158000 0.442631
159000 0.446893
160000 0.452433
161000 0.450139
162000 0.453397
163000 0.446751
164000 0.451399
165000 0.453988
166000 0.44399
167000 0.454759
168000 0.444449
169000 0.451229
170000 0.444596
171000 0.460883
172000 0.465622
173000 0.45807
174000 0.465253
175000 0.472502
176000 0.46852
177000 0.477024
178000 0.46826
179000 0.476029
180000 0.467427
181000 0.471222
182000 0.474146
183000 0.47024
184000 0.474
185000 0.472571
186000 0.472667
187000 0.476036
188000 0.477745
189000 0.464088
190000 0.475388
191000 0.468345
192000 0.464337
193000 0.471061
194000 0.476705
195000 0.481849
196000 0.468801
197000 0.482981
198000 0.474396
199000 0.483147
200000 0.472424
201000 0.477719
202000 0.483933
203000 0.488112
204000 0.481665
205000 0.475233
206000 0.491156
207000 0.484153
208000 0.485992
209000 0.479866
210000 0.484852
211000 0.484633
212000 0.493937
213000 0.493933
214000 0.485145
215000 0.480303
216000 0.49144
217000 0.486827
218000 0.485823
219000 0.489731
220000 0.491698
221000 0.490371
222000 0.491788
223000 0.493789
224000 0.498132
225000 0.4942
226000 0.505445
227000 0.495077
228000 0.503653
229000 0.499823
230000 0.493213
231000 0.49318
232000 0.495773
233000 0.496369
234000 0.492803
235000 0.504738
236000 0.504448
237000 0.49862
238000 0.498441
239000 0.49499
240000 0.501215
241000 0.503078
242000 0.495255
243000 0.513738
244000 0.514851
245000 0.50739
246000 0.51145
247000 0.508592
248000 0.509614
249000 0.507602
250000 0.498374
251000 0.502497
252000 0.515911
253000 0.518262
254000 0.504028
255000 0.514471
256000 0.512948
257000 0.505828
258000 0.51686
259000 0.521677
260000 0.518186
261000 0.516122
262000 0.517179
263000 0.508926
264000 0.517888
265000 0.522659
266000 0.517457
267000 0.526035
268000 0.524505
269000 0.528653
270000 0.522696
271000 0.520973
272000 0.532643
273000 0.522766
274000 0.524809
275000 0.523027
276000 0.53092
277000 0.512827
278000 0.53017
279000 0.5171
280000 0.523219
281000 0.515556
282000 0.525867
283000 0.526246
284000 0.51642
285000 0.522547
286000 0.531384
287000 0.53317
288000 0.524042
289000 0.533607
290000 0.52821
291000 0.53231
292000 0.533304
293000 0.534309
294000 0.529953
295000 0.533662
296000 0.530117
297000 0.539126
298000 0.524682
299000 0.532667
300000 0.538134
301000 0.533869
302000 0.528795
303000 0.541406
304000 0.54097
305000 0.537075
306000 0.536491
307000 0.542129
308000 0.539814
309000 0.537324
310000 0.54168
311000 0.53878
312000 0.536798
313000 0.542944
314000 0.541328
315000 0.549856
316000 0.545745
317000 0.535587
318000 0.54865
319000 0.542997
320000 0.529008
321000 0.533587
322000 0.533394
323000 0.540063
324000 0.540621
325000 0.534165
326000 0.541428
327000 0.539182
328000 0.537611
329000 0.543675
330000 0.540464
331000 0.54885
332000 0.540969
333000 0.548692
334000 0.547527
335000 0.543112
336000 0.543112
337000 0.544778
338000 0.539568
339000 0.559759
340000 0.554915
341000 0.559968
342000 0.557959
343000 0.568526
344000 0.567326
345000 0.568278
346000 0.569163
347000 0.565367
348000 0.568027
349000 0.567139
350000 0.569847
351000 0.569678
352000 0.573659
353000 0.566862
354000 0.566856
355000 0.570398
356000 0.571409
357000 0.567307
358000 0.562698
359000 0.572371
360000 0.563385
361000 0.574291
362000 0.562545
363000 0.555071
364000 0.567663
365000 0.564181
366000 0.574696
367000 0.568133
368000 0.569567
369000 0.572055
370000 0.57558
371000 0.572151
372000 0.58103
373000 0.58378
374000 0.568903
375000 0.571472
376000 0.580342
377000 0.569966
378000 0.570334
379000 0.576253
380000 0.567049
381000 0.569388
382000 0.570738
383000 0.567944
384000 0.568166
385000 0.579872
386000 0.562097
387000 0.580874
388000 0.564642
389000 0.578745
390000 0.565303
391000 0.563733
392000 0.564321
393000 0.563034
394000 0.570596
395000 0.566651
396000 0.569186
397000 0.567909
398000 0.572738
399000 0.567426
400000 0.574533
401000 0.56891
402000 0.574174
403000 0.56154
404000 0.56708
405000 0.566279
406000 0.566584
407000 0.57202
408000 0.571058
409000 0.560456
410000 0.561835
411000 0.578276
412000 0.574078
413000 0.568853
414000 0.559507
415000 0.566399
416000 0.567453
417000 0.572011
418000 0.56293
419000 0.567855
420000 0.567424
421000 0.568577
422000 0.562427
423000 0.571422
424000 0.576788
425000 0.566079
426000 0.581371
427000 0.576229
428000 0.577687
429000 0.578208
430000 0.574163
431000 0.58546
432000 0.579549
433000 0.586406
434000 0.572953
435000 0.579439
436000 0.586553
437000 0.588946
438000 0.583629
439000 0.592471
440000 0.582171
441000 0.582664
442000 0.580134
443000 0.590201
444000 0.589269
445000 0.59147
446000 0.594596
447000 0.583968
448000 0.595229
449000 0.589236
450000 0.592057
451000 0.589604
452000 0.582117
453000 0.585321
454000 0.589194
455000 0.578631
456000 0.582118
457000 0.586609
458000 0.583116
459000 0.575443
460000 0.579031
461000 0.585603
462000 0.582462
463000 0.572369
464000 0.572806
465000 0.585554
466000 0.581207
467000 0.573423
468000 0.575535
469000 0.583157
470000 0.575638
471000 0.595371
472000 0.584918
473000 0.588517
474000 0.583117
475000 0.581761
476000 0.581956
477000 0.588852
478000 0.585483
479000 0.586297
480000 0.583237
481000 0.580703
482000 0.583998
483000 0.589911
484000 0.585144
485000 0.59845
486000 0.59445
487000 0.596224
488000 0.593094
489000 0.594822
490000 0.586038
491000 0.59196
492000 0.598012
493000 0.592652
494000 0.586227
495000 0.593071
496000 0.584615
497000 0.591158
498000 0.59671
499000 0.601163
500000 0.59801
501000 0.597484
502000 0.590089
503000 0.600651
504000 0.586276
505000 0.599663
506000 0.577569
507000 0.592172
508000 0.589394
509000 0.582038
510000 0.580278
511000 0.589231
512000 0.582307
513000 0.589749
514000 0.591881
515000 0.589138
516000 0.587807
517000 0.603686
518000 0.601697
519000 0.597195
520000 0.598507
521000 0.596671
522000 0.597983
523000 0.597008
524000 0.6045
525000 0.601606
526000 0.599437
527000 0.600841
528000 0.602282
529000 0.597601
530000 0.611122
531000 0.599921
532000 0.603122
533000 0.602814
534000 0.600645
535000 0.602567
536000 0.596981
537000 0.60347
538000 0.602379
539000 0.597684
540000 0.601224
541000 0.597926
542000 0.594226
543000 0.613021
544000 0.610118
545000 0.601149
546000 0.608658
547000 0.607337
548000 0.600186
549000 0.608812
550000 0.607379
551000 0.606456
552000 0.624466
553000 0.620855
554000 0.618985
555000 0.621305
556000 0.622921
557000 0.616847
558000 0.63428
559000 0.618257
560000 0.617568
561000 0.62018
562000 0.616912
563000 0.618104
564000 0.616065
565000 0.615899
566000 0.611406
567000 0.621279
568000 0.621348
569000 0.623022
570000 0.613947
571000 0.615918
572000 0.621711
573000 0.624456
574000 0.606343
575000 0.619045
576000 0.621275
577000 0.614385
578000 0.619613
579000 0.622733
580000 0.622341
581000 0.618029
582000 0.615265
583000 0.61431
584000 0.63142
585000 0.613701
586000 0.626622
587000 0.610763
588000 0.624864
589000 0.621294
590000 0.619517
591000 0.614835
592000 0.622128
593000 0.606416
594000 0.620161
595000 0.620577
596000 0.610304
597000 0.624825
598000 0.614073
599000 0.620641
600000 0.624817
601000 0.626786
602000 0.6225
603000 0.631954
604000 0.627577
605000 0.61975
606000 0.611412
607000 0.634312
608000 0.628146
609000 0.621678
610000 0.614417
611000 0.628964
612000 0.632422
613000 0.613348
614000 0.624046
615000 0.62195
616000 0.625541
617000 0.623666
618000 0.640302
619000 0.629334
620000 0.625301
621000 0.624555
622000 0.62584
623000 0.622705
624000 0.620806
625000 0.627232
626000 0.621032
627000 0.6265
628000 0.621422
629000 0.634919
630000 0.617876
631000 0.625702
632000 0.623761
633000 0.620589
634000 0.634299
635000 0.62508
636000 0.633096
637000 0.624372
638000 0.622038
639000 0.626545
640000 0.623026
641000 0.617255
642000 0.620288
643000 0.618923
644000 0.62977
645000 0.618645
646000 0.615568
647000 0.622894
648000 0.624682
649000 0.625703
650000 0.623717
651000 0.63085
652000 0.62418
653000 0.628477
654000 0.621795
655000 0.634832
656000 0.627789
657000 0.630207
658000 0.630885
659000 0.634646
660000 0.619283
661000 0.631236
662000 0.619168
663000 0.629361
664000 0.615673
665000 0.6176
666000 0.623387
667000 0.623797
668000 0.631335
669000 0.628037
670000 0.633236
671000 0.636611
672000 0.637638
673000 0.626122
674000 0.630444
675000 0.628798
676000 0.617462
677000 0.632267
678000 0.625092
679000 0.636864
680000 0.622305
681000 0.62414
682000 0.640774
683000 0.630441
684000 0.63766
685000 0.643968
686000 0.629094
687000 0.631047
688000 0.637939
689000 0.627216
690000 0.641897
691000 0.637608
692000 0.634749
693000 0.633747
694000 0.632162
695000 0.636475
696000 0.632639
697000 0.640446
698000 0.643192
699000 0.639236
700000 0.646057
701000 0.636588
702000 0.633643
703000 0.629698
704000 0.640172
705000 0.632783
706000 0.640182
707000 0.636073
708000 0.645364
709000 0.649814
710000 0.641074
711000 0.636666
712000 0.641233
713000 0.633912
714000 0.632732
715000 0.646095
716000 0.635799
717000 0.636757
718000 0.638462
719000 0.628188
720000 0.647436
721000 0.636225
722000 0.638488
723000 0.631164
724000 0.642195
725000 0.632388
726000 0.646168
727000 0.636335
728000 0.641083
729000 0.635097
730000 0.639177
731000 0.643621
732000 0.650843
733000 0.651454
734000 0.643685
735000 0.644134
736000 0.641403
737000 0.646646
738000 0.653009
739000 0.647123
740000 0.646836
741000 0.660175
742000 0.652191
743000 0.651304
744000 0.654354
745000 0.654331
746000 0.650213
747000 0.661687
748000 0.649305
749000 0.651885
750000 0.660059
751000 0.655259
752000 0.654615
753000 0.642842
754000 0.667706
755000 0.647486
756000 0.657406
757000 0.655081
758000 0.658011
759000 0.657095
760000 0.663361
761000 0.65844
762000 0.667332
763000 0.65419
764000 0.660492
765000 0.6568
766000 0.653134
767000 0.671224
768000 0.659495
769000 0.669047
770000 0.663869
771000 0.664373
772000 0.66835
773000 0.666984
774000 0.673387
775000 0.666278
776000 0.661046
777000 0.664853
778000 0.670652
779000 0.669236
780000 0.667265
781000 0.666859
782000 0.671378
783000 0.651707
784000 0.665069
785000 0.659826
786000 0.656802
787000 0.657277
788000 0.670824
789000 0.661199
790000 0.661428
791000 0.667827
792000 0.663577
793000 0.661052
794000 0.660843
795000 0.672988
796000 0.671605
797000 0.659626
798000 0.673662
799000 0.666147
800000 0.67452
801000 0.677054
802000 0.668766
803000 0.679717
804000 0.674755
805000 0.678489
806000 0.670296
807000 0.669322
808000 0.668067
809000 0.670741
810000 0.672998
811000 0.674973
812000 0.670114
813000 0.676528
814000 0.677407
815000 0.671223
816000 0.686588
817000 0.679887
818000 0.666172
819000 0.678964
820000 0.675166
821000 0.683602
822000 0.68375
823000 0.680879
824000 0.678104
825000 0.685091
826000 0.68031
827000 0.693619
828000 0.685829
829000 0.679114
830000 0.689758
831000 0.682462
832000 0.673216
833000 0.674207
834000 0.693373
835000 0.687633
836000 0.686893
837000 0.686548
838000 0.680055
839000 0.683285
840000 0.684722
841000 0.683957
842000 0.681912
843000 0.683783
844000 0.681613
845000 0.683113
846000 0.694978
847000 0.683145
848000 0.683389
849000 0.688784
850000 0.684109
851000 0.683177
852000 0.679551
853000 0.689077
854000 0.682976
855000 0.689265
856000 0.68139
857000 0.694004
858000 0.690456
859000 0.690888
860000 0.681896
861000 0.680248
862000 0.689516
863000 0.67317
864000 0.692403
865000 0.688724
866000 0.687517
867000 0.682248
868000 0.691525
869000 0.689585
870000 0.688077
871000 0.680844
872000 0.688752
873000 0.688234
874000 0.686169
875000 0.68285
876000 0.691226
877000 0.69269
878000 0.682947
879000 0.680147
880000 0.678159
881000 0.690346
882000 0.690512
883000 0.683869
884000 0.697072
885000 0.683939
886000 0.693619
887000 0.693414
888000 0.677614
889000 0.679709
890000 0.689759
891000 0.680667
892000 0.67858
893000 0.682685
894000 0.688627
895000 0.686951
896000 0.691866
897000 0.691758
898000 0.686212
899000 0.686614
900000 0.682241
901000 0.694508
902000 0.692389
903000 0.694787
904000 0.690023
905000 0.688607
906000 0.692596
907000 0.695996
908000 0.690144
909000 0.679092
910000 0.691676
911000 0.693811
912000 0.686835
913000 0.688716
914000 0.688645
915000 0.691908
916000 0.690693
917000 0.705625
918000 0.689782
919000 0.690086
920000 0.687086
921000 0.691399
922000 0.680912
923000 0.685323
924000 0.699449
925000 0.686491
926000 0.697538
927000 0.697829
928000 0.703603
929000 0.689214
930000 0.695332
931000 0.693215
932000 0.698778
933000 0.700668
934000 0.694741
935000 0.691481
936000 0.698192
937000 0.703077
938000 0.695824
939000 0.695776
940000 0.705704
941000 0.7027
942000 0.692191
943000 0.696245
944000 0.699251
945000 0.685902
946000 0.696441
947000 0.691998
948000 0.688659
949000 0.687245
950000 0.701364
951000 0.701378
952000 0.690549
953000 0.698661
954000 0.7005
955000 0.696411
956000 0.698447
957000 0.684944
958000 0.694196
959000 0.69483
960000 0.688423
961000 0.698148
962000 0.693064
963000 0.686741
964000 0.689036
965000 0.689196
966000 0.695418
967000 0.701438
968000 0.691618
969000 0.697558
970000 0.700657
971000 0.688857
972000 0.70341
973000 0.697364
974000 0.693991
975000 0.68287
976000 0.695234
977000 0.698282
978000 0.695622
979000 0.704317
980000 0.703689
981000 0.702921
982000 0.701603
983000 0.702792
984000 0.704176
985000 0.709212
986000 0.693928
987000 0.70378
988000 0.707171
989000 0.703525
990000 0.709732
991000 0.710875
992000 0.710704
993000 0.706201
994000 0.702322
995000 0.700771
996000 0.703089
997000 0.698649
998000 0.706533
999000 0.70182
1000000 0.702934
1001000 0.71392
1002000 0.703306
1003000 0.704487
1004000 0.707927
1005000 0.710951
1006000 0.717598
1007000 0.694325
1008000 0.713567
1009000 0.710424
1010000 0.708008
1011000 0.708374
1012000 0.712399
1013000 0.711567
1014000 0.717861
1015000 0.708446
1016000 0.712693
1017000 0.716711
1018000 0.719613
1019000 0.700121
1020000 0.710108
1021000 0.715883
1022000 0.700867
1023000 0.718339
1024000 0.71545
1025000 0.703769
1026000 0.709712
1027000 0.700406
1028000 0.707367
1029000 0.706722
1030000 0.705753
1031000 0.699907
1032000 0.700342
1033000 0.705701
1034000 0.70503
1035000 0.698277
1036000 0.700155
1037000 0.696431
1038000 0.699153
1039000 0.699692
1040000 0.703164
1041000 0.695782
1042000 0.701321
1043000 0.704056
1044000 0.70371
1045000 0.709838
1046000 0.709804
1047000 0.700248
1048000 0.702004
1049000 0.701708
1050000 0.696372
1051000 0.709867
1052000 0.707113
1053000 0.696195
1054000 0.70476
1055000 0.70978
1056000 0.708223
1057000 0.699609
1058000 0.705698
1059000 0.705123
1060000 0.704161
1061000 0.702384
1062000 0.714241
1063000 0.703187
1064000 0.714179
1065000 0.700622
1066000 0.702719
1067000 0.70895
1068000 0.704163
1069000 0.706244
1070000 0.709554
1071000 0.716304
1072000 0.701608
1073000 0.703687
1074000 0.721338
1075000 0.714622
1076000 0.714947
1077000 0.720873
1078000 0.71404
1079000 0.724026
1080000 0.735636
1081000 0.72355
1082000 0.718782
1083000 0.721985
1084000 0.725828
1085000 0.71649
1086000 0.73211
1087000 0.717041
1088000 0.733531
1089000 0.720135
1090000 0.721704
1091000 0.712445
1092000 0.727719
1093000 0.713738
1094000 0.717423
1095000 0.726044
1096000 0.729469
1097000 0.710028
1098000 0.730603
1099000 0.714248
