# Time-averaged data for fix oxidemymsdt
# TimeStep c_oxidemsd[4]
100000 1.00959e-28
101000 0.168725
102000 0.15299
103000 0.161215
104000 0.1553
105000 0.16823
106000 0.158776
107000 0.168262
108000 0.162062
109000 0.15995
110000 0.159009
111000 0.159135
112000 0.153186
113000 0.160784
114000 0.165469
115000 0.157498
116000 0.167897
117000 0.15159
118000 0.160129
119000 0.158841
120000 0.163197
121000 0.159718
122000 0.167618
123000 0.158507
124000 0.162552
125000 0.158155
126000 0.159548
127000 0.164364
128000 0.157147
129000 0.167196
130000 0.163886
131000 0.169229
132000 0.163626
133000 0.165042
134000 0.163545
135000 0.164519
136000 0.160794
137000 0.163733
138000 0.159166
139000 0.157679
140000 0.164237
141000 0.158413
142000 0.159649
143000 0.160224
144000 0.168624
145000 0.164227
146000 0.164341
147000 0.162502
148000 0.1675
149000 0.158575
150000 0.162977
151000 0.158018
152000 0.163813
153000 0.161191
154000 0.163507
155000 0.155366
156000 0.165151
157000 0.167391
158000 0.162002
159000 0.161442
160000 0.160791
161000 0.160898
162000 0.1625
163000 0.1614
164000 0.159988
165000 0.164111
166000 0.162086
167000 0.166305
168000 0.162369
169000 0.167336
170000 0.164133
171000 0.166653
172000 0.169651
173000 0.163679
174000 0.163552
175000 0.165593
176000 0.161874
177000 0.169348
178000 0.164376
179000 0.165628
180000 0.165853
181000 0.163106
182000 0.168129
183000 0.160437
184000 0.162793
185000 0.16799
186000 0.164906
187000 0.158144
188000 0.162954
189000 0.160995
190000 0.165887
191000 0.162408
192000 0.161944
193000 0.160382
194000 0.166207
195000 0.164049
196000 0.159576
197000 0.166581
198000 0.161888
199000 0.166784
200000 0.157545
201000 0.170658
202000 0.170446
203000 0.16985
204000 0.161094
205000 0.163403
206000 0.170952
207000 0.164307
208000 0.168274
209000 0.165128
210000 0.163567
211000 0.163163
212000 0.165252
213000 0.169164
214000 0.170445
215000 0.159479
216000 0.164692
217000 0.170041
218000 0.163558
219000 0.161608
220000 0.1666
221000 0.166692
222000 0.163074
223000 0.166779
224000 0.166627
225000 0.161123
226000 0.172198
227000 0.163696
228000 0.166707
229000 0.165495
230000 0.16158
231000 0.162012
232000 0.167702
233000 0.159821
234000 0.163672
235000 0.165895
236000 0.163952
237000 0.163491
238000 0.162532
239000 0.156623
240000 0.163198
241000 0.164547
242000 0.157219
243000 0.167079
244000 0.166996
245000 0.161482
246000 0.165403
247000 0.161689
248000 0.164176
249000 0.165778
250000 0.161589
251000 0.162587
252000 0.16211
253000 0.169053
254000 0.154439
255000 0.163995
256000 0.166993
257000 0.161908
258000 0.166506
259000 0.165148
260000 0.166418
261000 0.166163
262000 0.159405
263000 0.160834
264000 0.165297
265000 0.166433
266000 0.162425
267000 0.169348
268000 0.162425
269000 0.169638
270000 0.166701
271000 0.165247
272000 0.171402
273000 0.162606
274000 0.166518
275000 0.16326
276000 0.165514
277000 0.165951
278000 0.166765
279000 0.160238
280000 0.165876
281000 0.161772
282000 0.166426
283000 0.164979
284000 0.157399
285000 0.165879
286000 0.159965
287000 0.16755
288000 0.165183
289000 0.166235
290000 0.16651
291000 0.168468
292000 0.1686
293000 0.169098
294000 0.161802
295000 0.170258
296000 0.162827
297000 0.172922
298000 0.164656
299000 0.160802
300000 0.173499
301000 0.168667
302000 0.166827
303000 0.168111
304000 0.168053
305000 0.170342
306000 0.163406
