# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
100000 1.271e-28
101000 0.331874
102000 0.33892
103000 0.338822
104000 0.336034
105000 0.350851
106000 0.343073
107000 0.348102
108000 0.34654
109000 0.336865
110000 0.349668
111000 0.340816
112000 0.341201
113000 0.345504
114000 0.348705
115000 0.340911
116000 0.337692
117000 0.345152
118000 0.34356
119000 0.336209
120000 0.338257
121000 0.350858
122000 0.33948
123000 0.340574
124000 0.334974
125000 0.358567
126000 0.352092
127000 0.346274
128000 0.343776
129000 0.342069
130000 0.343216
131000 0.349237
132000 0.341091
133000 0.346107
134000 0.342005
135000 0.347417
136000 0.346127
137000 0.344304
138000 0.345918
139000 0.332632
140000 0.353585
141000 0.346744
142000 0.3432
143000 0.350488
144000 0.343602
145000 0.342688
146000 0.350865
147000 0.350826
148000 0.340953
149000 0.344965
150000 0.345607
151000 0.347032
152000 0.338914
153000 0.347605
154000 0.344332
155000 0.346253
156000 0.346664
157000 0.342906
158000 0.348605
159000 0.35188
160000 0.345525
161000 0.338874
162000 0.347898
163000 0.340785
164000 0.345027
165000 0.344968
166000 0.347387
167000 0.342081
168000 0.347404
169000 0.33809
170000 0.341741
171000 0.348727
172000 0.341674
173000 0.3507
174000 0.346976
175000 0.348273
176000 0.338637
177000 0.359239
178000 0.347043
179000 0.34783
180000 0.340934
181000 0.342035
182000 0.345217
183000 0.350521
184000 0.353519
185000 0.340538
186000 0.331567
187000 0.35487
188000 0.344404
189000 0.340682
190000 0.348118
191000 0.337375
192000 0.348171
193000 0.344117
194000 0.345895
195000 0.344474
196000 0.341296
197000 0.350737
198000 0.348021
199000 0.342807
200000 0.346785
201000 0.356596
202000 0.352162
203000 0.346406
204000 0.352112
205000 0.342157
206000 0.337929
207000 0.357259
208000 0.343693
209000 0.340188
210000 0.34444
211000 0.342824
212000 0.347005
213000 0.354117
214000 0.344037
215000 0.346123
216000 0.351489
217000 0.3435
218000 0.34677
219000 0.355152
220000 0.345654
221000 0.345042
222000 0.350478
223000 0.344227
224000 0.342013
225000 0.354017
226000 0.35123
227000 0.350224
228000 0.348616
229000 0.350432
230000 0.354205
231000 0.347142
232000 0.35249
233000 0.34737
234000 0.344148
235000 0.346697
236000 0.340831
237000 0.355339
238000 0.353154
239000 0.344038
240000 0.345018
241000 0.360401
242000 0.352911
243000 0.353596
244000 0.346398
245000 0.340467
246000 0.340489
247000 0.348412
248000 0.340317
249000 0.348426
250000 0.348377
251000 0.343001
252000 0.351923
253000 0.352726
254000 0.347681
255000 0.343623
256000 0.343634
257000 0.347732
258000 0.341847
259000 0.346533
260000 0.346869
261000 0.34611
262000 0.35099
263000 0.352072
264000 0.353326
265000 0.350236
266000 0.356346
267000 0.351431
268000 0.346866
269000 0.349576
270000 0.353371
271000 0.340397
272000 0.346957
273000 0.348376
274000 0.35223
275000 0.344499
276000 0.347239
277000 0.344178
278000 0.344583
279000 0.350563
280000 0.347282
281000 0.355297
282000 0.349191
283000 0.348574
284000 0.342862
285000 0.349313
286000 0.345812
287000 0.344793
288000 0.34242
289000 0.350635
290000 0.349701
291000 0.341136
292000 0.35493
293000 0.347885
294000 0.356621
295000 0.346972
296000 0.352811
297000 0.352208
298000 0.345276
299000 0.345134
300000 0.345097
301000 0.352442
302000 0.348898
303000 0.346046
304000 0.343755
305000 0.351505
306000 0.346943
307000 0.349305
308000 0.354655
309000 0.361482
310000 0.351513
311000 0.358153
312000 0.351496
313000 0.332958
314000 0.355625
315000 0.343668
316000 0.342307
317000 0.343789
318000 0.349576
319000 0.346881
320000 0.358547
321000 0.343435
322000 0.350452
323000 0.359051
324000 0.34595
325000 0.345713
326000 0.345079
327000 0.346881
328000 0.354097
329000 0.341737
330000 0.3521
331000 0.338224
332000 0.351454
333000 0.345367
334000 0.352442
335000 0.344152
