# Time-averaged data for fix oxidemymsdt
# TimeStep c_oxidemsd[4]
100000 5.04871e-29
101000 0.167636
102000 0.154759
103000 0.156278
104000 0.153716
105000 0.165475
106000 0.157347
107000 0.160965
108000 0.162095
109000 0.159753
110000 0.16742
111000 0.166884
112000 0.162266
113000 0.156803
114000 0.173604
115000 0.157991
116000 0.166249
117000 0.163524
118000 0.161237
119000 0.1583
120000 0.157483
121000 0.169495
122000 0.161989
123000 0.164153
124000 0.161655
125000 0.171517
126000 0.161487
127000 0.169079
128000 0.166073
129000 0.168698
130000 0.159524
131000 0.164171
132000 0.161335
133000 0.164956
134000 0.163689
135000 0.164062
136000 0.169064
137000 0.166222
138000 0.171169
139000 0.160681
140000 0.172402
141000 0.163132
142000 0.165605
143000 0.166739
144000 0.162265
145000 0.1637
146000 0.166154
147000 0.167779
148000 0.166378
149000 0.171223
150000 0.161354
151000 0.172289
152000 0.160077
153000 0.163771
154000 0.166812
155000 0.172822
156000 0.169074
157000 0.162747
158000 0.166756
159000 0.166829
160000 0.166927
161000 0.162491
162000 0.164266
163000 0.158181
164000 0.165493
165000 0.157453
166000 0.165533
167000 0.161488
168000 0.169128
169000 0.167012
170000 0.166566
171000 0.167103
172000 0.166209
173000 0.166398
174000 0.166498
175000 0.170937
176000 0.161921
177000 0.171028
178000 0.163418
179000 0.170489
180000 0.162921
181000 0.169365
182000 0.167797
183000 0.164246
184000 0.167168
185000 0.163489
186000 0.15886
187000 0.165757
188000 0.16227
189000 0.158963
190000 0.163813
191000 0.158448
192000 0.162958
193000 0.164414
194000 0.168076
195000 0.168766
196000 0.168561
197000 0.169652
198000 0.167549
199000 0.170229
200000 0.166879
201000 0.168324
202000 0.169864
203000 0.170337
204000 0.168108
205000 0.166833
206000 0.164766
207000 0.167218
208000 0.162826
209000 0.169603
210000 0.169273
211000 0.166689
212000 0.163922
213000 0.170791
214000 0.16401
215000 0.166943
216000 0.169864
217000 0.167657
218000 0.16829
219000 0.1684
220000 0.16998
221000 0.164546
222000 0.172209
223000 0.163467
224000 0.165988
225000 0.166515
226000 0.168068
227000 0.171823
228000 0.166522
229000 0.169538
230000 0.166785
231000 0.1657
232000 0.166619
233000 0.164408
234000 0.166122
235000 0.169394
236000 0.164983
237000 0.171534
238000 0.166244
239000 0.171238
240000 0.16455
241000 0.175818
242000 0.167782
243000 0.170664
244000 0.166726
245000 0.162859
246000 0.16605
247000 0.165089
248000 0.163057
249000 0.162462
250000 0.168587
251000 0.16458
252000 0.169431
253000 0.167046
254000 0.174018
255000 0.170216
256000 0.162249
257000 0.162675
258000 0.163615
259000 0.165593
260000 0.163123
261000 0.167974
262000 0.168905
263000 0.174424
264000 0.171655
265000 0.169404
266000 0.171245
267000 0.174639
268000 0.167954
269000 0.169111
270000 0.17311
271000 0.168131
272000 0.168805
273000 0.165092
274000 0.164862
275000 0.165189
276000 0.169651
277000 0.170298
278000 0.167973
279000 0.173802
280000 0.166511
281000 0.169896
282000 0.170414
283000 0.169533
284000 0.166512
285000 0.171151
286000 0.170176
287000 0.169494
288000 0.162239
289000 0.166803
290000 0.166437
291000 0.164129
292000 0.168713
293000 0.164415
294000 0.167273
295000 0.167168
296000 0.166786
297000 0.170709
298000 0.165358
299000 0.16629
300000 0.164756
301000 0.167038
302000 0.167278
303000 0.164679
304000 0.165179
305000 0.172851
306000 0.168594
307000 0.172658
308000 0.171579
309000 0.179192
310000 0.171566
311000 0.172626
312000 0.170437
313000 0.172526
314000 0.172129
315000 0.166832
316000 0.160007
317000 0.16714
318000 0.169953
319000 0.167457
320000 0.172539
321000 0.166954
322000 0.170755
323000 0.175238
324000 0.168837
325000 0.170433
326000 0.171938
327000 0.166788
328000 0.173834
329000 0.167892
330000 0.168009
331000 0.166
332000 0.176315
333000 0.167979
334000 0.173419
335000 0.167261
336000 0.168948
337000 0.168454
338000 0.169011
339000 0.17042
340000 0.168678
341000 0.169112
342000 0.1705
343000 0.170731
344000 0.17029
345000 0.170608
346000 0.162219
347000 0.175794
348000 0.166093
349000 0.171747
350000 0.165399
351000 0.173489
352000 0.165103
353000 0.175884
354000 0.167096
355000 0.167842
356000 0.171239
357000 0.161514
358000 0.171849
359000 0.163954
360000 0.174498
361000 0.159701
362000 0.169679
363000 0.167204
364000 0.170093
365000 0.167411
366000 0.17626
367000 0.167154
368000 0.16385
369000 0.175277
370000 0.170304
371000 0.168619
372000 0.168517
373000 0.171713
374000 0.169707
375000 0.176999
376000 0.167968
377000 0.169074
378000 0.170042
379000 0.170682
380000 0.167227
381000 0.163843
382000 0.171442
383000 0.166152
384000 0.169928
385000 0.169213
386000 0.172652
387000 0.167335
388000 0.172553
389000 0.167965
390000 0.16906
391000 0.168752
392000 0.167565
393000 0.174845
394000 0.16948
395000 0.174802
396000 0.1657
397000 0.16946
398000 0.173994
399000 0.171762
400000 0.16332
401000 0.172396
402000 0.167962
403000 0.169611
404000 0.160515
405000 0.170591
406000 0.164655
407000 0.169738
408000 0.169836
409000 0.176231
410000 0.172858
411000 0.169272
412000 0.166714
413000 0.172543
414000 0.172141
415000 0.172957
416000 0.164136
417000 0.169948
418000 0.173225
419000 0.167921
420000 0.168167
421000 0.169741
422000 0.170232
423000 0.166956
424000 0.168743
425000 0.166185
426000 0.174453
427000 0.169754
428000 0.169169
429000 0.165679
430000 0.166161
431000 0.171612
432000 0.169438
433000 0.171128
434000 0.170746
435000 0.169328
436000 0.174359
437000 0.166644
438000 0.166607
439000 0.172481
440000 0.169958
441000 0.169344
442000 0.171321
443000 0.170033
444000 0.171377
445000 0.167747
446000 0.174865
447000 0.170364
448000 0.176226
449000 0.166636
450000 0.174875
451000 0.168951
452000 0.175346
453000 0.165129
454000 0.173923
455000 0.164639
456000 0.168165
457000 0.167978
458000 0.16946
459000 0.171764
460000 0.169355
461000 0.172783
462000 0.165202
463000 0.171622
464000 0.169647
465000 0.168371
466000 0.165717
467000 0.164918
468000 0.166012
469000 0.173753
470000 0.16613
471000 0.165319
472000 0.169628
473000 0.16503
474000 0.173483
475000 0.162694
476000 0.180495
477000 0.169394
478000 0.174897
479000 0.16752
480000 0.166139
481000 0.171031
482000 0.166743
483000 0.168035
484000 0.165492
485000 0.171323
486000 0.16635
487000 0.169981
488000 0.168816
489000 0.176274
490000 0.165366
491000 0.174295
492000 0.166067
493000 0.166787
494000 0.171712
495000 0.164416
496000 0.174617
497000 0.166862
498000 0.170355
499000 0.168424
500000 0.172814
501000 0.166933
502000 0.172222
503000 0.167949
504000 0.172742
505000 0.166039
506000 0.166252
507000 0.166353
508000 0.164734
509000 0.170285
510000 0.166118
511000 0.172493
512000 0.170531
513000 0.166279
514000 0.159673
515000 0.170299
516000 0.166109
517000 0.17055
518000 0.168972
519000 0.165815
520000 0.168986
521000 0.171487
522000 0.170118
523000 0.165501
524000 0.166864
525000 0.16717
526000 0.169305
527000 0.165499
528000 0.169184
529000 0.164424
530000 0.168852
531000 0.164584
532000 0.168421
533000 0.1726
534000 0.168587
535000 0.166712
536000 0.169721
537000 0.16687
538000 0.165982
539000 0.173869
540000 0.165854
541000 0.171038
542000 0.165803
543000 0.169535
544000 0.168222
545000 0.168265
546000 0.169377
547000 0.166213
548000 0.168595
549000 0.166331
550000 0.17306
551000 0.167026
552000 0.182312
553000 0.165813
554000 0.170732
555000 0.165843
556000 0.171093
557000 0.170169
558000 0.16521
559000 0.168716
560000 0.163864
561000 0.174005
562000 0.164846
563000 0.170526
564000 0.164632
565000 0.173754
566000 0.16824
567000 0.176246
568000 0.162859
569000 0.178115
570000 0.170193
571000 0.168187
572000 0.168974
573000 0.166924
574000 0.169028
575000 0.164665
576000 0.164982
577000 0.169103
578000 0.167452
579000 0.167938
580000 0.163377
581000 0.174174
582000 0.170722
583000 0.172529
584000 0.167455
585000 0.167539
586000 0.165814
587000 0.166231
588000 0.168168
589000 0.164377
590000 0.172134
591000 0.163725
592000 0.168911
593000 0.165314
594000 0.170179
595000 0.171322
596000 0.163354
597000 0.166152
598000 0.169073
599000 0.170864
600000 0.174845
601000 0.167848
602000 0.167178
603000 0.162449
604000 0.172413
605000 0.17199
606000 0.166074
607000 0.169334
608000 0.166888
609000 0.167779
610000 0.170871
611000 0.166143
612000 0.169654
613000 0.171958
614000 0.167998
615000 0.166181
616000 0.167773
617000 0.165785
618000 0.166169
619000 0.169405
620000 0.16855
621000 0.167706
622000 0.17332
623000 0.161858
624000 0.170166
625000 0.170187
626000 0.166526
627000 0.163646
628000 0.169749
629000 0.167842
630000 0.165016
631000 0.170758
632000 0.164992
633000 0.168997
634000 0.168657
635000 0.171612
636000 0.167048
637000 0.177676
