# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.07327e-29
101000 0.35333
102000 0.354821
103000 0.34051
104000 0.351554
105000 0.357444
106000 0.364385
107000 0.359212
108000 0.362588
109000 0.363478
110000 0.363262
111000 0.37082
112000 0.373863
113000 0.370483
114000 0.38082
115000 0.37262
116000 0.374273
117000 0.365234
118000 0.372283
119000 0.371699
120000 0.376713
121000 0.364184
122000 0.373437
123000 0.374645
124000 0.374429
125000 0.386645
126000 0.376515
127000 0.383537
128000 0.392619
129000 0.384082
130000 0.383126
131000 0.394943
132000 0.390911
133000 0.391705
134000 0.392991
135000 0.391105
136000 0.387747
137000 0.392585
138000 0.384804
139000 0.402254
140000 0.401297
141000 0.396518
142000 0.404728
143000 0.412516
144000 0.40032
145000 0.399507
146000 0.407679
147000 0.406745
148000 0.39851
149000 0.410713
150000 0.406534
151000 0.400752
152000 0.416844
153000 0.412735
154000 0.410037
155000 0.413046
156000 0.41409
157000 0.411225
158000 0.407841
159000 0.412473
160000 0.410451
161000 0.407003
162000 0.412941
163000 0.40972
164000 0.422828
165000 0.413704
166000 0.421789
167000 0.408533
168000 0.413628
169000 0.411358
170000 0.412488
171000 0.419194
172000 0.415503
173000 0.419593
174000 0.416277
175000 0.417598
176000 0.418949
177000 0.412138
178000 0.413126
179000 0.417731
180000 0.414427
181000 0.427685
182000 0.424249
183000 0.424526
184000 0.422543
185000 0.421329
186000 0.422794
187000 0.427403
188000 0.427919
189000 0.427666
190000 0.434319
191000 0.423184
192000 0.427972
193000 0.430049
194000 0.42616
195000 0.431983
196000 0.438029
197000 0.432281
198000 0.438077
199000 0.435214
200000 0.439474
201000 0.44094
202000 0.43963
203000 0.438792
204000 0.440153
205000 0.441786
206000 0.4432
207000 0.442266
208000 0.449819
209000 0.444078
210000 0.445351
211000 0.453763
212000 0.451493
213000 0.460913
214000 0.45568
215000 0.462684
216000 0.456219
217000 0.445177
218000 0.454223
219000 0.456756
220000 0.456064
221000 0.458573
222000 0.469028
223000 0.46217
224000 0.47173
225000 0.456411
226000 0.460684
227000 0.467032
228000 0.47455
229000 0.464111
230000 0.471275
231000 0.473933
232000 0.474735
233000 0.470881
234000 0.471458
235000 0.46999
236000 0.471684
237000 0.466763
238000 0.469654
239000 0.469542
240000 0.476517
241000 0.47234
242000 0.477257
243000 0.477212
244000 0.477834
245000 0.484041
246000 0.479584
247000 0.480202
248000 0.477198
249000 0.478651
250000 0.48814
251000 0.482946
252000 0.484519
253000 0.479588
254000 0.490558
255000 0.484771
256000 0.487426
257000 0.482006
258000 0.481516
259000 0.488361
260000 0.480194
261000 0.485024
262000 0.485365
263000 0.490452
264000 0.485635
265000 0.480584
266000 0.493918
267000 0.484307
268000 0.493975
269000 0.494705
270000 0.495165
271000 0.499703
272000 0.494075
273000 0.496233
274000 0.49128
275000 0.487061
276000 0.49002
277000 0.493861
278000 0.496499
279000 0.500874
280000 0.496643
281000 0.499365
282000 0.49887
283000 0.491886
284000 0.498376
285000 0.502527
286000 0.507354
287000 0.50175
288000 0.50578
289000 0.505552
290000 0.505232
291000 0.508439
292000 0.503605
293000 0.501949
294000 0.507734
295000 0.499904
296000 0.504472
297000 0.509799
298000 0.501046
299000 0.504708
300000 0.517289
301000 0.514763
302000 0.509396
303000 0.506877
304000 0.508548
305000 0.50846
306000 0.512127
307000 0.50794
308000 0.515626
309000 0.511131
310000 0.51072
311000 0.508929
312000 0.507326
313000 0.510751
314000 0.509087
315000 0.510371
316000 0.513148
317000 0.511961
318000 0.511654
319000 0.512778
320000 0.509867
321000 0.502981
322000 0.512346
323000 0.515825
324000 0.516328
325000 0.511974
326000 0.508702
327000 0.509445
328000 0.509829
329000 0.506771
330000 0.507721
331000 0.508393
332000 0.514323
333000 0.51378
334000 0.521291
335000 0.513579
336000 0.516263
337000 0.510613
338000 0.509354
339000 0.521981
340000 0.52609
341000 0.513862
342000 0.513623
343000 0.520506
344000 0.521924
345000 0.515944
346000 0.520957
347000 0.523774
348000 0.521623
349000 0.522963
350000 0.526051
351000 0.53031
352000 0.522224
353000 0.52683
354000 0.523815
355000 0.520529
356000 0.524254
357000 0.530713
358000 0.525817
359000 0.526576
360000 0.537357
361000 0.528657
362000 0.527983
363000 0.538277
364000 0.534834
365000 0.534067
366000 0.539811
367000 0.538816
368000 0.532018
369000 0.527485
370000 0.529816
371000 0.537175
372000 0.531318
373000 0.533145
374000 0.536396
375000 0.538148
376000 0.54361
377000 0.533371
378000 0.529655
379000 0.536217
380000 0.535961
381000 0.537602
382000 0.536342
383000 0.541837
384000 0.53733
385000 0.537395
386000 0.531402
387000 0.540791
388000 0.538835
389000 0.530102
390000 0.538158
391000 0.536012
392000 0.542127
393000 0.546414
394000 0.538742
395000 0.543596
396000 0.534443
397000 0.541366
398000 0.539862
399000 0.536225
400000 0.53956
401000 0.540087
402000 0.541947
403000 0.548002
404000 0.544082
405000 0.549175
406000 0.545259
407000 0.547786
408000 0.544919
409000 0.549096
410000 0.54715
411000 0.54687
412000 0.545008
413000 0.548246
414000 0.54835
415000 0.553656
416000 0.557433
417000 0.55486
418000 0.550909
419000 0.551833
420000 0.540969
421000 0.542945
422000 0.552186
423000 0.552073
424000 0.555374
425000 0.555916
426000 0.559021
427000 0.564037
428000 0.550411
429000 0.547633
430000 0.560092
431000 0.551715
432000 0.56015
433000 0.551811
434000 0.546931
435000 0.555788
436000 0.548544
437000 0.557812
438000 0.558754
439000 0.555916
440000 0.554292
441000 0.547463
442000 0.557812
443000 0.554261
444000 0.553523
445000 0.55604
446000 0.559878
447000 0.560942
448000 0.559841
449000 0.560324
450000 0.570499
451000 0.564553
452000 0.564255
453000 0.565658
454000 0.5724
455000 0.558138
456000 0.568286
457000 0.565795
458000 0.565739
459000 0.562523
460000 0.565643
461000 0.565667
462000 0.564904
463000 0.572525
464000 0.558108
465000 0.573923
466000 0.573757
467000 0.560132
468000 0.569078
469000 0.566452
470000 0.566381
471000 0.562319
472000 0.565216
