# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 2.70969e-31
101000 0.357016
102000 0.359788
103000 0.370598
104000 0.362499
105000 0.369952
106000 0.371053
107000 0.38781
108000 0.37419
109000 0.384335
110000 0.389726
111000 0.378715
112000 0.392302
113000 0.381053
114000 0.388938
115000 0.387798
116000 0.391517
117000 0.38774
118000 0.398756
119000 0.393989
120000 0.393123
121000 0.395288
122000 0.398983
123000 0.399613
124000 0.403742
125000 0.406414
126000 0.411857
127000 0.407629
128000 0.407344
129000 0.408462
130000 0.411154
131000 0.420486
132000 0.412961
133000 0.418635
134000 0.416216
135000 0.421929
136000 0.426162
137000 0.436688
138000 0.432613
139000 0.429412
140000 0.436733
141000 0.434798
142000 0.444018
143000 0.438417
144000 0.446274
145000 0.428139
146000 0.436356
147000 0.434781
148000 0.441618
149000 0.439486
150000 0.445844
151000 0.451384
152000 0.443703
153000 0.458135
154000 0.451911
155000 0.459083
156000 0.451818
157000 0.459365
158000 0.459524
159000 0.462051
160000 0.453853
161000 0.459531
162000 0.459047
163000 0.470063
164000 0.468131
165000 0.476665
166000 0.470119
167000 0.468436
168000 0.474715
169000 0.471011
170000 0.470423
171000 0.48056
172000 0.479203
173000 0.473052
174000 0.482444
175000 0.486106
176000 0.489155
177000 0.489389
178000 0.485282
179000 0.483315
180000 0.486534
181000 0.487519
182000 0.481866
183000 0.495572
184000 0.494721
185000 0.498998
186000 0.492926
187000 0.501672
188000 0.498989
189000 0.498518
190000 0.492258
191000 0.498389
192000 0.502772
193000 0.495505
194000 0.501649
195000 0.499779
196000 0.502729
197000 0.501658
198000 0.506391
199000 0.516639
200000 0.507873
201000 0.516054
202000 0.523812
203000 0.510382
204000 0.513001
205000 0.509122
206000 0.52281
207000 0.525022
208000 0.521633
209000 0.5263
210000 0.526874
211000 0.527804
212000 0.535628
213000 0.530228
214000 0.543031
215000 0.538152
216000 0.538773
217000 0.53509
218000 0.543799
219000 0.546689
220000 0.543862
221000 0.549386
222000 0.54548
223000 0.554975
224000 0.546755
225000 0.563828
226000 0.562897
227000 0.558387
228000 0.569671
229000 0.565927
230000 0.566109
231000 0.571197
232000 0.576912
233000 0.566855
234000 0.575036
235000 0.575846
236000 0.573236
237000 0.579997
238000 0.572371
239000 0.576474
240000 0.592274
241000 0.5738
242000 0.586593
243000 0.599411
244000 0.583596
245000 0.581094
246000 0.593019
247000 0.589636
248000 0.592973
249000 0.580695
250000 0.588928
251000 0.585658
252000 0.586786
253000 0.591938
254000 0.596532
255000 0.601799
256000 0.598019
257000 0.593141
258000 0.605139
259000 0.599679
260000 0.598177
261000 0.604286
262000 0.605575
263000 0.60212
264000 0.602654
