# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 5.07628e-29
101000 0.410258
102000 0.397704
103000 0.409557
104000 0.406099
105000 0.413103
106000 0.415306
107000 0.420958
108000 0.41877
109000 0.424463
110000 0.429784
111000 0.436776
112000 0.4304
113000 0.436619
114000 0.442241
115000 0.434947
116000 0.452647
117000 0.432494
118000 0.444649
119000 0.442101
120000 0.444377
121000 0.437599
122000 0.447764
123000 0.448387
124000 0.446371
125000 0.455479
126000 0.44614
127000 0.444624
128000 0.450236
129000 0.449634
130000 0.462507
131000 0.46711
132000 0.456776
133000 0.468519
134000 0.462088
135000 0.476328
136000 0.477102
137000 0.486756
138000 0.474411
139000 0.490338
140000 0.479523
141000 0.473113
142000 0.489198
143000 0.479563
144000 0.483533
145000 0.489749
146000 0.49369
147000 0.485941
148000 0.497415
149000 0.501643
150000 0.498156
151000 0.507284
152000 0.507711
153000 0.503397
154000 0.509802
155000 0.506453
156000 0.514412
157000 0.515119
158000 0.518746
159000 0.512289
160000 0.514356
161000 0.521811
162000 0.50915
163000 0.523712
164000 0.519474
165000 0.530049
166000 0.522115
167000 0.524159
168000 0.527678
169000 0.537504
170000 0.525839
171000 0.53173
172000 0.525762
173000 0.548421
174000 0.525748
175000 0.542918
176000 0.53618
177000 0.529215
178000 0.533723
179000 0.53712
180000 0.538111
181000 0.540498
182000 0.530767
183000 0.547752
184000 0.545551
185000 0.553566
186000 0.557438
187000 0.552141
188000 0.545867
189000 0.550838
190000 0.554167
191000 0.546994
192000 0.551813
193000 0.550612
194000 0.557751
195000 0.552466
196000 0.561097
197000 0.561229
198000 0.565412
199000 0.573906
200000 0.5796
201000 0.566253
202000 0.583206
203000 0.572385
204000 0.575337
205000 0.575795
206000 0.576505
207000 0.590978
208000 0.576281
209000 0.589219
210000 0.583492
211000 0.594107
212000 0.596498
213000 0.584766
214000 0.588672
215000 0.595826
216000 0.600141
217000 0.599412
218000 0.592441
219000 0.598596
220000 0.605422
221000 0.612567
222000 0.615078
223000 0.600594
224000 0.621004
225000 0.611143
226000 0.613794
227000 0.610974
228000 0.606407
229000 0.611592
230000 0.614818
231000 0.601194
232000 0.61818
233000 0.618663
234000 0.613525
235000 0.617713
236000 0.607742
237000 0.621518
238000 0.613368
239000 0.60983
240000 0.622996
241000 0.616633
242000 0.626313
243000 0.610021
244000 0.612162
245000 0.617609
246000 0.616969
247000 0.627305
248000 0.618738
249000 0.62226
250000 0.640308
251000 0.634814
252000 0.629878
253000 0.632453
254000 0.627825
255000 0.633895
256000 0.63431
257000 0.634783
258000 0.632193
259000 0.640713
260000 0.635833
261000 0.635524
262000 0.632364
263000 0.638445
264000 0.635393
265000 0.640441
266000 0.648518
267000 0.646217
268000 0.640666
269000 0.65385
270000 0.648172
271000 0.66151
272000 0.646437
273000 0.640943
274000 0.642591
275000 0.657806
276000 0.649376
277000 0.654444
278000 0.643485
279000 0.650153
280000 0.640814
281000 0.660701
282000 0.650809
283000 0.651087
284000 0.649489
285000 0.642
286000 0.66402
287000 0.646347
288000 0.65392
289000 0.652444
290000 0.669371
291000 0.656306
292000 0.662679
293000 0.662047
294000 0.671531
295000 0.666941
296000 0.672877
297000 0.670628
298000 0.672856
299000 0.667897
300000 0.67673
301000 0.683999
302000 0.67426
303000 0.681284
304000 0.67937
305000 0.697028
306000 0.675593
307000 0.705955
308000 0.682165
309000 0.685667
310000 0.695414
311000 0.69795
312000 0.695709
313000 0.694697
314000 0.699415
315000 0.697833
316000 0.699989
317000 0.69821
318000 0.703208
319000 0.697517
320000 0.712102
321000 0.699119
322000 0.704109
323000 0.700361
324000 0.719418
325000 0.710406
326000 0.703287
327000 0.70728
328000 0.717125
329000 0.70566
330000 0.716308
331000 0.715509
332000 0.709482
333000 0.715413
334000 0.71013
335000 0.722173
336000 0.717357
337000 0.716948
338000 0.714159
339000 0.734447
340000 0.715406
341000 0.717051
342000 0.710689
343000 0.725075
344000 0.731563
345000 0.727526
346000 0.731075
347000 0.729243
348000 0.72483
349000 0.729865
350000 0.723923
351000 0.725108
352000 0.728619
353000 0.721492
354000 0.733293
355000 0.71664
356000 0.735044
357000 0.727668
358000 0.736774
359000 0.733332
360000 0.734149
361000 0.735726
362000 0.73872
363000 0.727895
364000 0.730786
365000 0.725357
366000 0.722618
367000 0.732208
368000 0.726012
369000 0.735684
370000 0.729705
371000 0.739782
372000 0.737089
373000 0.754103
374000 0.731627
375000 0.750934
376000 0.748436
377000 0.754454
378000 0.743812
379000 0.756722
380000 0.751444
381000 0.749807
382000 0.752654
383000 0.752957
384000 0.762024
385000 0.753636
386000 0.758411
387000 0.744842
388000 0.764103
389000 0.743276
390000 0.755694
391000 0.759567
392000 0.75407
393000 0.763421
394000 0.747609
395000 0.758116
396000 0.746921
397000 0.765495
398000 0.747722
399000 0.762179
400000 0.747188
401000 0.7574
402000 0.752207
403000 0.760748
404000 0.758564
405000 0.765141
406000 0.756558
407000 0.761566
408000 0.779791
409000 0.773468
410000 0.773992
411000 0.776657
412000 0.772488
413000 0.777209
414000 0.777646
415000 0.771239
416000 0.76589
417000 0.773327
418000 0.784502
419000 0.772342
420000 0.774774
421000 0.781576
422000 0.776955
423000 0.776021
424000 0.779781
425000 0.779076
426000 0.784368
427000 0.775104
428000 0.77925
429000 0.77953
430000 0.772309
431000 0.778869
432000 0.781544
433000 0.77023
434000 0.778051
435000 0.779521
436000 0.789238
437000 0.783604
438000 0.786305
439000 0.794518
440000 0.787033
441000 0.783879
442000 0.784782
443000 0.781074
444000 0.784908
445000 0.780128
446000 0.780362
447000 0.781602
448000 0.79047
449000 0.801385
450000 0.78313
451000 0.790007
452000 0.793857
453000 0.799182
454000 0.789617
455000 0.79581
456000 0.785081
457000 0.798502
458000 0.792283
459000 0.792328
460000 0.792179
461000 0.790653
462000 0.782309
463000 0.79473
464000 0.78928
465000 0.792244
466000 0.790917
467000 0.78556
468000 0.787946
469000 0.796261
470000 0.795127
471000 0.794902
472000 0.794726
473000 0.802647
474000 0.794557
475000 0.817121
476000 0.803426
477000 0.805438
478000 0.791286
479000 0.80886
480000 0.803993
481000 0.811984
482000 0.798017
483000 0.805457
484000 0.804495
485000 0.810255
486000 0.807671
487000 0.81477
488000 0.802991
489000 0.797712
490000 0.805303
491000 0.809814
492000 0.81498
493000 0.818325
494000 0.807186
495000 0.819045
496000 0.807099
497000 0.815401
498000 0.812064
499000 0.819984
500000 0.808853
501000 0.813955
502000 0.803131
503000 0.812764
504000 0.818376
505000 0.81678
506000 0.809631
507000 0.817978
508000 0.826859
509000 0.824033
510000 0.821719
511000 0.830391
512000 0.816681
513000 0.82089
514000 0.814253
515000 0.811948
516000 0.817186
517000 0.815318
518000 0.823759
519000 0.812782
520000 0.815367
521000 0.819044
522000 0.819096
523000 0.815334
524000 0.823273
525000 0.815147
526000 0.809429
527000 0.819769
528000 0.819986
529000 0.823491
530000 0.827909
531000 0.824911
532000 0.822192
533000 0.827881
534000 0.829719
535000 0.826777
536000 0.8343
537000 0.826884
538000 0.820124
539000 0.81547
540000 0.822862
541000 0.833455
542000 0.826324
543000 0.821445
544000 0.825899
545000 0.828432
546000 0.818336
547000 0.824029
548000 0.831611
549000 0.822918
550000 0.830653
551000 0.844183
552000 0.83274
553000 0.847122
554000 0.827912
555000 0.837948
556000 0.832442
557000 0.836303
558000 0.824592
559000 0.831823
560000 0.820227
561000 0.833615
562000 0.82372
563000 0.820518
564000 0.830116
565000 0.826368
566000 0.834927
567000 0.826909
568000 0.842232
569000 0.847566
570000 0.844292
571000 0.83738
572000 0.850135
573000 0.851831
574000 0.844241
575000 0.845034
576000 0.846145
577000 0.856562
578000 0.844788
579000 0.856762
580000 0.845921
581000 0.849913
582000 0.871425
583000 0.860129
584000 0.852924
585000 0.850544
586000 0.860978
587000 0.866532
588000 0.857133
589000 0.865456
590000 0.856361
591000 0.861424
592000 0.86958
593000 0.864655
594000 0.88458
595000 0.86865
596000 0.870071
597000 0.876624
598000 0.889158
599000 0.882453
600000 0.874239
601000 0.879541
602000 0.882105
603000 0.871064
604000 0.883405
605000 0.87259
606000 0.880435
607000 0.889371
608000 0.880453
609000 0.877456
610000 0.876619
611000 0.874643
612000 0.885202
613000 0.890945
614000 0.882758
615000 0.89303
616000 0.891756
617000 0.890012
618000 0.892184
619000 0.895218
620000 0.886487
621000 0.90082
622000 0.889315
623000 0.900221
624000 0.889355
625000 0.887
626000 0.891305
627000 0.88392
628000 0.889459
629000 0.880339
630000 0.893256
631000 0.892246
632000 0.900494
633000 0.8971
634000 0.898299
635000 0.892512
636000 0.903674
637000 0.906804
638000 0.906248
639000 0.905231
640000 0.904552
641000 0.901216
642000 0.90554
643000 0.912203
644000 0.906706
645000 0.912498
646000 0.912624
647000 0.902532
648000 0.909971
649000 0.916047
650000 0.911686
651000 0.912688
652000 0.914076
653000 0.917204
654000 0.925385
655000 0.911568
656000 0.919283
657000 0.919973
658000 0.930444
659000 0.905982
660000 0.922884
661000 0.921477
662000 0.917561
663000 0.913907
664000 0.925221
665000 0.929197
666000 0.931342
667000 0.924919
668000 0.933145
669000 0.946001
670000 0.923519
671000 0.935399
672000 0.911939
673000 0.939062
674000 0.933176
675000 0.929511
676000 0.921199
677000 0.943414
678000 0.938167
679000 0.922915
680000 0.950894
681000 0.9332
682000 0.930397
683000 0.935056
684000 0.939802
685000 0.923514
686000 0.939288
687000 0.936737
688000 0.934485
689000 0.937302
690000 0.953056
691000 0.951581
692000 0.939511
693000 0.946425
694000 0.946443
695000 0.943536
696000 0.954162
697000 0.950021
698000 0.952775
699000 0.951567
700000 0.952103
701000 0.970254
702000 0.96353
703000 0.9636
704000 0.950725
705000 0.957108
706000 0.961591
707000 0.958852
708000 0.968838
709000 0.966736
710000 0.970857
711000 0.958818
712000 0.96594
713000 0.981709
714000 0.968661
715000 0.986212
716000 0.977101
717000 0.963972
718000 0.973333
719000 0.960122
720000 0.984551
721000 0.961236
722000 0.985136
723000 0.98119
724000 0.981507
725000 0.978892
726000 0.971295
727000 0.98006
728000 0.96799
729000 0.982152
730000 0.984754
731000 0.989445
732000 0.986289
733000 0.991821
734000 0.98462
735000 0.982318
736000 0.99463
737000 0.9847
738000 0.991998
739000 1.00294
740000 0.990234
741000 0.9848
742000 0.992071
743000 0.987766
744000 0.984175
745000 0.991574
746000 0.991389
747000 0.994274
748000 0.99539
749000 0.987722
750000 0.993243
751000 1.00053
752000 0.987373
753000 0.998316
754000 1.00064
755000 0.998467
756000 1.0071
757000 0.999203
758000 1.00217
759000 0.994038
760000 1.00619
761000 0.991284
762000 0.986577
763000 1.00513
764000 0.992069
765000 0.996889
766000 0.982268
767000 0.992929
768000 1.00039
769000 0.998694
770000 0.996241
771000 1.00152
772000 0.996215
773000 0.999274
774000 0.999172
