# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
100000 1.49928e-29
101000 0.392029
102000 0.384432
103000 0.404887
104000 0.388783
105000 0.406642
106000 0.390264
107000 0.389064
108000 0.39104
109000 0.396095
110000 0.390788
111000 0.398085
112000 0.393801
113000 0.394642
114000 0.4069
115000 0.401473
116000 0.409635
117000 0.402701
118000 0.402021
119000 0.393999
120000 0.394785
121000 0.393503
122000 0.395394
123000 0.396517
124000 0.398886
125000 0.400632
126000 0.399377
127000 0.410815
128000 0.39219
129000 0.403789
130000 0.399331
131000 0.402619
132000 0.385916
133000 0.405886
134000 0.409694
135000 0.40609
136000 0.415863
137000 0.392936
138000 0.406483
139000 0.398215
140000 0.398807
141000 0.400719
142000 0.396793
143000 0.399426
144000 0.401142
145000 0.400444
146000 0.400379
147000 0.3962
148000 0.403952
149000 0.401879
150000 0.396733
151000 0.410841
152000 0.396524
153000 0.401471
154000 0.400945
155000 0.404131
156000 0.409169
157000 0.408115
158000 0.406373
159000 0.41658
160000 0.398414
161000 0.407781
162000 0.406217
163000 0.401094
164000 0.407016
165000 0.39745
166000 0.396788
167000 0.40012
168000 0.413779
169000 0.399427
170000 0.405926
171000 0.407515
172000 0.404939
173000 0.402276
174000 0.410025
175000 0.404169
176000 0.397667
177000 0.4045
178000 0.408009
179000 0.408653
180000 0.404416
181000 0.410783
182000 0.403157
183000 0.410366
184000 0.397856
185000 0.399784
186000 0.401628
187000 0.405998
188000 0.413771
189000 0.398981
190000 0.406016
191000 0.403395
192000 0.406153
193000 0.400403
194000 0.402282
195000 0.405053
196000 0.396936
197000 0.39975
198000 0.401507
199000 0.392694
200000 0.404325
201000 0.392016
202000 0.401492
203000 0.39405
204000 0.395921
205000 0.408012
206000 0.392955
207000 0.400002
208000 0.400481
209000 0.398959
210000 0.396876
211000 0.403063
212000 0.401916
213000 0.399752
214000 0.415453
215000 0.397076
216000 0.410762
217000 0.402238
218000 0.40226
219000 0.404101
220000 0.401481
221000 0.398689
222000 0.398601
223000 0.402078
224000 0.399677
225000 0.401846
226000 0.39435
227000 0.411144
228000 0.397036
229000 0.405724
230000 0.409795
231000 0.407873
232000 0.403344
233000 0.394338
234000 0.401756
235000 0.404819
236000 0.398336
237000 0.398385
238000 0.401131
239000 0.402548
240000 0.406868
241000 0.409153
242000 0.401647
243000 0.393299
244000 0.405307
245000 0.397487
246000 0.397134
247000 0.406917
248000 0.403449
249000 0.407675
250000 0.394434
251000 0.406592
252000 0.402856
253000 0.401605
254000 0.401803
255000 0.40609
256000 0.414736
257000 0.40146
258000 0.39601
259000 0.407161
260000 0.41526
261000 0.402436
262000 0.406267
263000 0.398931
264000 0.40875
265000 0.398071
266000 0.400373
267000 0.39948
268000 0.393374
269000 0.403944
270000 0.411048
271000 0.410638
272000 0.40036
273000 0.404418
274000 0.403861
275000 0.41478
276000 0.401646
277000 0.402797
278000 0.410043
279000 0.403935
280000 0.397939
281000 0.407967
282000 0.40667
283000 0.40452
284000 0.403046
285000 0.397834
286000 0.405445
287000 0.404706
288000 0.401486
289000 0.395258
290000 0.400109
291000 0.409095
292000 0.409223
293000 0.397026
294000 0.397012
295000 0.408621
296000 0.408587
297000 0.407375
298000 0.405963
299000 0.397803
300000 0.40767
301000 0.408508
302000 0.406923
303000 0.397642
304000 0.407777
305000 0.400271
306000 0.405429
307000 0.39873
308000 0.404452
309000 0.40937
310000 0.400551
311000 0.412552
312000 0.419256
313000 0.402801
314000 0.397007
315000 0.412204
316000 0.401128
317000 0.4024
318000 0.402963
319000 0.392219
320000 0.395888
321000 0.408811
322000 0.399414
323000 0.409525
324000 0.421991
325000 0.394756
326000 0.414615
327000 0.406036
328000 0.407427
329000 0.406502
330000 0.412816
331000 0.404221
332000 0.396427
333000 0.407216
334000 0.41637
335000 0.391317
336000 0.39265
337000 0.408867
338000 0.403891
339000 0.404983
340000 0.397497
341000 0.398169
342000 0.397086
343000 0.407382
344000 0.404439
345000 0.406042
346000 0.404924
347000 0.40107
348000 0.404201
349000 0.410228
350000 0.413085
351000 0.40549
352000 0.407356
353000 0.394032
354000 0.404173
355000 0.392417
356000 0.402469
357000 0.407764
358000 0.406603
359000 0.407536
360000 0.404714
361000 0.416557
362000 0.412546
363000 0.4064
364000 0.411966
365000 0.392515
366000 0.402791
367000 0.39769
368000 0.401078
369000 0.398288
370000 0.395285
371000 0.400137
372000 0.395833
373000 0.408073
374000 0.401977
375000 0.412006
376000 0.401965
377000 0.41097
