# Time-averaged data for fix sodiummsdt
# TimeStep c_sodiummsd[4]
100000 2.28655e-31
101000 0.406154
102000 0.406296
103000 0.422875
104000 0.430228
105000 0.434987
106000 0.422066
107000 0.43845
108000 0.445299
109000 0.443559
110000 0.45202
111000 0.442137
112000 0.465342
113000 0.46118
114000 0.465928
115000 0.469652
116000 0.471381
117000 0.477522
118000 0.477995
119000 0.478978
120000 0.48074
121000 0.478869
122000 0.490429
123000 0.482431
124000 0.483029
125000 0.488307
126000 0.487895
127000 0.490852
128000 0.490196
129000 0.49074
130000 0.49668
131000 0.497409
132000 0.504942
133000 0.494014
134000 0.501479
135000 0.499576
136000 0.498617
137000 0.507545
138000 0.512792
139000 0.511013
140000 0.517376
141000 0.519617
142000 0.519205
143000 0.512976
144000 0.511131
145000 0.513422
146000 0.523343
147000 0.519132
148000 0.517902
149000 0.528983
150000 0.521645
151000 0.526362
152000 0.523115
153000 0.52716
154000 0.533356
155000 0.542987
156000 0.543405
157000 0.541692
158000 0.554185
159000 0.55032
160000 0.547334
161000 0.558009
162000 0.551417
163000 0.551289
164000 0.566513
165000 0.551613
166000 0.561145
167000 0.565843
168000 0.564637
169000 0.568764
170000 0.576885
171000 0.572952
172000 0.567069
173000 0.568015
174000 0.571198
175000 0.566076
176000 0.572339
177000 0.572791
178000 0.576236
179000 0.569585
180000 0.577502
181000 0.572519
182000 0.578749
183000 0.586911
184000 0.5843
185000 0.58272
186000 0.58045
187000 0.58624
188000 0.580549
189000 0.578636
190000 0.573374
191000 0.584892
192000 0.585237
193000 0.578582
194000 0.595047
195000 0.596551
196000 0.600446
197000 0.593691
198000 0.591115
199000 0.593091
200000 0.588569
201000 0.598012
202000 0.595516
203000 0.596285
204000 0.58162
205000 0.598973
206000 0.596809
207000 0.604704
208000 0.591196
209000 0.593131
210000 0.597133
211000 0.596472
212000 0.608577
213000 0.608302
214000 0.602046
215000 0.606312
216000 0.61087
217000 0.612417
218000 0.618186
219000 0.615685
220000 0.610079
221000 0.610825
222000 0.608952
223000 0.618831
224000 0.609417
225000 0.60991
226000 0.616693
227000 0.623655
228000 0.627094
229000 0.619952
230000 0.619552
231000 0.625771
232000 0.631862
233000 0.615039
234000 0.6175
235000 0.62937
236000 0.631961
237000 0.632177
238000 0.623834
239000 0.631435
240000 0.626764
241000 0.637237
242000 0.637679
243000 0.642687
244000 0.641845
245000 0.624454
246000 0.63176
247000 0.639423
248000 0.624394
249000 0.631262
250000 0.633369
251000 0.634869
252000 0.635675
253000 0.634238
254000 0.638002
255000 0.638392
256000 0.643411
257000 0.629299
258000 0.634738
259000 0.632329
260000 0.639207
261000 0.633733
262000 0.632858
263000 0.630547
264000 0.634272
265000 0.635312
266000 0.633294
267000 0.640304
268000 0.64004
269000 0.641374
270000 0.654011
271000 0.642279
272000 0.654421
273000 0.647693
274000 0.654849
275000 0.661108
276000 0.647597
277000 0.659241
278000 0.655836
279000 0.670671
280000 0.671522
281000 0.67939
282000 0.670837
283000 0.681617
284000 0.678133
285000 0.681453
286000 0.681662
287000 0.677547
288000 0.671491
289000 0.685219
290000 0.680532
291000 0.681171
292000 0.68178
293000 0.676926
294000 0.682873
295000 0.679568
296000 0.677763
297000 0.678461
298000 0.676209
299000 0.679535
300000 0.687223
301000 0.676336
302000 0.691446
303000 0.683812
304000 0.681114
305000 0.683558
306000 0.67942
307000 0.690482
308000 0.689399
309000 0.696743
310000 0.690626
311000 0.698566
312000 0.691162
313000 0.690174
314000 0.700515
315000 0.698509
316000 0.690935
317000 0.699778
318000 0.69914
319000 0.688044
320000 0.692022
321000 0.688855
322000 0.706719
323000 0.706739
324000 0.691323
325000 0.69344
326000 0.692846
327000 0.693798
328000 0.699732
329000 0.694091
330000 0.701953
331000 0.702066
332000 0.703992
333000 0.714293
334000 0.708374
335000 0.710604
336000 0.697651
337000 0.709717
338000 0.709772
339000 0.70075
340000 0.71117
341000 0.714979
342000 0.706989
343000 0.703375
344000 0.707595
345000 0.698894
346000 0.710937
347000 0.710747
348000 0.710622
349000 0.727823
350000 0.710943
351000 0.72031
352000 0.7146
353000 0.723447
354000 0.718348
355000 0.7141
356000 0.715533
357000 0.716244
358000 0.719955
359000 0.732101
360000 0.730215
361000 0.715626
362000 0.731188
363000 0.73544
364000 0.729961
365000 0.734971
366000 0.733621
367000 0.734479
368000 0.74296
369000 0.737986
370000 0.751555
371000 0.746783
372000 0.749268
373000 0.744266
374000 0.735699
375000 0.740506
376000 0.747341
377000 0.749197
378000 0.752335
379000 0.737542
380000 0.738744
381000 0.73674
382000 0.747853
383000 0.74939
384000 0.751101
385000 0.768833
386000 0.765226
387000 0.758559
388000 0.768697
389000 0.761014
390000 0.753069
391000 0.769007
392000 0.751022
393000 0.771297
394000 0.755771
395000 0.76035
396000 0.763879
397000 0.752347
398000 0.758368
399000 0.755413
400000 0.752996
401000 0.750528
402000 0.765712
403000 0.762342
404000 0.771733
405000 0.761405
406000 0.761826
407000 0.757344
408000 0.758739
409000 0.767811
410000 0.761447
411000 0.763534
412000 0.765643
413000 0.777793
414000 0.777521
415000 0.77224
416000 0.765923
417000 0.78369
418000 0.76538
419000 0.775369
420000 0.763535
421000 0.778474
422000 0.777593
423000 0.77627
424000 0.766779
425000 0.770317
426000 0.769215
427000 0.777176
428000 0.771233
429000 0.773186
430000 0.777143
431000 0.778188
432000 0.774849
433000 0.764227
434000 0.778582
435000 0.77686
436000 0.780491
437000 0.776053
438000 0.775307
439000 0.77872
440000 0.784502
441000 0.776088
442000 0.782155
443000 0.774243
444000 0.767467
445000 0.769115
446000 0.772114
447000 0.781441
448000 0.772667
449000 0.779874
450000 0.777397
451000 0.783999
452000 0.783311
453000 0.7837
454000 0.772728
455000 0.78261
456000 0.787042
457000 0.787914
458000 0.791336
459000 0.782151
460000 0.788571
461000 0.781591
462000 0.794597
463000 0.785358
464000 0.782471
465000 0.785922
466000 0.782195
467000 0.780505
468000 0.773479
469000 0.782137
470000 0.778201
471000 0.774903
472000 0.785506
473000 0.785489
474000 0.782093
475000 0.797965
476000 0.790952
477000 0.793634
478000 0.787799
479000 0.79639
480000 0.790988
481000 0.789304
482000 0.786839
483000 0.776892
484000 0.782239
485000 0.785483
486000 0.784819
487000 0.785572
488000 0.78106
489000 0.797668
490000 0.795699
491000 0.792455
492000 0.802711
493000 0.791889
494000 0.800731
495000 0.801762
496000 0.797385
497000 0.800919
498000 0.807258
499000 0.802027
500000 0.810908
501000 0.818764
502000 0.805225
503000 0.817005
504000 0.809917
505000 0.813485
506000 0.804984
507000 0.814336
508000 0.806118
509000 0.816362
510000 0.79196
511000 0.80786
512000 0.796967
513000 0.801147
514000 0.805783
515000 0.797555
516000 0.790639
517000 0.796557
518000 0.79856
519000 0.786402
520000 0.798074
521000 0.800365
522000 0.802876
523000 0.803592
524000 0.800052
525000 0.804066
526000 0.812111
527000 0.799671
528000 0.810967
529000 0.805203
530000 0.815068
531000 0.804217
532000 0.807311
533000 0.810119
534000 0.805802
535000 0.80505
536000 0.798906
537000 0.817549
538000 0.797065
539000 0.811654
540000 0.805908
541000 0.825565
542000 0.807849
543000 0.80411
544000 0.821077
545000 0.815341
546000 0.827669
547000 0.825246
548000 0.81034
549000 0.820006
550000 0.820957
551000 0.814856
552000 0.805465
553000 0.827542
554000 0.811464
555000 0.81588
556000 0.813746
557000 0.806423
558000 0.822055
559000 0.811646
560000 0.815514
561000 0.817593
562000 0.814571
563000 0.813444
564000 0.811538
565000 0.822175
566000 0.819525
567000 0.821495
568000 0.823845
569000 0.821158
570000 0.828845
571000 0.821742
572000 0.819704
573000 0.827596
574000 0.830772
575000 0.824753
576000 0.834201
577000 0.825036
578000 0.829787
579000 0.837823
580000 0.837383
581000 0.84224
582000 0.824392
583000 0.837186
584000 0.84323
585000 0.833636
586000 0.831406
587000 0.837523
588000 0.833325
589000 0.839386
590000 0.84192
591000 0.836029
592000 0.844456
593000 0.843343
594000 0.845757
595000 0.84255
596000 0.850476
597000 0.838702
598000 0.845804
599000 0.837767
600000 0.844236
601000 0.840004
602000 0.842326
603000 0.855531
604000 0.832074
605000 0.857935
606000 0.847411
607000 0.838929
608000 0.85225
609000 0.856748
610000 0.85342
611000 0.8404
612000 0.840722
613000 0.839291
614000 0.843284
615000 0.844979
616000 0.847551
617000 0.848036
618000 0.845683
619000 0.856246
620000 0.854955
621000 0.8618
622000 0.873841
623000 0.859059
624000 0.872967
625000 0.865496
626000 0.867778
627000 0.862395
628000 0.86295
629000 0.871284
630000 0.877675
631000 0.873961
632000 0.863527
633000 0.86734
634000 0.869295
635000 0.87803
636000 0.87129
637000 0.860755
638000 0.869908
639000 0.867978
640000 0.875085
641000 0.869467
642000 0.865826
643000 0.87334
644000 0.859613
645000 0.870888
646000 0.86404
647000 0.86466
648000 0.883092
649000 0.870356
650000 0.875039
651000 0.86323
652000 0.871697
653000 0.868568
654000 0.869765
655000 0.862863
656000 0.875318
657000 0.865304
658000 0.868672
659000 0.881256
660000 0.877452
661000 0.873747
662000 0.874704
663000 0.871331
664000 0.870427
665000 0.87069
666000 0.864676
667000 0.863716
668000 0.871933
669000 0.859233
670000 0.864894
671000 0.868677
672000 0.858835
673000 0.872024
674000 0.881604
675000 0.884959
676000 0.866896
677000 0.883372
678000 0.884578
679000 0.874909
680000 0.889748
681000 0.884358
682000 0.89322
683000 0.902036
684000 0.890497
685000 0.892655
686000 0.891557
687000 0.880663
688000 0.875772
689000 0.880969
690000 0.876451
691000 0.887445
692000 0.883332
693000 0.880889
694000 0.885554
695000 0.877095
696000 0.882098
697000 0.878113
698000 0.884448
699000 0.893146
700000 0.874615
701000 0.876265
702000 0.88789
703000 0.878783
704000 0.886305
705000 0.893346
706000 0.898697
707000 0.882644
708000 0.90039
709000 0.892567
710000 0.895319
711000 0.89855
712000 0.895545
713000 0.892962
714000 0.891125
715000 0.895123
716000 0.907032
717000 0.889045
718000 0.898761
719000 0.912032
720000 0.904904
721000 0.898532
722000 0.897613
723000 0.907971
724000 0.894065
725000 0.905181
726000 0.90048
727000 0.90676
728000 0.903247
729000 0.9011
730000 0.903838
731000 0.897923
732000 0.887783
733000 0.890664
734000 0.90625
735000 0.903123
736000 0.901615
737000 0.906342
738000 0.897485
739000 0.911543
740000 0.915543
741000 0.910592
742000 0.923343
743000 0.918828
744000 0.915359
745000 0.920286
746000 0.924657
747000 0.913207
748000 0.92803
749000 0.924834
750000 0.927876
751000 0.922872
752000 0.91927
753000 0.93347
754000 0.914462
755000 0.920902
756000 0.909792
757000 0.931112
758000 0.914103
759000 0.919345
760000 0.897353
761000 0.915522
762000 0.91347
763000 0.921785
764000 0.9294
765000 0.92545
766000 0.919689
767000 0.92456
768000 0.921003
769000 0.931403
770000 0.925931
771000 0.937347
772000 0.927952
773000 0.932369
774000 0.923557
775000 0.935488
776000 0.931993
777000 0.937775
778000 0.933065
779000 0.932763
780000 0.937806
781000 0.926732
782000 0.935535
783000 0.927145
784000 0.929815
785000 0.925583
786000 0.92847
787000 0.940184
788000 0.946729
789000 0.931064
790000 0.931874
791000 0.944707
792000 0.94093
793000 0.924537
794000 0.93848
795000 0.931872
796000 0.93176
797000 0.930869
798000 0.932303
799000 0.924873
800000 0.93372
801000 0.945272
802000 0.935434
803000 0.941382
804000 0.936754
805000 0.939866
806000 0.940497
807000 0.946364
808000 0.944691
809000 0.956571
810000 0.946646
811000 0.954659
812000 0.965885
813000 0.954287
814000 0.968217
815000 0.952167
816000 0.963976
817000 0.954983
818000 0.950134
819000 0.944929
820000 0.95338
821000 0.957221
822000 0.965376
823000 0.953812
824000 0.94602
825000 0.952402
826000 0.945374
827000 0.959174
828000 0.948107
829000 0.959654
830000 0.950704
831000 0.972346
832000 0.950899
833000 0.959943
834000 0.965988
835000 0.956664
836000 0.963973
837000 0.956323
838000 0.957964
839000 0.956678
840000 0.957271
841000 0.95431
842000 0.953488
843000 0.961117
844000 0.96385
845000 0.963871
846000 0.948736
847000 0.956746
848000 0.960842
849000 0.948117
850000 0.958821
851000 0.96199
852000 0.957359
853000 0.961881
854000 0.971368
855000 0.962307
856000 0.967694
857000 0.966764
858000 0.970984
859000 0.975572
860000 0.969112
861000 0.973582
862000 0.972416
863000 0.970216
864000 0.96578
865000 0.976522
866000 0.970884
867000 0.960177
868000 0.965718
869000 0.976447
870000 0.980708
871000 0.973597
872000 0.97457
873000 0.965722
874000 0.976421
875000 0.976463
876000 0.968854
877000 0.971285
878000 0.959186
879000 0.97735
880000 0.972162
881000 0.971362
882000 0.978508
883000 0.979794
884000 0.971795
885000 0.97964
886000 0.986463
887000 0.986389
888000 0.983232
889000 0.970522
890000 0.982147
891000 0.978117
892000 0.977083
893000 0.97514
894000 0.980358
895000 0.97663
896000 0.965365
897000 0.976725
898000 0.973493
899000 0.974964
900000 0.962791
901000 0.985339
902000 0.982865
903000 0.982757
904000 0.982893
905000 0.979986
906000 0.987469
907000 0.989793
908000 0.996967
909000 0.99491
910000 0.992663
911000 0.989762
912000 0.992841
913000 0.990267
914000 0.984568
915000 1.00855
916000 0.982731
917000 0.999552
918000 1.00369
919000 1.00091
920000 0.978395
921000 1.0001
922000 1.0126
923000 1.01179
924000 1.01039
925000 1.00581
926000 1.01464
927000 1.0143
928000 1.01762
929000 1.00902
930000 1.02229
931000 1.00751
932000 1.01554
933000 1.024
934000 1.01089
935000 1.01498
936000 1.0091
937000 1.02681
938000 1.02535
939000 1.04468
940000 1.02593
941000 1.02512
942000 1.03042
943000 1.0224
944000 1.02124
945000 1.03092
946000 1.02373
947000 1.02496
948000 1.03334
949000 1.01618
950000 1.01686
951000 1.02692
952000 1.01796
953000 1.01289
954000 1.01671
955000 1.01566
956000 1.01543
957000 1.01423
958000 1.01263
959000 1.01813
960000 1.00695
961000 1.01929
962000 1.0139
963000 1.01199
964000 1.01762
965000 1.02673
966000 1.02982
967000 1.02111
968000 1.02553
969000 1.03264
970000 1.02069
971000 1.0338
972000 1.03075
973000 1.0204
974000 1.02871
975000 1.02496
976000 1.01598
977000 1.01544
978000 1.02966
979000 1.01191
980000 1.01467
981000 1.02404
982000 1.01662
983000 1.02667
984000 1.01487
985000 1.03444
986000 1.021
987000 1.02659
988000 1.01865
989000 1.02797
990000 1.02968
991000 1.03566
992000 1.03086
993000 1.02396
994000 1.01713
995000 1.03756
996000 1.03568
997000 1.03322
998000 1.04614
999000 1.03997
1000000 1.0427
1001000 1.04622
1002000 1.04111
1003000 1.0558
1004000 1.05446
1005000 1.05083
1006000 1.04587
1007000 1.04338
1008000 1.04112
1009000 1.03226
1010000 1.03002
1011000 1.03909
1012000 1.04943
1013000 1.04885
1014000 1.04481
1015000 1.03737
1016000 1.03545
1017000 1.05342
1018000 1.0409
1019000 1.05187
1020000 1.03781
1021000 1.04246
1022000 1.05371
1023000 1.06121
1024000 1.04662
1025000 1.04947
1026000 1.0343
1027000 1.03798
1028000 1.05681
1029000 1.04894
1030000 1.03938
1031000 1.0432
1032000 1.04323
1033000 1.0539
1034000 1.06493
1035000 1.05462
1036000 1.04656
1037000 1.0506
1038000 1.05481
1039000 1.04035
1040000 1.05201
1041000 1.03822
1042000 1.0502
1043000 1.05443
1044000 1.04244
1045000 1.0564
1046000 1.06082
1047000 1.06037
1048000 1.05625
1049000 1.05476
1050000 1.05087
1051000 1.04922
1052000 1.05344
1053000 1.0462
1054000 1.05663
1055000 1.05256
1056000 1.05151
1057000 1.05314
1058000 1.04831
1059000 1.05907
1060000 1.03677
1061000 1.05818
1062000 1.06533
1063000 1.07654
1064000 1.0414
1065000 1.06062
1066000 1.05164
1067000 1.04918
1068000 1.05881
1069000 1.04354
1070000 1.05143
1071000 1.05851
1072000 1.05373
1073000 1.05039
1074000 1.06468
1075000 1.05876
1076000 1.05527
1077000 1.0546
1078000 1.05162
1079000 1.05848
1080000 1.04751
1081000 1.05484
1082000 1.04476
1083000 1.04596
1084000 1.04398
1085000 1.05585
1086000 1.05245
1087000 1.05175
1088000 1.04556
1089000 1.04647
1090000 1.05382
1091000 1.05616
1092000 1.04892
1093000 1.04826
1094000 1.05432
1095000 1.04757
1096000 1.03751
1097000 1.06258
1098000 1.04671
1099000 1.04299
1100000 1.04157
1101000 1.04644
1102000 1.03353
1103000 1.04959
1104000 1.04425
1105000 1.0447
1106000 1.04581
1107000 1.0551
1108000 1.05449
1109000 1.05093
1110000 1.05497
1111000 1.04738
1112000 1.04453
1113000 1.04796
1114000 1.04181
1115000 1.03684
1116000 1.04812
1117000 1.04262
1118000 1.04434
1119000 1.0454
1120000 1.04333
1121000 1.04052
1122000 1.04117
1123000 1.03746
1124000 1.04424
1125000 1.04753
1126000 1.03655
1127000 1.04429
1128000 1.03272
1129000 1.02876
1130000 1.04578
1131000 1.04575
1132000 1.04714
1133000 1.04972
1134000 1.04573
1135000 1.05474
1136000 1.04563
1137000 1.05738
1138000 1.04786
1139000 1.06153
1140000 1.03928
1141000 1.03535
1142000 1.04665
1143000 1.05695
1144000 1.06062
1145000 1.04091
1146000 1.05343
1147000 1.04701
1148000 1.05993
1149000 1.04352
1150000 1.05503
1151000 1.04759
1152000 1.0634
1153000 1.04401
1154000 1.05105
1155000 1.06199
1156000 1.05699
1157000 1.06019
1158000 1.06098
1159000 1.05793
1160000 1.05967
1161000 1.06971
1162000 1.06276
1163000 1.05276
1164000 1.04823
1165000 1.05904
1166000 1.06337
1167000 1.06877
1168000 1.06909
1169000 1.07358
