# Time-averaged data for fix oxidemymsdt
# TimeStep c_oxidemsd[4]
100000 2.01948e-28
101000 0.194439
102000 0.176688
103000 0.178807
104000 0.184129
105000 0.181608
106000 0.18373
107000 0.186271
108000 0.190375
109000 0.181549
110000 0.190627
111000 0.184063
112000 0.186602
113000 0.191817
114000 0.18936
115000 0.181797
116000 0.199348
117000 0.18439
118000 0.189042
119000 0.190463
120000 0.194144
121000 0.19348
122000 0.186648
123000 0.190641
124000 0.183056
125000 0.196924
126000 0.183284
127000 0.187737
128000 0.189487
129000 0.179571
130000 0.190366
131000 0.183868
132000 0.1927
133000 0.186711
134000 0.194343
135000 0.185179
136000 0.191164
137000 0.18907
138000 0.187835
139000 0.189019
140000 0.194385
141000 0.186789
142000 0.191341
143000 0.188967
144000 0.186976
145000 0.188864
146000 0.188834
147000 0.188037
148000 0.188202
149000 0.187318
150000 0.180017
151000 0.189654
152000 0.178375
153000 0.191162
154000 0.186914
155000 0.184915
156000 0.182232
157000 0.191604
158000 0.187276
159000 0.18971
160000 0.191455
161000 0.188296
162000 0.190829
163000 0.191086
164000 0.197127
165000 0.198629
166000 0.182828
167000 0.191251
168000 0.196842
169000 0.186118
170000 0.1865
171000 0.184944
172000 0.188686
173000 0.182915
174000 0.197027
175000 0.186652
176000 0.189655
177000 0.191798
178000 0.186861
179000 0.192499
180000 0.185541
181000 0.190342
182000 0.190373
183000 0.19002
184000 0.187588
185000 0.188763
186000 0.188941
187000 0.185033
188000 0.196834
189000 0.184336
190000 0.190732
191000 0.192637
192000 0.190661
193000 0.192032
194000 0.189005
195000 0.197509
196000 0.187576
197000 0.196896
198000 0.193576
199000 0.193001
200000 0.187251
201000 0.188896
202000 0.189525
203000 0.193147
204000 0.19511
205000 0.185976
206000 0.193504
207000 0.185412
208000 0.193658
209000 0.193532
210000 0.194966
211000 0.1921
212000 0.194053
213000 0.188001
214000 0.189429
215000 0.185745
216000 0.192236
217000 0.191025
218000 0.182567
219000 0.190249
220000 0.186958
221000 0.19133
222000 0.182577
223000 0.184298
224000 0.188979
225000 0.189707
226000 0.187444
227000 0.194538
228000 0.181614
229000 0.191138
230000 0.189158
231000 0.178516
232000 0.193024
233000 0.181877
234000 0.186949
235000 0.186698
236000 0.189689
237000 0.182615
238000 0.196564
239000 0.193496
240000 0.190039
241000 0.189132
242000 0.182203
243000 0.191573
244000 0.187894
245000 0.185872
246000 0.189142
247000 0.191781
248000 0.186493
249000 0.187842
250000 0.185853
251000 0.191427
252000 0.185297
253000 0.185349
254000 0.181946
255000 0.186442
256000 0.18973
257000 0.185381
258000 0.192585
259000 0.19059
260000 0.186043
261000 0.18994
262000 0.190211
