# Time-averaged data for fix oxidemymsdt
# TimeStep c_oxidemsd[4]
100000 0
101000 0.189373
102000 0.175209
103000 0.184517
104000 0.174217
105000 0.179409
106000 0.182858
107000 0.178676
108000 0.178343
109000 0.179118
110000 0.182407
111000 0.185845
112000 0.176548
113000 0.180972
114000 0.183498
115000 0.177783
116000 0.190142
117000 0.175336
118000 0.188798
119000 0.182003
120000 0.184477
121000 0.178595
122000 0.183561
123000 0.177746
124000 0.182187
125000 0.18292
126000 0.18104
127000 0.176373
128000 0.182611
129000 0.17852
130000 0.182726
131000 0.186454
132000 0.176899
133000 0.188849
134000 0.1733
135000 0.185033
136000 0.18208
137000 0.181965
138000 0.175019
139000 0.183976
140000 0.17983
141000 0.179598
142000 0.185941
143000 0.174796
144000 0.185882
145000 0.178977
146000 0.186223
147000 0.17422
148000 0.18604
149000 0.180004
150000 0.18059
151000 0.184351
152000 0.177042
153000 0.181153
154000 0.182718
155000 0.180146
156000 0.178949
157000 0.17714
158000 0.182605
159000 0.181775
160000 0.181104
161000 0.176309
162000 0.172676
163000 0.186844
164000 0.177988
165000 0.184417
166000 0.180247
167000 0.180882
168000 0.179588
169000 0.187116
170000 0.177278
171000 0.186155
172000 0.178414
173000 0.192593
174000 0.176443
175000 0.18572
176000 0.179745
177000 0.17524
178000 0.184301
179000 0.183185
180000 0.179713
181000 0.177541
182000 0.181729
183000 0.18018
184000 0.179085
185000 0.180177
186000 0.179618
187000 0.181199
188000 0.175316
189000 0.175875
190000 0.183824
191000 0.175937
192000 0.180583
193000 0.173456
194000 0.183644
195000 0.178613
196000 0.176632
197000 0.176816
198000 0.184843
199000 0.183186
200000 0.1835
201000 0.177179
202000 0.183832
203000 0.175703
204000 0.178039
205000 0.17779
206000 0.175945
207000 0.187417
208000 0.179373
209000 0.18289
210000 0.178988
211000 0.185963
212000 0.180984
213000 0.181037
214000 0.177221
215000 0.180555
216000 0.178049
217000 0.183745
218000 0.178269
219000 0.172571
220000 0.182105
221000 0.177208
222000 0.184764
223000 0.177838
224000 0.182773
225000 0.177774
226000 0.180086
227000 0.181662
228000 0.179493
229000 0.181756
230000 0.178136
231000 0.175263
232000 0.181253
233000 0.175943
234000 0.181663
235000 0.178437
236000 0.171611
237000 0.181322
238000 0.176922
239000 0.176405
240000 0.182786
241000 0.17517
242000 0.1815
243000 0.177938
244000 0.178847
245000 0.174305
246000 0.174216
247000 0.18091
248000 0.179015
249000 0.178618
250000 0.1818
251000 0.186137
252000 0.176989
253000 0.181924
254000 0.177716
255000 0.182982
256000 0.183463
257000 0.180496
258000 0.182523
259000 0.182134
260000 0.179515
261000 0.179019
262000 0.179213
263000 0.180081
264000 0.183091
265000 0.177015
266000 0.186524
267000 0.181976
268000 0.18018
269000 0.187857
270000 0.179506
271000 0.18585
272000 0.176145
273000 0.180563
274000 0.180316
275000 0.183822
276000 0.17611
277000 0.183188
278000 0.175076
279000 0.183438
280000 0.17562
281000 0.18327
282000 0.176138
283000 0.179613
284000 0.179167
285000 0.177719
286000 0.184131
287000 0.174865
288000 0.182162
289000 0.177995
290000 0.185932
291000 0.176129
292000 0.188619
293000 0.179066
294000 0.189134
295000 0.179542
296000 0.187953
297000 0.183083
298000 0.183894
299000 0.177248
300000 0.177798
301000 0.190181
302000 0.174521
303000 0.186377
304000 0.179046
305000 0.189237
306000 0.178049
307000 0.190014
308000 0.176273
309000 0.187732
310000 0.180282
311000 0.182483
312000 0.179852
313000 0.179706
314000 0.177007
315000 0.178972
316000 0.183367
317000 0.17318
318000 0.184702
319000 0.176799
320000 0.18643
321000 0.175585
322000 0.182576
323000 0.175748
324000 0.18822
325000 0.182743
326000 0.180188
327000 0.179663
328000 0.185168
329000 0.178658
330000 0.180634
331000 0.183847
332000 0.180951
333000 0.184907
334000 0.179404
335000 0.186617
336000 0.178902
337000 0.184437
338000 0.176315
339000 0.185753
340000 0.177637
341000 0.179926
342000 0.171285
343000 0.180347
344000 0.181697
345000 0.178768
346000 0.184735
347000 0.177619
348000 0.182367
349000 0.180216
350000 0.176811
351000 0.175773
352000 0.187825
353000 0.172593
354000 0.189749
355000 0.174666
356000 0.189094
357000 0.181361
358000 0.189191
359000 0.179478
360000 0.183981
361000 0.179419
362000 0.180057
363000 0.174021
364000 0.179304
365000 0.179936
366000 0.174391
367000 0.184266
368000 0.174343
369000 0.18281
370000 0.172194
371000 0.180286
372000 0.17673
373000 0.18795
374000 0.172343
375000 0.18349
376000 0.179669
377000 0.18514
378000 0.17266
379000 0.179561
380000 0.182429
381000 0.17602
382000 0.182379
383000 0.17968
384000 0.178954
385000 0.183184
386000 0.179216
387000 0.170081
388000 0.189651
389000 0.171167
390000 0.184521
391000 0.175759
392000 0.187137
393000 0.179912
394000 0.178784
395000 0.18027
396000 0.17443
397000 0.185866
398000 0.176026
399000 0.182177
400000 0.177268
401000 0.183609
402000 0.16953
403000 0.181382
404000 0.17629
405000 0.180032
406000 0.173692
407000 0.17949
408000 0.189329
409000 0.176561
410000 0.185625
411000 0.18026
412000 0.185121
413000 0.181029
414000 0.185274
415000 0.170039
416000 0.184011
417000 0.178406
418000 0.184243
419000 0.177469
420000 0.178166
421000 0.180222
422000 0.187838
423000 0.180281
424000 0.179466
425000 0.179668
426000 0.183323
427000 0.18335
428000 0.17895
429000 0.180519
430000 0.173718
431000 0.185347
432000 0.18475
433000 0.178095
434000 0.180282
435000 0.1791
436000 0.183188
437000 0.181196
438000 0.17828
439000 0.1844
440000 0.181877
441000 0.182647
442000 0.178306
443000 0.178531
444000 0.182268
445000 0.180961
446000 0.176886
447000 0.184956
448000 0.181616
449000 0.182209
450000 0.176092
451000 0.180748
452000 0.183283
453000 0.185639
454000 0.174728
455000 0.183093
456000 0.17571
457000 0.182747
458000 0.181471
459000 0.178142
460000 0.181932
461000 0.17649
462000 0.17742
463000 0.180142
464000 0.17307
465000 0.180657
466000 0.179012
467000 0.175472
468000 0.177982
469000 0.179092
470000 0.182656
471000 0.177648
472000 0.184623
473000 0.184328
474000 0.177261
475000 0.187743
476000 0.177504
477000 0.177705
478000 0.177572
479000 0.184243
480000 0.181103
481000 0.179379
482000 0.182117
483000 0.180928
484000 0.180665
485000 0.176657
486000 0.1811
487000 0.184353
488000 0.180946
489000 0.175749
490000 0.180365
491000 0.181745
492000 0.184117
493000 0.1851
494000 0.17889
495000 0.185468
496000 0.182078
497000 0.181116
498000 0.178112
499000 0.183581
500000 0.175604
501000 0.182949
502000 0.176752
503000 0.181809
504000 0.184805
505000 0.18389
506000 0.185763
507000 0.178377
508000 0.189117
509000 0.179028
510000 0.181249
511000 0.177163
512000 0.179863
513000 0.180375
514000 0.178473
515000 0.175782
516000 0.182017
517000 0.181042
518000 0.181841
519000 0.177373
520000 0.182302
521000 0.182821
522000 0.178958
523000 0.189324
524000 0.179167
525000 0.179984
526000 0.175866
527000 0.178526
528000 0.178824
529000 0.175228
530000 0.177755
531000 0.174945
532000 0.177156
533000 0.180706
534000 0.176159
535000 0.182007
536000 0.182023
537000 0.17642
538000 0.180945
539000 0.180031
540000 0.180742
541000 0.180925
542000 0.180212
543000 0.176659
544000 0.181758
545000 0.181757
546000 0.182047
547000 0.181
548000 0.181847
549000 0.178018
550000 0.178874
551000 0.185975
552000 0.179782
553000 0.187849
554000 0.17823
555000 0.184096
556000 0.181416
557000 0.18117
558000 0.179159
559000 0.182405
560000 0.177356
561000 0.180476
562000 0.176674
563000 0.181714
564000 0.181302
565000 0.173281
566000 0.177937
567000 0.175513
568000 0.180751
569000 0.176505
570000 0.178262
571000 0.176593
572000 0.180828
573000 0.184465
574000 0.183579
575000 0.1795
576000 0.186511
577000 0.180594
578000 0.179578
579000 0.182756
580000 0.180106
581000 0.183627
582000 0.184569
583000 0.183772
584000 0.179914
585000 0.176392
586000 0.184563
587000 0.184767
588000 0.178368
589000 0.18409
590000 0.180192
591000 0.184599
592000 0.185073
593000 0.179757
594000 0.187985
595000 0.180605
596000 0.182992
597000 0.181937
598000 0.177976
599000 0.178101
600000 0.179041
601000 0.178183
602000 0.176221
603000 0.183823
604000 0.177156
605000 0.177016
606000 0.175217
607000 0.181843
608000 0.175546
609000 0.173362
610000 0.179414
611000 0.174951
612000 0.176208
613000 0.177845
614000 0.17413
615000 0.180428
616000 0.173808
617000 0.178243
618000 0.184212
619000 0.185898
620000 0.181395
621000 0.182512
622000 0.185126
623000 0.189482
624000 0.179381
625000 0.180148
626000 0.181799
627000 0.178195
628000 0.183303
629000 0.174562
630000 0.182866
631000 0.186875
632000 0.17675
633000 0.180046
634000 0.179899
635000 0.180277
636000 0.178187
637000 0.186518
638000 0.18468
639000 0.183413
640000 0.1817
641000 0.174842
642000 0.180866
643000 0.186537
644000 0.17651
645000 0.181215
646000 0.185122
647000 0.17951
648000 0.17837
649000 0.175808
650000 0.181241
651000 0.18212
652000 0.184185
653000 0.181977
654000 0.185145
655000 0.184682
656000 0.178642
657000 0.186171
658000 0.178888
659000 0.178876
660000 0.185735
661000 0.179637
662000 0.177721
663000 0.182401
664000 0.180954
665000 0.180659
666000 0.178622
667000 0.178479
668000 0.177003
669000 0.185767
670000 0.173385
671000 0.184463
672000 0.175444
673000 0.179355
674000 0.184147
675000 0.179027
676000 0.177704
677000 0.176514
678000 0.183747
679000 0.173067
680000 0.178655
681000 0.182837
682000 0.178752
683000 0.181462
684000 0.184487
685000 0.174043
686000 0.182745
687000 0.176748
688000 0.179552
689000 0.181684
690000 0.179473
691000 0.18843
692000 0.17206
693000 0.181441
694000 0.178415
